"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"14","Russell Henley",28078709,8800,59.62,69.38,11.5,91.5,29.5,65.3,4.9,70.3,0.42,5,-0.018,192,0.263,17,0.628,18,0.327,55,1.201,26,-5.39,307,0.111,2,1.193,34,-0.005,-0.058,0.001,0.07,-0.029,0.085,-0.019,0.059,0.124,1.296,0.9922,0.9962,0.9978,0.9988,0.9998,113.61,0.14,7.6,1.95,8.84,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"15","Denny McCarthy",28078710,8700,67.83,63.41,7.5,87,27.5,63.2,4.4,67.6,0.26,5,0.565,4,0.192,41,0.174,90,0.057,129,0.988,39,-3.76,270,0.027,105,1.111,30,0.009,-0.02,-0.022,-0.09,-0.02,0.059,-0.005,0.09,0.145,1.113,0.9925,0.9967,0.9982,0.9991,0.9998,114.92,0.12,6,1.44,6.54,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"16","Cameron Davis",28078711,8600,58.09,70.14,23.3,92,30,60.1,3.6,63.7,-0.01,5,0.038,152,0.109,73,0.268,64,0.552,21,0.968,40,11.418,38,-0.041,321,0.727,28,0.016,0.058,-0.006,0.173,0.032,-0.175,0.007,0.027,-0.141,0.858,0.9929,0.9973,0.9986,0.9993,0.9999,116.27,0.11,12.32,0.12,0.6,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"17","Tom Hoge",28078712,8500,69.33,63.9,9.7,87,27.5,57.3,3.1,60.4,-0.14,5,0.119,101,-0.036,204,0.48,30,-0.035,158,0.528,74,-1.876,236,0.038,79,0.687,34,-0.005,-0.021,0.007,-0.141,0.029,0.03,-0.007,0.035,0.058,0.616,0.9933,0.9978,0.999,0.9995,0.9999,117.64,0.1,6.88,0.38,1.76,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"18","Min Woo Lee",28078713,8400,65.59,56.48,9.8,82,25.5,55.3,2.6,57.9,-0.24,5,0.442,14,0.27,13,-0.316,270,0.255,74,0.651,63,17.06,9,-0.048,339,0.447,24,0.028,0.045,0.002,0.128,-0.026,-0.262,0.008,0.053,-0.201,0.424,0.9936,0.9982,0.9992,0.9996,0.9999,119.04,0.09,6.92,0.68,3.11,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"19","Kyoung-Hoon Lee",28078714,8300,69.44,63.24,8.4,86,27.5,60.4,3.8,64.1,0.18,5,0.189,70,0.112,72,0.379,42,0.216,80,0.896,43,1.168,182,0.032,95,0.9,31,0.003,0.001,-0.021,0.012,-0.035,-0.017,-0.005,0.051,0.029,0.89,0.9928,0.9973,0.9986,0.9993,0.9999,120.47,0.08,6.36,0.91,4.14,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"20","Brian Harman",28078715,8200,62.06,63.74,5.7,86.85,27.5,61.6,4,65.7,0.37,5,0.108,108,0.082,99,0.13,106,0.37,44,0.691,58,-4.363,289,0.068,23,0.705,36,-0.013,-0.106,-0.023,0.127,0.206,0.069,-0.012,0.027,0.084,0.98,0.9927,0.9971,0.9985,0.9992,0.9999,121.94,0.08,5.28,0.63,2.88,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"21","Stephan Jaeger",28078716,8100,66.1,67.62,10.3,89.5,29,61.1,3.9,64.9,0.36,5,-0.068,226,0.266,15,0.45,33,0.377,42,1.026,35,3.402,144,-0.006,206,0.74,33,-0.005,0.053,-0.02,0.258,-0.036,-0.051,0.001,0.043,-0.007,0.983,0.9927,0.997,0.9984,0.9992,0.9999,123.44,0.08,7.12,0.92,4.18,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"22","Taylor Moore",28078717,8000,61.84,65.23,9.1,88,28,58.5,3.3,61.9,0.16,5,0.351,30,0.008,166,0.194,83,0.319,56,0.872,45,6.016,99,0.006,167,0.877,29,0.01,0.021,0.003,-0.039,-0.043,-0.091,-0.001,0.047,-0.046,0.783,0.993,0.9975,0.9988,0.9994,0.9999,124.99,0.08,6.64,0.41,1.89,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"23","Kurt Kitayama",28078718,7900,55.54,62.14,10.4,86,27.5,57.3,3,60.3,0.08,5,0.074,125,0.108,74,0.42,37,0.11,108,0.711,55,10.595,44,-0.042,326,0.648,30,0.008,0.043,0,0.012,-0.001,-0.162,0.007,0.039,-0.116,0.593,0.9933,0.9978,0.999,0.9995,0.9999,126.57,0.07,7.16,0.31,1.43,10,1,2023-05-25,"2023-05-25 Charles Schwab"
