"","G","G","G","G","G","G"
"1",22991916,22991934,22991940,22991941,22991947,22991953
"2",22991916,22991935,22991940,22991941,22991947,22991953
"3",22991918,22991934,22991937,22991941,22991947,22991953
"4",22991918,22991934,22991940,22991941,22991944,22991947
"5",22991918,22991935,22991936,22991940,22991947,22991953
"6",22991918,22991935,22991940,22991941,22991944,22991947
"7",22991918,22991934,22991940,22991941,22991942,22991947
"8",22991918,22991934,22991940,22991941,22991946,22991947
"9",22991918,22991935,22991937,22991942,22991944,22991946
"10",22991918,22991934,22991936,22991944,22991945,22991946
"11",22991916,22991936,22991937,22991944,22991945,22991948
"12",22991922,22991935,22991936,22991937,22991942,22991944
"13",22991916,22991937,22991938,22991942,22991944,22991948
"14",22991922,22991935,22991936,22991937,22991938,22991942
"15",22991922,22991935,22991936,22991937,22991938,22991945
"16",22991916,22991935,22991936,22991945,22991948,22991949
"17",22991916,22991936,22991937,22991948,22991949,22991950
"18",22991916,22991931,22991939,22991949,22991950,22991951
"19",22991922,22991928,22991929,22991949,22991950,22991951
"20",22991929,22991930,22991931,22991932,22991949,22991950
