date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jun 19, 2022","U.S. Open","Schenk, Adam",0.461825,0.00575,0.164675,0.093225,0.03705,0.014175,0.00685,0.001425,T24
"Jun 19, 2022","U.S. Open","Hardy, Nick",0.43105,0.00285,0.15215,0.086475,0.033175,0.0125,0.006025,0.001375,T14
"Jun 19, 2022","U.S. Open","Putnam, Andrew",0.427575,0.0049,0.13845,0.0754,0.02715,0.01055,0.00515,0.001175,T31
"Jun 19, 2022","U.S. Open","Barnes, Erik",0.4273,0.00525,0.136425,0.07485,0.0262,0.010125,0.004725,0.00115,CUT
"Jun 19, 2022","U.S. Open","Lee, Danny",0.400925,0.00245,0.13075,0.072775,0.02745,0.0101,0.005075,0.00115,CUT
"Jun 19, 2022","U.S. Open","Bramlett, Joseph",0.423025,0.00505,0.13505,0.0739,0.026975,0.0099,0.00485,0.00115,T37
"Jun 19, 2022","U.S. Open","Daffue, MJ",0.3878,0.0023,0.120275,0.065725,0.023725,0.008625,0.0043,0.001125,T31
"Jun 19, 2022","U.S. Open","Hoshino, Rikuya",0.396875,0.0021,0.1226,0.06715,0.024475,0.00855,0.00435,0.0011,CUT
"Jun 19, 2022","U.S. Open","Gotterup, Chris",0.3922,0.004025,0.114275,0.061525,0.0232,0.0085,0.0043,0.001025,T43
"Jun 19, 2022","U.S. Open","Besseling, Wil",0.40175,0.004075,0.1187,0.0648,0.021825,0.007675,0.0038,0.000975,T56
"Jun 19, 2022","U.S. Open","Kim, Joohyung",0.341225,0.001825,0.09195,0.048375,0.0167,0.005875,0.002725,0.000725,23
"Jun 19, 2022","U.S. Open","Tarren, Callum",0.386925,0.003125,0.10885,0.0575,0.019325,0.0066,0.003075,0.000675,T31
"Jun 19, 2022","U.S. Open","Olesen, Thorbjorn",0.322025,0.00135,0.080425,0.04085,0.01435,0.005025,0.0025,0.000675,CUT
"Jun 19, 2022","U.S. Open","Schneider, Marcel",0.372325,0.00375,0.1019,0.05405,0.019425,0.00615,0.002675,0.000625,CUT
"Jun 19, 2022","U.S. Open","Novak, Andrew",0.344875,0.001725,0.0917,0.048325,0.0162,0.0051,0.002375,0.0006,CUT
"Jun 19, 2022","U.S. Open","Seiffert, Chase",0.366125,0.002025,0.105325,0.056075,0.01935,0.006999999999999999,0.00355,0.000575,CUT
"Jun 19, 2022","U.S. Open","Hall, Harry",0.369025,0.003525,0.0983,0.05145,0.017325,0.006025,0.002825,0.0005,CUT
"Jun 19, 2022","U.S. Open","Murray, Grayson",0.3273,0.003175,0.077225,0.0392,0.0129,0.0047,0.002275,0.000475,63
"Jun 19, 2022","U.S. Open","Bland, Richard",0.31255,0.00155,0.075925,0.037025,0.0115,0.0043,0.001725,0.0004,T43
"Jun 19, 2022","U.S. Open","Sloan, Roger",0.335225,0.00295,0.076875,0.03785,0.012675,0.004425,0.001875,0.0004,CUT
"Jun 19, 2022","U.S. Open","Buckley, Hayden",0.356325,0.003375,0.08775,0.04395,0.01425,0.004725,0.0023,0.000375,T14
"Jun 19, 2022","U.S. Open","Crocker, Sean",0.296925,0.001475,0.0636,0.031125,0.009875,0.003575,0.00155,0.00035,CUT
"Jun 19, 2022","U.S. Open","Samooja, Kalle",0.33765,0.002875,0.0752,0.038075,0.011675,0.004175,0.001825,0.00035,CUT
"Jun 19, 2022","U.S. Open","Norris, Shaun",0.295125,0.001425,0.065625,0.03175,0.009975,0.003175,0.00145,0.00035,CUT
"Jun 19, 2022","U.S. Open","Vick, Travis",0.29875,0.002275,0.059775,0.02975,0.009475,0.0031,0.001375,0.0003,T43
"Jun 19, 2022","U.S. Open","Paul, Yannik",0.308775,0.0013,0.0707,0.034975,0.01055,0.003625,0.0016,0.0003,CUT
"Jun 19, 2022","U.S. Open","Bennett, Sam",0.297525,0.002525,0.06335,0.0301,0.009075,0.00285,0.0012,0.0003,T49
"Jun 19, 2022","U.S. Open","Matthews, Brandon",0.280725,0.002175,0.053,0.024525,0.00695,0.002175,0.00115,0.0003,60
"Jun 19, 2022","U.S. Open","Chappell, Kevin",0.297425,0.001375,0.068575,0.033525,0.010725,0.00365,0.001625,0.00025,CUT
"Jun 19, 2022","U.S. Open","Nakajima, Keita",0.263,0.00105,0.052125,0.024775,0.007425,0.002475,0.00115,0.0002,CUT
"Jun 19, 2022","U.S. Open","Stevens, Samuel",0.3034,0.001325,0.069475,0.034525,0.011425,0.003625,0.0013,0.000175,T49
"Jun 19, 2022","U.S. Open","Kim, Chan",0.304525,0.002,0.060575,0.028875,0.008775,0.003175,0.00125,0.000175,CUT
"Jun 19, 2022","U.S. Open","Mouw, William",0.22255,0.001325,0.03195,0.013475,0.0036,0.001125,0.00045,0.00015,CUT
"Jun 19, 2022","U.S. Open","Soderberg, Sebastian",0.2622,0.001075,0.049375,0.023725,0.006625,0.00205,0.00085,0.00015,T53
"Jun 19, 2022","U.S. Open","Mickelson, Phil",0.260025,0.000975,0.050225,0.023425,0.006675,0.002025,0.00105,0.00015,CUT
"Jun 19, 2022","U.S. Open","Lingmerth, David",0.29725,0.002,0.0603,0.029975,0.009025,0.0023,0.000925,0.000125,T49
"Jun 19, 2022","U.S. Open","Stuard, Brian",0.274175,0.00075,0.0536,0.02535,0.007175,0.002525,0.0011,0.000125,CUT
"Jun 19, 2022","U.S. Open","Kodaira, Satoshi",0.269525,0.002325,0.04645,0.0204,0.005525,0.001625,0.000575,0.0001,CUT
"Jun 19, 2022","U.S. Open","Moldovan, Maxwell",0.19745,0.000925,0.026375,0.01165,0.003225,0.0009,0.00045,0.0001,CUT
"Jun 19, 2022","U.S. Open","Naegel, Chris",0.201975,0.000875,0.0299,0.0132,0.003925,0.0013,0.000675,0.0001,T56
"Jun 19, 2022","U.S. Open","Kozuma, Jinichiro",0.269125,0.0017,0.047725,0.021325,0.006025,0.00165,0.00055,0.000075,CUT
"Jun 19, 2022","U.S. Open","McCarty, Matt",0.242575,0.001225,0.037875,0.0161,0.0038,0.000825,0.000325,0.000075,CUT
"Jun 19, 2022","U.S. Open","Greaser, Austin",0.176675,0.000775,0.02145,0.008725,0.002375,0.000725,0.000325,0.000075,T61
"Jun 19, 2022","U.S. Open","Izumida, Daijiro",0.1473,0.000425,0.013975,0.005525,0.00155,0.00045,0.000175,0.000075,CUT
"Jun 19, 2022","U.S. Open","Piot, James",0.105375,0.000725,0.006175,0.0022,0.000475,0.000125,0.0001,0.00005,CUT
"Jun 19, 2022","U.S. Open","Mueller, Jesse",0.109825,0.0002,0.009725,0.00355,0.001,0.00035,0.000075,0.00005,CUT
"Jun 19, 2022","U.S. Open","Chassart, Adrien Dumont de",0.220825,0.0007,0.035825,0.0158,0.004025,0.001075,0.000375,0.00005,CUT
"Jun 19, 2022","U.S. Open","Blixt, Jonas",0.187475,0.000475,0.026025,0.011625,0.0031,0.0009,0.000325,0.00005,CUT
"Jun 19, 2022","U.S. Open","Biondi, Fred",0.22025,0.00125,0.0314,0.013675,0.00345,0.000875,0.000375,0.00005,CUT
"Jun 19, 2022","U.S. Open","Thorbjornsen, Michael",0.230725,0.0015,0.0365,0.01555,0.00445,0.00135,0.0006,0.00005,CUT
"Jun 19, 2022","U.S. Open","Hagestad, Stewart",0.221025,0.00145,0.032675,0.01435,0.003975,0.001025,0.0003,0.000025,64
"Jun 19, 2022","U.S. Open","Silverman, Ben",0.1354,0.0005,0.010825,0.00405,0.00095,0.000225,0.000125,0.000025,CUT
"Jun 19, 2022","U.S. Open","Hoag, Bo",0.20645,0.00055,0.028675,0.011875,0.0032,0.000925,0.00035,0.000025,CUT
"Jun 19, 2022","U.S. Open","Salinda, Isaiah",0.1504,0.000425,0.016175,0.006375,0.001425,0.00035,0.000175,0.000025,CUT
"Jun 19, 2022","U.S. Open","Migliozzi, Guido",0.23965,0.001625,0.036625,0.0165,0.0045,0.001125,0.000425,0.000025,T14
"Jun 19, 2022","U.S. Open","Gerard, Ryan",0.166,0.000475,0.020525,0.009125,0.002275,0.0008,0.000325,0.000025,CUT
"Jun 19, 2022","U.S. Open","Lorenz, Ben",0.048075,0.00015,0.001275,0.000325,0.00005,0.000025,0.000025,0.000025,CUT
"Jun 19, 2022","U.S. Open","Beckler, Andrew",0.053875,0.00015,0.00145,0.000425,0.0001,0.000025,0,0,CUT
"Jun 19, 2022","U.S. Open","Dunlap, Nick",0.081775,0.00015,0.00405,0.001125,0.000325,0.00005,0,0,CUT
"Jun 19, 2022","U.S. Open","Manuel, Caleb",0.0302,0.000075,0.0004,0.00015,0.000025,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Shepherd, Laird",0.0164,0.0001,0.000125,0.000025,0,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Reiter, Charles",0.04395,0.000075,0.000925,0.000275,0,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Greene, Keith",0.01525,0.00005,0.000025,0,0,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Sinnott, Todd",0.1276,0.000175,0.00985,0.00365,0.0006,0.000075,0.000025,0,T31
"Jun 19, 2022","U.S. Open","Gannon, Luke",0.015375,0.00005,0.000075,0.00005,0,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Quinn, Fran",0.03305,0.000025,0.000275,0.000075,0.000025,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Furyk, Jim",0.073775,0.000125,0.0029,0.000875,0.00015,0.000025,0.000025,0,CUT
"Jun 19, 2022","U.S. Open","Morgan, Jediah",0.05515,0.00005,0.001575,0.00035,0.0001,0.000025,0,0,CUT
"Jun 19, 2022","U.S. Open","Sugiyama, Tomoyasu",0.120325,0.00045,0.007475,0.00275,0.0003,0.0001,0.0001,0,CUT
"Jun 19, 2022","U.S. Open","Shore, Davis",0.07175,0.00025,0.00325,0.001075,0.000075,0,0,0,CUT
"Jun 19, 2022","U.S. Open","Jacklin, Sean",0.053375,0.00005,0.002125,0.0008,0.00015,0.000075,0.000025,0,CUT
