"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","ownership","total_pts","date","tournament"
"105","Richard Bland",22992015,6500,49.4,NA,NA,117,NA,NA,41.51,0.17,64,20,0.3126,0.0015,0.0759,0.037,0.0115,0.0043,0.0017,4e-04,43,NA,0.0012,47.5,"2022-06-19","US Open"
"106","Joseph Bramlett",23043247,6500,49.24,NA,NA,118,NA,NA,39.62,0.34,63.5,19.5,0.423,0.005,0.135,0.0739,0.027,0.0099,0.0049,0.0012,37,NA,0.0013,46.5,"2022-06-19","US Open"
"107","Tomoyasu Sugiyama",22992016,6400,41,NA,NA,119,NA,NA,21.68,0.04,47.7,11.92,0.1203,4e-04,0.0075,0.0027,3e-04,1e-04,1e-04,0,100,NA,4e-04,9.5,"2022-06-19","US Open"
"108","Bo Hoag",22992017,6400,41.31,NA,NA,120,NA,NA,34.71,0.05,58.5,18.5,0.2064,6e-04,0.0287,0.0119,0.0032,9e-04,4e-04,0,100,NA,5e-04,22.5,"2022-06-19","US Open"
"109","Joohyung Kim",22992018,6400,53.62,0.0022,0.0019,94,-3e-04,-0.1364,31.88,0.25,56,17.5,0.3412,0.0018,0.092,0.0484,0.0167,0.0059,0.0027,7e-04,23,0.3,0.0013,57.5,"2022-06-19","US Open"
"110","Min Woo Lee",22992019,6400,36.78,0.0022,0.002,86,-2e-04,-0.0909,38.78,1.1,62.5,19.5,0.4456,0.0024,0.167,0.0965,0.0379,0.0147,0.0073,0.0017,27,0.31,0.004,53.5,"2022-06-19","US Open"
"111","Roger Sloan",22992020,6400,41.98,NA,NA,121,NA,NA,37.71,0.09,61.85,19,0.3352,0.003,0.0769,0.0378,0.0127,0.0044,0.0019,4e-04,100,NA,5e-04,20,"2022-06-19","US Open"
"112","Harry Hall",22992021,6400,67.25,0.0022,0.002,86,-2e-04,-0.0909,34.24,1.2,58.5,18,0.369,0.0035,0.0983,0.0515,0.0173,0.006,0.0028,5e-04,100,0.31,0.0085,14,"2022-06-19","US Open"
"113","Matthew McCarty",22992022,6400,60.53,NA,NA,122,NA,NA,21.05,0.11,46.32,11.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"114","Beau Hossler",22992023,6400,55.35,0.0035,0.0031,74,-4e-04,-0.1143,36.8,1.2,60.5,19,0.4629,0.0069,0.1708,0.102,0.0418,0.0173,0.0094,0.0024,53,0.48,0.0249,38,"2022-06-19","US Open"
"115","Taylor Montgomery",23043256,6400,85.29,0.0022,0.0022,83,0,0,32.47,1.3,56.5,17.5,0.4565,0.0037,0.175,0.1033,0.0415,0.017,0.0087,0.0024,100,0.34,0.0292,25,"2022-06-19","US Open"
"116","Ben Silverman",22992024,6300,34.83,NA,NA,123,NA,NA,34.61,0.06,58,18.5,0.1354,5e-04,0.0108,0.004,0.001,2e-04,1e-04,0,100,NA,2e-04,22,"2022-06-19","US Open"
"117","Laird Shepherd",22992025,6300,3,NA,NA,124,NA,NA,23.3,0.04,29,14,0.0164,1e-04,1e-04,0,0,0,0,0,100,NA,1e-04,7,"2022-06-19","US Open"
"118","Jim Furyk",22992026,6300,49.82,NA,NA,125,NA,NA,35.44,0.5,59.5,18.5,0.0738,1e-04,0.0029,9e-04,1e-04,0,0,0,100,NA,0.0093,21.5,"2022-06-19","US Open"
"119","Jesse Mueller",22992027,6300,22,NA,NA,126,NA,NA,26.9,0.02,47.5,16,0.1098,2e-04,0.0097,0.0036,0.001,4e-04,1e-04,0,100,NA,1e-04,6.5,"2022-06-19","US Open"
"120","Chris Naegel",22992028,6300,0,NA,NA,127,NA,NA,21.23,0.05,46.71,11.68,0.202,9e-04,0.0299,0.0132,0.0039,0.0013,7e-04,1e-04,56,NA,4e-04,40,"2022-06-19","US Open"
"121","Fran Quinn",22992029,6300,46.5,NA,NA,128,NA,NA,20.86,0.02,45.88,11.47,0.0331,0,3e-04,1e-04,0,0,0,0,100,NA,0.0012,10,"2022-06-19","US Open"
"122","Marcel Schneider",22992030,6300,47.77,0.0022,0.0019,94,-3e-04,-0.1364,36.42,0.16,60.5,18.5,0.3723,0.0037,0.1019,0.054,0.0194,0.0062,0.0027,6e-04,100,0.3,0.0014,7.5,"2022-06-19","US Open"
"123","Luke Gannon",22992031,6300,0,NA,NA,129,NA,NA,29.5,0.04,53,16.5,0.0154,0,1e-04,0,0,0,0,0,100,NA,1e-04,5.5,"2022-06-19","US Open"
"124","Erik Barnes",23043245,6300,80.5,0.0022,0.0019,94,-3e-04,-0.1364,33,0.13,57,17.5,0.4273,0.0053,0.1364,0.0748,0.0262,0.0101,0.0047,0.0012,100,0.3,0.0099,24.5,"2022-06-19","US Open"
"125","Sam Stevens",22992032,6200,64.53,NA,NA,130,NA,NA,21.13,0.26,46.49,11.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.5,"2022-06-19","US Open"
"126","Todd Sinnott",22992033,6200,0,NA,NA,131,NA,NA,20.82,0.01,45.81,11.45,0.1276,2e-04,0.0098,0.0036,6e-04,1e-04,0,0,31,NA,2e-04,51.5,"2022-06-19","US Open"
"127","Michael Thorbjornsen",22992034,6200,0,NA,NA,132,NA,NA,20.85,0.03,45.86,11.46,0.2307,0.0015,0.0365,0.0156,0.0044,0.0014,6e-04,0,100,NA,0.0024,21.5,"2022-06-19","US Open"
"128","Davis Shore",22992035,6200,0,NA,NA,133,NA,NA,28.37,0.02,51,16,0.0717,3e-04,0.0032,0.0011,1e-04,0,0,0,100,NA,1e-04,17,"2022-06-19","US Open"
"129","Sean Crocker",22992036,6200,29.14,0.0022,0.0019,94,-3e-04,-0.1364,37.82,0.04,61.5,19.15,0.2969,0.0015,0.0636,0.0311,0.0099,0.0036,0.0015,4e-04,100,0.31,4e-04,4,"2022-06-19","US Open"
"130","Daijiro Izumida",22992037,6200,0,NA,NA,134,NA,NA,21.09,0.02,46.39,11.6,0.1473,4e-04,0.014,0.0055,0.0015,4e-04,2e-04,1e-04,100,NA,1e-04,15,"2022-06-19","US Open"
"131","Sean Jacklin",22992038,6200,0,NA,NA,135,NA,NA,21.13,0.01,46.49,11.62,0.0534,0,0.0021,8e-04,1e-04,1e-04,0,0,100,NA,1e-04,9,"2022-06-19","US Open"
"132","Sam Bennett",22992039,6200,17.75,NA,NA,136,NA,NA,24.49,0.18,33.85,14.5,0.2975,0.0025,0.0634,0.0301,0.0091,0.0029,0.0012,3e-04,49,NA,2e-04,37.5,"2022-06-19","US Open"
"133","Jonas Blixt",22992040,6200,34.57,NA,NA,137,NA,NA,27.46,0.23,48.5,16,0.1875,5e-04,0.026,0.0116,0.0031,9e-04,3e-04,0,100,NA,0.0012,16,"2022-06-19","US Open"
"134","Nick Hardy",23043251,6200,54.6,0.0022,0.0019,94,-3e-04,-0.1364,40.15,0.68,63.5,19.5,0.431,0.0029,0.1522,0.0865,0.0332,0.0125,0.006,0.0014,14,0.31,0.0068,61.5,"2022-06-19","US Open"
"135","Jinichiro Kozuma",22992041,6100,38.75,NA,NA,138,NA,NA,29.76,0.12,53,17,0.2691,0.0017,0.0477,0.0213,0.006,0.0016,6e-04,1e-04,100,NA,6e-04,12.5,"2022-06-19","US Open"
"136","William Mouw",22992042,6100,0,NA,NA,139,NA,NA,20.96,0.06,46.1,11.53,0.2226,0.0013,0.032,0.0135,0.0036,0.0011,4e-04,1e-04,100,NA,5e-04,16.5,"2022-06-19","US Open"
"137","Austin Greaser",22992043,6100,19,NA,NA,140,NA,NA,29.82,0.01,53,17,0.1767,8e-04,0.0215,0.0087,0.0024,7e-04,3e-04,1e-04,61,NA,2e-04,35,"2022-06-19","US Open"
"138","Isaiah Salinda",22992044,6100,0,NA,NA,141,NA,NA,31.07,0.07,55,17,0.1504,4e-04,0.0162,0.0064,0.0014,4e-04,2e-04,0,100,NA,3e-04,16.5,"2022-06-19","US Open"
"139","Brady Calkins",22992045,6100,0,NA,NA,142,NA,NA,21.3,0.01,46.85,11.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04,17,"2022-06-19","US Open"
"140","Brandon Matthews",22992046,6100,64.33,NA,NA,143,NA,NA,29.47,0.27,52.5,16.5,0.2807,0.0022,0.053,0.0245,0.0069,0.0022,0.0012,3e-04,60,NA,0.0034,31.5,"2022-06-19","US Open"
"141","Keith Greene",22992047,6100,0,NA,NA,144,NA,NA,20.98,0.02,46.15,11.54,0.0152,0,0,0,0,0,0,0,100,NA,2e-04,1,"2022-06-19","US Open"
"142","Richard Mansell",22992048,6100,64.44,0.0035,0.0031,74,-4e-04,-0.1143,41.36,0.42,64,20,0.4684,0.0056,0.1731,0.1003,0.0405,0.0157,0.0088,0.0024,100,0.51,0.0109,12.5,"2022-06-19","US Open"
"143","MJ Daffue",22992049,6100,82.11,0.0021,0.0019,94,-2e-04,-0.0952,20.68,0.28,45.5,11.37,0.3878,0.0023,0.1203,0.0657,0.0237,0.0086,0.0043,0.0011,31,0.31,0,57,"2022-06-19","US Open"
"144","Keita Nakajima",22992050,6000,49.5,NA,NA,145,NA,NA,31.41,0.04,55.5,17,0.263,0.001,0.0521,0.0248,0.0074,0.0025,0.0012,2e-04,100,NA,0.0035,17,"2022-06-19","US Open"
"145","Stewart Hagestad",22992051,6000,11,NA,NA,146,NA,NA,23.93,0.09,30.5,14,0.221,0.0014,0.0327,0.0144,0.004,0.001,3e-04,0,64,NA,4e-04,33,"2022-06-19","US Open"
"146","Maxwell Moldovan",22992052,6000,0,NA,NA,147,NA,NA,21.25,0.01,46.75,11.69,0.1974,9e-04,0.0264,0.0117,0.0032,9e-04,4e-04,1e-04,100,NA,3e-04,16.5,"2022-06-19","US Open"
"147","Charles Reiter",22992053,6000,0,NA,NA,148,NA,NA,30.89,0.02,54,17,0.044,1e-04,9e-04,3e-04,0,0,0,0,100,NA,NA,NA,"2022-06-19","US Open"
"148","Ben Lorenz",22992054,6000,0,NA,NA,149,NA,NA,20.97,0.01,46.13,11.53,0.0481,1e-04,0.0013,3e-04,0,0,0,0,100,NA,0,12,"2022-06-19","US Open"
"149","Travis Vick",22992055,6000,0,NA,NA,150,NA,NA,20.86,0.05,45.88,11.47,0.2988,0.0023,0.0598,0.0297,0.0095,0.0031,0.0014,3e-04,43,NA,3e-04,47,"2022-06-19","US Open"
"150","Fred Biondi",22992056,6000,0,NA,NA,151,NA,NA,21.14,0.02,46.51,11.63,0.2202,0.0013,0.0314,0.0137,0.0034,9e-04,4e-04,0,100,NA,2e-04,19.5,"2022-06-19","US Open"
"151","Ryan Gerard",22992057,6000,0,NA,NA,152,NA,NA,21.22,0.01,46.68,11.67,0.166,5e-04,0.0205,0.0091,0.0023,8e-04,3e-04,0,100,NA,1e-04,11,"2022-06-19","US Open"
"152","Adrien Dumont De Chassart",22992058,6000,0,NA,NA,153,NA,NA,20.56,0.02,45.23,11.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"153","Nick Dunlap",22992059,6000,0,NA,NA,154,NA,NA,20.8,0.01,45.76,11.44,0.0818,1e-04,0.004,0.0011,3e-04,0,0,0,100,NA,2e-04,13,"2022-06-19","US Open"
"154","Andrew Beckler",23043246,6000,0,NA,NA,155,NA,NA,21.1,0.02,46.42,11.6,0.0539,1e-04,0.0014,4e-04,1e-04,0,0,0,100,NA,1e-04,15.5,"2022-06-19","US Open"
"155","Hayden Buckley",23043248,6000,48.86,NA,NA,156,NA,NA,36.75,0.21,61,19,0.3563,0.0034,0.0877,0.044,0.0142,0.0047,0.0023,4e-04,14,NA,0.0022,63.5,"2022-06-19","US Open"
"156","Chan Kim",23043252,6000,52.29,NA,NA,157,NA,NA,35.49,0.23,60,18,0.3045,0.002,0.0606,0.0289,0.0088,0.0032,0.0013,2e-04,100,NA,0.0018,17.5,"2022-06-19","US Open"
"157","Caleb Manuel",23043254,6000,0,NA,NA,158,NA,NA,21.21,0.01,46.66,11.66,0.0302,1e-04,4e-04,1e-04,0,0,0,0,100,NA,2e-04,6.5,"2022-06-19","US Open"
"158","Chase Seiffert",23043257,6000,55.41,0.0022,0.0019,94,-3e-04,-0.1364,40.97,0.34,64,20,0.3661,0.002,0.1053,0.0561,0.0193,0.007,0.0036,6e-04,100,0.32,0.0059,13,"2022-06-19","US Open"
