"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","ownership","total_pts","date","tournament"
"20","Daniel Berger",22991934,8400,72.86,0.0209,0.0192,23,-0.0017,-0.0813,57.38,10.5,76,24.5,0.6403,0.0138,0.3633,0.2493,0.1234,0.0596,0.0346,0.0108,100,2.29,0.118,21,"2022-06-19","US Open"
"21","Sam Burns",22991935,8300,80.79,0.0308,0.0346,9,0.0038,0.1234,56.35,18.8,76,24,0.6976,0.0155,0.4652,0.347,0.1963,0.108,0.0675,0.0235,27,4.17,0.2363,53,"2022-06-19","US Open"
"22","Tony Finau",22991936,8200,68.65,0.025,0.0294,13,0.0044,0.176,58.35,15.7,77.5,24.5,0.695,0.0118,0.4543,0.3298,0.1824,0.0955,0.0578,0.0193,100,3.59,0.2021,19.5,"2022-06-19","US Open"
"23","Max Homa",22991937,8100,75.8,0.0178,0.0194,21,0.0016,0.0899,53.21,17.6,73.5,23,0.6575,0.0166,0.3833,0.2696,0.1407,0.0716,0.0427,0.0132,47,2.4,0.192,47.5,"2022-06-19","US Open"
"24","Tyrrell Hatton",22991938,8000,71.82,0.0168,0.009,37,-0.0078,-0.4643,53.4,3.3,74,23,0.5731,0.0064,0.2942,0.1941,0.0925,0.0429,0.0248,0.0071,56,1.12,0.0382,39,"2022-06-19","US Open"
"25","Bryson DeChambeau",22991939,7900,46.92,0.0374,0.0076,38,-0.0298,-0.7968,45.56,0.72,68.5,21,0.444,0.0032,0.164,0.0963,0.0394,0.0163,0.0088,0.0022,56,0.96,0.015,37,"2022-06-19","US Open"
"26","Corey Conners",22991940,7900,69.97,0.0137,0.0197,19,0.006,0.438,56.24,15.6,75.5,24,0.6677,0.0096,0.4125,0.2922,0.1522,0.0779,0.0459,0.0153,100,2.49,0.1364,21.5,"2022-06-19","US Open"
"27","Mito Pereira",22991941,7800,71.17,0.0147,0.013,28,-0.0017,-0.1156,55.21,15.2,75.5,23.5,0.6391,0.0091,0.3734,0.2584,0.1311,0.0655,0.0377,0.0111,100,1.67,0.1291,21.5,"2022-06-19","US Open"
"28","Aaron Wise",22991942,7800,70.91,0.0146,0.0135,27,-0.0011,-0.0753,51.96,11.4,72.5,22.5,0.6702,0.0165,0.4018,0.2866,0.1503,0.0779,0.047,0.0153,27,1.73,0.0899,57,"2022-06-19","US Open"
"29","Paul Casey",22991943,7700,66.75,NA,NA,102,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"30","Tommy Fleetwood",22991944,7700,71.8,0.0154,0.0149,26,-5e-04,-0.0325,55.34,13.5,75.5,23.5,0.6282,0.0078,0.3528,0.2413,0.1182,0.0565,0.0327,0.0092,100,1.94,0.1751,14,"2022-06-19","US Open"
"31","Louis Oosthuizen",22991945,7600,61.44,0.0187,0.0119,31,-0.0068,-0.3636,53.84,6.8,74,23,0.6177,0.0084,0.3492,0.2445,0.1245,0.0619,0.0362,0.0118,100,1.57,0.0602,21.5,"2022-06-19","US Open"
"32","Abraham Ancer",22991946,7600,62.94,NA,NA,103,NA,NA,50.47,4.2,71,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"33","Sungjae Im",22991947,7600,79.82,0.0181,0.026,15,0.0079,0.4365,57.73,26.7,76.5,24.5,0.6988,0.0138,0.4642,0.3442,0.1939,0.1034,0.0639,0.0226,100,3.42,0.2705,18.5,"2022-06-19","US Open"
"34","Seamus Power",22991948,7500,68.71,0.0125,0.011,33,-0.0015,-0.12,50.29,4.8,71.5,22,0.621,0.0088,0.3522,0.2438,0.1213,0.0581,0.0329,0.0099,12,1.47,0.0499,64.5,"2022-06-19","US Open"
"35","Keegan Bradley",22991949,7500,68.41,0.0125,0.0121,30,-0.000400000000000001,-0.032,54.88,13.9,74,23.5,0.6546,0.0146,0.3782,0.2674,0.1393,0.0684,0.0402,0.013,7,1.61,0.0995,74.5,"2022-06-19","US Open"
"36","Talor Gooch",22991950,7500,77.72,0.0117,0.0102,35,-0.0015,-0.1282,50.39,5.8,71,22.5,0.6146,0.0083,0.3436,0.2345,0.1173,0.0572,0.0322,0.0096,100,1.36,0.0553,21,"2022-06-19","US Open"
"37","Webb Simpson",22991951,7400,65.92,0.0134,0.0106,34,-0.0028,-0.209,50.72,8.6,72,22.5,0.5411,0.0052,0.2549,0.1629,0.0729,0.0319,0.0181,0.0046,100,1.43,0.0801,25.5,"2022-06-19","US Open"
"38","Harris English",22991952,7400,57,0.0084,0.0027,80,-0.0057,-0.6786,39.47,0.39,63.35,19.5,0.4181,0.0033,0.1439,0.0804,0.0313,0.0126,0.0063,0.0016,61,0.36,0.0069,31.5,"2022-06-19","US Open"
"39","Sebastian Munoz",22991953,7400,67.92,0.008,0.0071,40,-9e-04,-0.1125,48.32,8.1,69.5,22,0.5952,0.0125,0.3047,0.2025,0.0964,0.0455,0.0257,0.0075,14,0.96,0.0408,64,"2022-06-19","US Open"
"40","Tom Hoge",22991954,7300,65.91,0.0055,0.0053,51,-2e-04,-0.0364,45.51,1.4,67.5,21,0.5159,0.004,0.2351,0.1452,0.0624,0.0267,0.0142,0.0036,100,0.73,0.0298,18,"2022-06-19","US Open"
"41","Davis Riley",22991955,7300,66.6,0.0108,0.0111,32,3e-04,0.0278,49.09,13.8,70.5,22,0.591,0.0112,0.2942,0.1926,0.0935,0.043,0.0241,0.007,31,1.52,0.1723,54.5,"2022-06-19","US Open"
"42","Sergio Garcia",22991956,7300,65,0.0105,0.0063,44,-0.0042,-0.4,51.22,2.1,72.5,22.5,0.5571,0.0055,0.2717,0.1756,0.0802,0.0336,0.0189,0.0049,100,0.86,0.0188,24,"2022-06-19","US Open"
"43","Russell Henley",22991957,7300,77.2,0.0057,0.0094,36,0.0037,0.6491,52.23,10.4,72.5,22.5,0.6285,0.0132,0.3435,0.2326,0.1138,0.0542,0.0312,0.0094,100,1.29,0.0895,20,"2022-06-19","US Open"
"44","Harold Varner III",22991958,7300,67.83,0.0146,0.0129,29,-0.0017,-0.1164,51.15,11.6,72.5,22.5,0.6698,0.0168,0.3986,0.2814,0.1477,0.0735,0.044,0.0133,100,1.77,0.1053,19,"2022-06-19","US Open"
"45","Patrick Reed",22991959,7200,61.42,0.0108,0.0066,42,-0.0042,-0.3889,42.57,6.1,65.5,20.5,0.4973,0.0034,0.2133,0.1286,0.054,0.0224,0.0118,0.0029,49,0.92,0.0597,36,"2022-06-19","US Open"
"46","Jason Kokrak",22991960,7200,69,0.0105,0.0059,48,-0.0046,-0.4381,46.9,3.2,68.5,21.5,0.5462,0.0066,0.2656,0.1724,0.0802,0.037,0.0201,0.0058,100,0.82,0.0258,20,"2022-06-19","US Open"
"47","Sepp Straka",22991961,7200,57.72,0.0046,0.0041,61,-5e-04,-0.1087,41.6,1.3,64.5,20.5,0.5396,0.0088,0.2392,0.1506,0.0654,0.0273,0.0141,0.0035,100,0.57,0.022,19.5,"2022-06-19","US Open"
"48","Cameron Tringale",22991962,7200,65.21,0.0068,0.0059,48,-9e-04,-0.1324,47.73,0.83,69.5,21.5,0.5223,0.0044,0.2318,0.1438,0.0622,0.0259,0.0138,0.0041,14,0.82,0.0089,61,"2022-06-19","US Open"
"49","Adam Scott",22991963,7200,69.25,0.0105,0.0071,40,-0.0034,-0.3238,47.84,3.1,70,22,0.5533,0.0104,0.2513,0.1584,0.0708,0.0311,0.017,0.005,14,0.99,0.0435,60,"2022-06-19","US Open"
"50","Marc Leishman",22991964,7200,71.75,0.0129,0.0059,48,-0.007,-0.5426,48.47,2.8,70,21.5,0.5516,0.0088,0.25,0.1568,0.0682,0.0293,0.016,0.0046,14,0.82,0.0247,56.5,"2022-06-19","US Open"
"51","Justin Rose",22991965,7100,67.12,0.012,0.0158,24,0.0038,0.3167,47.72,9.4,70,22,0.5482,0.0063,0.2674,0.1761,0.0814,0.0369,0.0215,0.006,37,2.23,0.1345,52.5,"2022-06-19","US Open"
"52","Troy Merritt",22991966,7100,65.17,0.0035,0.0031,74,-4e-04,-0.1143,42.29,0.67,65.5,20,0.5028,0.007,0.1987,0.1187,0.0477,0.0197,0.0108,0.0025,100,0.44,0.01,20.5,"2022-06-19","US Open"
"53","Lanto Griffin",22991967,7100,65,0.0055,0.0048,56,-7e-04,-0.1273,45.4,1.8,68,21,0.5245,0.0078,0.2232,0.136,0.056,0.0243,0.0132,0.0034,100,0.68,0.0132,19,"2022-06-19","US Open"
"54","Kyoung-Hoon Lee",22991968,7100,63.85,NA,NA,104,NA,NA,45.18,1.2,67.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"55","Adam Schenk",22991969,7100,47.48,0.0035,0.0031,74,-4e-04,-0.1143,37.7,0.52,62,19.5,0.4618,0.0058,0.1647,0.0932,0.037,0.0142,0.0069,0.0014,24,0.44,0.0028,57,"2022-06-19","US Open"
"56","Gary Woodland",22991970,7100,52.75,0.0085,0.0052,52,-0.0033,-0.3882,49.24,4.3,70.5,22.5,0.5292,0.0044,0.2434,0.1531,0.0658,0.0282,0.0153,0.004,10,0.73,0.0218,68.5,"2022-06-19","US Open"
"57","Erik Van Rooyen",22991971,7100,56.97,0.0042,0.0041,61,-9.99999999999994e-05,-0.0238,43.03,0.9,67,20.5,0.4869,0.0037,0.2023,0.1215,0.052,0.0213,0.0117,0.0031,100,0.58,NA,NA,"2022-06-19","US Open"
