player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"McIlroy, Rory",150,+1060,+1000,-0.052,+1100,0.034,+1000,-0.052,+1000,-0.052,+1127,0.057,+1015,-0.039,+800,-0.224,+1000,-0.052,+1100,0.034,+1000,-0.052,+1000,-0.052,+1100,0.034,+1000,-0.052,+900,-0.138,+900,-0.138
"Thomas, Justin",150,+1619,+1200,-0.244,+1200,-0.244,+1200,-0.244,+1100,-0.302,+1398,-0.129,+1365,-0.148,+900,-0.418,+1400,-0.127,+1200,-0.244,+1200,-0.244,+1200,-0.244,+1425,-0.113,+1200,-0.244,+1100,-0.302,+1100,-0.302
"Scheffler, Scottie",150,+1651,+1400,-0.143,+1400,-0.143,+1500,-0.086,+1400,-0.143,+1568,-0.047,+1375,-0.157,+1000,-0.372,+1600,-0.029,+1400,-0.143,+1400,-0.143,+1600,-0.029,+1600,-0.029,+1500,-0.086,+1200,-0.257,+1400,-0.143
"Rahm, Jon",150,+1736,+1200,-0.292,+1400,-0.183,+1500,-0.128,+1300,-0.237,+1553,-0.100,+1285,-0.246,+1100,-0.346,+1400,-0.183,+1400,-0.183,+1400,-0.183,+1600,-0.074,+1425,-0.169,+1500,-0.128,+1200,-0.292,+1400,-0.183
"Cantlay, Patrick",150,+2324,+2200,-0.051,+2500,0.073,+2400,0.031,+2000,-0.134,+2276,-0.020,+2253,-0.029,+1800,-0.216,+2250,-0.031,+2200,-0.051,+2200,-0.051,+2500,0.073,+2300,-0.010,+2500,0.073,+2000,-0.134,+2200,-0.051
"Zalatoris, Will",150,+2701,+2800,0.035,+3000,0.107,+2700,-0.000,+2500,-0.072,+2620,-0.029,+2856,0.055,+2000,-0.250,+2500,-0.072,+2500,-0.072,+2500,-0.072,+2200,-0.179,+2400,-0.107,+2800,0.035,+2200,-0.179,+2800,0.035
"Schauffele, Xander",150,+3507,+2200,-0.362,+2200,-0.362,+2100,-0.390,+2000,-0.418,+2258,-0.346,+2047,-0.405,+1400,-0.584,+2000,-0.418,+2200,-0.362,+2000,-0.418,+2200,-0.362,+2000,-0.418,+2200,-0.362,+2000,-0.418,+2000,-0.418
"Lowry, Shane",150,+3550,+2800,-0.205,+2800,-0.205,+3000,-0.151,+2500,-0.288,+3130,-0.115,+2856,-0.190,+2000,-0.425,+3000,-0.151,+3300,-0.068,+2500,-0.288,+3000,-0.151,+3200,-0.096,+3000,-0.151,+2200,-0.370,+3000,-0.151
"Fitzpatrick, Matthew",150,+3624,+2800,-0.221,+2500,-0.302,+2500,-0.302,+3000,-0.168,+2938,-0.184,+2454,-0.314,+1800,-0.490,+3000,-0.168,+2800,-0.221,+2500,-0.302,+2800,-0.221,+3000,-0.168,+2500,-0.302,+2000,-0.436,+2200,-0.382
"Niemann, Joaquin",150,+4115,+3300,-0.193,+3000,-0.265,+3300,-0.193,+3500,-0.146,+3652,-0.110,+3856,-0.061,+2200,-0.454,+3500,-0.146,+4000,-0.027,+2800,-0.312,+3300,-0.193,+3900,-0.051,+3300,-0.193,+2800,-0.312,+3300,-0.193
"Burns, Sam",150,+4160,+2500,-0.390,+2500,-0.390,+2700,-0.343,+2800,-0.319,+2850,-0.307,+2553,-0.377,+2000,-0.507,+3000,-0.272,+2800,-0.319,+2500,-0.390,+2200,-0.460,+2700,-0.343,+2500,-0.390,+2200,-0.460,+2800,-0.319
"Matsuyama, Hideki",150,+4164,+3500,-0.156,+3500,-0.156,+4100,-0.015,+4000,-0.039,+4397,0.055,+4450,0.067,+2800,-0.320,+4000,-0.039,+4000,-0.039,+3300,-0.203,+4000,-0.039,+3950,-0.050,+4000,-0.039,+3300,-0.203,+4000,-0.039
"Smith, Cameron",150,+4272,+2000,-0.520,+2500,-0.405,+2100,-0.497,+2200,-0.474,+2432,-0.421,+2856,-0.324,+1600,-0.611,+2500,-0.405,+2200,-0.474,+2000,-0.520,+2200,-0.474,+2750,-0.348,+2100,-0.497,+2000,-0.520,+2000,-0.520
"Im, Sungjae",150,+4330,+3500,-0.187,+3300,-0.232,+3400,-0.210,+4000,-0.074,+3709,-0.140,+3659,-0.151,+2200,-0.481,+3500,-0.187,+4000,-0.074,+3300,-0.232,+4000,-0.074,+4100,-0.052,+4000,-0.074,+3300,-0.232,+4000,-0.074
"Spieth, Jordan",150,+4584,+2500,-0.445,+3000,-0.338,+2500,-0.445,+2500,-0.445,+2769,-0.387,+2553,-0.434,+1800,-0.594,+2800,-0.381,+2500,-0.445,+2500,-0.445,+2500,-0.445,+2800,-0.381,+2500,-0.445,+2200,-0.509,+2500,-0.445
"Finau, Tony",150,+5075,+3000,-0.401,+3000,-0.401,+3400,-0.324,+3500,-0.304,+3525,-0.299,+3056,-0.390,+2500,-0.498,+3500,-0.304,+3300,-0.343,+2800,-0.440,+3300,-0.343,+3200,-0.362,+3500,-0.304,+2800,-0.440,+3300,-0.343
"Morikawa, Collin",150,+5095,+2800,-0.442,+2500,-0.500,+3200,-0.365,+3000,-0.403,+3326,-0.340,+3558,-0.296,+2200,-0.557,+3000,-0.403,+2800,-0.442,+2500,-0.500,+3000,-0.403,+3200,-0.365,+3000,-0.403,+2200,-0.557,+2800,-0.442
"Young, Cameron",150,+5479,+4000,-0.265,+4000,-0.265,+4100,-0.247,+5000,-0.086,+5156,-0.058,+5250,-0.041,+2500,-0.534,+4500,-0.175,+5000,-0.086,+4000,-0.265,+5000,-0.086,+4700,-0.140,+4000,-0.265,+3500,-0.355,+4000,-0.265
"Conners, Corey",150,+6436,+5000,-0.220,+5000,-0.220,+5000,-0.220,+6000,-0.067,+4970,-0.224,+6050,-0.059,+2800,-0.556,+6000,-0.067,+5000,-0.220,+4000,-0.373,+6000,-0.067,+5800,-0.097,+5000,-0.220,+4500,-0.296,+4000,-0.373
"Wise, Aaron",150,+6436,+7000,0.086,+6000,-0.067,+7000,0.086,+8000,0.239,+7344,0.139,+6250,-0.028,+3300,-0.480,+7000,0.086,+8000,0.239,+6600,0.025,+8000,0.239,+7300,0.132,+7000,0.086,+6000,-0.067,+7000,0.086
"Johnson, Dustin",150,+6808,+4000,-0.407,+4000,-0.407,+4400,-0.349,+3500,-0.479,+3948,-0.414,+3859,-0.427,+4000,-0.407,+4000,-0.407,+4000,-0.407,+3300,-0.508,+4000,-0.407,+3900,-0.421,+4000,-0.407,+3500,-0.479,+4000,-0.407
"Hovland, Viktor",150,+7081,+3000,-0.568,+2800,-0.596,+3200,-0.540,+3500,-0.499,+3744,-0.465,+4050,-0.422,+2200,-0.680,+4000,-0.429,+4000,-0.429,+2800,-0.596,+3300,-0.527,+4000,-0.429,+3000,-0.568,+2500,-0.638,+3300,-0.527
"Varner III, Harold",150,+7419,+7000,-0.056,+6600,-0.109,+6500,-0.122,+6500,-0.122,+7505,0.011,+6250,-0.155,+3300,-0.548,+7500,0.011,+8000,0.077,+6600,-0.109,+8000,0.077,+8000,0.077,+8000,0.077,+6600,-0.109,+6600,-0.109
"Homa, Max",150,+7505,+4000,-0.461,+3500,-0.527,+4100,-0.448,+4500,-0.395,+5106,-0.315,+4886,-0.344,+2500,-0.658,+4500,-0.395,+4000,-0.461,+3300,-0.553,+3300,-0.553,+4700,-0.369,+4000,-0.461,+3500,-0.527,+4000,-0.461
"Bradley, Keegan",150,+7578,+8000,0.055,+6600,-0.127,+7500,-0.010,+8000,0.055,+7933,0.046,+9550,0.257,+4000,-0.466,+8000,0.055,+8000,0.055,+6600,-0.127,+10000,0.316,+8500,0.120,+8000,0.055,+7000,-0.075,+7000,-0.075
"Oosthuizen, Louis",150,+8411,+8000,-0.048,+6600,-0.213,+7500,-0.107,+4000,-0.518,+8163,-0.029,+8250,-0.019,+4000,-0.518,+8000,-0.048,+6600,-0.213,+6600,-0.213,+8000,-0.048,+9000,0.069,+6600,-0.213,+6000,-0.283,+7000,-0.166
"Pereira, Mito",150,+8889,+7000,-0.210,+5500,-0.377,+6500,-0.266,+4500,-0.488,+7657,-0.137,+7550,-0.149,+3300,-0.622,+8000,-0.099,+6600,-0.255,+5000,-0.433,+8000,-0.099,+7900,-0.110,+5000,-0.433,+5500,-0.377,+6000,-0.321
"Horschel, Billy",150,+9032,+5000,-0.442,+4500,-0.496,+5000,-0.442,+5500,-0.387,+6700,-0.255,+6350,-0.294,+3300,-0.628,+6000,-0.332,+5000,-0.442,+4000,-0.551,+5000,-0.442,+6300,-0.299,+5000,-0.442,+4000,-0.551,+5500,-0.387
"Berger, Daniel",150,+9138,+5000,-0.448,+5000,-0.448,+5000,-0.448,+4000,-0.556,+5070,-0.440,+4750,-0.475,+2800,-0.686,+5500,-0.394,+5000,-0.448,+5000,-0.448,+6000,-0.340,+5100,-0.437,+4000,-0.556,+4500,-0.502,+4000,-0.556
"Power, Seamus",150,+9976,+9000,-0.097,+8000,-0.196,+9000,-0.097,+8000,-0.196,+8748,-0.122,+10550,0.057,+6600,-0.335,+9000,-0.097,+10000,0.002,+8000,-0.196,+10000,0.002,+11500,0.151,+8000,-0.196,+8000,-0.196,+9000,-0.097
"Gooch, Talor",150,+10317,+9000,-0.126,+8000,-0.222,+9000,-0.126,+8000,-0.222,+9434,-0.085,+9050,-0.122,+5000,-0.510,+11000,0.066,+10000,-0.030,+8000,-0.222,+10000,-0.030,+10500,0.018,+8000,-0.222,+6600,-0.357,+9000,-0.126
"Henley, Russell",150,+10482,+11000,0.049,+10000,-0.046,+12000,0.143,+6500,-0.376,+10305,-0.017,+11250,0.073,+6600,-0.367,+12500,0.191,+12500,0.191,+10000,-0.046,+15000,0.427,+13000,0.238,+12500,0.191,+9000,-0.140,+10000,-0.046
"Fleetwood, Tommy",150,+10711,+6000,-0.436,+5000,-0.528,+5500,-0.482,+6500,-0.390,+6866,-0.356,+6250,-0.413,+3300,-0.685,+7500,-0.297,+5000,-0.528,+5000,-0.528,+6600,-0.380,+8900,-0.168,+5000,-0.528,+4500,-0.575,+5500,-0.482
"Koepka, Brooks",150,+10740,+5000,-0.530,+4000,-0.622,+5500,-0.483,+4000,-0.622,+5413,-0.491,+5850,-0.451,+3300,-0.686,+5000,-0.530,+4000,-0.622,+4000,-0.622,+4000,-0.622,+6600,-0.382,+5000,-0.530,+4000,-0.622,+4500,-0.576
"Munoz, Sebastian",150,+13278,+12500,-0.058,+10000,-0.245,+14000,0.054,+13000,-0.021,+13616,0.025,+15250,0.147,+6600,-0.499,+15000,0.129,+15000,0.129,+10000,-0.245,+15000,0.129,+17000,0.278,+10000,-0.245,+10000,-0.245,+10000,-0.245
"Hatton, Tyrrell",150,+14034,+9000,-0.356,+8000,-0.427,+10000,-0.285,+8000,-0.427,+10720,-0.234,+10250,-0.268,+8000,-0.427,+11000,-0.215,+8000,-0.427,+6600,-0.526,+10000,-0.285,+12500,-0.109,+7000,-0.498,+6000,-0.568,+8000,-0.427
"Kim, Si Woo",150,+14186,+15000,0.057,+12500,-0.118,+16000,0.127,+15000,0.057,+14804,0.043,+10250,-0.275,+10000,-0.293,+15000,0.057,+15000,0.057,+12500,-0.118,+15000,0.057,+18500,0.302,+12500,-0.118,+10000,-0.293,+15000,0.057
"Riley, Davis",150,+14237,+7500,-0.470,+6500,-0.540,+7000,-0.505,+8000,-0.435,+9624,-0.322,+8550,-0.397,+3300,-0.763,+9000,-0.365,+6600,-0.533,+6600,-0.533,+6600,-0.533,+7300,-0.484,+6600,-0.533,+6000,-0.575,+7000,-0.505
"Rose, Justin",150,+16567,+6000,-0.634,+5500,-0.664,+7000,-0.574,+6500,-0.604,+6104,-0.628,+8421,-0.489,+3300,-0.796,+8500,-0.484,+6600,-0.598,+5000,-0.694,+6000,-0.634,+9500,-0.424,+6000,-0.634,+5500,-0.664,+6600,-0.598
