,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
47,Adam Scott,22991963,7200,70,47.84,48.14,0.0105,0.0072,-0.3143,42,0.005,0.04,3.1,5.38,0
48,Marc Leishman,22991964,7200,70,48.47,47.88,0.0129,0.0061,-0.5271,49,0.0046,-0.11,2.8,5.35,0
49,Justin Rose,22991965,7100,70,47.72,48.71,0.012,0.0161,0.3417,24,0.006,1.45,9.4,6.51,0
50,Troy Merritt,22991966,7100,65.5,42.29,42.33,0.0033,0.0032,-0.0303,73,0.0025,-0.37,0.67,4.06,0
51,Lanto Griffin,22991967,7100,68,45.4,53.99,0.0033,0.0049,0.4848,57,0.0034,-0.13,1.8,5.07,0
52,Adam Schenk,22991969,7100,62,37.7,52.26,0.002,0.0032,0.6,73,0.0014,-0.37,0.52,2.31,0
53,Gary Woodland,22991970,7100,70.5,49.24,50.29,0.0085,0.0053,-0.3765,52,0.004,-0.07,4.3,4.01,0
54,Erik Van Rooyen,22991971,7100,67,43.03,48.17,0.0042,0.0042,0,62,0.0031,-0.23,0.9,3.8,0
55,Thomas Pieters,22991972,7000,67,45.22,34.78,0.0049,0.0032,-0.3469,73,0.0032,-0.25,1.7,3.71,0
56,Luke List,22991973,7000,70,47.67,46.38,0.0055,0.0061,0.1091,49,0.005,0.16,4.7,4.84,0
57,Alex Noren,22991974,7000,70.85,49.33,48.25,0.0049,0.0061,0.2449,49,0.0048,0.16,5.6,5.82,0
58,Patrick Rodgers,22991975,7000,66,42.72,44.47,0.0028,0.0032,0.1429,73,0.0026,-0.25,0.89,3.64,0
59,Si Woo Kim,22991976,7000,67.5,44.74,52.08,0.0061,0.0067,0.0984,43,0.007,0.25,7.7,5.05,0
60,Brian Harman,22991977,7000,72,51.26,44.35,0.0057,0.0072,0.2632,42,0.0039,0.32,9.9,5.59,0
61,Kevin Na,22991978,7000,67.5,45.56,48.03,0.0043,0.0065,0.5116,45,0.0029,0.22,4.1,5.06,0
62,Adam Hadwin,23043250,7000,69,47.31,45.63,0.0044,0.0051,0.1591,54,0.0033,0.02,2.8,5.26,0
63,Branden Grace,22991980,6900,63.5,40.37,44.3,0.0056,0.0032,-0.4286,73,0.0033,-0.15,0.51,1.93,0
64,Matthew NeSmith,22991981,6900,66.5,43.69,45.81,0.0039,0.0042,0.0769,62,0.0035,0,2,3.95,0
65,Andrew Putnam,22991982,6900,62,38.57,42.94,0.002,0.002,0,92,0.0012,-0.32,0.36,2.25,0
66,Francesco Molinari,22991983,6900,65,41.8,48.61,0.0029,0.0032,0.1034,73,0.0025,-0.15,5.5,3.36,0
67,Kevin Kisner,22991984,6900,64,40.42,39.26,0.0042,0.0033,-0.2143,67,0.002,-0.13,0.95,2.94,0
68,Mackenzie Hughes,22991985,6800,62,38.42,45.18,0.0044,0.0043,-0.0227,59,0.0022,0.1,2.1,2.95,0
69,Scott Stallings,22991986,6800,65.5,41.58,48.29,0.0033,0.0042,0.2727,62,0.0024,0.09,1.4,3.74,0
70,Victor Perez,22991987,6800,66,43.5,38.22,0.0046,0.0024,-0.4783,80,0.0016,-0.18,0.84,3.96,0
71,Adri Arnaus,22991988,6800,67.5,44.12,43.55,0.0033,0.005,0.5152,55,0.003,0.21,1.2,5.95,0
72,Wyndham Clark,22991989,6800,61,36.62,38.3,0.0049,0.0034,-0.3061,66,0.0021,-0.03,1.1,2.35,0
73,Lucas Herbert,22991990,6800,63,38.82,45.7,0.0039,0.0049,0.2564,57,0.0032,0.19,3.1,3.19,0
74,Nick Taylor,22991991,6800,66.5,43.52,47.08,0.0019,0.0032,0.6842,73,0.0014,-0.06,0.32,4.15,0
75,Danny Lee,22991993,6700,62,37.79,40.43,0.002,0.0021,0.05,83,0.0011,-0.15,0.88,2.29,0
76,Ryan Fox,22991996,6700,70.35,48.53,37.54,0.0033,0.0039,0.1818,64,0.0044,0.12,2.9,6.8,0
77,Kurt Kitayama,22991997,6700,68.5,45.24,40.69,0.0033,0.0023,-0.303,82,0.0024,-0.12,1.9,3.54,0
78,Stewart Cink,22991998,6700,66,43.16,40.4,0.0035,0.0032,-0.0857,73,0.0018,0.02,0.91,3.26,0
79,Denny McCarthy,23043255,6700,63,40.14,51.65,0.0028,0.0049,0.75,57,0.0039,0.27,2.6,4.48,0
80,Andrew Novak,22992000,6600,63.5,39.82,35.46,0.0019,0.002,0.0526,92,6.00E-04,-0.11,0.3,2.85,0
81,Sam Horsfield,22992002,6600,68.5,45.55,34.12,0.0036,0.0036,0,65,0.004,0.14,0.93,5.99,0
82,Joel Dahmen,22992005,6600,64,40.85,38.47,0.0039,0.0032,-0.1795,73,0.0025,0.07,1.4,3.65,0
83,Yannik Paul,22992008,6500,61,37.41,19.14,0.002,0.002,0,92,0,-0.06,0.29,3.1,0
84,Thorbjorn Olesen,22992009,6500,62.5,39.21,24.85,0.0033,0.002,-0.3939,92,7.00E-04,-0.06,0.7,2.76,0
85,Rikuya Hoshino,22992011,6500,55.5,31.57,40.43,0.0019,0.002,0.0526,92,0.0011,-0.06,0.24,1.07,0
86,Min Woo Lee,22992019,6400,62.5,38.78,44.49,0.0033,0.002,-0.3939,92,0.0017,-0.03,1.1,1.03,0
87,Harry Hall,22992021,6400,58.5,34.24,24.84,0.002,0.002,0,92,5.00E-04,-0.03,1.2,3.01,0
88,Beau Hossler,22992023,6400,60.5,36.8,37.55,0.0039,0.0032,-0.1795,73,0.0025,0.16,1.2,2.42,0
89,Taylor Montgomery,23043256,6400,56.5,32.47,25.2,0.0028,0.0023,-0.1786,82,0.0024,0.02,1.3,3.99,0
90,Marcel Schneider,22992030,6300,60.5,36.42,29.97,0.0033,0.002,-0.3939,92,6.00E-04,-0.01,0.16,1.54,0
91,Sean Crocker,22992036,6200,61.5,37.82,36.59,0.0019,0.002,0.0526,92,0,-0.02,0.04,0.51,0
92,Nick Hardy,23043251,6200,63.5,40.15,38.1,0.0028,0.002,-0.2857,92,0.0014,-0.02,0.68,2.8,0
93,Richard Mansell,22992048,6100,64,41.36,32.96,0.002,0.0032,0.6,73,0.0025,0.16,0.42,4.45,0
