player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,2.264,33,-0.002,0.051,-0.007,0.129,0.123,-0.055,-0.035,-0.072,-0.162,2.397,2.665,"TOUR Championship","East Lake Golf Club"
"Scheffler, Scottie",150,2.032,26,0.021,0.092,-0.029,0.189,-0.008,-0.030,0.058,-0.068,-0.039,2.258,2.644,"TOUR Championship","East Lake Golf Club"
"Rahm, Jon",150,1.916,27,0.016,0.001,-0.022,0.189,0.038,-0.044,0.097,-0.050,0.003,2.141,2.650,"TOUR Championship","East Lake Golf Club"
"Schauffele, Xander",150,1.969,28,0.013,0.032,-0.026,-0.082,0.184,-0.023,0.063,-0.073,-0.033,2.058,2.605,"TOUR Championship","East Lake Golf Club"
"Fitzpatrick, Matthew",150,1.756,27,0.016,0.093,0.006,0.079,-0.040,-0.016,0.108,-0.073,0.019,1.927,2.570,"TOUR Championship","East Lake Golf Club"
"Cantlay, Patrick",150,2.095,30,0.007,0.045,-0.034,-0.086,-0.043,-0.021,0.025,-0.081,-0.078,1.907,2.641,"TOUR Championship","East Lake Golf Club"
"Im, Sungjae",150,1.531,24,0.027,0.048,-0.054,0.160,-0.006,-0.009,0.140,-0.052,0.079,1.784,2.664,"TOUR Championship","East Lake Golf Club"
"Thomas, Justin",150,1.580,29,0.011,0.052,0.007,0.147,0.131,-0.030,-0.086,-0.058,-0.175,1.753,2.634,"TOUR Championship","East Lake Golf Club"
"Finau, Tony",150,1.889,32,-0.001,-0.012,-0.086,-0.021,0.033,-0.024,-0.018,-0.060,-0.103,1.700,2.619,"TOUR Championship","East Lake Golf Club"
"Conners, Corey",150,1.451,30,0.007,0.011,-0.035,0.088,-0.037,-0.008,0.205,-0.029,0.168,1.651,2.594,"TOUR Championship","East Lake Golf Club"
"Young, Cameron",150,1.288,25,0.024,0.095,0.025,0.236,-0.040,-0.049,-0.005,-0.034,-0.087,1.542,2.656,"TOUR Championship","East Lake Golf Club"
"Smith, Cameron",150,1.930,29,0.012,-0.034,0.012,-0.236,-0.013,-0.006,-0.043,-0.093,-0.142,1.529,2.663,"TOUR Championship","East Lake Golf Club"
"Morikawa, Collin",150,1.276,25,0.023,0.077,-0.009,-0.006,-0.045,-0.005,0.173,-0.034,0.134,1.451,2.675,"TOUR Championship","East Lake Golf Club"
"Wise, Aaron",150,1.243,26,0.021,0.056,-0.011,0.169,-0.015,-0.019,0.031,-0.037,-0.025,1.437,2.645,"TOUR Championship","East Lake Golf Club"
"Niemann, Joaquin",150,1.366,23,0.029,0.043,0.008,0.154,-0.077,-0.029,-0.038,-0.037,-0.104,1.419,2.607,"TOUR Championship","East Lake Golf Club"
"Hovland, Viktor",150,1.340,24,0.025,0.011,0.009,-0.123,0.002,-0.022,0.062,-0.031,0.008,1.273,2.656,"TOUR Championship","East Lake Golf Club"
"Horschel, Billy",150,1.096,35,-0.010,-0.004,-0.004,-0.050,0.126,0.005,0.116,-0.044,0.078,1.234,2.612,"TOUR Championship","East Lake Golf Club"
"Homa, Max",150,1.247,31,0.003,0.024,0.020,-0.061,-0.040,-0.017,0.036,-0.037,-0.019,1.173,2.623,"TOUR Championship","East Lake Golf Club"
"Spieth, Jordan",150,1.215,29,0.012,-0.051,-0.023,0.119,0.008,-0.019,-0.072,-0.047,-0.138,1.142,2.681,"TOUR Championship","East Lake Golf Club"
"Burns, Sam",150,1.457,26,0.022,-0.005,-0.003,-0.185,-0.034,-0.022,-0.060,-0.064,-0.145,1.107,2.686,"TOUR Championship","East Lake Golf Club"
"Matsuyama, Hideki",150,1.153,30,0.007,-0.028,-0.035,0.014,-0.007,-0.006,0.023,-0.042,-0.025,1.080,2.663,"TOUR Championship","East Lake Golf Club"
"Harman, Brian",150,0.984,35,-0.010,-0.072,-0.012,-0.021,-0.041,0.014,0.137,-0.040,0.112,0.940,2.606,"TOUR Championship","East Lake Golf Club"
"Scott, Adam",150,1.052,42,-0.031,0.031,-0.018,-0.063,0.052,-0.020,-0.049,-0.036,-0.105,0.918,2.655,"TOUR Championship","East Lake Golf Club"
"Lee, Kyounghoon",150,0.817,31,0.005,0.044,-0.032,0.025,-0.040,-0.008,0.097,-0.031,0.057,0.877,2.659,"TOUR Championship","East Lake Golf Club"
"Stallings, Scott",150,1.045,37,-0.016,0.028,-0.032,-0.105,-0.040,-0.015,-0.016,-0.037,-0.068,0.813,2.680,"TOUR Championship","East Lake Golf Club"
"Poston, J.T.",150,0.873,29,0.011,-0.009,0.006,-0.178,-0.040,0.005,-0.008,-0.046,-0.049,0.614,2.666,"TOUR Championship","East Lake Golf Club"
"Theegala, Sahith",150,0.729,24,0.026,0.091,-0.069,-0.051,-0.040,-0.009,-0.111,-0.039,-0.159,0.528,2.656,"TOUR Championship","East Lake Golf Club"
"Hoge, Tom",150,0.478,33,-0.002,-0.030,0.017,0.032,-0.040,0.005,0.067,-0.013,0.059,0.515,2.666,"TOUR Championship","East Lake Golf Club"
"Straka, Sepp",150,0.103,29,0.011,0.055,0.011,0.105,-0.040,-0.012,0.036,-0.006,0.018,0.264,2.688,"TOUR Championship","East Lake Golf Club"
