player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,ARZ,1,2,0,,0,0,1,0,0,60.0,61.2,76.0,49.1,71.8,71.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,33,33,1,12,0,20,0,0,24,9,0,1,3,0,0,0,0,0,0,
Von Miller,6154,ED,WAS,1,0,0,,0,0,32,0,0,60.0,50.0,0.0,52.6,69.9,69.9,1,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,1,28,28,0,0,28,0,0,0,22,5,0,1,1,0,0,1,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,1,,0,0,20,0,0,74.0,80.8,78.7,62.8,78.2,28.9,0,3,0,0,,50.0,2,0,0,0.0,0,1,0,0,0,3,49,49,0,0,49,0,0,0,28,18,0,2,1,1,0,4,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,1,,0,0,25,0,0,,68.4,76.6,68.8,62.7,70.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,43,43,4,20,3,16,0,0,18,25,0,3,3,1,0,2,0,0,0,
Bobby Wagner,7050,LB,WAS,1,3,0,50.0,0,0,32,0,0,65.5,72.6,0.0,49.3,90.3,82.3,0,0,0,0,5,0.0,0,0,1,56.3,1,0,0,62,0,44,68,2,0,0,2,0,0,66,7,17,4,4,7,1,2,0,0,5,4,5.0
Lavonte David,7060,LB,TB,1,5,0,100.0,0,0,30,0,0,67.3,72.3,75.5,51.9,75.3,58.0,0,1,0,0,13,18.2,2,0,0,90.3,3,0,0,64,0,46,76,0,0,0,0,0,0,76,5,25,12,2,4,1,3,1,0,17,11,5.7
Demario Davis,7079,LB,NO,1,3,0,100.0,0,0,20,0,0,75.1,90.7,78.2,69.4,91.0,65.4,0,1,0,0,5,8.3,1,0,1,118.8,4,0,0,54,1,35,66,9,0,0,9,0,0,57,7,24,2,6,8,2,4,1,1,12,22,3.0
Darius Slay,7817,CB,PIT,1,0,0,100.0,0,0,25,0,0,61.7,59.7,77.8,,54.3,31.1,0,0,0,0,33,33.3,2,0,0,158.3,2,0,0,5,59,26,64,0,0,0,0,0,0,64,0,38,0,1,4,0,2,0,1,41,3,20.5
John Jenkins,7863,DI,BLT,1,0,0,,0,0,3,0,0,,58.9,74.5,54.2,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,4,14,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,
Khalil Mack,8640,ED,LAC,1,0,0,,0,0,27,0,0,60.0,54.3,79.4,63.2,62.4,69.9,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,0,0,42,3,0,0,35,10,0,1,1,0,0,2,0,0,0,
