player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kyler Murray,38334,QB,ARZ,1,-7.25,0,38,1,66.7,21,22,8.7,3.43,1,1,4.0,63.6,14,9,0.0,30,78.9,0,12,78.8,63.1,0.0,63.0,65.2,0,0,34,55.6,99.4,16.7,5,3,0,0,1,0,0.0,154,7.0,77.3,22,23,4.4,2.6,1,0,0.0,73.9,17,5,0.0,26,68.4,0,10,78.0,59.1,0.0,64.2,53.4,0,0,29,40.0,112.8,7.7,2,1,0,0,2,0,0.0,111,4.8,66.7,6,6,9.8,4.47,0,1,14.3,66.7,4,5,0.0,12,31.6,0,4,72.8,75.6,73.2,62.5,78.8,0,0,13,60.0,93.8,25.0,3,3,0,0,0,0,0.0,52,8.7,0,100.0,7,7,-3.7,2.28,0,0,0.0,100.0,7,1,0.0,8,21.1,0,2,70.3,69.7,71.5,65.9,62.6,0,0,8,0.0,118.8,0.0,0,1,0,0,1,0,0.0,9,1.3,3.84
Jayden Daniels,97993,QB,WAS,1,10.56,0,37,32,76.0,25,26,11.5,2.92,0,1,3.4,61.5,16,8,15.8,32,86.5,3,13,79.9,86.1,79.0,81.2,75.6,0,0,36,25.0,98.4,6.3,2,4,0,1,1,2,5.6,201,7.7,72.7,22,23,9.4,2.67,0,1,4.0,60.9,14,10,12.5,28,75.7,2,11,79.2,82.9,78.8,77.6,75.0,0,0,31,30.0,101.4,10.7,3,2,0,1,1,2,6.5,188,8.2,85.7,7,7,9.0,3.07,0,0,0.0,71.4,5,0,16.7,9,24.3,1,3,71.4,73.6,72.3,71.2,64.1,0,0,10,,88.4,0.0,0,2,0,0,0,0,0.0,45,6.4,0,75.0,4,4,-4.8,1.8,0,0,0.0,75.0,3,2,0.0,5,13.5,0,1,68.0,54.6,69.9,55.0,,0,0,5,50.0,97.9,20.0,1,0,0,0,0,0,0.0,32,8.0,-1.74
Baker Mayfield,46518,QB,TB,1,10.0,0,37,30,53.8,26,29,12.2,3.16,0,2,6.7,48.3,14,15,0.0,34,91.9,0,13,78.5,56.2,78.3,51.9,70.3,1,0,35,6.7,100.4,2.9,1,4,0,2,3,4,11.4,164,5.7,55.0,20,22,10.2,3.03,0,1,4.3,50.0,11,13,0.0,27,73.0,0,10,77.3,53.5,77.8,47.9,70.3,1,0,28,7.7,96.6,3.7,1,4,0,1,2,3,10.7,119,5.4,66.7,9,10,11.1,3.07,0,1,10.0,60.0,6,2,0.0,10,27.0,0,3,71.4,65.5,72.3,64.9,,0,0,10,0.0,105.4,0.0,0,0,0,1,1,1,10.0,48,4.8,0,100.0,3,3,-4.3,1.7,0,0,0.0,100.0,3,0,0.0,3,8.1,0,0,65.5,63.6,68.2,63.2,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,3,1.0,-0.61
Dak Prescott,10769,QB,DAL,1,30.16,0,35,9,77.4,31,33,11.5,2.91,1,4,10.5,60.6,20,13,16.7,34,97.1,4,9,78.9,90.0,78.6,86.2,65.6,0,0,39,0.0,76.7,0.0,0,1,1,0,0,1,2.6,191,5.8,76.0,25,27,11.9,2.54,1,3,9.7,55.6,15,9,21.1,27,77.1,4,7,77.6,89.1,78.1,87.1,,0,0,31,0.0,68.9,0.0,0,0,1,0,0,1,3.2,133,4.9,85.7,7,7,7.4,4.13,0,1,12.5,85.7,6,4,0.0,8,22.9,0,2,70.9,75.4,71.9,68.5,65.6,0,0,9,0.0,99.4,0.0,0,1,0,0,0,0,0.0,55,7.9,0,100.0,1,1,-8.0,2.8,0,0,0.0,100.0,1,0,0.0,1,2.9,0,0,60.4,60.2,64.6,60.0,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-3,-3.0,2.93
Aaron Rodgers,2241,QB,PIT,1,10.0,0,34,25,73.7,19,21,8.7,2.54,0,0,0.0,61.9,13,9,7.1,25,73.5,1,12,77.1,51.1,0.0,53.1,60.0,1,0,27,44.4,132.1,16.0,4,0,0,1,3,1,3.7,196,9.3,78.9,19,20,5.2,2.18,0,0,0.0,70.0,14,5,6.7,22,64.7,1,8,76.4,47.7,0.0,50.0,60.0,1,0,24,40.0,106.9,9.1,2,0,0,0,1,1,4.2,143,7.2,88.9,9,10,4.4,2.49,0,0,0.0,80.0,8,4,0.0,12,35.3,0,6,72.4,69.6,72.9,68.7,,0,0,12,50.0,148.3,16.7,2,0,0,1,3,0,0.0,101,10.1,0,100.0,9,9,-3.0,1.6,0,0,0.0,100.0,9,0,0.0,9,26.5,0,2,70.9,67.0,71.9,66.4,,0,0,9,,125.9,0.0,0,0,0,0,1,0,0.0,48,5.3,2.95
Jalen Hurts,40291,QB,PHI,1,23.53,0,34,24,100.0,19,22,4.8,3.86,0,1,4.5,81.8,18,14,5.3,32,94.1,1,11,78.9,89.6,78.8,71.5,90.7,0,0,32,7.1,94.1,3.1,1,9,0,3,0,0,0.0,145,6.6,100.0,14,17,5.6,3.82,0,1,5.9,76.5,13,10,7.1,27,79.4,1,10,78.1,87.0,78.5,69.8,90.0,0,0,27,10.0,95.7,3.7,1,8,0,3,0,0,0.0,122,7.2,100.0,6,6,1.7,3.07,0,0,0.0,100.0,6,4,0.0,7,20.6,0,1,69.6,75.1,71.1,65.6,65.6,0,0,7,0.0,87.5,0.0,0,1,0,0,0,0,0.0,30,5.0,0,100.0,1,1,-3.0,0.6,0,0,0.0,100.0,1,0,0.0,2,5.9,0,0,63.6,58.9,66.9,59.0,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0,-2.18
C.J. Stroud,129759,QB,HST,1,33.33,0,34,13,75.0,24,25,7.6,2.89,1,0,0.0,68.0,17,14,5.6,32,94.1,1,9,78.7,73.0,78.9,65.1,80.5,0,1,36,21.4,71.1,9.4,3,4,0,0,0,1,2.8,174,7.0,73.9,23,24,6.1,2.54,1,0,0.0,66.7,16,12,5.9,29,85.3,1,7,78.2,70.5,78.7,61.0,84.8,0,1,33,16.7,64.8,6.9,2,3,0,0,0,1,3.0,141,5.9,100.0,3,3,11.7,4.14,0,0,0.0,100.0,3,2,0.0,5,14.7,0,2,68.0,73.0,69.9,76.0,58.3,0,0,5,50.0,118.8,20.0,1,1,0,0,0,0,0.0,47,15.7,0,100.0,2,2,-3.5,1.05,0,0,0.0,100.0,2,0,0.0,2,5.9,0,0,63.6,62.4,66.9,62.0,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,14,7.0,9.79
Cam Ward,133244,QB,TEN,1,30.3,0,34,31,58.3,24,27,12.0,2.87,0,0,0.0,40.7,11,18,21.4,33,97.1,3,5,78.1,57.1,78.5,53.9,65.6,0,0,35,33.3,53.2,18.2,6,0,0,3,0,0,0.0,111,4.1,55.0,20,22,13.3,2.7,0,0,0.0,36.4,8,12,27.3,26,76.5,3,4,76.3,55.3,77.8,54.8,,0,0,26,33.3,50.0,15.4,4,0,0,2,0,0,0.0,93,4.2,80.0,5,6,4.2,3.21,0,0,0.0,66.7,4,6,0.0,8,23.5,0,1,71.4,63.6,72.3,56.2,65.6,0,0,10,33.3,70.8,25.0,2,0,0,1,0,0,0.0,19,3.2,0,100.0,1,1,-2.0,1.1,0,0,0.0,100.0,1,0,0.0,1,2.9,0,0,60.4,60.3,64.6,60.1,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,-1.06
Trevor Lawrence,77632,QB,JAX,1,-23.81,0,33,15,72.7,22,24,10.7,2.84,0,0,0.0,58.3,14,4,12.5,26,78.8,2,11,77.3,62.4,78.6,57.9,70.6,0,1,27,0.0,75.7,0.0,0,2,1,1,1,2,7.4,164,6.8,78.3,23,24,7.5,2.41,0,0,0.0,66.7,16,3,11.1,26,78.8,2,9,77.1,64.3,78.6,58.6,74.2,0,1,26,0.0,66.8,0.0,0,2,1,0,0,2,7.7,153,6.4,80.0,5,7,9.2,3.36,1,0,0.0,42.9,3,1,25.0,7,21.2,1,2,70.3,58.4,71.5,60.4,58.3,0,0,8,0.0,92.3,0.0,0,0,0,1,1,0,0.0,25,3.6,0,100.0,6,7,-2.7,1.77,1,0,0.0,71.4,5,0,16.7,7,21.2,1,0,69.6,63.2,71.1,62.9,,0,0,7,,74.1,0.0,0,0,0,0,0,0,0.0,14,2.0,-2.81
Daniel Jones,39395,QB,IND,1,-5.05,0,33,14,81.5,27,27,7.9,2.9,0,1,3.7,81.5,22,8,0.0,31,93.9,0,14,78.5,74.2,79.2,67.9,75.2,0,0,31,12.5,121.0,3.2,1,3,0,0,1,1,3.2,272,10.1,77.8,18,18,6.8,2.77,0,0,0.0,77.8,14,6,0.0,20,60.6,0,8,76.7,78.1,78.6,69.6,78.5,0,0,21,0.0,120.1,0.0,0,2,0,0,1,0,0.0,151,8.4,72.7,11,11,7.5,2.85,0,1,9.1,72.7,8,2,0.0,13,39.4,0,6,72.8,57.5,73.2,59.1,58.3,0,0,13,50.0,108.5,7.7,1,1,0,0,0,1,7.7,121,11.0,0,0.0,2,2,-4.0,1.25,0,0,0.0,0.0,0,0,,2,6.1,0,0,65.5,55.5,68.2,55.8,,0,0,3,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,2.61
