"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"216","Arian Smith","UGA",3000,0.7,0,"out for season - Undisclosed",-8.5,65,21,53.2,0.37,"TENN",44.6,24.3,33.9
"217","Arian Smith","UGA",3000,0.7,0,"out for season - Ankle",-8.5,65,21,53.2,0.37,"TENN",44.6,24.3,33.9
"218","Miles Thornton","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"219","George Vining","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"220","Davis Day","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"221","Grant Briscoe","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"222","Samuel Johnson","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"223","Logan Johnson","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"224","Mekhi Mews","UGA",3000,NA,0,"Healthy",-8.5,65,2,59.8,3,"TENN",44.6,24.3,33.9
"225","C.J. Smith","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"226","Drew Sheehan","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"227","Parker Jones","UGA",3000,NA,0,"Doub Sat - Ankle",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"228","Ryland Goede","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"229","Braxton Hicks","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"230","Nathan Priestley","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"231","Brooks Bortle","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"232","Cooper Johnson","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"233","Luke Bennett","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"234","Brett Seither","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"235","Randon Jernigan","UGA",3000,NA,0,"Healthy",-8.5,65,NA,NA,NA,"TENN",44.6,24.3,33.9
"236","Brenden Bates","UK",3000,2.96,0,"Healthy",1,40,127,64.8,1.02,"MIZZ",74.7,35,72.5
"237","Chauncey Magwood","UK",3000,3.14,0,"Healthy",1,40,74,63.6,1.46,"MIZZ",74.7,35,72.5
"238","Dekel Crowdus","UK",3000,1.38,0,"Healthy",1,40,20,63.8,3.35,"MIZZ",74.7,35,72.5
"239","Dylan Gary","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"240","Izayah Cummings","UK",3000,NA,0,"Healthy",1,40,28,49,0,"MIZZ",74.7,35,72.5
"241","Jordan Anthony","UK",3000,0.51,0,"Healthy",1,40,1,59,0,"MIZZ",74.7,35,72.5
"242","Rahsaan Lewis","UK",3000,4.02,0,"Healthy",1,40,35,52.3,1.68,"MIZZ",74.7,35,72.5
"243","Jack Monday","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"244","Cole Lanter","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"245","Josh Kattus","UK",3000,NA,0,"Healthy",1,40,34,65.5,0,"MIZZ",74.7,35,72.5
"246","Josh Terrell","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"247","Brandon White","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"248","Trey Dennis","UK",3000,NA,0,"Healthy",1,40,NA,NA,NA,"MIZZ",74.7,35,72.5
"249","Ryan Hoerstkamp","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"250","Kibet Chepyator","MIZZ",3000,0.51,0,"Healthy",-1,40,57,32.2,0.59,"UK",61.3,30.7,61.9
"251","Demariyon Houston","MIZZ",3000,NA,0,"Out indefinitely - Undisclosed",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"252","Zach Hahn","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"253","Shawn Hendershot","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"254","Gavin McKay","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"255","Micah Manning","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"256","Max Whisner","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"257","Mekhi Miller","MIZZ",3000,0.5,0,"Healthy",-1,40,32,67,1.72,"UK",61.3,30.7,61.9
"258","Logan Muckey","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"259","Tucker Miller","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"260","Damon Johanns","MIZZ",3000,NA,0,"Healthy",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"261","Max Wright","TA&M",3000,2.53,0,"Healthy",-2.5,55,68,69.2,1.21,"UF",53.5,46.1,41.7
"262","Blake Smith","TA&M",3000,0.68,0,"Healthy",-2.5,55,4,40.5,0,"UF",53.5,46.1,41.7
"263","Jake Johnson","TA&M",3000,0.68,0,"Ques Nov 11 - Undisclosed",-2.5,55,5,83.2,0.5,"UF",53.5,46.1,41.7
"264","Devin Price","TA&M",3000,0.68,0,"Healthy",-2.5,55,31,53.6,0.34,"UF",53.5,46.1,41.7
"265","Chris Marshall","TA&M",3000,NA,0,"Out indefinitely - Suspension",-2.5,55,148,56.9,0.77,"UF",53.5,46.1,41.7
"266","Ainias Smith","TA&M",3000,NA,0,"out for season - Undisclosed",-2.5,55,112,74.6,2.75,"UF",53.5,46.1,41.7
"267","Ainias Smith","TA&M",3000,NA,0,"out for season - Ankle",-2.5,55,112,74.6,2.75,"UF",53.5,46.1,41.7
"268","Jacob Brasher","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"269","Pierce Turner","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"270","Kenyon Jackson","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"271","Yulkeith Brown","TA&M",3000,0.68,0,"Healthy",-2.5,55,69,64.7,1.65,"UF",53.5,46.1,41.7
"272","Theo Melin Ohrstrom","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"273","Fernando Garza","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"274","Caleb Surber","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"275","Nathan Figueroa","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"276","Hunter Vivaldi","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"277","Donovan Green","TA&M",3000,3.77,0,"Healthy",-2.5,55,193,59.2,1.16,"UF",53.5,46.1,41.7
"278","Ryan Campbell","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"279","Jaxon Rush","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"280","Noah Thomas","TA&M",3000,4.98,0,"Healthy",-2.5,55,56,52.8,0.04,"UF",53.5,46.1,41.7
"281","Andrew Maleski","TA&M",3000,NA,0,"Healthy",-2.5,55,NA,NA,NA,"UF",53.5,46.1,41.7
"282","Nick Elksnis","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"283","Ja'Quavion Fraziars","UF",3000,1.32,0,"Healthy",2.5,55,35,56.9,0,"TA&M",40,35.5,46.7
"284","Dante Zanders","UF",3000,3.01,0,"Healthy",2.5,55,138,37.6,0.4,"TA&M",40,35.5,46.7
"285","Hayden Hansen","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"286","Justin Curtis","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"287","Jordan Pouncey","UF",3000,NA,0,"Healthy",2.5,55,1,60.8,-2,"TA&M",40,35.5,46.7
"288","Arlis Boardingham","UF",3000,NA,0,"Mid Nov - Upper Body",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"289","Jonathan Odom","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"290","Marcus Burke","UF",3000,3.41,0,"Healthy",2.5,55,23,63.7,1.05,"TA&M",40,35.5,46.7
"291","Taylor Spierto","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"292","Daniel Cross","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"293","William Sawyer","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"294","Kahleil Jackson","UF",3000,NA,0,"Healthy",2.5,55,4,82.9,10,"TA&M",40,35.5,46.7
"295","Ja'Markis Weston","UF",3000,NA,0,"Healthy",2.5,55,4,55.2,0,"TA&M",40,35.5,46.7
"296","Thai Chiaokhiao-Bowman","UF",3000,0.48,0,"Healthy",2.5,55,22,65.6,1.33,"TA&M",40,35.5,46.7
"297","Zak Sedaros","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"298","Noah Keeter","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"299","Scott Isacks III","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"300","Griffin McDowell","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"301","Alex Gonzalez","UF",3000,NA,0,"Healthy",2.5,55,NA,NA,NA,"TA&M",40,35.5,46.7
"302","Seven McGee","ORE",3000,4.35,0,"Healthy",-31.5,63,65,55.8,1.08,"COL",0,36,0
"303","Moliki Matavao","ORE",3000,3.65,0,"Healthy",-31.5,63,95,56.5,1.29,"COL",0,36,0
"304","Josh Delgado","ORE",3000,1.47,0,"Healthy",-31.5,63,16,62.7,0.75,"COL",0,36,0
"305","Von Reames","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"306","Darrian Anderson","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"307","Cole Prusia","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"308","Tyler Nanney","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"309","Justius Lowe","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"310","Peter Burke","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"311","Kade Wisher","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"312","Isaiah Brevard","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"313","Kyler Kasper","ORE",3000,2.2,0,"Healthy",-31.5,63,10,51.6,0.4,"COL",0,36,0
"314","Michael Jennings","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"315","Isaah Crocker","ORE",3000,NA,0,"Healthy",-31.5,63,7,45.3,0,"COL",0,36,0
"316","Terrell Tilmon","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"317","Spencer Webb","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"318","Malachi Russell","ORE",3000,NA,0,"Healthy",-31.5,63,NA,NA,NA,"COL",0,36,0
"319","Caleb Fauria","COL",3000,0.5,0,"Ques Sat - Knee",31.5,63,85,48.2,0.37,"ORE",54.7,32.8,53.2
"320","R.J. Sneed II","COL",3000,5.7,2,"Healthy",31.5,63,146,52.6,0.83,"ORE",54.7,32.8,53.2
"321","Erik Olsen","COL",3000,1.37,0,"Healthy",31.5,63,70,37.8,0.37,"ORE",54.7,32.8,53.2
"322","Chase Penry","COL",3000,NA,0,"Healthy",31.5,63,12,61.4,1,"ORE",54.7,32.8,53.2
"323","Louis Passarello","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"324","Ty Robinson","COL",3000,1.36,0,"Ques Sat - Undisclosed",31.5,63,53,57.6,0.58,"ORE",54.7,32.8,53.2
"325","Chase Sowell","COL",3000,0.93,0,"Ques Sat - Undisclosed",31.5,63,49,52,0.51,"ORE",54.7,32.8,53.2
"326","Jaylon Jackson","COL",3000,NA,0,"Healthy",31.5,63,99,69.9,1.45,"ORE",54.7,32.8,53.2
"327","Jaylon Jackson","COL",3000,NA,0,"Healthy",31.5,63,7,83.1,6.57,"ORE",54.7,32.8,53.2
"328","Grant Page","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"329","Zach Courtney","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"330","Michael Harrison","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"331","Chernet Estes","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"332","Jack Hestera","COL",3000,1.36,0,"Healthy",31.5,63,43,61.2,1.46,"ORE",54.7,32.8,53.2
"333","Brady Kopetz","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"334","Cole Boscia","COL",3000,NA,0,"Healthy",31.5,63,NA,NA,NA,"ORE",54.7,32.8,53.2
"335","Braden Cassity","OKST",3000,3.82,0,"Healthy",1.5,63,90,49.4,0.58,"KU",44.8,39.4,36.6
"336","Jake Schultz","OKST",3000,3.82,0,"Healthy",1.5,63,65,51.5,0.36,"KU",44.8,39.4,36.6
"337","Blaine Green","OKST",3000,NA,0,"Out indefinitely - Wrist",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"338","Quinton Stewart","OKST",3000,0.81,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"339","Braylin Presley","OKST",3000,0.81,0,"Healthy",1.5,63,37,50.6,0.46,"KU",44.8,39.4,36.6
"340","Peyton Kramer","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"341","CJ Tate","OKST",3000,0.81,0,"Healthy",1.5,63,19,48.1,0,"KU",44.8,39.4,36.6
"342","Rylan McQuarters","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"343","Max Muehlberger","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"344","Tabry Shettron","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"345","Rashad Dixon","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"346","Clayton Barbour","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"347","Langston Anderson","OKST",3000,0.81,0,"Healthy",1.5,63,8,48.2,0,"KU",44.8,39.4,36.6
"348","Mason Gilkey","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"349","Luke McEndoo","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"350","Vance Hooper","OKST",3000,NA,0,"Healthy",1.5,63,NA,NA,NA,"KU",44.8,39.4,36.6
"351","Jared Casey","KU",3000,1.46,0,"Healthy",-1.5,63,87,65.8,1.52,"OKST",61,46.3,49.3
"352","Trevor Kardell","KU",3000,1.46,0,"Healthy",-1.5,63,33,76.2,2.32,"OKST",61,46.3,49.3
"353","Douglas Emilien","KU",3000,2.84,0,"Healthy",-1.5,63,34,53.9,0.32,"OKST",61,46.3,49.3
"354","Quinton Conley","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"355","Steven McBride","KU",3000,0.42,0,"Healthy",-1.5,63,13,61,2.09,"OKST",61,46.3,49.3
"356","Will Huggins","KU",3000,NA,0,"Ques Sat - Undisclosed",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"357","Trevor Wilson","KU",3000,NA,0,"Mid Nov - Suspension",-1.5,63,14,61.5,4.33,"OKST",61,46.3,49.3
"358","Tanaka Scott","KU",3000,2.38,0,"Healthy",-1.5,63,36,66.1,2.36,"OKST",61,46.3,49.3
"359","Tevita Noa","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"360","Mac Copeland","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"361","Griffin Koch","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"362","Cole Rhoden","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"363","Max Dowling","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"364","Kelan Robinson","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"365","Mack Moeller","KU",3000,NA,0,"Healthy",-1.5,63,NA,NA,NA,"OKST",61,46.3,49.3
"366","Seth Jones","BAY",3000,NA,0,"Out indefinitely - Foot",3.5,61.5,111,50,0.69,"OU",42.9,30.5,31.4
"367","Gavin Yates","BAY",3000,0.63,0,"Healthy",3.5,61.5,6,49,2,"OU",42.9,30.5,31.4
"368","Javon Gipson","BAY",3000,1.18,0,"Healthy",3.5,61.5,30,56.9,0.73,"OU",42.9,30.5,31.4
"369","Jordan Nabors","BAY",3000,NA,0,"Healthy",3.5,61.5,10,56.1,0.44,"OU",42.9,30.5,31.4
"370","Tripp Mitchell","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"371","Mark Patton","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"372","Kelsey Johnson","BAY",3000,0.63,0,"Out indefinitely - Lower Body",3.5,61.5,44,69.5,0.31,"OU",42.9,30.5,31.4
"373","Armani Winfield","BAY",3000,NA,0,"Healthy",3.5,61.5,5,62.2,2,"OU",42.9,30.5,31.4
"374","Jonah Burton","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"375","Elijah Bean","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"376","Jonathan Davidson","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"377","Cody Mladenka","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"378","Jaylen Ellis","BAY",3000,NA,0,"Healthy",3.5,61.5,1,92.2,50,"OU",42.9,30.5,31.4
"379","Cameron Bonner","BAY",3000,NA,0,"Healthy",3.5,61.5,NA,NA,NA,"OU",42.9,30.5,31.4
"380","Kaden Helms","OU",3000,0.52,0,"Healthy",-3.5,61.5,7,55,0.8,"BAY",77.6,26.5,66.8
"381","Brian Darby","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"382","LV Bunkley-Shelton","OU",3000,0.83,0,"Healthy",-3.5,61.5,25,55.8,0.42,"BAY",77.6,26.5,66.8
"383","J.J. Hester","OU",3000,0.51,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"384","Gavin Freeman","OU",3000,1.46,0,"Healthy",-3.5,61.5,12,82,3.82,"BAY",77.6,26.5,66.8
"385","Jason Llewellyn","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"386","Nic Anderson","OU",3000,NA,0,"out for season - Redshirt",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"387","Jackson Sumlin","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"388","Dallas Dudley","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"389","Major Melson","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"390","Davion Woolen","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"391","Damon Smith","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"392","Carsten Groos","OU",3000,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"393","Mason Tharp","TTU",3000,5.54,2,"Healthy",8,69,188,57.5,0.57,"TCU",49.8,39,36.9
"394","Baylor Cupp","TTU",3000,3.06,0,"Healthy",8,69,91,65.5,1.46,"TCU",49.8,39,36.9
"395","Henry Teeter","TTU",3000,0.81,0,"Healthy",8,69,75,61.3,0.82,"TCU",49.8,39,36.9
"396","Brady Boyd","TTU",3000,3.79,0,"Healthy",8,69,145,61.7,0.75,"TCU",49.8,39,36.9
"397","Chadarius Townsend","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"398","Nehemiah Martinez I","TTU",3000,4.79,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"399","Tanner Allen","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"400","Tyler King","TTU",3000,NA,0,"Healthy",8,69,1,61.3,6,"TCU",49.8,39,36.9
"401","Charles Robinson","TTU",3000,NA,0,"Healthy",8,69,1,60.4,0,"TCU",49.8,39,36.9
"402","Jason Lloyd","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"403","Coy Eakin","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"404","Jordan Brown","TTU",3000,0.74,0,"Healthy",8,69,22,64.5,0.86,"TCU",49.8,39,36.9
"405","Zack McCown","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"406","Jack Esparza","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"407","Cameron Cantrell","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"408","Haydon Wiginton","TTU",3000,NA,0,"Healthy",8,69,4,58.8,1.75,"TCU",49.8,39,36.9
"409","Nate Floyd","TTU",3000,NA,0,"Healthy",8,69,NA,NA,NA,"TCU",49.8,39,36.9
"410","Dominic DiNunzio","TCU",3000,0.65,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"411","Carter Ware","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"412","Blair Conwright","TCU",3000,0.68,0,"Healthy",-8,69,31,53,0.26,"TTU",63.2,61.3,44.5
"413","Ben Reppenhagen","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"414","Joe Staubach","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"415","Parker Clark","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"416","D'Andre Rogers","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"417","Colton Dobson","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"418","Christopher Chosen","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"419","Hilton Harris","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"420","Stayton Ankrom","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"421","Chase Curtis","TCU",3000,NA,0,"Healthy",-8,69,16,64.4,2.47,"TTU",63.2,61.3,44.5
"422","Curtis Raymond III","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"423","Caleb Medford","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"424","Alex Honig","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"425","Major Everhart","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"426","DJ Allen","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"427","Keagan Cunningham","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"428","Chase Jackson","TCU",3000,0.65,0,"Healthy",-8,69,5,58.9,1.4,"TTU",63.2,61.3,44.5
"429","Hunter Krepp","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"430","Brent Matiscik","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"431","Quincy Brown","TCU",3000,0.56,0,"Out indefinitely - Undisclosed",-8,69,18,75.4,1.82,"TTU",63.2,61.3,44.5
"432","Austin Scheets","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"433","Christian MacDonald","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"434","Drew Scott","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"435","Geor'Quarius Spivey","TCU",3000,1.22,0,"Healthy",-8,69,64,58.8,1.18,"TTU",63.2,61.3,44.5
"436","Dylan Adams","TCU",3000,NA,0,"Healthy",-8,69,NA,NA,NA,"TTU",63.2,61.3,44.5
"437","Jaylon Barden","PITT",3000,6.55,4,"Healthy",-4,48,26,59.2,0.76,"SYR",60,44.8,69.8
"438","Maximilian Mang","SYR",3000,0.91,0,"Healthy",4,48,176,49.6,0.37,"PITT",74.8,29.7,63.8
"439","Steven Mahar Jr.","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"440","Trebor Pena","SYR",3000,3.38,0,"Healthy",4,48,93,60.3,1.42,"PITT",74.8,29.7,63.8
"441","Umari Hatcher","SYR",3000,0.49,0,"Healthy",4,48,38,58.4,1.11,"PITT",74.8,29.7,63.8
