"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"21","Brennan Presley","OKST",6100,11.77,2,"Healthy",1.5,63,250,69.3,1.97,"KU",44.8,39.4,36.6
"22","Cam Camper","IU",6100,NA,0,"out for season - Knee",13.5,51,331,68.1,1.85,"PSU",50.6,30.7,49.7
"23","Kobe Hudson","UCF",6100,11.48,2,"Healthy",-3,60,164,66.5,2.16,"MEM",66.9,82.2,55.5
"24","Evan Stewart","TA&M",6000,21.92,13,"Healthy",-2.5,55,278,67.8,1.8,"UF",53.5,46.1,41.7
"25","Luke Grimm","KU",6000,11.46,2,"Healthy",-1.5,63,135,77.8,2.34,"OKST",61,46.3,49.3
"26","Antoine Green","UNC",6000,15.35,10,"Healthy",-7,60,190,79,3.07,"UV",69.6,60.1,77.8
"27","Mitchell Tinsley","PSU",6000,13.88,5,"Healthy",-13.5,51,243,65.5,1.6,"IU",47.7,53.4,33.4
"28","Javon Baker","UCF",6000,12.02,3,"Healthy",-3,60,206,76,2.45,"MEM",66.9,82.2,55.5
"29","Derius Davis","TCU",5900,11.82,6,"Out indefinitely - Leg",-8,69,146,67.3,2.44,"TTU",63.2,61.3,44.5
"30","Jared Wayne","PITT",5900,14.62,6,"Healthy",-4,48,230,74.5,2.59,"SYR",60,44.8,69.8
"31","Dontayvion Wicks","UV",5900,14.17,7,"Healthy",7,60,315,59,1.45,"UNC",47.4,43.8,37.8
"32","Jaxon Smith-Njigba","OSU",5900,NA,0,"Ques Sat - Hamstring",-38,55.5,40,55.1,0.98,"NW",37.5,61.3,10
"33","Caden Prieskorn","MEM",5900,10.92,3,"Healthy",3,60,325,69.6,1.45,"UCF",56.9,58.4,50.1
"34","Bru McCoy","TENN",5800,11.21,2,"Healthy",8.5,65,273,65.2,1.83,"UGA",68.5,0,68.9
"35","Jalil Farooq","OU",5800,7.86,1,"Healthy",-3.5,61.5,222,67.1,1.28,"BAY",77.6,26.5,66.8
"36","Emery Simmons","IU",5800,10.74,6,"Healthy",13.5,51,283,62.1,1.19,"PSU",50.6,30.7,49.7
"37","Myles Price","TTU",5700,7.91,1,"Healthy",8,69,188,64.5,1.79,"TCU",49.8,39,36.9
"38","Konata Mumpfield","PITT",5700,9.87,4,"Healthy",-4,48,205,73,1.48,"SYR",60,44.8,69.8
"39","Bryson Green","OKST",5600,14.93,10,"Out indefinitely - Wrist",1.5,63,337,65.8,1.46,"KU",44.8,39.4,36.6
"40","Taye Barber","TCU",5600,9.05,1,"Healthy",-8,69,163,71.1,2.54,"TTU",63.2,61.3,44.5
"41","Adonai Mitchell","UGA",5500,NA,0,"Out indefinitely - Ankle",-8.5,65,29,68.6,2.46,"TENN",44.6,24.3,33.9
"42","Eddie Lewis","MEM",5500,7.49,1,"Healthy",3,60,223,63.4,1.63,"UCF",56.9,58.4,50.1
"43","Lawrence Arnold","KU",5400,9.34,2,"Healthy",-1.5,63,187,75.7,2.27,"OKST",61,46.3,49.3
"44","Isaiah Epps","TLSA",5400,9.98,3,"Healthy",7,56.5,338,60.1,1.08,"TUL",77.7,30.6,74.9
"45","Bryson Nesbit","UNC",5300,5.32,0,"Healthy",-7,60,150,73.2,2.1,"UV",69.6,60.1,77.8
"46","Tayvion Robinson","UK",5200,11.12,3,"Ques Sat - Undisclosed",1,40,181,71.4,2.33,"MIZZ",74.7,35,72.5
"47","D.J. Matthews Jr.","IU",5200,5.95,0,"Healthy",13.5,51,141,65.2,1.65,"PSU",50.6,30.7,49.7
"48","Duece Watts","TUL",5200,8.02,1,"Healthy",-7,56.5,177,64.7,1.83,"TLSA",59.1,71.8,59.8
"49","Luther Burden III","MIZZ",5100,8.97,2,"Healthy",-1,40,197,59.6,1.05,"UK",61.3,30.7,61.9
"50","Gavin Holmes","BAY",5100,10.9,3,"Healthy",3.5,61.5,145,75.3,3.41,"OU",42.9,30.5,31.4
"51","Devaughn Cooper","SYR",5100,6.26,1,"Healthy",4,48,171,61,1.49,"PITT",74.8,29.7,63.8
"52","Gabriel Rogers","MEM",5100,2.49,0,"Healthy",3,60,176,71.9,1.95,"UCF",56.9,58.4,50.1
"53","Chase Cota","ORE",5000,NA,0,"Ques Sat - Arm",-31.5,63,229,59.2,1.51,"COL",0,36,0
"54","Jaden Bray","OKST",5000,NA,0,"Ques Sat - Undisclosed",1.5,63,41,56.4,0.63,"KU",44.8,39.4,36.6
"55","Javon Ivory","MEM",5000,11.18,2,"Healthy",3,60,246,59.2,1.32,"UCF",56.9,58.4,50.1
"56","Squirrel White","TENN",4900,1.49,0,"Healthy",8.5,65,35,75.1,5.73,"UGA",68.5,0,68.9
"57","Barion Brown","UK",4900,6.77,1,"Healthy",1,40,167,67.5,2.31,"MIZZ",74.7,35,72.5
"58","Dominic Lovett","MIZZ",4900,13.9,5,"Healthy",-1,40,200,87.5,3.34,"UK",61.3,30.7,61.9
"59","Ricky Pearsall","UF",4900,8.54,2,"Healthy",2.5,55,178,75.1,1.97,"TA&M",40,35.5,46.7
"60","Xavier White","TTU",4900,9.76,4,"Healthy",8,69,194,76.6,2.43,"TCU",49.8,39,36.9
"61","Lavel Davis Jr.","UV",4900,8.78,3,"Healthy",7,60,316,55.2,1.26,"UNC",47.4,43.8,37.8
"62","KeAndre Lambert-Smith","PSU",4900,5.63,0,"Healthy",-13.5,51,138,62.6,1.28,"IU",47.7,53.4,33.4
"63","Julian Fleming","OSU",4900,12.68,13,"Healthy",-38,55.5,135,71.6,2.79,"NW",37.5,61.3,10
"64","Malachai Jones","TLSA",4900,9.35,2,"Out indefinitely - Suspension",7,56.5,232,67.9,1.67,"TUL",77.7,30.6,74.9
"65","Malachai Jones","TLSA",4900,9.35,2,"Ques Sat - Undisclosed",7,56.5,232,67.9,1.67,"TUL",77.7,30.6,74.9
"66","Dane Key","UK",4800,7.38,1,"Healthy",1,40,190,67.8,1.85,"MIZZ",74.7,35,72.5
"67","Xzavier Henderson","UF",4800,10.3,3,"Healthy",2.5,55,200,70.3,1.87,"TA&M",40,35.5,46.7
"68","Jerand Bradley","TTU",4800,11.08,2,"Healthy",8,69,290,63.1,1.42,"TCU",49.8,39,36.9
"69","Moose Muhammad III","TA&M",4700,16.9,18,"Healthy",-2.5,55,210,70.1,1.78,"UF",53.5,46.1,41.7
"70","John Paul Richardson","OKST",4700,8.88,2,"Healthy",1.5,63,245,65.8,1.38,"KU",44.8,39.4,36.6
"71","Marcus Washington","NEB",4700,8.8,2,"Healthy",14.5,44.5,225,63.9,1.43,"MINN",72.2,21.4,68.9
"72","Ramel Keyton","TENN",4600,1.95,0,"Healthy",8.5,65,187,68,2.15,"UGA",68.5,0,68.9
"73","Malik Washington","NW",4600,11.6,6,"Healthy",38,55.5,299,66.8,1.66,"OSU",89.7,11.5,68.4
"74","Dea Dea McDougle","TUL",4600,7.63,1,"Healthy",-7,56.5,NA,NA,NA,"TLSA",59.1,71.8,59.8
"75","Justin Shorter","UF",4500,6.21,1,"Ques Sat - Undisclosed",2.5,55,206,72.9,2.37,"TA&M",40,35.5,46.7
"76","Quentin Skinner","KU",4500,9.29,3,"Healthy",-1.5,63,156,69.6,2.13,"OKST",61,46.3,49.3
"77","Trey Cleveland","TTU",4500,8.99,2,"Healthy",8,69,235,64.2,1.37,"TCU",49.8,39,36.9
"78","Savion Williams","TCU",4500,6.17,1,"Healthy",-8,69,198,59.1,1.26,"TTU",63.2,61.3,44.5
"79","Michael Brown-Stephens","MINN",4500,10.35,0,"Healthy",-14.5,44.5,185,65.4,1.76,"NEB",49.1,73.4,44.6
"80","Jayden Ballard","OSU",4500,1.38,0,"Healthy",-38,55.5,30,76.6,4.37,"NW",37.5,61.3,10
"81","Jha'Quan Jackson","TUL",4500,9.32,2,"Healthy",-7,56.5,150,73.3,2.21,"TLSA",59.1,71.8,59.8
"82","Bub Means","PITT",4400,3.39,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"83","J.J. Jones","UNC",4400,9.01,2,"Out indefinitely - Undisclosed",-7,60,276,58.3,1.19,"UV",69.6,60.1,77.8
"84","Terrance Ferguson","ORE",4300,9.8,4,"Healthy",-31.5,63,137,66.2,1.64,"COL",0,36,0
"85","Ben Sims","BAY",4300,10.65,4,"Healthy",3.5,61.5,207,63.1,1.17,"OU",42.9,30.5,31.4
"86","Jared Wiley","TCU",4300,4.16,0,"Healthy",-8,69,99,78.4,1.72,"TTU",63.2,61.3,44.5
"87","Kamari Morales","UNC",4300,4.12,0,"Healthy",-7,60,138,71.7,2.19,"UV",69.6,60.1,77.8
"88","Andison Coby","IU",4300,5.93,0,"Healthy",13.5,51,217,53.1,0.75,"PSU",50.6,30.7,49.7
"89","Brenton Strange","PSU",4300,4.36,0,"Healthy",-13.5,51,197,67.8,1.59,"IU",47.7,53.4,33.4
"90","Tyrick James","TUL",4300,6.55,1,"Healthy",-7,56.5,161,70,1.62,"TLSA",59.1,71.8,59.8
"91","Dont'e Thornton","ORE",4200,5.79,0,"Healthy",-31.5,63,79,62.1,1.74,"COL",0,36,0
"92","Brayden Willis","OU",4200,6.84,1,"Healthy",-3.5,61.5,221,75,1.64,"BAY",77.6,26.5,66.8
"93","D'Marcus Adams","SYR",4200,0.49,0,"Healthy",4,48,19,85.2,4.56,"PITT",74.8,29.7,63.8
"94","Javon Swinton","IU",4200,6.72,1,"Ques Sat - Undisclosed",13.5,51,130,55.1,0.89,"PSU",50.6,30.7,49.7
"95","Travis Vokolek","NEB",4200,5.91,0,"Healthy",14.5,44.5,166,72.1,1.48,"MINN",72.2,21.4,68.9
"96","Mookie Cooper","MIZZ",4100,5.59,1,"Healthy",-1,40,144,60,1.28,"UK",61.3,30.7,61.9
"97","Patrick Herbert","ORE",4100,2.93,0,"Healthy",-31.5,63,74,56.3,1.03,"COL",0,36,0
"98","Kobe Paysour","UNC",4100,1.12,0,"Healthy",-7,60,120,61.8,1.61,"UV",69.6,60.1,77.8
"99","Daniel Jackson","MINN",4100,9.31,3,"Out indefinitely - Foot",-14.5,44.5,144,66.7,1.69,"NEB",49.1,73.4,44.6
"100","Cade Stover","OSU",4100,9.36,2,"Healthy",-38,55.5,243,75.1,1.6,"NW",37.5,61.3,10
"101","Kemore Gamble","UCF",4100,2.49,0,"Healthy",-3,60,105,53.6,1.24,"MEM",66.9,82.2,55.5
"102","Kris Hutson","ORE",4000,12.38,5,"Healthy",-31.5,63,175,60,1.6,"COL",0,36,0
"103","Talyn Shettron","OKST",4000,1.55,0,"Healthy",1.5,63,24,54.5,1,"KU",44.8,39.4,36.6
"104","Hal Presley","BAY",4000,8.54,2,"Healthy",3.5,61.5,237,62.8,1.25,"OU",42.9,30.5,31.4
"105","Drake Stoops","OU",4000,6.57,1,"Healthy",-3.5,61.5,166,65.6,1.13,"BAY",77.6,26.5,66.8
"106","Loic Fouonji","TTU",4000,7.74,1,"Healthy",8,69,180,62,1.22,"TCU",49.8,39,36.9
"107","Chase Lane","TA&M",3900,0.62,0,"Healthy",-2.5,55,115,52.2,0.69,"UF",53.5,46.1,41.7
"108","Jordyn Tyson","COL",3900,9.21,3,"Healthy",31.5,63,149,66,2.33,"ORE",54.7,32.8,53.2
"109","Gavin Bartholomew","PITT",3900,6.53,1,"Healthy",-4,48,213,53.8,1.44,"SYR",60,44.8,69.8
"110","Oliver Martin","NEB",3900,3.43,0,"Healthy",14.5,44.5,81,69.5,2.31,"MINN",72.2,21.4,68.9
"111","Lawrence Keys III","TUL",3900,5.5,0,"Healthy",-7,56.5,88,69.5,1.6,"TLSA",59.1,71.8,59.8
"112","Princeton Fant","TENN",3800,3.31,0,"Healthy",8.5,65,154,57.5,1.2,"UGA",68.5,0,68.9
"113","Arik Gilbert","UGA",3800,0.67,0,"Healthy",-8.5,65,20,61.1,0.89,"TENN",44.6,24.3,33.9
"114","Rashod Owens","OKST",3800,3.81,0,"Healthy",1.5,63,108,50.4,0.2,"KU",44.8,39.4,36.6
"115","Courtney Jackson","SYR",3800,2.08,0,"Healthy",4,48,138,58.2,1.32,"PITT",74.8,29.7,63.8
"116","Gavin Blackwell","UNC",3800,2.18,0,"Healthy",-7,60,168,57.5,0.89,"UV",69.6,60.1,77.8
"117","Donny Navarro III","NW",3800,6.87,2,"Healthy",38,55.5,289,53.5,0.82,"OSU",89.7,11.5,68.4
"118","Alec Holler","UCF",3800,5,0,"Healthy",-3,60,201,60.5,1.46,"MEM",66.9,82.2,55.5
"119","Shae Wyatt","TUL",3800,7.39,1,"Healthy",-7,56.5,158,65.9,2.36,"TLSA",59.1,71.8,59.8
"120","Darnell Washington","UGA",3700,8.14,1,"Healthy",-8.5,65,181,86.2,2.1,"TENN",44.6,24.3,33.9
"121","Caleb Douglas","UF",3700,NA,0,"Healthy",2.5,55,22,68.7,2.82,"TA&M",40,35.5,46.7
"122","Mason Fairchild","KU",3700,7.28,2,"Healthy",-1.5,63,176,70.8,1.56,"OKST",61,46.3,49.3
"123","Stephon Johnson Jr.","OKST",3700,12.95,10,"Healthy",1.5,63,126,61.8,1.59,"KU",44.8,39.4,36.6
"124","J.J. Sparkman","TTU",3700,3.96,0,"Healthy",8,69,105,60.1,1.07,"TCU",49.8,39,36.9
"125","Jordan Hudson","TCU",3700,1.23,0,"Healthy",-8,69,49,68.4,2.38,"TTU",63.2,61.3,44.5
"126","Brevyn Spann-Ford","MINN",3700,8.34,2,"Healthy",-14.5,44.5,200,89.7,2.41,"NEB",49.1,73.4,44.6
"127","Bryce Kirtz","NW",3700,6.28,0,"Healthy",38,55.5,175,61.3,1.18,"OSU",89.7,11.5,68.4
"128","Chance Luper","MIZZ",3600,NA,0,"Ques Sat - Illness",-1,40,NA,NA,NA,"UK",61.3,30.7,61.9
"129","Chris Lewis","UK",3600,1.38,0,"Healthy",1,40,14,62.9,1.57,"MIZZ",74.7,35,72.5
"130","Keon Zipperer","UF",3600,5.32,0,"Out indefinitely - Knee",2.5,55,171,58.6,1.22,"TA&M",40,35.5,46.7
"131","Montana Lemonious-Craig","COL",3600,8.5,0,"Healthy",31.5,63,155,69.8,1.73,"ORE",54.7,32.8,53.2
"132","Drake Dabney","BAY",3600,NA,0,"out for season - Leg",3.5,61.5,147,53,1.48,"OU",42.9,30.5,31.4
"133","Donaven McCulley","IU",3600,2.95,0,"Healthy",13.5,51,142,60.9,0.88,"PSU",50.6,30.7,49.7
"134","Jaden Dottin","PSU",3600,0.69,0,"Ques Sat - Undisclosed",-13.5,51,9,65.1,1.56,"IU",47.7,53.4,33.4
"135","Koby Drake","MEM",3600,7.71,1,"Healthy",3,60,115,63.7,1.38,"UCF",56.9,58.4,50.1
