"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","grades_defense","grades_run_defense","grades_tackle","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"69","Shaadie Clayton","TUL",3700,6.04,1,"Healthy",-7,56.5,58.9,61.5,"TLSA",59.1,40.6,45.7,14.1,36.9,0,0.1,2.6,0.3,3,3.2,0.5,3.5,8
"70","Nay'Quan Wright","UF",3600,9.27,2,"Healthy",2.5,55,63.8,65.9,"TA&M",40,25.3,54.9,29,19.3,0,0,1.8,0.2,7.5,2.3,0.5,7.7,6
"71","Deion Smith","COL",3600,8.03,1,"Healthy",31.5,63,70.7,76.9,"ORE",54.7,40.6,47.5,49.9,42.3,0,0.2,2.6,0.2,10,12.3,1.9,11.4,7
"72","Jaquez Yant","NEB",3600,3.73,0,"Healthy",14.5,44.5,61.7,64.4,"MINN",72.2,59.5,73.9,8.9,8.1,0,0,1.8,0.2,3.1,0,0,3.1,7
"73","JuTahn McClain","UK",3500,3.06,0,"Healthy",1,40,68.1,71.9,"MIZZ",74.7,53.8,48.4,20.2,139.5,0,0.1,3.4,0.1,5,14.2,2.2,6.5,6
"74","Sean Dollars","ORE",3500,9.27,2,"Healthy",-31.5,63,71.1,70.3,"COL",0,0,0.6,21.6,18.1,0,0.2,2.5,0.4,3.5,16.8,1.9,5.2,8
"75","Zach Middleton","OKST",3500,1.1,0,"Healthy",1.5,63,58.4,59.7,"KU",44.8,44.8,68.9,1.3,0,0,0,0.2,0.2,1.3,0,0,1.3,3
"76","Jayle Stacks","COL",3400,4.13,0,"Healthy",31.5,63,71.6,74.7,"ORE",54.7,40.6,47.5,16,41.3,0,0.1,1.9,0.4,4.5,0.3,0.2,4.7,6
"77","Jordan James","ORE",3400,5.47,0,"Healthy",-31.5,63,70.8,72,"COL",0,0,0.6,19.7,41.7,0,0.1,2.4,0.4,4.7,0.9,0.3,4.9,7
"78","Deondre Jackson","OKST",3400,12.65,3,"Out indefinitely - Foot",1.5,63,59.3,54.6,"KU",44.8,44.8,68.9,7.3,20,0,0,2,0.1,2.3,6.7,1,3.3,3
"79","Qualan Jones","BAY",3400,10.44,2,"Healthy",3.5,61.5,61,69.7,"OU",42.9,44.1,48.3,38.5,50.4,0,0.2,2.7,0.3,7,12.9,3.2,8.8,8
"80","Bryson Donnell","TTU",3400,0.25,0,"Healthy",8,69,68.3,70.5,"TCU",49.8,56.3,69.7,36,180.5,0,0.1,4.1,0.2,8,0,0,8,2
"81","Tahj Gary","TLSA",3400,0.87,0,"Healthy",7,56.5,67.3,67.1,"TUL",77.7,69.9,55.7,20.3,99.5,0,0.1,2.8,0.1,4.7,0,0,4.7,3
"82","Iverson Celestine","TUL",3400,1.72,0,"Healthy",-7,56.5,59.3,59.3,"TLSA",59.1,40.6,45.7,29.1,54.1,0,0.1,2.7,0.2,7.4,2.6,0.4,7.7,7
"83","Jacob Hardie","UGA",3300,NA,0,"Healthy",-8.5,65,NA,NA,"TENN",44.6,49.4,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Amari Daniels","TA&M",3300,0.94,0,"Healthy",-2.5,55,55,55.4,"UF",53.5,43.4,51,3.7,0,0,0,2,0,1.3,0,0,1.3,3
"85","Bentavious Thompson","OU",3300,NA,0,"Out indefinitely - Knee",-3.5,61.5,NA,NA,"BAY",77.6,67.8,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Vincent Davis","PITT",3300,3.35,0,"Healthy",-4,48,69.8,71.4,"SYR",60,42.4,75.9,29.6,104.3,0,0.2,3.5,0.4,5.2,9.6,1.2,6.4,8
"87","BJ Harris","MIZZ",3200,0.76,0,"out for season - Arm",-1,40,59.1,63.7,"UK",61.3,43,66.5,6.2,77.8,0,0.2,2.3,0.3,1.5,0,0,1.5,4
"88","Alex Fontenot","COL",3200,3.44,0,"Prob Sat - Chest",31.5,63,62.5,64,"ORE",54.7,40.6,47.5,42,69,0,0,2.9,0.2,10,1,1.5,10.5,2
"89","Daniel Carter","PITT",3200,1.64,0,"Ques Sat - Undisclosed",-4,48,71.5,77.1,"SYR",60,42.4,75.9,5.7,41,0,0.1,2.7,0.7,1.7,1.1,0.1,1.9,7
"90","Xavier Brown","UV",3200,11.7,2,"Healthy",7,60,71.2,73,"UNC",47.4,38,69.2,23.4,80.3,0,0.1,3.1,0.2,5.6,2.6,0.8,6.2,8
"91","Rahmir Johnson","NEB",3200,2.17,0,"Healthy",14.5,44.5,54.1,62.9,"MINN",72.2,59.5,73.9,4.2,0,1,1,1,1,0.2,0,0.5,0.2,4
"92","Ronnie Walker Jr.","UV",3100,1.52,0,"Healthy",7,60,NA,NA,"UNC",47.4,38,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Mark-Antony Richards","UCF",3100,1.03,0,"Healthy",-3,60,58.7,59.7,"MEM",66.9,73,78.4,0,0,0,0,0,0,0.5,0,0,0.5,2
