"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_pass","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense","btt_twp","avg_depth_of_target","ttt_run_p2s","avg_time_to_throw","grades_run","pressure_to_sack_rate","att_game","yards_game","ypa"
"31","Blake Shapen","BAY",6100,17.33,2,"Healthy",3.5,61.5,84.1,"OU",42.9,30.5,31.4,1.8,9.3,7.1,2.93,54.7,22.7,27.2,227.4,8.3
"32","Drew Allar","PSU",6000,NA,0,"Healthy",-13.5,51,75.4,"IU",47.7,53.4,33.4,Inf,11.4,8.5,2.95,66.2,23.1,5.2,34.8,6.7
"33","Joe Milton III","TENN",5900,NA,0,"Healthy",8.5,65,67.4,"UGA",68.5,0,68.9,2.3,16.1,Inf,3.29,77.5,0,5.5,90,16.4
"34","Brady Cook","MIZZ",5900,17.53,5,"Healthy",-1,40,65.7,"UK",61.3,30.7,61.9,1,8.4,8.2,2.61,70.1,22.2,28,208,7.4
"35","Garrett Shrader","SYR",5900,21.75,11,"Ques Sat - Undisclosed",4,48,81,"PITT",74.8,29.7,63.8,1.2,9.9,13.2,3.05,79.4,18.3,24.2,205.4,8.5
"36","Connor Bazelak","IU",5900,15.95,2,"Healthy",13.5,51,53.4,"PSU",50.6,30.7,49.7,0.7,8.4,10.6,2.47,63.3,14.7,47.6,262.4,5.5
"37","Anthony Richardson","UF",5800,23.29,16,"Healthy",2.5,55,63.3,"TA&M",40,35.5,46.7,1.2,12,31,3.26,77,8.1,25.9,204.2,7.9
"38","Logan Smothers","NEB",5800,NA,0,"Healthy",14.5,44.5,60.4,"MINN",72.2,21.4,68.9,NA,-1,NA,1.4,68.1,NA,1,1,1
"39","Haynes King","TA&M",5700,NA,0,"Ques Sat - Shoulder",-2.5,55,47.3,"UF",53.5,46.1,41.7,0.4,10.1,23.9,2.7,71.6,8.1,28.6,188.2,6.6
"40","Sam Jackson","TCU",5600,NA,0,"out for season - Knee",-8,69,83.4,"TTU",63.2,61.3,44.5,NA,2.2,6.5,2.94,73.4,33.3,1.7,21,12.6
"41","Kyron Drones","BAY",5500,NA,0,"Healthy",3.5,61.5,73.6,"OU",42.9,30.5,31.4,3.4,13.1,Inf,3.4,60,0,7.3,73,10
"42","Kedon Slovis","PITT",5500,14.94,1,"Healthy",-4,48,68.1,"SYR",60,44.8,69.8,0.6,9.5,12.4,2.83,62,14.1,29.9,222.6,7.5
"43","Carlos Del Rio-Wilson","SYR",5500,NA,0,"Healthy",4,48,66,"PITT",74.8,29.7,63.8,0.8,15,7.2,3.12,69,30,5.4,44.4,8.2
"44","Tevin Carter","MEM",5500,NA,0,"Healthy",3,60,NA,"UCF",56.9,58.4,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Conner Weigman","TA&M",5400,22.05,16,"Healthy",-2.5,55,65.2,"UF",53.5,46.1,41.7,0.5,9.2,20.8,2.58,62.1,7.7,29.5,214.5,7.3
"46","Braylon Braxton","TLSA",5400,NA,0,"Healthy",7,56.5,57.3,"TUL",77.7,30.6,74.9,1.2,10.1,9.9,2.95,63.6,19,8.8,48.2,5.5
"47","Nate Yarnell","PITT",5300,NA,0,"Healthy",-4,48,75.4,"SYR",60,44.8,69.8,2.2,12.4,2.9,2.49,57.4,50,12,179,14.9
"48","Tanner Morgan","MINN",5300,17.13,6,"Healthy",-14.5,44.5,89.3,"NEB",49.1,73.4,44.6,1.3,9.4,17.4,2.83,81,13.2,21,183.7,8.7
"49","Deuce Hogan","UK",5200,NA,0,"Healthy",1,40,NA,"MIZZ",74.7,35,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Jack Tuttle","IU",5200,NA,0,"Healthy",13.5,51,NA,"PSU",50.6,30.7,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Kai Horton","TUL",5100,NA,0,"Healthy",-7,56.5,46.3,"TLSA",59.1,71.8,59.8,0,14.7,4,2.56,66.9,42.9,7.7,55,7.2
"52","Jalen Kitna","UF",5000,NA,0,"Healthy",2.5,55,71.6,"TA&M",40,35.5,46.7,Inf,15.5,NA,2.93,NA,0,12,152,12.7
"53","Max Johnson","TA&M",5000,NA,0,"Out indefinitely - Hand",-2.5,55,57.1,"UF",53.5,46.1,41.7,0.7,8.2,8.1,2.94,66,23.9,17.8,129.2,7.3
"54","Owen McCown","COL",5000,NA,0,"Ques Sat - Undisclosed",31.5,63,52.8,"ORE",54.7,32.8,53.2,0.9,8.1,7.8,2.78,62.3,22.2,25,151.2,6.1
"55","Jack Abraham","MIZZ",4900,NA,0,"Healthy",-1,40,47.2,"UK",61.3,30.7,61.9,0,14.6,NA,2.42,NA,0,3,17,5.7
"56","J.T. Shrout","COL",4900,12.02,2,"Healthy",31.5,63,56,"ORE",54.7,32.8,53.2,0.9,12.7,8.4,2.82,41.8,14,21.8,120.8,5.5
"57","Athan Kaliakmanis","MINN",4800,NA,0,"Healthy",-14.5,44.5,66.2,"NEB",49.1,73.4,44.6,1.2,16.3,13.1,3.16,72.7,17.6,6.6,51.8,7.8
"58","Ryan Hilinski","NW",4800,NA,0,"Ques Sat - Concussion",38,55.5,50.9,"OSU",89.7,11.5,68.4,0.3,8.6,22.6,2.63,61.1,7.1,40.8,263.3,6.4
"59","Brendan Sullivan","NW",4600,9.93,2,"Healthy",38,55.5,50.9,"OSU",89.7,11.5,68.4,0.5,6.5,6.2,3.22,58.3,30.3,23.7,138.7,5.9
