,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Buffalo,2022-02-17 12:00:00,-525,3.81,-10.0,17.39,152.5,17.39,80.3,81.3,71.3
Eastern Michigan,2022-02-17 12:00:00,385,77.00,10.0,19.05,152.5,19.05,19.7,71.3,81.3
Minnesota,2022-02-17 16:00:00,200,40.00,5.5,20.00,128.0,18.18,31.8,61.3,66.8
Penn State,2022-02-17 16:00:00,-250,8.00,-5.5,16.67,128.0,18.18,68.2,66.8,61.3
Towson,2022-02-17 18:00:00,-150,13.33,-3.0,18.18,135.5,18.18,58.0,69.3,66.3
UNC-Wilmington,2022-02-17 18:00:00,130,26.00,3.0,18.18,135.5,18.18,42.0,66.3,69.3
Troy,2022-02-17 18:30:00,145,29.00,3.5,19.05,129.5,18.18,39.6,63.0,66.5
Appalachian State,2022-02-17 18:30:00,-165,12.12,-3.5,17.39,129.5,18.18,60.4,66.5,63.0
South Alabama,2022-02-17 19:00:00,-120,16.67,-1.5,19.05,136.0,18.18,52.2,68.8,67.3
Coastal Carolina,2022-02-17 19:00:00,100,20.00,1.5,17.39,136.0,18.18,47.8,67.3,68.8
Georgia Southern,2022-02-17 19:00:00,385,77.00,10.0,18.18,132.0,17.39,19.7,61.0,71.0
Georgia State,2022-02-17 19:00:00,-525,3.81,-10.0,18.18,132.0,19.05,80.3,71.0,61.0
Drexel,2022-02-17 19:00:00,-365,5.48,-8.0,17.39,140.0,17.39,74.9,74.0,66.0
William & Mary,2022-02-17 19:00:00,280,56.00,8.0,19.05,140.0,19.05,25.1,66.0,74.0
Delaware,2022-02-17 19:00:00,-180,11.11,-4.0,18.18,139.5,19.05,62.1,71.8,67.8
Elon,2022-02-17 19:00:00,155,31.00,4.0,18.18,139.5,17.39,37.9,67.8,71.8
James Madison,2022-02-17 19:00:00,215,43.00,6.5,17.39,154.5,17.39,30.4,74.0,80.5
College of Charleston,2022-02-17 19:00:00,-265,7.55,-6.5,19.05,154.5,19.05,69.6,80.5,74.0
St. Francis (NY),2022-02-17 19:00:00,190,38.00,6.0,18.18,127.0,18.18,33.0,60.5,66.5
Mount St. Mary's,2022-02-17 19:00:00,-235,8.51,-6.0,18.18,127.0,18.18,67.0,66.5,60.5
Wagner,2022-02-17 19:00:00,-425,4.71,-8.5,18.18,141.5,18.18,77.3,75.0,66.5
Sacred Heart,2022-02-17 19:00:00,320,64.00,8.5,18.18,141.5,18.18,22.7,66.5,75.0
North Texas,2022-02-17 19:00:00,-135,14.81,-2.0,17.39,123.0,18.18,55.3,62.5,60.5
Florida Atlantic,2022-02-17 19:00:00,115,23.00,2.0,19.05,123.0,18.18,44.7,60.5,62.5
Old Dominion,2022-02-17 19:00:00,110,22.00,2.0,18.18,145.0,18.18,45.7,71.5,73.5
Marshall,2022-02-17 19:00:00,-130,15.38,-2.0,18.18,145.0,18.18,54.3,73.5,71.5
