,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Evansville,2021-11-24 11:00:00,185,37.00,5.5,17.39,123.0,20.00,33.6,58.8,64.3
Akron,2021-11-24 11:00:00,-225,8.89,-5.5,19.05,123.0,16.67,66.4,64.3,58.8
Yale,2021-11-24 11:00:00,-180,11.11,-4.0,17.39,140.0,18.18,62.1,72.0,68.0
Wisconsin-Milwaukee,2021-11-24 11:00:00,155,31.00,4.0,19.05,140.0,18.18,37.9,68.0,72.0
North Dakota,2021-11-24 11:00:00,360,72.00,9.0,18.18,139.5,17.39,20.7,65.3,74.3
Florida International,2021-11-24 11:00:00,-490,4.08,-9.0,18.18,139.5,19.05,79.3,74.3,65.3
Wright State,2021-11-24 12:00:00,-475,4.21,-10.0,19.05,149.0,18.18,78.8,79.5,69.5
Long Beach State,2021-11-24 12:00:00,350,70.00,10.0,17.39,149.0,18.18,21.2,69.5,79.5
Eastern Illinois,2021-11-24 12:00:00,,,,,,,,,
Albany,2021-11-24 12:00:00,,,,,,,,,
Michigan State,2021-11-24 12:00:00,,,,,,,,,
Loyola-Chicago,2021-11-24 12:00:00,,,,,,,,,
Rider,2021-11-24 12:30:00,-140,14.29,-2.5,18.18,146.0,16.67,56.2,74.3,71.8
Bucknell,2021-11-24 12:30:00,120,24.00,2.5,18.18,146.0,20.00,43.8,71.8,74.3
Maryland-Eastern Shore,2021-11-24 13:00:00,850,170.00,17.5,20.00,123.5,18.18,10.1,53.0,70.5
Campbell,2021-11-24 13:00:00,-1500,1.33,-17.5,16.67,123.5,18.18,89.9,70.5,53.0
Vermont,2021-11-24 13:30:00,-195,10.26,-4.5,17.39,124.5,18.18,63.7,64.5,60.0
Appalachian State,2021-11-24 13:30:00,165,33.00,4.5,19.05,124.5,18.18,36.3,60.0,64.5
Southern Utah,2021-11-24 13:30:00,-150,13.33,-3.0,18.18,148.5,16.67,58.0,75.8,72.8
Bowling Green,2021-11-24 13:30:00,130,26.00,3.0,18.18,148.5,20.00,42.0,72.8,75.8
Stony Brook,2021-11-24 14:00:00,135,27.00,3.0,17.39,134.5,18.18,41.2,65.8,68.8
Fairfield,2021-11-24 14:00:00,-155,12.90,-3.0,19.05,134.5,18.18,58.8,68.8,65.8
Central Arkansas,2021-11-24 14:00:00,300,60.00,7.5,18.18,151.5,18.18,23.8,72.0,79.5
New Orleans,2021-11-24 14:00:00,-400,5.00,-7.5,18.18,151.5,18.18,76.2,79.5,72.0
Coppin State,2021-11-24 14:00:00,375,75.00,10.0,18.18,146.0,20.00,20.1,68.0,78.0
Canisius,2021-11-24 14:00:00,-510,3.92,-10.0,18.18,146.0,16.67,79.9,78.0,68.0
Fairleigh-Dickinson,2021-11-24 14:00:00,280,56.00,7.0,17.39,143.0,18.18,25.1,68.0,75.0
NJIT,2021-11-24 14:00:00,-365,5.48,-7.0,19.05,143.0,18.18,74.9,75.0,68.0
Houston,2021-11-24 14:30:00,-200,10.00,-4.5,18.18,131.0,17.39,64.3,67.8,63.3
Oregon,2021-11-24 14:30:00,170,34.00,4.5,18.18,131.0,19.05,35.7,63.3,67.8
Drexel,2021-11-24 14:30:00,135,27.00,3.5,18.18,133.0,18.18,41.2,64.8,68.3
Jacksonville State,2021-11-24 14:30:00,-155,12.90,-3.5,18.18,133.0,18.18,58.8,68.3,64.8
James Madison,2021-11-24 14:30:00,195,39.00,5.5,18.18,139.5,19.05,32.4,67.0,72.5
Murray State,2021-11-24 14:30:00,-240,8.33,-5.5,18.18,139.5,17.39,67.6,72.5,67.0
Auburn,2021-11-24 14:30:00,115,23.00,2.5,18.18,143.0,17.39,44.7,70.3,72.8
Connecticut,2021-11-24 14:30:00,-135,14.81,-2.5,18.18,143.0,19.05,55.3,72.8,70.3
Middle Tennessee St.,2021-11-24 15:00:00,170,34.00,5.0,18.18,134.0,18.18,35.7,64.5,69.5
Mercer,2021-11-24 15:00:00,-200,10.00,-5.0,18.18,134.0,18.18,64.3,69.5,64.5
Cal-Poly San Luis Obispo,2021-11-24 15:00:00,-300,6.67,-7.0,18.18,132.0,16.67,71.5,69.5,62.5
