"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Aaron Judge","NYY","14","37","43","11","7","2","0","2","6","3","6","0","10","0","0","0","1","1","0",".297","15640"
"Willson Contreras","CHC","10","27","32","8","4","3","0","1","6","2","3","0","7","2","0","0","2","0","0",".296","11609"
"Chad Pinder","OAK","9","27","27","8","4","2","0","2","5","5","0","0","10","0","0","0","0","1","0",".296","15191"
"Thairo Estrada","SFG","13","44","46","13","9","2","0","2","9","9","2","0","7","0","0","0","1","2","0",".295","16426"
"Byron Buxton","MIN","7","17","19","5","1","3","0","1","2","2","1","0","3","1","0","0","0","1","0",".294","14161"
"Diego Castillo","PIT","7","17","17","5","5","0","0","0","2","2","0","0","1","0","0","0","0","0","0",".294","19906"
"Nick Castellanos","PHI","13","41","46","12","6","4","0","2","6","5","4","0","10","1","0","0","1","0","0",".293","11737"
"Ji-Man Choi","TBR","12","24","35","7","4","1","0","2","5","5","11","1","9","0","0","0","0","0","0",".292","5452"
"Austin Meadows","DET","9","24","29","7","6","0","1","0","5","0","5","0","5","0","0","0","0","0","1",".292","15672"
"Myles Straw","CLE","12","38","42","11","8","2","1","0","9","1","4","0","5","0","0","0","0","3","0",".289","17620"
"Didi Gregorius","PHI","10","28","29","8","6","2","0","0","1","3","1","0","5","0","0","0","0","0","0",".286","6012"
"Gary Sanchez","MIN","9","21","24","6","3","3","0","0","1","4","2","0","6","1","0","0","1","1","0",".286","11442"
"Yonathan Daza","COL","4","7","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".286","15794"
"Austin Nola","SDP","11","21","27","6","6","0","0","0","2","6","2","0","2","2","2","0","0","0","0",".286","15941"
"Jason Vosler","SFG","2","7","7","2","1","1","0","0","0","1","0","0","3","0","0","0","0","0","1",".286","16686"
"Edmundo Sosa","STL","2","7","8","2","2","0","0","0","2","0","0","0","2","1","0","0","0","0","0",".286","17022"
"Ernie Clement","CLE","7","14","15","4","3","1","0","0","3","1","1","0","4","0","0","0","0","0","0",".286","20352"
"Jazz Chisholm Jr.","MIA","11","28","32","8","2","1","2","3","6","10","3","0","12","0","1","0","0","1","0",".286","20454"
"Lourdes Gurriel Jr.","TOR","14","46","51","13","10","3","0","0","6","6","3","0","5","1","1","0","0","1","0",".283","19238"
"Giancarlo Stanton","NYY","13","39","40","11","8","1","0","2","3","7","1","0","13","0","0","0","0","0","0",".282","4949"
