"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Kelvin Gutierrez","BAL","4","5","6","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".200","17468"
"Eloy Jimenez","CHW","9","30","31","6","5","1","0","0","1","4","1","0","9","0","0","0","0","0","0",".200","17484"
"Kevin Newman","PIT","9","25","28","5","2","2","1","0","2","4","3","0","5","0","0","0","2","0","1",".200","17696"
"Ramon Urias","BAL","12","30","31","6","5","1","0","0","2","1","1","0","10","0","0","0","0","0","0",".200","18795"
"Bryan Reynolds","PIT","12","35","39","7","4","0","1","2","2","3","4","0","14","0","0","0","2","0","0",".200","19326"
"Cooper Hummel","ARI","10","15","21","3","1","1","0","1","3","3","6","0","7","0","0","0","1","1","0",".200","19458"
"Adam Haseley","CHW","3","5","7","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0",".200","19878"
"Daulton Varsho","ARI","13","35","43","7","3","0","0","4","5","6","7","0","12","0","1","0","1","1","0",".200","19918"
"Nico Hoerner","CHC","10","25","26","5","4","0","0","1","3","2","1","0","2","0","0","0","1","2","0",".200","21479"
"Elvis Andrus","OAK","15","36","43","7","4","2","0","1","5","3","7","0","6","0","0","0","3","1","0",".194","8709"
"Jeimer Candelario","DET","11","36","39","7","4","3","0","0","5","2","3","0","10","0","0","0","1","0","0",".194","13621"
"Jesus Aguilar","MIA","11","31","37","6","6","0","0","0","0","3","4","0","8","0","2","0","1","0","0",".194","11342"
"Jake Cronenworth","SDP","15","31","42","6","4","1","1","0","4","4","8","1","5","2","1","0","0","0","0",".194","18036"
"Yoshi Tsutsugo","PIT","12","31","38","6","5","1","0","0","4","5","5","0","9","0","2","0","2","0","0",".194","27459"
"Pavin Smith","ARI","12","21","27","4","3","1","0","0","1","1","5","0","6","0","1","0","0","0","0",".190","19892"
"Willy Adames","MIL","13","37","42","7","4","2","0","1","6","2","5","0","13","0","0","0","2","0","1",".189","15986"
"Tim Anderson","CHW","9","32","33","6","4","2","0","0","2","2","1","0","7","0","0","0","0","2","0",".188","15172"
"Brian Anderson","MIA","9","16","23","3","3","0","0","0","3","1","7","0","8","0","0","0","0","1","0",".188","18289"
"Randy Arozarena","TBR","13","43","44","8","4","4","0","0","4","3","1","0","11","0","0","0","3","1","0",".186","19290"
"Sean Murphy","OAK","15","43","47","8","3","4","1","0","5","3","1","0","14","2","1","0","2","0","0",".186","19352"
"Cristian Pache","OAK","15","38","38","7","5","0","0","2","5","5","0","0","12","0","0","0","0","0","0",".184","19948"
"Bobby Witt Jr.","KCR","12","38","40","7","3","3","1","0","4","3","2","0","10","0","0","0","2","1","1",".184","25764"
"Roberto Perez","PIT","9","22","25","4","4","0","0","0","2","1","3","0","11","0","0","0","0","0","0",".182","2900"
"Miguel Rojas","MIA","12","33","34","6","5","0","1","0","3","2","1","0","3","0","0","0","0","0","0",".182","7802"
"Christian Walker","ARI","12","33","39","6","2","1","0","3","6","5","6","0","9","0","0","0","0","0","1",".182","13419"
"J.D. Davis","NYM","6","11","11","2","1","1","0","0","1","0","0","0","4","0","0","0","2","0","0",".182","16219"
"Kyle Schwarber","PHI","12","33","36","6","2","1","0","3","6","4","3","0","7","0","0","0","2","0","0",".182","16478"
"Taylor Ward","LAA","6","11","14","2","1","0","0","1","2","1","3","0","4","0","0","0","0","1","1",".182","17548"
"Yonny Hernandez","ARI","6","11","14","2","2","0","0","0","2","0","2","0","0","0","0","1","0","2","0",".182","19432"
"Luis Robert","CHW","10","33","34","6","4","1","0","1","4","1","1","0","5","0","0","0","0","4","1",".182","20043"
"Adam Duvall","ATL","14","39","43","7","4","3","0","0","3","5","3","0","15","1","0","0","0","0","0",".179","10950"
"Cedric Mullins II","BAL","13","28","30","5","2","1","1","1","2","4","1","0","5","1","0","0","0","1","1",".179","17929"
"Abraham Toro","SEA","10","28","31","5","1","3","0","1","3","3","3","0","4","0","0","0","1","0","0",".179","19844"
"Jorge Alfaro","SDP","6","17","19","3","2","1","0","0","1","1","0","0","9","1","1","0","0","1","0",".176","12180"
"Adolis Garcia","TEX","13","34","39","6","4","1","0","1","5","4","3","0","10","1","1","0","0","1","1",".176","19287"
"Ozzie Albies","ATL","15","40","48","7","3","1","0","3","5","5","6","0","10","1","1","0","0","1","1",".175","16556"
"Julio Rodriguez","SEA","13","40","42","7","5","2","0","0","5","3","2","0","18","0","0","0","0","3","0",".175","23697"
"Jorge Polanco","MIN","12","23","30","4","1","2","0","1","3","4","7","0","10","0","0","0","0","0","2",".174","13152"
"Nick Madrigal","CHC","11","23","27","4","3","1","0","0","3","1","3","0","3","1","0","0","0","0","0",".174","20521"
"Christian Yelich","MIL","13","29","38","5","1","3","0","1","6","6","7","0","13","1","1","0","0","1","0",".172","11477"
"Lane Thomas","WSN","12","29","34","5","2","3","0","0","1","4","4","0","12","0","1","0","0","0","0",".172","16939"
"Alcides Escobar","WSN","13","35","39","6","5","1","0","0","3","2","3","0","12","1","0","0","1","1","0",".171","6310"
"Paul Goldschmidt","STL","12","35","42","6","5","1","0","0","5","3","6","0","5","0","0","0","1","2","0",".171","9218"
"Adalberto Mondesi","KCR","12","35","37","6","6","0","0","0","3","2","2","0","13","0","0","0","1","3","0",".171","13769"
"Rhys Hoskins","PHI","14","35","44","6","3","3","0","0","3","3","9","0","14","0","0","0","1","0","0",".171","16472"
"Bobby Dalbec","BOS","12","35","37","6","4","1","0","1","4","1","2","0","7","0","0","0","0","0","0",".171","19966"
"Jarred Kelenic","SEA","13","35","39","6","2","1","1","2","4","6","3","0","13","0","1","0","0","2","1",".171","22558"
"Robbie Grossman","DET","9","18","21","3","3","0","0","0","2","1","1","0","7","1","1","0","0","0","0",".167","5254"
"Avisail Garcia","MIA","9","30","31","5","4","1","0","0","1","0","1","0","8","0","0","0","1","0","0",".167","5760"
"Niko Goodrum","HOU","5","12","12","2","1","1","0","0","1","0","0","0","7","0","0","0","0","0","0",".167","12092"
"Jacob Stallings","MIA","10","30","31","5","4","0","0","1","2","3","1","0","9","0","0","0","1","0","0",".167","13723"
"Cole Tucker","PIT","10","30","30","5","4","0","1","0","1","0","0","0","12","0","0","0","1","1","0",".167","17326"
"Drew Ellis","ARI","2","6","5","1","1","0","0","0","1","1","0","0","2","0","0","0","0","0","0",".167","19873"
"Alejo Lopez","CIN","3","6","6","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".167","21127"
"Dansby Swanson","ATL","15","37","41","6","2","4","0","0","3","2","4","0","17","0","0","0","3","0","0",".162","18314"
"Trent Grisham","SDP","14","37","44","6","4","2","0","0","0","1","6","0","14","0","0","1","0","0","0",".162","18564"
"Jake Burger","CHW","10","25","26","4","3","0","0","1","2","3","0","0","8","0","0","1","1","0","0",".160","22275"
"Salvador Perez","KCR","12","38","40","6","2","0","0","4","4","6","1","0","9","1","0","0","1","0","0",".158","7304"
"Lorenzo Cain","MIL","7","19","20","3","2","1","0","0","3","2","0","0","5","0","1","0","1","0","0",".158","9077"
"Corey Dickerson","STL","6","19","22","3","3","0","0","0","1","3","3","0","3","0","0","0","0","0","0",".158","10762"
"Jose Rojas","LAA","6","19","19","3","1","2","0","0","1","1","0","0","5","0","0","0","0","0","0",".158","19331"
"Max Muncy","LAD","12","32","42","5","1","2","0","2","5","5","9","0","8","1","0","0","0","0","0",".156","13301"
"Trey Mancini","BAL","14","32","36","5","4","1","0","0","2","1","3","0","9","0","1","0","0","0","0",".156","15149"
"Brandon Lowe","TBR","14","32","39","5","3","0","0","2","7","3","7","0","8","0","0","0","1","0","0",".156","18882"
"Carlos Correa","MIN","13","33","36","5","4","0","0","1","3","3","3","0","12","0","0","0","3","0","0",".152","14162"
"Yadier Molina","STL","7","20","20","3","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0",".150","7007"
"Jake Fraley","CIN","10","20","23","3","1","1","0","1","3","3","3","0","4","0","0","0","0","1","0",".150","19260"
"Kevin Smith","OAK","10","20","21","3","2","1","0","0","0","0","1","0","7","0","0","0","1","0","0",".150","20242"
"Jose Altuve","HOU","9","27","32","4","4","0","0","0","1","2","5","0","8","0","0","0","2","2","0",".148","5417"
"Rougned Odor","BAL","11","27","30","4","3","1","0","0","1","3","2","0","8","1","0","0","1","0","0",".148","12282"
"Gleyber Torres","NYY","12","27","31","4","2","1","0","1","1","2","2","0","7","1","1","0","1","0","0",".148","16997"
"Paul DeJong","STL","10","27","30","4","2","1","0","1","1","3","3","0","9","0","0","0","0","0","0",".148","18015"
"CJ Abrams","SDP","10","27","32","4","2","1","0","1","4","2","3","0","7","1","0","1","1","1","1",".148","25768"
"Darin Ruf","SFG","14","34","41","5","5","0","0","0","4","2","6","0","11","1","0","0","0","0","0",".147","9929"
"Jesse Winker","SEA","14","34","43","5","5","0","0","0","3","2","9","0","6","0","0","0","0","0","0",".147","13590"
"Tucker Barnhart","DET","8","14","18","2","2","0","0","0","0","0","4","0","8","0","0","0","0","0","0",".143","10200"
"Whit Merrifield","KCR","12","42","44","6","5","1","0","0","1","2","2","0","4","0","0","0","1","3","0",".143","11281"
"Brandon Drury","CIN","7","14","14","2","0","1","0","1","1","3","0","0","3","0","0","0","0","0","0",".143","11615"
"Max Kepler","MIN","11","28","31","4","3","0","0","1","3","2","2","0","8","1","0","0","1","1","0",".143","12144"
"Anthony Rendon","LAA","11","21","26","3","3","0","0","0","1","1","4","0","10","1","0","0","0","1","0",".143","12861"
"Dominic Smith","NYM","10","21","23","3","3","0","0","0","0","1","2","0","9","0","0","0","0","0","0",".143","15653"
"Tyler O'Neill","STL","11","35","40","5","3","1","0","1","5","5","4","0","8","0","1","0","3","1","0",".143","15711"
"Aledmys Diaz","HOU","8","21","23","3","2","1","0","0","1","1","1","0","6","1","0","0","0","0","0",".143","15937"
"Simon Muzziotti","PHI","4","7","9","1","1","0","0","0","0","0","0","0","2","1","0","1","0","0","0",".143","19553"
"Nick Allen","OAK","3","7","7","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".143","22277"
"Luke Voit","SDP","13","29","35","4","3","1","0","0","4","2","5","0","12","0","1","0","3","1","0",".138","14811"
"Yuli Gurriel","HOU","10","29","29","4","3","1","0","0","0","2","0","0","5","0","0","0","2","0","0",".138","19198"
"Ryan Jeffers","MIN","9","22","23","3","2","1","0","0","1","0","1","0","9","0","0","0","1","0","0",".136","24618"
"Joey Gallo","NYY","12","30","34","4","4","0","0","0","0","0","4","0","13","0","0","0","0","0","0",".133","14128"
"Kyle Tucker","HOU","13","30","35","4","2","0","0","2","3","4","5","1","7","0","0","0","0","1","0",".133","18345"
"Mitch Garver","TEX","10","23","29","3","3","0","0","0","1","2","5","0","6","0","1","0","1","0","0",".130","15161"
"Robinson Chirinos","BAL","8","8","12","1","1","0","0","0","0","1","3","0","3","1","0","0","0","0","0",".125","3142"
"Enrique Hernandez","BOS","13","40","44","5","2","3","0","0","4","2","4","0","10","0","0","0","3","0","0",".125","10472"
"Tomas Nido","NYM","6","16","18","2","2","0","0","0","1","1","0","0","6","0","1","1","2","0","0",".125","13755"
"Andrew Velazquez","LAA","8","16","18","2","1","1","0","0","1","0","2","0","4","0","0","0","0","1","0",".125","14196"
"Danny Mendick","CHW","4","8","9","1","0","1","0","0","0","1","1","0","4","0","0","0","0","0","0",".125","18889"
"Jake McCarthy","ARI","10","16","17","2","2","0","0","0","2","0","0","0","9","0","0","1","0","0","0",".125","21622"
"Joey Votto","CIN","13","25","29","3","2","1","0","0","3","0","4","0","8","0","0","0","0","0","0",".120","4314"
"Bryson Stott","PHI","9","25","26","3","3","0","0","0","0","2","1","0","7","0","0","0","0","0","0",".120","26294"
"Jace Peterson","MIL","12","26","31","3","3","0","0","0","2","0","5","0","6","0","0","0","0","2","0",".115","12325"
"Josh Harrison","CHW","7","18","19","2","0","1","1","0","2","0","1","0","2","0","0","0","0","0","0",".111","8202"
"Curt Casali","SFG","5","9","10","1","1","0","0","0","0","0","1","0","5","0","0","0","1","0","0",".111","12510"
"Billy McKinney","OAK","11","27","30","3","3","0","0","0","2","2","3","1","7","0","0","0","0","0","0",".111","15654"
"Leury Garcia","CHW","10","28","30","3","2","1","0","0","2","0","2","0","7","0","0","0","0","0","0",".107","5913"
"Kevin Kiermaier","TBR","10","19","21","2","1","1","0","0","1","2","2","0","8","0","0","0","0","0","0",".105","11038"
"Austin Hedges","CLE","8","19","22","2","2","0","0","0","1","1","1","0","7","1","0","1","0","0","0",".105","12976"
"Akil Baddoo","DET","9","19","21","2","1","0","0","1","2","1","2","0","5","0","0","0","0","0","0",".105","22168"
"Yasmani Grandal","CHW","10","29","31","3","2","0","0","1","1","4","1","0","6","0","1","0","0","0","0",".103","11368"
"Mike Moustakas","CIN","8","20","21","2","2","0","0","0","2","1","0","0","9","0","1","0","0","0","0",".100","4892"
"Jason Castro","HOU","6","10","14","1","1","0","0","0","0","0","3","0","5","1","0","0","0","0","0",".100","8722"
"David Fletcher","LAA","4","10","10","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0",".100","17992"
"Guillermo Heredia","ATL","7","10","11","1","1","0","0","0","1","0","1","0","5","0","0","0","0","0","0",".100","18721"
"Alex Kirilloff","MIN","5","10","11","1","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0",".100","20325"
"Bryan Lavastida","CLE","4","10","13","1","1","0","0","0","0","0","3","0","2","0","0","0","0","0","0",".100","24765"
"Eddie Rosario","ATL","13","31","34","3","2","1","0","0","2","0","3","0","6","0","0","0","0","0","0",".097","12155"
"Brendan Rodgers","COL","11","31","33","3","2","1","0","0","2","1","1","0","12","0","1","0","0","0","0",".097","17907"
"Martin Maldonado","HOU","9","21","25","2","0","1","0","1","4","4","2","0","5","0","1","1","0","0","0",".095","6887"
"Sergio Alcantara","ARI","10","21","23","2","0","1","0","1","3","4","1","0","5","0","1","0","0","0","0",".095","16417"
"Tommy Pham","CIN","11","22","23","2","1","0","0","1","1","2","1","0","7","0","0","0","2","0","0",".091","2967"
"Willie Calhoun","TEX","11","22","27","2","0","1","0","1","4","1","5","0","1","0","0","0","0","0","0",".091","17838"
"Lars Nootbaar","STL","5","11","14","1","1","0","0","0","3","1","3","0","7","0","0","0","0","0","0",".091","21454"
"Albert Pujols","STL","5","12","14","1","1","0","0","0","0","0","2","0","3","0","0","0","0","0","1",".083","1177"
"Jonathan Schoop","DET","12","36","40","3","0","2","0","1","1","2","3","0","8","1","0","0","1","0","0",".083","11265"
"Kyle Higashioka","NYY","9","25","26","2","1","1","0","0","1","0","0","0","6","0","0","1","1","0","0",".080","5517"
"Miguel Sano","MIN","11","26","32","2","1","0","0","1","1","3","5","0","9","0","1","0","0","1","0",".077","12164"
"Bradley Zimmer","TOR","5","13","13","1","0","0","0","1","1","1","0","0","6","0","0","0","0","0","0",".077","16221"
"Mauricio Dubon","SFG","7","13","14","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0",".077","16530"
"Stephen Vogt","OAK","6","14","15","1","0","0","0","1","2","1","1","0","6","0","0","0","0","0","0",".071","5000"
"Anthony Bemboom","BAL","7","14","17","1","1","0","0","0","0","0","3","0","3","0","0","0","1","0","0",".071","13854"
"Matt Beaty","SDP","5","14","14","1","1","0","0","0","2","0","0","0","5","0","0","0","1","0","0",".071","17710"
"Nick Senzel","CIN","7","14","15","1","0","1","0","0","0","1","0","0","4","0","0","0","0","0","0",".071","19293"
"Nick Solak","TEX","8","14","16","1","1","0","0","0","1","0","2","0","3","0","0","0","0","0","0",".071","19294"
"Cal Raleigh","SEA","7","14","16","1","1","0","0","0","0","0","2","0","4","0","0","0","0","0","0",".071","21534"
"Aristides Aquino","CIN","6","15","16","1","0","0","0","1","1","2","1","0","10","0","0","0","0","0","0",".067","15482"
"Cavan Biggio","TOR","10","15","18","1","1","0","0","0","2","0","2","0","7","1","0","0","1","0","0",".067","19252"
"Geraldo Perdomo","ARI","9","17","26","1","0","1","0","0","1","0","7","0","8","2","0","0","0","1","1",".059","22799"
"Mike Zunino","TBR","7","18","20","1","0","1","0","0","1","1","1","0","10","0","1","0","0","0","0",".056","13265"
"Carson Kelly","ARI","8","21","22","1","1","0","0","0","2","0","0","0","10","1","0","0","1","0","0",".048","13620"
"Alex Dickerson","ATL","9","22","24","1","1","0","0","0","0","0","2","0","6","0","0","0","3","0","0",".045","12649"
"Victor Robles","WSN","11","26","29","1","1","0","0","0","0","0","2","0","12","0","0","1","0","0","0",".038","18363"
"Carlos Santana","KCR","10","28","34","1","0","1","0","0","2","0","6","0","3","0","0","0","0","0","0",".036","2396"
"Charlie Culberson","TEX","4","2","3","0","0","0","0","0","3","0","1","0","2","0","0","0","0","0","0",".000","3298"
"Marwin Gonzalez","NYY","4","4","5","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0",".000","5497"
"Matt Davidson","ARI","2","3","5","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",".000","7226"
"Dee Strange-Gordon","WSN","2","3","3","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".000","8203"
"Dustin Garneau","DET","2","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","9433"
"Odubel Herrera","PHI","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","11476"
"Travis Shaw","BOS","4","14","14","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0",".000","11982"
"Jon Berti","MIA","4","3","4","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0",".000","12037"
"Nick Ahmed","ARI","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12147"
"Christian Lopes","OAK","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","13472"
"Kevin Plawecki","BOS","3","5","7","0","0","0","0","0","0","1","1","0","2","0","1","0","0","0","0",".000","13807"
"Yu Chang","CLE","3","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","14773"
"Andrew Knapp","PIT","4","9","11","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0",".000","14942"
"Tim Locastro","NYY","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".000","15124"
"Gosuke Katoh","TOR","1","1","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","15697"
"Clint Frazier","CHC","6","7","7","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0",".000","15983"
"Michael Hermosillo","CHC","3","4","5","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","16285"
"Ryan O'Hearn","KCR","2","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".000","16442"
"Jose Herrera","ARI","6","13","15","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0",".000","17040"
"Bobby Bradley","CLE","5","11","11","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0",".000","17278"
"Willi Castro","DET","2","3","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1",".000","17338"
"JT Riddle","CIN","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","17642"
"D.J. Stewart","BAL","3","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","17766"
"Dylan Moore","SEA","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","18042"
"Kyle Garlick","MIN","4","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","18063"
"Austin Allen","OAK","3","3","4","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".000","18083"
"Daz Cameron","DET","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","18353"
"Nick Plummer","NYM","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18690"
"Lucius Fox","WSN","4","10","11","0","0","0","0","0","1","1","0","0","7","0","0","1","0","0","0",".000","18899"
"Garrett Hampson","COL","2","4","5","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0",".000","19262"
"Eli White","TEX","3","2","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".000","19346"
"T.J. Friedl","CIN","3","6","7","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0",".000","19522"
"Mike Brosseau","MIL","4","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","19683"
"Edward Olivares","KCR","2","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0",".000","19698"
"Reiver Sanmartin","CIN","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","19754"
"Riley Adams","WSN","3","3","5","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0",".000","19864"
"Luke Williams","SFG","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","19931"
"J.J. Matijevic","HOU","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","20165"
"Gilberto Celestino","MIN","2","1","2","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".000","20233"
"Jonathan Arauz","BOS","4","4","5","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0",".000","20275"
"Luis Gonzalez","SFG","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","20332"
"William Contreras","ATL","1","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","20503"
"Mickey McDonald","OAK","2","2","3","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".000","20533"
"Matt Vierling","PHI","9","17","20","0","0","0","0","0","0","2","1","0","6","1","1","0","1","0","0",".000","21558"
"Kyle Isbel","KCR","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".000","21614"
"Payton Henry","MIA","3","6","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","22164"
"Joe Perez","HOU","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","22254"
"Heliot Ramos","SFG","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","22515"
