last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Winker, Jesse,608385,2022,.266,.477,.400,.437,.211,88.3,25.5,8.1,
Reyes, Franmil,614177,2022,.202,.356,.253,.232,.153,93.5,17.1,9.7,
Swanson, Dansby,621020,2022,.210,.331,.271,.280,.121,87.7,10.7,6.9,
Taylor, Chris,621035,2022,.256,.415,.339,.355,.159,88,12.6,12,
Correa, Carlos,621043,2022,.239,.409,.311,.308,.170,92.5,7.7,3,
Wisdom, Patrick,621550,2022,.199,.529,.326,.266,.330,92.8,14.7,21.7,
Olson, Matt,621566,2022,.355,.556,.441,.472,.202,93.5,9.2,9.5,
Mateo, Jorge,622761,2022,.259,.380,.307,.321,.121,88,18.2,3.4,
Santander, Anthony,623993,2022,.301,.465,.411,.472,.164,91.7,18.2,6.1,
Alonso, Pete,624413,2022,.264,.525,.349,.313,.261,88.8,21,15.6,
Frazier, Adam,624428,2022,.274,.398,.326,.344,.125,83.5,9.8,2.1,
Soler, Jorge,624585,2022,.228,.357,.306,.327,.129,87.6,7.7,6.1,
Ibanez, Andy,628451,2022,.225,.461,.293,.243,.237,91.1,22.1,8.6,
Cronenworth, Jake,630105,2022,.250,.426,.357,.391,.176,87.2,15.2,5.1,
Meadows, Austin,640457,2022,.286,.460,.379,.405,.174,82.9,17.2,7.7,
Mercado, Oscar,640458,2022,.198,.450,.266,.198,.252,89.8,25.2,9.4,
Bellinger, Cody,641355,2022,.255,.419,.323,.327,.165,89.8,14.7,9.7,
Crawford, J.P.,641487,2022,.326,.451,.398,.451,.125,81.2,10.5,2.3,
Garver, Mitch,641598,2022,.226,.372,.338,.359,.147,88.8,16.6,3.3,
Mancini III, Trey,641820,2022,.345,.600,.411,.386,.255,92.5,9.1,13.2,
McMahon, Ryan,641857,2022,.263,.536,.380,.359,.273,91.8,15.1,17.2,
Neuse, Sheldon,641914,2022,.277,.378,.327,.355,.101,88.4,5.6,3.6,
O'Neill, Tyler,641933,2022,.243,.354,.310,.331,.111,86.7,13.8,5.6,
Tellez, Rowdy,642133,2022,.300,.667,.420,.349,.367,89.3,14,15.2,
Rosario, Amed,642708,2022,.313,.422,.328,.338,.108,88.5,3.2,2.3,
Adames, Willy,642715,2022,.266,.417,.343,.366,.151,89.7,15.1,6.1,
Estrada, Thairo,642731,2022,.239,.391,.290,.281,.152,89,6.3,4.7,
Benintendi, Andrew,643217,2022,.254,.434,.322,.317,.181,88.1,8.2,5.6,
Cooper, Garrett,643265,2022,.235,.380,.337,.365,.145,84,-2.2,8.3,
Kemp, Tony,643393,2022,.253,.347,.316,.358,.094,84.3,7.1,2.3,
Kiner-Falefa, Isiah,643396,2022,.299,.388,.321,.345,.089,90,4.7,0,
McNeil, Jeff,643446,2022,.272,.427,.339,.350,.155,86.6,13.2,4.5,
Schwindel, Frank,643524,2022,.239,.360,.279,.280,.121,86.4,9.2,2.2,
Albies, Ozzie,645277,2022,.290,.547,.381,.361,.256,88.9,17.7,11.1,
Robles, Victor,645302,2022,.193,.265,.234,.252,.071,86.3,-1.8,4,
Devers, Rafael,646240,2022,.320,.594,.388,.342,.274,89.5,6.9,11.8,
Arraez, Luis,650333,2022,.285,.462,.349,.366,.178,87,13.5,5.7,
Torres, Gleyber,650402,2022,.249,.439,.319,.300,.190,89.6,19,6.1,
Diaz, Yandy,650490,2022,.279,.360,.336,.386,.081,90.4,3.4,0,
Chapman, Matt,656305,2022,.227,.411,.308,.300,.183,91.5,25.9,5.9,
Hoskins, Rhys,656555,2022,.235,.463,.372,.388,.227,92.8,18.1,17.9,
Joe, Connor,656582,2022,.314,.564,.422,.424,.250,88.6,12.5,9.1,
Mullins II, Cedric,656775,2022,.263,.531,.361,.324,.269,90.6,16.2,15,
Schwarber, Kyle,656941,2022,.187,.421,.298,.273,.233,87.1,6.4,11.8,
Smith, Pavin,656976,2022,.219,.454,.383,.367,.234,90.9,19.9,20.7,
Thomas, Lane,657041,2022,.223,.388,.290,.286,.165,87,18.9,3.4,
Verdugo, Alex,657077,2022,.316,.638,.397,.367,.322,92.3,7,8.9,
Ohtani, Shohei,660271,2022,.226,.442,.300,.275,.216,91.5,18.3,10.3,
Tsutsugo, Yoshi,660294,2022,.239,.343,.315,.355,.103,89.2,8.8,3.4,
Ruiz, Keibert,660688,2022,.277,.516,.325,.272,.239,88.9,15.1,4.5,
Sanchez, Jesus,660821,2022,.323,.565,.393,.362,.242,90.9,5.1,11.1,
Varsho, Daulton,662139,2022,.237,.570,.411,.367,.332,89.9,16.2,20.7,
Hoerner, Nico,663538,2022,.312,.426,.322,.327,.115,89.6,3.2,5.4,
Riley, Austin,663586,2022,.318,.604,.436,.429,.286,93.4,12.6,13.2,
Madrigal, Nick,663611,2022,.301,.367,.321,.359,.067,88.5,-2,0,
Mountcastle, Ryan,663624,2022,.315,.476,.354,.351,.161,90.8,12.3,10.5,
Hayes, Ke'Bryan,663647,2022,.327,.518,.394,.401,.191,91.2,3.4,7.7,
Tucker, Kyle,663656,2022,.275,.631,.404,.359,.356,89.7,19.1,11.4,
Grisham, Trent,663757,2022,.200,.330,.281,.300,.130,83.3,13.5,6.3,
Rodgers, Brendan,663898,2022,.147,.190,.216,.235,.042,87,5.5,3.7,
Lowe, Nathaniel,663993,2022,.357,.485,.386,.405,.128,89.8,0.9,4.7,
Happ, Ian,664023,2022,.281,.452,.368,.390,.171,92.2,6.1,7.1,
France, Ty,664034,2022,.329,.530,.413,.428,.201,87.4,10.7,6.5,
Lowe, Brandon,664040,2022,.228,.432,.320,.313,.204,86.9,14.2,7.3,
Bader, Harrison,664056,2022,.217,.347,.281,.290,.129,87.7,15.6,6.9,
Straw, Myles,664702,2022,.204,.252,.272,.325,.048,86.8,4.4,0,
Brown, Seth,664913,2022,.241,.446,.325,.309,.206,89.8,16,12.1,
Walsh, Jared,665120,2022,.267,.451,.331,.318,.184,89.3,4.9,7.1,
Pena, Jeremy,665161,2022,.252,.549,.392,.339,.298,92,10.9,18.8,
Guerrero Jr., Vladimir,665489,2022,.346,.767,.482,.413,.422,93.8,10.2,21.6,
Pache, Cristian,665506,2022,.255,.467,.310,.270,.213,90.5,1.9,13.5,
Soto, Juan,665742,2022,.299,.583,.443,.467,.284,89.8,9.8,11.1,
Lowe, Josh,666139,2022,.185,.306,.247,.270,.121,90.4,7.3,4,
Adell, Jo,666176,2022,.265,.525,.336,.281,.260,92.7,13.3,20,
Beer, Seth,666179,2022,.280,.458,.340,.349,.178,92.9,12.5,3.6,
Bichette, Bo,666182,2022,.286,.437,.313,.297,.152,88.9,2.6,6.7,
Carlson, Dylan,666185,2022,.214,.272,.249,.275,.058,83.4,9.7,0,
Dalbec, Bobby,666915,2022,.256,.496,.346,.318,.240,89.2,21.5,12.5,
Garcia, Adolis,666969,2022,.242,.379,.315,.339,.137,93.5,17.3,2.9,
Gurriel Jr., Lourdes,666971,2022,.258,.434,.320,.308,.176,92.6,12.9,2.3,
Arozarena, Randy,668227,2022,.220,.267,.220,.234,.047,87.6,-3.6,0,
Reynolds, Bryan,668804,2022,.241,.448,.317,.295,.207,86.1,8.7,8.1,
Murphy, Sean,669221,2022,.264,.604,.375,.307,.340,93.6,22.3,17.5,
Edman, Tommy,669242,2022,.286,.507,.373,.363,.221,85.7,1.5,11.4,
Espinal, Santiago,669289,2022,.316,.513,.384,.388,.197,88.9,16.5,8.8,
Hays, Austin,669720,2022,.261,.391,.322,.342,.130,89.8,13.2,2.6,
Kelenic, Jarred,672284,2022,.167,.387,.274,.243,.220,84.7,19.1,11.1,
Kirk, Alejandro,672386,2022,.234,.339,.298,.339,.105,87.6,5.4,2.9,
Robert, Luis,673357,2022,.340,.724,.445,.355,.384,91.3,9.7,15.8,
Suzuki, Seiya,673548,2022,.238,.539,.427,.444,.300,91.6,10,24,
Franco, Wander,677551,2022,.429,.749,.503,.443,.321,92,5.3,11.3,
Rodriguez, Julio,677594,2022,.189,.290,.240,.251,.102,91.5,-1.1,4,
Witt Jr., Bobby,677951,2022,.154,.223,.182,.191,.069,89.3,16,0,
Kwan, Steven,680757,2022,.306,.428,.402,.463,.122,83.2,17.7,2.8,
