"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jonah Heim","TEX","3","3","5","3","2","0","0","1","3","4","2","0","0","0","0","0","0","0","0","1.000","16930"
"Yonathan Daza","COL","3","5","5","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".800","15794"
"Tim Anderson","CHW","4","8","8","6","3","2","0","1","2","3","0","0","0","0","0","0","0","0","0",".750","15172"
"Albert Pujols","STL","4","9","10","6","3","1","0","2","5","4","0","0","1","1","0","0","0","0","0",".667","1177"
"Javier Baez","DET","2","3","3","2","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".667","12979"
"Manuel Margot","TBR","8","9","11","6","5","1","0","0","2","2","2","0","0","0","0","0","0","1","0",".667","14712"
"Yadiel Hernandez","WSN","3","3","3","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".667","19334"
"Tyler Wade","LAA","3","5","6","3","3","0","0","0","2","1","1","0","1","0","0","0","0","1","1",".600","15730"
"Nicky Lopez","KCR","4","5","5","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".600","19339"
"Ji-Man Choi","TBR","7","7","7","4","2","2","0","0","2","3","0","0","3","0","0","0","0","0","0",".571","5452"
"Salvador Perez","KCR","5","7","7","4","2","1","0","1","2","1","0","0","2","0","0","0","0","0","0",".571","7304"
"Manny Machado","SDP","8","16","18","9","6","0","0","3","5","6","2","0","2","0","0","0","0","1","0",".563","11493"
"DJ LeMahieu","NYY","7","11","14","6","5","1","0","0","2","0","1","0","2","2","0","0","0","0","0",".545","9874"
"Eric Hosmer","SDP","9","15","16","8","6","2","0","0","2","1","1","0","2","0","0","0","0","0","0",".533","3516"
"Randal Grichuk","COL","5","8","9","4","3","1","0","0","0","1","1","0","1","0","0","0","0","1","0",".500","10243"
"Jon Berti","MIA","3","6","8","3","2","1","0","0","2","0","2","0","1","0","0","0","0","0","0",".500","12037"
"Stephen Piscotty","OAK","4","4","6","2","2","0","0","0","1","1","2","0","1","0","0","0","0","0","0",".500","13367"
"Travis Jankowski","NYM","3","4","4","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","13768"
"Andrew Knapp","PIT","1","2","2","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0",".500","14942"
"Johan Camargo","PHI","6","8","8","4","3","0","0","1","1","3","0","0","1","0","0","0","0","0","0",".500","14950"
"Victor Reyes","DET","4","4","6","2","2","0","0","0","1","2","2","0","0","0","0","0","0","0","0",".500","15487"
"Travis Demeritte","ATL","1","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","15958"
"Jose Herrera","ARI","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","17040"
"Willi Castro","DET","3","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".500","17338"
"Taylor Ward","LAA","5","12","14","6","5","1","0","0","2","0","2","0","2","0","0","0","1","0","1",".500","17548"
"Danny Mendick","CHW","1","2","2","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".500","18889"
"Luke Williams","SFG","2","4","4","2","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0",".500","19931"
"Alec Bohm","PHI","7","8","12","4","2","2","0","0","2","2","2","0","1","0","2","0","0","0","0",".500","21618"
"Jake Burger","CHW","3","6","7","3","2","1","0","0","2","1","1","0","2","0","0","0","0","0","0",".500","22275"
"Nick Solak","TEX","8","15","16","7","5","0","0","2","5","3","0","0","4","1","0","0","0","0","1",".467","19294"
"Sean Murphy","OAK","9","15","16","7","1","3","0","3","4","8","1","0","5","0","0","0","0","0","0",".467","19352"
"Wander Franco","TBR","10","15","16","7","3","2","1","1","4","5","1","0","1","0","0","0","0","0","0",".467","23667"
"Ian Happ","CHC","7","13","13","6","6","0","0","0","1","2","0","0","3","0","0","0","1","0","0",".462","17919"
"Tyler O'Neill","STL","5","9","12","4","4","0","0","0","3","2","2","0","2","0","1","0","0","0","0",".444","15711"
"Josh Naylor","CLE","4","9","10","4","3","1","0","0","1","1","1","0","1","0","0","0","0","0","0",".444","18839"
"Chas McCormick","HOU","3","7","7","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1",".429","19599"
"Eduardo Escobar","NYM","10","12","14","5","1","3","1","0","3","2","2","0","2","0","0","0","0","0","0",".417","6153"
"Nick Castellanos","PHI","6","12","13","5","4","0","0","1","2","2","1","0","2","0","0","0","0","0","0",".417","11737"
"Jose Ramirez","CLE","7","12","14","5","3","0","0","2","3","8","1","0","0","1","0","0","0","0","0",".417","13510"
"Tommy Edman","STL","7","12","12","5","2","1","1","1","2","2","0","0","2","0","0","0","1","0","0",".417","19470"
"Michael Chavis","PIT","8","17","17","7","6","0","0","1","1","4","0","0","2","0","0","0","0","0","1",".412","17321"
"Dustin Garneau","DET","3","5","5","2","1","1","0","0","1","1","0","0","2","0","0","0","0","0","0",".400","9433"
"Xander Bogaerts","BOS","7","10","10","4","4","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".400","12161"
"Jorge Alfaro","SDP","3","5","5","2","1","0","0","1","1","1","0","0","3","0","0","0","0","0","0",".400","12180"
"C.J. Cron","COL","7","10","11","4","2","0","1","1","4","3","0","0","3","1","0","0","0","0","0",".400","12546"
"Connor Joe","COL","6","15","17","6","4","2","0","0","1","1","2","0","3","0","0","0","0","0","0",".400","16572"
"Aramis Garcia","CIN","4","5","6","2","2","0","0","0","1","0","1","0","3","0","0","0","0","0","0",".400","16925"
"Eloy Jimenez","CHW","4","5","7","2","1","0","0","1","1","3","1","0","1","0","1","0","0","0","0",".400","17484"
