"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","X.Drafted","FPTS","date","tournament"
"119","Jared Wolfe",22311834,6200,45.11,0.0029,0.0041,86,0.0012,0.4138,44.25,0.55,69.5,22.5,0.66,1,0.28,14.32,15,0.0047,31.5,"2022-04-28","Mexico Open"
"120","Johnson Wagner",22311835,6200,67.75,6e-04,0.0027,108,0.0021,3.5,40.65,0.46,66.5,21.5,0.44,1,0.06,24.25,25,0.0103,13.5,"2022-04-28","Mexico Open"
"121","D.J. Trahan",22311836,6200,46.3,2e-04,0.0014,126,0.0012,6,43.53,0.61,69,22,0.23,1,-0.15,22.29,25,0.0016,31,"2022-04-28","Mexico Open"
"122","Ricky Barnes",22311838,6100,37.88,1e-04,1e-04,137,0,0,34.52,0.05,60.5,19,0.02,1,-0.29,9.78,10,5e-04,22.5,"2022-04-28","Mexico Open"
"123","Grayson Murray",22311839,6100,49.43,3e-04,0.0021,117,0.0018,6,31.43,0.63,57,18.5,0.34,1,0.03,23.62,25,0.004,81.5,"2022-04-28","Mexico Open"
"124","Jeffrey Kang",22311840,6100,24.5,1e-04,0.0019,122,0.0018,18,34.25,0.24,60.5,19.5,0.31,1,0,23.6,25,4e-04,38,"2022-04-28","Mexico Open"
"125","Mark Hensby",22311841,6100,54.67,0.0023,0.0012,131,-0.0011,-0.4783,30.66,0.42,53.5,18,0.2,1,-0.11,10.01,10,0.0085,24.5,"2022-04-28","Mexico Open"
"126","Greg Chalmers",22311842,6100,53.12,7e-04,0.0023,113,0.0016,2.2857,32.49,0.43,58,19,0.38,1,0.07,23.25,25,0.0016,30.5,"2022-04-28","Mexico Open"
"127","Jim Knous",22311843,6100,53.3,8e-04,0.0028,106,0.002,2.5,45.32,0.34,71,22.5,0.46,1,0.15,24.11,25,0.0034,28,"2022-04-28","Mexico Open"
"128","Arjun Atwal",22311844,6100,52,2e-04,0.002,119,0.0018,9,44.24,0.29,70,22.5,0.33,1,0.02,23.62,25,0.0031,27.5,"2022-04-28","Mexico Open"
"129","Jonas Blixt",22311845,6100,32.8,1e-04,0.0013,128,0.0012,12,31.22,0.06,56,18.43,0.21,1,-0.1,22.33,20,5e-04,32,"2022-04-28","Mexico Open"
"130","Ben Crane",22311846,6100,34,3e-04,0.0019,122,0.0016,5.3333,32.78,0.04,58.5,19,0.31,1,0,23.2,25,4e-04,29,"2022-04-28","Mexico Open"
"131","Kelly Kraft",22311848,6000,37.07,0.0011,0.0023,113,0.0012,1.0909,32.65,0.03,58,19,0.38,1,0.13,22.5,25,0.0018,83,"2022-04-28","Mexico Open"
"132","D.A. Points",22311849,6000,53,1e-04,0.0013,128,0.0012,12,28.3,0.11,48.08,17,0.22,1,-0.03,22.38,20,0.0053,60.5,"2022-04-28","Mexico Open"
"133","Matt Every",22311851,6000,34.25,1e-04,0.0013,128,0.0012,12,27.39,0.1,36,16.5,0.22,1,-0.03,22.38,20,0.0015,29.5,"2022-04-28","Mexico Open"
"134","Isidro Benitez",22311852,6000,0,1e-04,0.0035,96,0.0034,34,18.59,0.48,24,12,0.58,1,0.33,27.05,30,0.0018,17,"2022-04-28","Mexico Open"
"135","Jose Antonio Safa",22311853,6000,0,1e-04,1e-04,137,0,0,18.35,0.02,24,12,0.02,1,-0.23,9.83,10,5e-04,21.5,"2022-04-28","Mexico Open"
"136","Manuel Inman",22311856,6000,0,1e-04,1e-04,137,0,0,18.23,0.12,23.5,12,0.02,1,-0.23,9.83,10,6e-04,10,"2022-04-28","Mexico Open"
