"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","SF","NO","49ers",8.34,15.17,2.93,2.38,4000,-0.66,13,22,9,18,15,-3,6
"2","MIA","HOU","Dolphins",8.89,15.01,3.95,3.09,3900,0.09,28,30,2,4,22,18,20
"3","DEN","CAR","Broncos",8.19,14.31,3.53,1.75,3800,-0.41,4,32,28,11,3,-8,20
"4","BAL","JAX","Ravens",6.94,12.97,2.22,1.52,3700,-1.46,6,16,10,9,8,-1,9
"5","WAS","ATL","Commanders",7.34,14.04,2.37,1.02,3600,-0.86,9,15,6,6,7,1,7
"6","SEA","LV","Seahawks",6.41,12.65,1.75,0.22,3500,-1.59,21,10,-11,15,27,12,1
"7","TB","CLE","Buccaneers",7.55,14.62,2.42,4.94,3400,-0.25,3,8,5,16,5,-11,-6
"8","NYJ","CHI","Jets",8.19,13.4,3.83,10.37,3300,0.59,8,9,1,14,6,-8,-7
"9","LAC","ARI","Chargers",6.42,12.65,1.65,0.99,3300,-1.18,16,25,9,27,29,2,11
"10","CHI","NYJ","Bears",7.08,13.06,2.46,1.88,3200,-0.32,32,31,-1,24,24,0,-1
"11","CIN","TEN","Bengals",6.96,12.58,2.45,1.64,3200,-0.44,2,6,4,23,10,-13,-9
"12","TEN","CIN","Titans",7.5,14.43,2.09,7.54,3100,0.3,10,5,-5,1,25,24,19
"13","CAR","DEN","Panthers",7.25,13.38,2.5,7.55,3000,0.25,11,23,12,8,30,22,34
"14","ATL","WAS","Falcons",6.26,11.61,2.16,1.14,2900,-0.54,30,29,-1,31,14,-17,-18
"15","KC","LAR","Chiefs",12.82,22.63,5.55,38.05,2800,6.22,15,NA,NA,22,NA,NA,NA
"16","ARI","LAC","Cardinals",5.41,11.01,1,1,2700,-0.99,22,18,-4,26,12,-14,-18
"17","CLE","TB","Browns",4.65,9.66,1.01,1.26,2700,-1.75,12,20,8,32,32,0,8
"18","LV","SEA","Raiders",4.88,10.55,0.61,1.36,2600,-1.32,31,11,-20,10,12,2,-18
"19","JAX","BAL","Jaguars",6.32,13.1,0.84,8.48,2500,0.32,18,17,-1,20,2,-18,-19
"20","NO","SF","Saints",4.84,9.87,0.78,1.85,2400,-0.96,23,2,-21,13,9,-4,-25
"21","LAR","KC","Rams",3.37,7.28,0.21,1.2,2300,-2.23,25,1,-24,2,18,16,-8
"22","HOU","MIA","Texans",4.08,8.48,0.53,0.77,2200,-1.32,29,4,-25,30,26,-4,-29
