"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","BAL","DEN","Ravens",8.65,15.11,3.62,3.92,4000,-0.35,6,26,20,2,30,28,48
"2","CLE","HOU","Browns",7.82,13.98,3.1,1.06,3900,-0.98,5,32,27,30,27,-3,24
"3","PHI","TEN","Eagles",6.93,13.14,2.11,0.74,3800,-1.67,1,6,5,20,16,-4,1
"4","MIN","NYJ","Vikings",8.03,14.82,3.01,5.14,3700,-0.37,24,29,5,6,25,19,24
"5","SEA","LAR","Seahawks",8.55,14.78,3.56,5.43,3600,0.35,26,NA,NA,24,NA,NA,NA
"6","KC","CIN","Chiefs",6.37,13.49,1.29,1.43,3500,-1.63,16,4,-12,18,24,6,-6
"7","LAC","LV","Chargers",5.57,12.33,0.58,0.85,3400,-2.23,15,9,-6,26,21,-5,-11
"8","WAS","NYG","Commanders",7.08,12.83,2.61,1.73,3300,-0.52,11,11,0,11,14,3,3
"9","ATL","PIT","Falcons",6.9,12.14,2.75,1.53,3200,-0.5,31,23,-8,31,10,-21,-29
"10","SF","MIA","49ers",6.51,12.19,2,2.26,3100,-0.69,8,7,-1,9,28,19,18
"11","GB","CHI","Packers",7.19,12.88,2.82,6.56,3000,0.19,14,10,-4,32,6,-26,-30
"12","NYG","WAS","Giants",5.78,10.22,2.35,4.63,2900,-1.02,26,30,4,27,8,-19,-15
"13","DET","JAX","Lions",5.14,10.55,1.05,1.1,2800,-1.46,23,17,-6,28,18,-10,-16
"14","JAX","DET","Jaguars",5.27,11.15,0.86,0.92,2700,-1.13,27,14,-13,16,26,10,-3
"15","CHI","GB","Bears",4.97,10.94,0.53,1.08,2700,-1.43,32,19,-13,21,17,-4,-17
"16","NYJ","MIN","Jets",6.32,13.29,1.22,12.57,2600,0.12,12,13,1,17,11,-6,-5
"17","PIT","ATL","Steelers",6.69,12.83,1.67,16.1,2600,0.49,18,16,-2,16,5,-11,-13
"18","LV","LAC","Raiders",5.28,10.45,1.33,1.42,2500,-0.72,30,21,-9,8,9,1,-8
"19","MIA","SF","Dolphins",5.56,11.24,1.03,3.96,2500,-0.44,22,3,-19,5,13,8,-11
"20","DEN","BAL","Broncos",5.92,11.59,1.39,8.71,2400,0.12,3,18,15,13,4,-9,6
"21","CIN","KC","Bengals",5,10.83,0.7,2.12,2400,-0.8,4,1,-3,23,12,-11,-14
"22","LAR","SEA","Rams",5.73,11.59,0.69,10.47,2300,0.13,29,8,-21,4,20,16,-5
"23","HOU","CLE","Texans",4.58,9.36,0.82,1,2300,-1.02,28,16,-12,29,7,-22,-34
"24","TEN","PHI","Titans",5.28,11.62,0.46,5.26,2200,-0.12,17,5,-12,1,1,0,-12
