,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Texas-Arlington,2022-03-03 12:30:00,145,29.00,3.5,17.39,134.5,16.67,39.6,65.5,69.0
Louisiana-Lafayette,2022-03-03 12:30:00,-165,12.12,-3.5,19.05,134.5,20.00,60.4,69.0,65.5
Arkansas-Little Rock,2022-03-03 15:00:00,525,105.00,12.0,19.05,132.5,18.18,15.3,60.3,72.3
South Alabama,2022-03-03 15:00:00,-760,2.63,-12.0,17.39,132.5,18.18,84.7,72.3,60.3
Massachusetts-Lowell,2022-03-03 18:00:00,135,27.00,2.5,18.18,138.5,18.18,41.2,68.0,70.5
Hartford,2022-03-03 18:00:00,-155,12.90,-2.5,18.18,138.5,18.18,58.8,70.5,68.0
Louisiana-Monroe,2022-03-03 18:00:00,200,40.00,6.0,17.39,141.0,18.18,31.8,67.5,73.5
Arkansas State,2022-03-03 18:00:00,-250,8.00,-6.0,19.05,141.0,18.18,68.2,73.5,67.5
Penn State,2022-03-03 19:00:00,,,,,,,,,
Illinois,2022-03-03 19:00:00,,,,,,,,,
Michigan State,2022-03-03 19:00:00,200,40.00,6.0,17.39,139.0,16.67,31.8,66.5,72.5
Ohio State,2022-03-03 19:00:00,-250,8.00,-6.0,19.05,139.0,20.00,68.2,72.5,66.5
Marist,2022-03-03 19:00:00,-125,16.00,-1.5,17.39,137.0,18.18,53.2,69.3,67.8
Canisius,2022-03-03 19:00:00,105,21.00,1.5,19.05,137.0,18.18,46.8,67.8,69.3
Iona,2022-03-03 19:00:00,-490,4.08,-9.5,17.39,145.5,18.18,79.3,77.5,68.0
Manhattan,2022-03-03 19:00:00,360,72.00,9.5,19.05,145.5,18.18,20.7,68.0,77.5
Quinnipiac,2022-03-03 19:00:00,230,46.00,6.0,20.00,143.5,18.18,29.0,68.8,74.8
Monmouth,2022-03-03 19:00:00,-290,6.90,-6.0,16.67,143.5,18.18,71.0,74.8,68.8
