RK,TEAM,CONF,ADJOE,ADJDE,BARTHAG,PROJ. REC,,RET MINS,RPMS,TALENT,EXP.,TRANS.
21,Xavier,BE,111.1,95.1,0.8569,21-10,13-7,81.10%,82.70%,55.5,2.23,112
22,Maryland,B10,108.8,93.3,0.8544,19-11,9-Nov,45.50%,45.10%,64.3,1.95,181
23,Louisville,ACC,110.8,95.1,0.8539,20-10,13-7,53.90%,45.40%,58.9,2.02,358
24,Florida,SEC,109.2,93.7,0.8533,21-9,6-Dec,40.20%,42.30%,40.7,2.47,208
25,USC,P12,108.2,93,0.8502,21-9,8-Dec,63.20%,60.00%,54.7,2.26,51
26,Texas Tech,B12,107.4,92.6,0.8448,20-11,8-Oct,43.60%,42.60%,27.6,2.43,276
27,Florida St.,ACC,107.4,92.8,0.8426,19-11,8-Dec,41.90%,32.90%,47.4,1.96,155
28,Michigan St.,B10,108.1,93.5,0.8416,17-12,9-Nov,47.70%,42.80%,71.5,1.88,107
29,Notre Dame,ACC,113.6,98.3,0.8412,19-10,8-Dec,79.70%,81.80%,72.2,2.69,147
30,Indiana,B10,108.7,94.1,0.8399,20-11,9-Nov,64.70%,65.10%,73.8,2.17,191
31,Arkansas,SEC,107.4,93.4,0.8322,21-9,7-Nov,38.50%,38.40%,43.8,2.46,297
32,Seton Hall,BE,109,94.9,0.8308,19-11,8-Dec,59.50%,52.40%,70.2,2.57,147
33,Oklahoma,B12,106.5,93,0.826,17-12,9-Sep,35.50%,28.50%,21.4,2.59,286
34,Arizona,P12,108.3,94.6,0.826,19-11,8-Dec,52.10%,45.70%,69.2,1.25,141
35,West Virginia,B12,110,96.2,0.824,18-11,9-Sep,48.70%,42.30%,28.7,2.22,97
36,Oregon,P12,110.1,96.3,0.8233,19-10,8-Dec,39.30%,27.10%,72.1,2.14,263
37,Loyola Chicago,MVC,106,92.7,0.8221,21-7,13-5,79.20%,71.40%,4.9,2.75,152
38,San Diego St.,MWC,106.1,92.9,0.821,20-8,13-5,61.00%,57.00%,27.8,2.61,183
39,Saint Mary's,WCC,104.6,91.7,0.8193,19-9,6-Oct,100.00%,100.00%,31.8,2.37,0
40,UCF,Amer,107.6,94.5,0.8167,19-10,7-Nov,96.20%,96.90%,39.3,2.15,41
41,BYU,WCC,108.4,95.5,0.8121,19-10,6-Oct,61.90%,58.20%,37.6,2.38,96
42,Oklahoma St.,B12,104.8,92.6,0.8055,18-13,9-Sep,80.50%,74.00%,65.6,1.9,115
43,Richmond,A10,109.1,96.7,0.7986,21-9,13-5,86.10%,81.70%,18.1,2.72,78
44,Colorado St.,MWC,109.4,97.3,0.7947,20-8,6-Dec,93.40%,95.10%,20.2,2.11,84
45,Utah St.,MWC,104.7,93.1,0.7942,20-9,6-Dec,44.60%,39.90%,25.1,2.19,153
46,Virginia Tech,ACC,107,95.2,0.7927,18-13,9-Nov,60.40%,64.40%,24.3,2.12,92
47,Providence,BE,106.7,95,0.7922,18-12,10-Oct,66.20%,61.80%,52.9,2.56,107
48,LSU,SEC,111.9,99.7,0.7904,18-12,9-Sep,33.40%,22.60%,79.4,1.44,125
49,Northwestern,B10,105.1,93.9,0.7851,17-13,11-Sep,73.80%,78.30%,51.8,1.96,26
50,Clemson,ACC,104,93.3,0.7772,17-12,10-Oct,51.20%,49.10%,52.1,2.22,106
51,Ohio,MAC,108.7,97.6,0.7758,24-7,16-4,80.90%,77.30%,6.8,2.36,91
52,San Francisco,WCC,106.2,95.3,0.7752,20-9,7-Sep,87.60%,87.80%,2.1,2.61,210
53,Arizona St.,P12,107.4,96.5,0.7732,16-13,10-Oct,36.10%,26.00%,63.6,1.89,326
54,Washington St.,P12,104.9,94.5,0.7672,19-12,10-Oct,72.00%,67.20%,32.4,1.7,68
55,Wisconsin,B10,102.6,92.5,0.7671,16-13,11-Sep,42.10%,35.90%,69.4,1.26,23
56,Wichita St.,Amer,105.1,94.8,0.766,18-11,8-Oct,64.20%,66.10%,26.6,2.16,39
57,UAB,CUSA,107.8,97.2,0.7658,22-8,13-5,61.30%,62.50%,26.3,2.97,340
58,Mississippi St.,SEC,106.4,96.1,0.7638,18-12,9-Sep,49.50%,48.60%,60.5,1.84,245
59,Rutgers,B10,104,94.1,0.7609,16-15,12-Aug,62.70%,55.40%,47.7,2.27,52
60,Drake,MVC,109.3,98.9,0.7591,22-8,6-Dec,88.50%,83.50%,1.1,2.9,85
61,Iowa,B10,108.5,98.2,0.7585,17-14,12-Aug,53.30%,46.70%,47.9,1.84,37
62,Nevada,MWC,105.9,96.1,0.7554,20-11,7-Nov,76.40%,81.70%,29.3,2.04,174
63,Loyola Marymount,WCC,108.3,98.2,0.755,17-10,7-Sep,84.60%,84.10%,5.3,2.35,147
64,Syracuse,ACC,108.4,98.3,0.7548,16-13,10-Oct,34.40%,36.80%,54,2.34,197
65,Butler,BE,105.6,96,0.7512,15-14,11-Sep,96.80%,97.00%,38.4,2.49,53
66,Belmont,OVC,107.8,98.1,0.7473,22-7,15-3,96.60%,97.50%,5.4,2.44,0
67,Nebraska,B10,104.8,95.4,0.7464,16-15,12-Aug,52.60%,47.80%,51.7,2.23,162
68,Virginia,ACC,102.4,93.3,0.7446,16-13,11-Sep,36.90%,33.60%,59.7,1.74,137
69,Boise St.,MWC,105.9,96.5,0.7441,19-10,7-Nov,72.90%,67.20%,43.7,2.69,0
70,Creighton,BE,105.7,96.4,0.743,16-13,11-Sep,18.20%,16.30%,71,0.98,0
71,North Carolina St.,ACC,105.1,95.8,0.7425,17-14,11-Sep,61.10%,57.50%,80.5,1.83,78
72,Colorado,P12,103.9,94.8,0.742,16-13,11-Sep,43.40%,39.20%,64.4,1.28,0
73,Murray St.,OVC,107.5,98.1,0.7408,22-6,15-3,72.80%,72.00%,17.1,2.62,218
74,Stanford,P12,102.4,93.5,0.7401,15-14,11-Sep,61.20%,52.50%,74.3,1.43,0
75,Mississippi,SEC,102.9,93.9,0.7399,17-12,9-Sep,54.30%,49.00%,52.5,2.2,123
76,Georgia Tech,ACC,103.5,94.6,0.7378,17-14,11-Sep,65.10%,59.40%,67.8,2.05,52
77,St. John's,BE,104.7,95.7,0.7371,17-14,11-Sep,39.40%,44.50%,32.2,2.17,231
78,Penn St.,B10,105.8,96.9,0.7338,16-14,12-Aug,45.40%,46.50%,19.4,2.47,149
79,VCU,A10,102,93.7,0.7269,19-10,7-Nov,47.90%,43.50%,31.9,2.27,83
80,Colgate,Pat,108.9,100.1,0.7251,22-7,14-2,81.10%,73.30%,0,2.29,0
81,Buffalo,MAC,105.9,97.4,0.7224,21-9,15-5,74.80%,71.90%,30.6,2.69,55
82,UC Santa Barbara,BW,108.3,99.8,0.7193,24-7,15-5,78.20%,74.10%,51.4,2.56,77
83,Northern Iowa,MVC,107.7,99.3,0.7157,17-11,7-Nov,99.00%,98.70%,14.1,2.21,0
84,TCU,B12,106.9,98.7,0.7145,16-15,11-Jul,26.50%,21.80%,51.6,1.91,436
85,Missouri St.,MVC,106.1,98,0.7129,19-10,7-Nov,87.10%,91.40%,8.4,2.44,109
86,Miami FL,ACC,108.2,100,0.7113,15-14,11-Sep,62.80%,64.60%,72.3,2.44,209
87,Cincinnati,Amer,102,94.4,0.7074,18-12,9-Sep,58.40%,49.60%,37.5,2.24,205
88,Vanderbilt,SEC,106.3,98.4,0.7071,16-13,10-Aug,51.50%,55.30%,28.6,1.91,139
89,UC Riverside,BW,105.6,97.9,0.7054,23-9,15-5,75.70%,68.00%,17.5,2.44,132
90,Liberty,ASun,106,98.4,0.703,23-6,13-3,72.20%,69.80%,5,1.98,31
91,Washington,P12,106.5,99,0.6989,16-15,12-Aug,38.10%,28.40%,48.7,2.46,357
92,Rhode Island,A10,103.9,96.6,0.6981,20-10,7-Nov,74.10%,70.20%,36.8,2.47,77
93,Western Kentucky,CUSA,104.9,97.6,0.6958,19-10,6-Dec,35.70%,31.70%,53.4,2.32,291
94,Marquette,BE,104.3,97.2,0.6937,13-16,12-Aug,19.80%,17.30%,56.5,1.69,195
95,Kansas St.,B12,101,94.3,0.6875,14-16,12-Jun,71.80%,70.10%,55.7,1.89,187
96,SMU,Amer,105.5,98.5,0.687,18-12,10-Aug,42.60%,46.20%,30.2,2.68,217
97,Oregon St.,P12,105.6,98.7,0.6856,15-15,12-Aug,61.50%,60.50%,22.1,2.45,118
98,Jacksonville St.,ASun,105.6,98.6,0.6856,22-7,4-Dec,99.70%,99.70%,10.9,2.81,98
99,DePaul,BE,104.3,97.5,0.6842,15-16,12-Aug,33.70%,29.50%,42.2,1.88,211
100,Wake Forest,ACC,105.3,98.5,0.6838,16-14,12-Aug,44.50%,42.30%,32.5,2.2,210
101,New Mexico St.,WAC,108.5,101.5,0.6824,21-8,13-5,63.40%,62.20%,16.5,2.75,310
102,Tulsa,Amer,102.6,96.7,0.6652,16-14,10-Aug,49.90%,43.80%,33.8,2.55,248
103,Louisiana Tech,CUSA,101.3,95.5,0.6621,18-11,7-Nov,64.90%,66.30%,7.9,1.91,70
104,Iona,MAAC,106,100.1,0.6586,20-9,14-6,54.40%,47.20%,24,2.38,248
105,Vermont,AE,106.1,100.3,0.6543,20-9,14-4,87.00%,83.30%,4.1,2.98,92
106,South Dakota St.,Sum,108.5,102.8,0.65,24-9,14-4,99.70%,99.70%,2.5,2.44,0
107,Old Dominion,CUSA,105,99.5,0.6499,18-11,7-Nov,52.90%,52.00%,25.6,2.41,197
108,UC Irvine,BW,101,95.9,0.6449,19-11,14-6,79.10%,80.10%,3.1,1.63,25
109,Texas A&M,SEC,104.6,99.4,0.6436,15-14,11-Jul,44.10%,43.70%,36.5,1.52,270
110,Santa Clara,WCC,104.3,99.1,0.6427,17-14,9-Jul,80.10%,78.80%,17.4,2.62,117
111,Wright St.,Horz,101.8,96.7,0.6421,20-9,16-6,73.20%,67.10%,7.9,1.82,40
