RK,TEAM,CONF,ADJOE,ADJDE,BARTHAG,PROJ. REC,,RET MINS,RPMS,TALENT,EXP.,TRANS.
254,Samford,SC,101.1,106.9,0.3453,14-15,10-Aug,71.60%,63.10%,1.9,2.16,175
255,New Mexico,MWC,98.3,103.9,0.3439,19-Nov,13-May,49.00%,46.90%,39.1,1.69,342
256,Hofstra,CAA,100.9,106.9,0.3417,13-18,10-Aug,56.20%,57.10%,3,2.39,223
257,Texas Southern,SWAC,98.9,104.8,0.3394,16-Dec,7-Oct,72.60%,68.30%,13.9,2.98,223
258,Manhattan,MAAC,96.7,102.5,0.3367,13-16,12-Aug,97.30%,97.80%,18.9,3,127
259,Towson,CAA,102.3,108.6,0.3329,18-Dec,10-Aug,66.00%,57.50%,2.7,2.57,282
260,Georgia Southern,SB,95.5,101.5,0.3323,13-17,11-Jul,78.20%,66.20%,11.3,2.55,63
261,Dixie St.,WAC,98.1,104.6,0.3252,14-16,11-Jul,81.70%,82.30%,2.9,2.35,93
262,Robert Morris,Horz,105,111.9,0.3251,13-18,12-Oct,28.20%,25.50%,8.1,2.24,547
263,Canisius,MAAC,99.8,106.4,0.3239,19-Dec,12-Aug,81.80%,77.70%,0,2.23,33
264,UMBC,AE,98.4,104.9,0.3235,14-17,10-Aug,60.70%,54.00%,9.8,2.57,181
265,NJIT,AE,98.9,105.6,0.3207,13-17,10-Aug,57.60%,50.80%,0,2.58,163
266,Florida A&M,SWAC,95.3,101.7,0.3204,15-16,7-Nov,81.30%,79.30%,6.3,2.22,82
267,American,Pat,96.6,103.4,0.3158,14-16,8-Sep,81.50%,75.50%,0,2.24,60
268,Sacred Heart,NEC,101.4,108.5,0.314,15-16,9-Sep,96.10%,96.30%,0,1.89,21
269,Tennessee Tech,OVC,100.9,108.1,0.3101,14-17,10-Aug,84.80%,80.50%,15.8,2.28,201
270,Niagara,MAAC,100.8,108.2,0.3081,13-18,12-Aug,68.70%,62.20%,7.6,2.79,81
271,Bellarmine,ASun,101.3,108.9,0.3049,13-18,9-Jul,56.20%,53.50%,0,2.02,0
272,Norfolk St.,MEAC,96.8,104.1,0.302,16-13,5-Sep,58.20%,49.00%,1.6,2.25,77
273,George Washington,A10,101.2,108.8,0.3015,19-Oct,13-May,41.70%,41.00%,38.9,2.11,233
274,Air Force,MWC,99.2,106.8,0.2992,19-Sep,13-May,51.90%,50.60%,0,0.85,0
275,Louisiana Monroe,SB,97.5,105,0.2977,13-17,11-Jul,63.80%,65.40%,0,2.7,182
276,Tennessee St.,OVC,100.6,108.4,0.2973,15-16,10-Aug,28.80%,19.60%,23.1,2.16,403
277,Nicholls St.,Slnd,99.9,107.8,0.2942,15-12,5-Sep,25.30%,24.20%,0,2.58,338
278,New Orleans,Slnd,99.8,107.8,0.2908,16-13,5-Oct,57.30%,57.60%,1.4,2.65,224
279,FIU,CUSA,96.6,104.6,0.2857,19-Dec,14-Apr,64.30%,47.90%,11.1,2.36,188
280,Radford,BSth,98.2,106.5,0.282,13-18,9-Jul,69.20%,65.10%,12.9,2.28,111
281,St. Francis NY,NEC,98.8,107.3,0.2795,14-17,10-Aug,41.50%,37.00%,0,2.63,246
282,Maine,AE,94.7,102.9,0.2776,13-16,11-Jul,82.00%,79.60%,0,1.79,105
283,College of Charleston,CAA,100.1,108.9,0.2756,20-Nov,11-Jul,29.80%,26.40%,12.9,2.17,396
284,San Jose St.,MWC,101,109.8,0.2755,21-Aug,14-Apr,57.20%,45.20%,24.8,1.66,278
285,Loyola MD,Pat,96.2,104.8,0.2706,14-17,10-Aug,59.50%,50.30%,9.5,1.92,0
286,Long Beach St.,BW,96.9,105.6,0.2703,19-Nov,13-Jul,53.50%,44.80%,9.5,2.03,109
287,Cal Poly,BW,99.2,108.3,0.2673,20-Nov,13-Jul,45.80%,50.00%,2.3,1.83,266
288,Eastern Michigan,MAC,96.6,105.5,0.2661,20-Nov,14-Jun,48.60%,39.40%,3.6,2.42,246
289,UMass Lowell,AE,99,108.3,0.2625,13-18,11-Jul,82.00%,72.80%,4.7,2.31,191
290,Western Michigan,MAC,98.6,108,0.2593,20-Nov,14-Jun,45.00%,42.00%,3.2,2.34,164
291,St. Francis PA,NEC,97.4,106.7,0.2593,17-Dec,10-Aug,90.00%,91.00%,0,2.14,0
292,Kennesaw St.,ASun,96.6,106,0.2563,17-Dec,10-Jun,94.10%,94.10%,21.4,2.04,121
293,Jacksonville,ASun,98.7,108.5,0.2529,17-Dec,10-Jun,28.30%,24.30%,11.8,2.48,317
294,UC San Diego,BW,100.2,110.2,0.2512,20-Dec,13-Jul,60.40%,56.10%,10.1,2.13,86
295,Portland,WCC,102.3,112.5,0.2512,22-Sep,14-Feb,8.20%,7.80%,10.7,2.01,358
296,UNC Wilmington,CAA,100.6,110.6,0.2511,19-Dec,12-Jun,53.50%,52.70%,10.4,2.3,166
297,Southern,SWAC,97.1,107,0.2475,13-19,9-Sep,51.50%,41.20%,7,2.53,145
298,Eastern Washington,BSky,97,107,0.2438,18-Dec,12-Aug,19.90%,14.90%,0,2.06,205
299,Presbyterian,BSth,96.7,107,0.2379,13-18,10-Jun,98.70%,98.50%,0,1.87,26
300,Youngstown St.,Horz,99.1,109.8,0.2364,13-19,14-Aug,69.90%,59.70%,6.9,1.99,134
301,Binghamton,AE,98.7,109.4,0.2348,17-Dec,12-Jun,78.60%,72.90%,0.7,2.19,146
302,Austin Peay,OVC,98.4,109,0.2338,18-Nov,11-Jul,41.00%,32.60%,6.7,2.02,108
303,Lamar,WAC,96.6,107.2,0.2318,21-Oct,12-Jun,52.50%,53.80%,0,2.15,195
304,Charleston Southern,BSth,96.7,107.4,0.2316,17-Dec,10-Jun,59.20%,54.90%,0,2.18,166
305,The Citadel,SC,98.7,109.7,0.2293,17-Dec,12-Jun,65.20%,62.30%,1.3,2.19,25
306,North Florida,ASun,98.3,109.4,0.2271,20-Nov,10-Jun,81.40%,84.10%,0,1.75,60
307,Lafayette,Pat,99,110.1,0.227,18-Nov,11-Jul,59.70%,53.90%,5.3,1.96,0
308,William & Mary,CAA,93.8,104.7,0.2198,20-Oct,12-Jun,83.90%,79.20%,0,2.02,34
309,Brown,Ivy,90.7,101.4,0.2163,17-Oct,8-Jun,38.10%,23.90%,0.6,1.14,61
310,Howard,MEAC,100.1,112.1,0.2151,14-16,6-Aug,87.00%,86.30%,8.3,2.35,249
311,Fairleigh Dickinson,NEC,99.8,111.7,0.2143,21-Aug,11-Jul,45.40%,40.40%,0,1.11,51
312,Eastern Illinois,OVC,96.9,108.7,0.2108,20-Nov,12-Jun,50.90%,39.90%,1.3,2.06,199
313,Cal St. Northridge,BW,99.4,111.5,0.2106,21-Sep,14-Jun,61.20%,46.40%,6.3,2.66,173
314,USC Upstate,BSth,97.2,109.3,0.2066,18-Nov,10-Jun,61.70%,44.90%,13.6,2.3,135
315,Northern Illinois,MAC,94.9,106.8,0.2052,23-Jul,15-May,66.80%,60.80%,13.3,2.32,180
316,Sacramento St.,BSky,97.1,109.6,0.1997,19-Oct,13-Jul,36.40%,34.00%,2.2,2.26,68
317,Southeastern Louisiana,Slnd,97.4,109.9,0.1996,13-15,7-Jul,68.10%,74.70%,6.4,2.57,195
318,Army,Pat,91.3,103,0.1992,19-Nov,11-Jun,49.70%,51.50%,0,1.35,40
319,SIU Edwardsville,OVC,96.2,108.6,0.1987,13-19,12-Jun,71.10%,61.00%,1.9,2.31,80
320,Incarnate Word,Slnd,99.9,112.8,0.1985,13-15,7-Jul,78.90%,66.40%,0,2.04,125
321,Alabama A&M,SWAC,92,103.9,0.1977,18-Nov,9-Sep,92.10%,92.80%,0,1.76,24
322,North Alabama,ASun,94.6,107.1,0.1934,18-Nov,11-May,57.40%,50.70%,0,1.93,30
323,North Dakota,Sum,95.8,108.7,0.1902,13-20,12-Jun,52.00%,45.60%,0,2.03,92
324,Central Arkansas,ASun,97.4,110.8,0.1858,21-Sep,12-Apr,71.20%,60.10%,8.5,2.54,91
325,Coppin St.,MEAC,93.2,106.3,0.1811,21-Oct,7-Jul,33.40%,24.70%,0,1.61,227
326,Green Bay,Horz,96.9,110.6,0.1803,23-Aug,16-Jun,42.20%,31.10%,1.1,1.18,134
327,Little Rock,SB,92.8,106.1,0.1777,22-Aug,14-Apr,58.30%,52.80%,0,2.16,97
328,Denver,Sum,97.1,111,0.1777,13-20,12-Jun,40.20%,30.20%,5.8,2.6,203
329,Dartmouth,Ivy,91.1,104.1,0.1769,18-Aug,9-May,29.90%,23.30%,4.1,1.11,60
330,Delaware St.,MEAC,98.6,112.7,0.1765,15-Dec,7-Jul,75.50%,71.20%,9.1,2.12,0
331,North Carolina Central,MEAC,96.9,110.9,0.1755,13-16,7-Jul,32.80%,22.30%,4.9,2.79,379
332,Central Michigan,MAC,96.6,110.7,0.1722,25-Jun,16-Apr,49.30%,35.40%,3.6,2.51,251
333,McNeese St.,Slnd,97,111.2,0.1718,16-Dec,8-Jul,40.10%,25.70%,10.2,2.34,292
334,Northern Arizona,BSky,97.1,111.4,0.1718,21-Oct,14-Jun,58.20%,52.30%,15.6,2.1,169
335,Texas A&M Corpus Chris,Slnd,93.9,108,0.1678,14-14,8-Jun,45.60%,39.10%,2.8,2.26,257
336,UT Rio Grande Valley,WAC,91.5,105.1,0.1675,21-Oct,14-Apr,57.60%,45.90%,7.9,2.64,161
337,Bucknell,Pat,93.7,108.1,0.1622,22-Aug,12-Jun,53.10%,47.10%,4,1.69,0
338,Hampton,BSth,94.5,109.1,0.161,20-Oct,12-Apr,62.60%,53.40%,13.4,2.66,204
339,Alcorn St.,SWAC,94.8,110.3,0.1491,23-Aug,11-Jul,32.10%,27.90%,8.4,2.51,353
340,St. Thomas,Sum,95.3,110.9,0.148,20-Oct,13-May,70.00%,70.00%,0,2.08,319
341,Columbia,Ivy,91.1,106.1,0.1476,18-Sep,10-Apr,37.40%,28.70%,4.4,1.36,67
342,Holy Cross,Pat,94.9,110.5,0.1473,21-Sep,13-May,59.00%,56.50%,0,1.38,23
343,Northwestern St.,Slnd,94.8,110.6,0.1453,18-Sep,8-Jun,43.10%,45.80%,0,1.67,85
344,Central Connecticut,NEC,94.6,110.8,0.1393,24-Jul,13-May,55.30%,52.00%,0,2.36,31
345,South Carolina St.,MEAC,94.5,111.1,0.1354,19-Oct,8-Jun,70.80%,67.50%,0,2.02,115
346,Western Carolina,SC,93.4,110.2,0.129,25-Jun,15-Mar,28.00%,19.00%,6.2,1.79,210
347,IUPUI,Horz,92.7,109.5,0.1281,23-Aug,17-May,51.50%,37.90%,1.4,2.37,57
348,Cornell,Ivy,93,110.2,0.1248,19-Aug,10-Apr,38.50%,27.90%,0,0.87,31
349,Nebraska Omaha,Sum,91.8,108.8,0.1237,22-Sep,14-Apr,62.60%,52.30%,8.4,2.38,112
350,Alabama St.,SWAC,92.3,109.5,0.1226,23-Sep,11-Jul,60.60%,53.90%,14.6,2.24,136
351,Houston Baptist,Slnd,94.6,112.6,0.1194,15-Oct,9-May,71.40%,68.10%,0,1.9,69
352,Bethune Cookman,SWAC,91.7,109.1,0.1188,21-Sep,12-Jun,9.20%,7.00%,14,2.18,298
353,Idaho,BSky,93.7,112.8,0.1057,23-Jul,16-Apr,38.90%,32.90%,0,2.44,200
354,Mississippi Valley St.,SWAC,93.3,113.6,0.0935,23-Jun,13-May,68.20%,62.50%,0,2.08,92
355,Tennessee Martin,OVC,92.9,114.1,0.0853,25-Jun,15-Mar,18.10%,10.90%,5.9,2.19,264
356,Chicago St.,WAC,91.9,113.1,0.084,27-May,16-Feb,64.80%,56.20%,0,2.56,140
357,Arkansas Pine Bluff,SWAC,91,112.2,0.0821,23-Jul,12-May,36.60%,28.30%,5.7,2.15,184
358,Maryland Eastern Shore,MEAC,86,111.6,0.0473,22-Jul,12-Feb,34.00%,35.40%,0,1.47,182
