Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2929898103,tb12upinya (1/4),0,255.48001,QB Sam Hartman RB Breece Hall FLEX Will Shipley RB Stephen Carr WR Marvin Mims WR Rakim Jarrett WR Peyton Hendershot S-FLEX Bryce Ford-Wheaton,,Charlie Kolar,WR,31.19%,2
1,2929901437,tb12upinya (2/4),0,255.48001,QB Sam Hartman RB Breece Hall FLEX Will Shipley RB Stephen Carr WR Marvin Mims WR Rakim Jarrett WR Peyton Hendershot S-FLEX Bryce Ford-Wheaton,,Sam Hartman,QB,27.84%,49.18
1,2929906905,tb12upinya (3/4),0,255.48001,QB Sam Hartman RB Breece Hall FLEX Will Shipley RB Stephen Carr WR Marvin Mims WR Rakim Jarrett WR Peyton Hendershot S-FLEX Bryce Ford-Wheaton,,Jaquarii Roberson,WR,26.81%,16.5
1,2929910115,tb12upinya (4/4),0,255.48001,QB Sam Hartman RB Breece Hall FLEX Will Shipley RB Stephen Carr WR Marvin Mims WR Rakim Jarrett WR Peyton Hendershot S-FLEX Bryce Ford-Wheaton,,Mataeo Durant,FLEX,22.90%,13.6
5,2929850456,Saifi1,0,251.78,S-FLEX Sam Hartman QB Taulia Tagovailoa RB Leddie Brown RB Kenneth Walker III WR Marvin Mims WR Tyquan Thornton WR Peyton Hendershot FLEX Sam James,,Will Shipley,RB,22.24%,34.2
6,2929608866,BigMart11 (12/20),0,245.46,S-FLEX Caleb Williams QB Anthony Brown FLEX Travis Dye RB Kenneth Walker III RB Will Shipley WR Charlie Kolar WR Mario Williams WR Jackson Anthrop,,Kenny Pickett,QB,19.59%,32.76
7,2929699285,YippeKaye,0,244.84,S-FLEX Sam Hartman QB Kenny Pickett RB Deuce Vaughn RB Kenneth Walker III FLEX Will Shipley WR Key'Shawn Smith WR Ke'Shawn Williams WR Melquise Stovall,,Jake Bobo,FLEX,18.85%,6.3
8,2928005822,kcbeatdown (2/10),0,243.94,S-FLEX Sam Hartman QB Taulia Tagovailoa FLEX Deuce Vaughn RB Tayon Fleet-Davis RB Stephen Carr WR Rakim Jarrett WR Peyton Hendershot WR Carlos Carriere,,Taysir Mack,WR,17.95%,14.2
9,2923749471,amack2067,0,243.18,QB Sam Hartman S-FLEX Brock Purdy FLEX Abram Smith RB Kenneth Walker III RB James Cook WR Jaquarii Roberson WR Peyton Hendershot WR Josh Whyle,,Abram Smith,RB,16.71%,25.6
10,2927609185,mnbvcxz1959,0,241.78,QB Sam Hartman FLEX Abram Smith RB Kenneth Walker III RB Will Shipley WR A.T. Perry WR Jayden Reed WR Charlie Kolar S-FLEX Carlos Carriere,,Bijan Robinson,RB,15.99%,11.7
