player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"McIlroy, Rory",150,pga,1,0,3,0,2.3776090355618
"Scheffler, Scottie",150,pga,2,0,1,0,2.0540877713868304
"Schauffele, Xander",150,pga,3,0,6,0,2.0507912772510704
"Cantlay, Patrick",150,pga,4,0,4,0,2.0144483938463797
"Smith, Cameron",150,pga,5,0,2,0,1.95466311844477
"Fitzpatrick, Matthew",150,pga,6,0,10,0,1.86189008959243
"Rahm, Jon",150,pga,7,0,5,0,1.79980470231123
"Thomas, Justin",150,pga,8,0,7,0,1.7287921213402502
"Lowry, Shane",150,pga,9,0,24,-1,1.70327640332608
"Finau, Tony",150,pga,10,2,16,1,1.68193215766424
"Zalatoris, Will",150,pga,11,-1,13,0,1.62137570674759
"Johnson, Dustin",150,pga,12,-1,17,-1,1.5451610789610402
"Burns, Sam",150,pga,13,0,11,0,1.41165856618725
"Fleetwood, Tommy",150,pga,14,0,26,0,1.37617453163609
"Hovland, Viktor",150,pga,15,0,9,0,1.36689577974325
"Spieth, Jordan",150,pga,16,1,12,0,1.3619986982221801
"Conners, Corey",150,pga,17,1,32,-1,1.32239597009208
"Im, Sungjae",150,pga,18,9,21,3,1.3093694833454699
"Homa, Max",150,pga,19,0,20,1,1.27970737482825
"Morikawa, Collin",150,pga,20,0,8,0,1.2628812239473701
"Horschel, Billy",150,pga,21,0,14,1,1.23202735304098
"Matsuyama, Hideki",150,pga,22,-6,15,-1,1.22873118864878
"Niemann, Joaquin",150,pga,23,-1,18,0,1.17784642688853
"Berger, Daniel",150,pga,24,-1,29,1,1.15463785706081
"Gooch, Talor",150,pga,25,-1,41,0,1.15275748612419
"Wise, Aaron",150,pga,26,-1,42,1,1.142117204258
"Oosthuizen, Louis",150,pga,27,-1,25,0,1.12850686360892
"Varner III, Harold",150,pga,28,0,38,-1,1.11709645310298
"Casey, Paul",150,pga,29,0,31,1,1.10990585368161
"Noren, Alex",150,pga,30,0,53,0,1.08610090709191
"Bradley, Keegan",150,pga,31,0,46,-1,1.08591249078216
"Young, Cameron",150,kft,32,0,19,0,1.0841033398470898
"McCarthy, Denny",150,pga,33,0,87,2,1.06744650371315
"Ancer, Abraham",150,pga,34,0,22,-2,1.0046198534425201
"Mitchell, Keith",150,pga,35,0,54,0,0.997347080462763
"Henley, Russell",150,pga,36,0,56,2,0.990011295801177
"Hatton, Tyrrell",150,pga,37,0,28,0,0.989744846343634
"Harman, Brian",150,pga,38,0,47,-1,0.9759833472838431
"Power, Seamus",150,pga,39,0,37,1,0.967483285520272
"Scott, Adam",150,pga,40,0,40,-1,0.9503362622786621
"Munoz, Sebastian",150,pga,41,0,55,0,0.9170595768145171
"Pereira, Mito",150,pga,42,1,49,-1,0.8841135847920741
"Kuchar, Matt",150,pga,43,1,75,0,0.8763457850861059
"Kirk, Chris",150,pga,44,1,57,3,0.856945196165701
"Pieters, Thomas",150,euro,45,1,35,0,0.8514263270396609
"Fox, Ryan",150,euro,46,1,48,3,0.850050668420125
"Hubbard, Mark",150,pga,47,2,178,-2,0.8139689440421569
"McNealy, Maverick",150,pga,48,-6,73,-3,0.802578719304673
"Reed, Patrick",150,pga,49,2,45,-3,0.7812289103908721
"Hadwin, Adam",150,pga,50,0,85,0,0.7809550853075029
"Rose, Justin",150,pga,51,1,51,-1,0.7740203679189491
"Poston, J.T.",150,pga,52,8,60,3,0.7681395739301871
"Simpson, Webb",150,pga,53,0,72,0,0.754894461693379
"Kim, Si Woo",150,pga,54,0,62,-3,0.7451822298699861
"Long, Adam",150,pga,55,13,189,3,0.7433313936875892
"Kokrak, Jason",150,pga,56,-1,36,0,0.7409173949826391
"Tringale, Cameron",150,pga,57,-9,50,-1,0.735641411898018
"Davis, Cameron",150,pga,58,7,71,2,0.7243686171955591
"DeChambeau, Bryson",150,pga,59,-2,30,-1,0.7184966869166299
"Riley, Davis",150,pga,60,-4,77,1,0.7183256169222121
"Watson, Bubba",150,pga,61,-3,86,-2,0.703260868939186
"Bezuidenhout, Christiaan",150,pga,62,-3,58,-2,0.701189185022899
"Stallings, Scott",150,pga,63,-2,122,0,0.665176940445428
"Pendrith, Taylor",150,kft,64,-2,237,-8,0.66466415078446
"Na, Kevin",150,pga,65,-2,34,-1,0.656854904487572
"Howell III, Charles",150,pga,66,1,169,4,0.646530638306933
"Smith, Jordan",150,euro,67,2,115,-1,0.6459411438684399
"Woodland, Gary",150,pga,68,2,88,0,0.638380957560361
"Garcia, Sergio",150,pga,69,2,70,-1,0.636257550402693
"Meronk, Adrian",150,euro,70,2,63,-2,0.6214537275458449
"Kisner, Kevin",150,pga,71,2,27,0,0.620378106708679
"Grace, Branden",150,pga,72,2,134,0,0.602739546297709
"Steele, Brendan",150,pga,73,-9,113,-4,0.574324989005069
"Koepka, Brooks",150,pga,74,2,23,-1,0.571866402726349
"Lee, Kyounghoon",150,pga,75,2,44,0,0.568816776566532
"Leishman, Marc",150,pga,76,2,59,-2,0.560983148690499
"Theegala, Sahith",150,pga,77,-11,64,-2,0.550272915755055
"Hoge, Tom",150,pga,78,23,43,4,0.544700029093012
"Streelman, Kevin",150,pga,79,0,105,-1,0.532604337763507
"Herbert, Lucas",150,pga,80,0,52,0,0.524654860387338
"Vegas, Jhonattan",150,pga,81,1,103,4,0.5072260641694271
"Perez, Pat",150,pga,82,2,185,-1,0.49289381891011497
"Grillo, Emiliano",150,pga,83,26,104,28,0.490837861124369
"Todd, Brendon",150,pga,84,-9,120,-1,0.48706375940176
"Merritt, Troy",150,pga,85,-4,108,-2,0.47814217138811893
"Rodgers, Patrick",150,pga,86,-1,218,0,0.476452452619704
"Pan, C.T.",150,pga,87,5,142,-5,0.463366376003791
"Burmester, Dean",150,euro,88,-1,65,0,0.44812471610108
"Rai, Aaron",150,pga,89,-1,137,-1,0.44575490052269606
"Laird, Martin",150,pga,90,-4,154,-7,0.428909501742109
"Day, Jason",150,pga,91,-8,150,-7,0.41902747287973796
"Smalley, Alex",150,pga,92,-1,139,-1,0.415421028976873
"List, Luke",150,pga,93,0,68,0,0.40712711889441
"Kim, Joohyung",150,pga,94,5,39,1,0.40238643475844704
"Hughes, Mackenzie",150,pga,95,1,76,-2,0.378542162450966
"Reavie, Chez",150,pga,96,-6,119,-2,0.377089069436391
"English, Harris",150,pga,97,0,33,1,0.35781066812473705
"Montgomery, Taylor",150,kft,98,31,192,28,0.347056905632188
"Hardy, Nick",150,kft,99,-10,233,-3,0.346388079024013
"Dahmen, Joel",150,pga,100,-2,118,-2,0.34576470842613205
"Stricker, Steve",150,champ,101,-1,9999,0,0.318990040742568
"Horsfield, Sam",150,euro,102,0,90,1,0.302193584906543
"Svensson, Adam",150,kft,103,-8,152,0,0.29313815733025606
"Griffin, Lanto",150,pga,104,-1,124,-3,0.27840983350714
"Clark, Wyndham",150,pga,105,-1,219,-3,0.27195809919270003
"Cink, Stewart",150,pga,106,15,94,-1,0.266279444813738
"Tarren, Callum",150,kft,107,35,303,32,0.264255595424355
"Putnam, Andrew",150,pga,108,26,143,12,0.25532757558609004
"Ghim, Doug",150,pga,109,19,183,6,0.24889486831153199
"Palmer, Ryan",150,pga,110,10,114,-6,0.23645699949467602
"Harding, Justin",150,euro,111,-5,123,-3,0.23422276505025896
"Molinari, Francesco",150,pga,112,-5,147,-1,0.23168695324228303
"Jones, Matt",150,pga,113,-5,84,-2,0.23005324021437198
"NeSmith, Matthew",150,pga,114,-20,155,-1,0.224132981341731
"Whaley, Vincent",150,pga,115,-5,271,-3,0.220852118813635
"Macintyre, Robert",150,euro,116,-1,98,0,0.22077507173028
"Van Rooyen, Erik",150,pga,117,-6,83,3,0.21443560533675302
"Detry, Thomas",150,euro,118,-5,145,-1,0.210799972369828
"Arnaus, Adri",150,euro,119,-5,61,3,0.20601130116874802
"Lipsky, David",150,pga,120,-4,202,-3,0.20010817881406304
"Sigg, Greyson",150,pga,121,35,194,18,0.196953205537333
"Fowler, Rickie",150,pga,122,3,156,-7,0.188667460870542
"Willett, Danny",150,pga,123,36,136,14,0.188097768110965
"Lahiri, Anirban",150,pga,124,-5,97,0,0.185459789428249
"Frittelli, Dylan",150,pga,125,-20,146,-7,0.16832148388345
"Knox, Russell",150,pga,126,-3,187,-2,0.155390444014309
"Bjork, Alexander",150,euro,127,3,164,2,0.15402941095277098
"Korhonen, Mikko",150,euro,128,-2,219,2,0.144815689012181
"Nunez, Augusto",150,kft,129,42,318,56,0.14093479648210502
"Du Plessis, Hennie",150,cha,130,-3,144,1,0.13930865777873902
"Malnati, Peter",150,pga,131,32,280,19,0.130606701584451
"Spaun, J.J.",150,pga,132,-1,112,0,0.130465638506013
"Poulter, Ian",150,pga,133,-1,107,-4,0.12216105734427803
"Lawrence, Thriston",150,euro,134,-17,130,-2,0.119353552402601
"Langasque, Romain",150,euro,135,-17,247,-6,0.11667439965414399
"Taylor, Nick",150,pga,136,-12,252,-4,0.11109389330989901
"Stenson, Henrik",150,pga,137,-2,173,-2,0.10840436824044
"Long, Hurly",150,cha,138,-2,181,-1,0.107321268990055
"Hahn, James",150,pga,139,56,225,36,0.10410836841054902
"Olesen, Thorbjorn",150,euro,140,17,153,5,0.0891794507644152
"Lashley, Nate",150,pga,141,-19,288,-10,0.0829990029397125
"Smotherman, Austin",150,kft,142,20,285,2,0.082114471022362
"Otaegui, Adrian",150,euro,143,-5,179,-5,0.0804263145960281
"Duncan, Tyler",150,pga,144,6,376,-8,0.0773564667515345
"Schenk, Adam",150,pga,145,-6,162,-1,0.0731445760184699
"Schwartzel, Charl",150,pga,146,-2,121,2,0.06498477248664
"Alker, Steven",150,champ,147,-6,9999,0,0.0647385842887699
"Perez, Victor",150,euro,148,-3,101,0,0.0644687872445394
"Scrivener, Jason",150,euro,149,-2,174,4,0.063540603996877
"Ramsay, Richie",150,euro,150,40,175,154,0.0611473851991003
"Hossler, Beau",150,pga,151,-8,167,-3,0.0575493903598488
"Hojgaard, Rasmus",150,euro,152,-4,149,4,0.0572012665337801
"Kitayama, Kurt",150,pga,153,-4,66,1,0.0528368416068002
"Suh, Justin",150,kft,154,22,327,35,0.0471853914115209
"Molinari, Edoardo",150,euro,155,-22,249,-5,0.0366242899798482
"Zanotti, Fabrizio",150,euro,156,-1,231,-4,0.0299578974597791
"Thompson, Michael",150,pga,157,13,236,-3,0.0294803299710281
"Gligic, Michael",150,pga,158,23,412,20,0.0291433032626702
"Haley II, Paul",150,kft,159,-8,216,-2,0.0283284421300908
"Bekker, Oliver",150,cha,160,-48,99,0,0.0219143987613903
"Hodges, Lee",150,pga,161,27,234,5,-0.0051309398681803
"Lee, Min Woo",150,euro,162,-4,69,2,-0.00626463178753657
"Eckroat, Austin",150,kft,163,21,379,25,-0.0076510071214213205
"Huh, John",150,pga,164,-12,239,-11,-0.0108490638781341
"Yuan, Yechun",150,kft,165,-19,125,-1,-0.0174737556527567
"Larrazabal, Pablo",150,euro,166,-6,74,2,-0.0209687132669737
"Piercy, Scott",150,pga,167,57,246,51,-0.0281833403898566
"Daffue, MJ",150,kft,168,-28,243,-7,-0.0302393030207467
"Glover, Lucas",150,pga,169,-15,128,-1,-0.0474438109542347
"Straka, Sepp",150,pga,170,-6,67,-1,-0.0489922630822318
"Westwood, Lee",150,pga,171,-6,92,0,-0.0502273475070658
"Sabbatini, Rory",150,pga,172,-6,176,-6,-0.0534050310026066
"Kizzire, Patton",150,pga,173,6,159,-2,-0.0540698914098415
"Armitage, Marcus",150,euro,174,8,197,6,-0.0558388114127654
"Ortiz, Carlos",150,pga,175,-8,133,-2,-0.0570160092039895
"Lee, Danny",150,pga,176,-8,259,-1,-0.0576185074192904
"Schwab, Matthias",150,pga,177,-40,222,-5,-0.0589657204707609
"Johnson, Zach",150,pga,178,-9,300,-9,-0.0590088287056361
"Champ, Cameron",150,pga,179,26,129,1,-0.0629183771765039
"Lebioda, Hank",150,pga,180,23,282,14,-0.0701727452461212
"Jaeger, Stephan",150,pga,181,-28,205,-5,-0.0810350511471424
"Bland, Richard",150,euro,182,-10,82,1,-0.0850084157007437
"Gotterup, Chris",150,am,183,13,455,0,-0.0896126473905221
"Canter, Laurie",150,euro,184,-9,135,0,-0.0974890840173481
"Garnett, Brice",150,pga,185,6,315,-13,-0.0991730533648785
"Ryder, Sam",150,pga,186,-12,268,-5,-0.10436130649734
"Mullinax, Trey",150,kft,187,-10,166,2,-0.107231007234394
"Moore, Taylor",150,kft,188,-10,184,2,-0.109818306501296
"Lower, Justin",150,kft,189,-28,392,-8,-0.11769730861423301
"Wu, Brandon",150,kft,190,-10,221,-2,-0.118701911357667
"Gutschewski, Scott",150,kft,191,9,9999,0,-0.12507184937083402
"Buckley, Hayden",150,kft,192,14,223,-1,-0.125516831754642
"Kim, Michael",150,pga,193,11,449,34,-0.131242785680711
"Wiesberger, Bernd",150,euro,194,-11,110,2,-0.132625266217708
"Paul, Yannik",150,cha,195,-10,182,0,-0.14256089387706
"Ramey, Chad",150,kft,196,-10,141,-1,-0.14793077839517002
"Coody, Pierceson",150,am,197,-24,400,-8,-0.157313217667516
"Wolff, Matthew",150,pga,198,-6,78,1,-0.17081581276957597
"Hadley, Chesson",150,pga,199,40,293,23,-0.17359175593573403
"Brun, Julien",150,cha,200,-7,201,-4,-0.178566305535006
