player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Byrd, Jonathan",150,-0.490,44,-0.039,-0.018,0.025,-0.155,0.016,0.031,-0.011,0.010,0.030,-0.631,2.640,"Rocket Mortgage Classic","Detroit Golf Club"
"Taylor, Vaughn",150,-0.438,46,-0.045,-0.110,-0.006,-0.112,-0.031,0.067,0.029,0.010,0.107,-0.635,2.610,"Rocket Mortgage Classic","Detroit Golf Club"
"Higgs, Harry",150,-0.674,30,0.007,0.102,0.001,-0.021,-0.052,-0.010,-0.029,0.025,-0.013,-0.651,2.666,"Rocket Mortgage Classic","Detroit Golf Club"
"Stuard, Brian",150,-0.789,39,-0.023,-0.082,0.099,-0.072,0.059,0.090,0.047,0.019,0.156,-0.652,2.584,"Rocket Mortgage Classic","Detroit Golf Club"
"Noh, Seung-Yul",150,-0.456,31,0.005,0.032,0.008,-0.170,-0.012,-0.005,-0.046,-0.010,-0.061,-0.654,2.637,"Rocket Mortgage Classic","Detroit Golf Club"
"Villegas, Camilo",150,-0.598,40,-0.026,-0.057,0.010,0.010,-0.019,0.024,-0.015,0.015,0.024,-0.656,2.666,"Rocket Mortgage Classic","Detroit Golf Club"
"Chappell, Kevin",150,-0.698,36,-0.011,0.003,-0.078,0.143,-0.018,-0.031,-0.028,0.040,-0.019,-0.677,2.652,"Rocket Mortgage Classic","Detroit Golf Club"
"Higgo, Garrick",150,-0.718,23,0.031,0.028,-0.005,0.012,-0.016,-0.035,-0.018,0.029,-0.024,-0.692,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Wu, Dylan",150,-0.826,26,0.022,0.028,-0.005,0.105,-0.040,-0.002,-0.011,0.029,0.016,-0.700,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Hagy, Brandon",150,-1.025,31,0.004,0.069,-0.003,0.264,0.066,-0.083,-0.052,0.045,-0.090,-0.715,2.654,"Rocket Mortgage Classic","Detroit Golf Club"
"Martin, Ben",150,-0.755,34,-0.007,-0.027,-0.025,0.065,-0.036,0.023,0.002,0.040,0.065,-0.720,2.604,"Rocket Mortgage Classic","Detroit Golf Club"
"Lingmerth, David",150,-0.765,35,-0.008,-0.076,0.066,-0.079,-0.040,0.084,0.022,0.034,0.140,-0.761,2.631,"Rocket Mortgage Classic","Detroit Golf Club"
"Murray, Grayson",150,-0.983,28,0.013,0.028,0.095,0.139,-0.042,-0.043,-0.041,0.029,-0.055,-0.806,2.680,"Rocket Mortgage Classic","Detroit Golf Club"
"Moore, Ryan",150,-0.438,39,-0.023,-0.122,-0.151,-0.161,-0.051,0.059,0.043,0.027,0.129,-0.816,2.609,"Rocket Mortgage Classic","Detroit Golf Club"
"Reeves, Seth",150,-1.050,31,0.004,0.043,-0.042,0.204,-0.002,-0.049,-0.018,0.056,-0.011,-0.854,2.639,"Rocket Mortgage Classic","Detroit Golf Club"
"Trainer, Martin",150,-1.131,31,0.005,0.066,0.064,0.135,0.004,-0.018,-0.036,0.054,-0.000,-0.857,2.700,"Rocket Mortgage Classic","Detroit Golf Club"
"Matthews, Brandon",150,-0.911,28,0.015,0.013,0.054,0.074,-0.040,-0.063,-0.057,0.033,-0.087,-0.881,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Hoag, Bo",150,-0.882,34,-0.004,-0.002,-0.037,-0.027,0.004,0.024,0.003,0.034,0.061,-0.886,2.586,"Rocket Mortgage Classic","Detroit Golf Club"
"Wolfe, Jared",150,-1.012,34,-0.005,0.065,-0.022,0.129,-0.040,-0.034,-0.026,0.039,-0.021,-0.907,2.651,"Rocket Mortgage Classic","Detroit Golf Club"
"Brehm, Ryan",150,-1.217,36,-0.012,0.158,-0.004,0.212,0.002,-0.061,-0.046,0.047,-0.059,-0.920,2.698,"Rocket Mortgage Classic","Detroit Golf Club"
"McGreevy, Max",150,-1.080,27,0.018,-0.015,-0.021,0.122,-0.040,0.031,0.009,0.042,0.081,-0.934,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Skinns, David",150,-0.825,40,-0.026,0.077,0.010,-0.138,-0.040,-0.006,-0.040,0.010,-0.035,-0.978,2.650,"Rocket Mortgage Classic","Detroit Golf Club"
"Naegel, Chris",150,-0.852,39,-0.023,-0.010,-0.108,0.046,-0.040,-0.017,-0.032,0.053,0.004,-0.983,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Thompson, Curtis",150,-1.155,29,0.010,0.043,0.002,0.112,0.014,-0.047,-0.030,0.054,-0.023,-0.995,2.610,"Rocket Mortgage Classic","Detroit Golf Club"
"Hammer, Cole",150,-0.999,22,0.032,0.022,0.048,-0.064,-0.040,0.027,-0.047,0.025,0.005,-0.996,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Baddeley, Aaron",150,-0.934,41,-0.028,-0.002,-0.025,-0.045,-0.016,0.033,-0.030,0.022,0.025,-1.026,2.628,"Rocket Mortgage Classic","Detroit Golf Club"
"Knous, Jim",150,-0.988,32,0.001,0.007,0.002,-0.038,-0.040,-0.006,-0.023,0.047,0.018,-1.038,2.640,"Rocket Mortgage Classic","Detroit Golf Club"
"Aphibarnrat, Kiradech",150,-1.123,33,-0.001,0.015,-0.020,0.005,-0.040,0.029,0.001,0.052,0.082,-1.082,2.644,"Rocket Mortgage Classic","Detroit Golf Club"
"Van Der Walt, Dawie",150,-1.135,39,-0.022,0.025,-0.035,0.050,-0.040,-0.001,-0.013,0.047,0.032,-1.124,2.620,"Rocket Mortgage Classic","Detroit Golf Club"
"Creel, Joshua",150,-1.192,32,0.001,-0.004,-0.030,-0.005,-0.040,0.058,0.010,0.048,0.116,-1.154,2.624,"Rocket Mortgage Classic","Detroit Golf Club"
"Hoffmann, Morgan",150,-0.980,32,-0.001,-0.079,-0.094,-0.079,-0.033,0.036,-0.007,0.049,0.078,-1.187,2.670,"Rocket Mortgage Classic","Detroit Golf Club"
"Werenski, Richy",150,-1.273,30,0.007,-0.040,-0.076,0.013,0.018,0.013,-0.013,0.053,0.053,-1.298,2.669,"Rocket Mortgage Classic","Detroit Golf Club"
"Kang, Sung",150,-1.439,35,-0.008,-0.037,-0.014,0.093,-0.031,0.020,-0.002,0.062,0.081,-1.354,2.695,"Rocket Mortgage Classic","Detroit Golf Club"
"Drewitt, Brett",150,-1.473,31,0.003,0.028,0.052,0.024,-0.040,0.013,-0.014,0.051,0.049,-1.356,2.588,"Rocket Mortgage Classic","Detroit Golf Club"
"Van Pelt, Bo",150,-1.296,47,-0.048,-0.018,-0.071,-0.068,0.024,0.033,-0.007,0.061,0.087,-1.389,2.631,"Rocket Mortgage Classic","Detroit Golf Club"
"Landry, Andrew",150,-1.228,34,-0.007,-0.105,-0.327,0.036,-0.040,0.040,0.021,0.082,0.143,-1.528,2.656,"Rocket Mortgage Classic","Detroit Golf Club"
"Garrigus, Robert",150,-1.496,44,-0.039,-0.016,0.076,-0.042,-0.040,-0.027,-0.022,0.049,-0.000,-1.558,2.681,"Rocket Mortgage Classic","Detroit Golf Club"
