player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,52.83,2.3,49.31,84.5,27.5,0,0,6600,,34908,1210
2024,,,G,Max Homa,84.18,21.2,88.28,106.5,36.5,0,0,9900,,36137,2024
2145,,,G,Chesson Hadley,46.36,3.4,49.08,79,26,0,0,6900,,34879,2145
2167,,,G,J.J. Spaun,60.98,0.34,53.89,90,29.5,0,0,6900,,36093,2167
1562,,,G,Curtis Thompson,43.86,0.07,32.6,76,26,0,0,6000,,2959180,1562
1112,,,G,Robert Streb,54.41,0.43,37.96,85,28,0,0,6600,,34814,1112
2168,,,G,Kevin Tway,48.46,0.15,36.09,80.5,27,0,0,6300,,35139,2168
2125,,,G,Tony Finau,89.2,20.7,90.53,110.5,63.3,0,0,10600,,34873,2125
1179,,,G,Brandon Hagy,46.6,0.12,37.52,79.35,26,0,0,6500,,36079,1179
2026,,,G,Bo Van Pelt,40.72,0.07,26.89,72,24.5,0,0,6200,,1303898,2026
2158,,,G,Lucas Glover,58.88,1.1,54.59,89,29,0,0,6900,,34876,2158
571331,,,G,Brandon Matthews,34.51,0.44,31.68,42.35,22.5,0,0,6100,,1708994,571331
700009,,,G,Joohyung Kim,68.46,15.4,73.43,95.5,31.5,0,0,7600,,2087790,700009
696522,,,G,Michael Thorbjornsen,52.99,2.5,63.04,84,28,0,0,7100,,1071511,696522
696566,,,G,Brandon Wu,55.76,1.8,52.4,86.5,28.5,0,0,6900,,1074861,696566
1883,,,G,Danny Lee,54.62,0.04,50.32,86,28,0,0,6700,,34784,1883
1455,,,G,Ryan Armour,55.37,0.19,50.01,86,28.15,0,0,6600,,36068,1455
1477,,,G,Sung Kang,34.39,0.09,22.46,42,22.5,0,0,6100,,34893,1477
404847,,,G,Sahith Theegala,73.05,14.2,72.29,99.5,32.5,0,0,8700,,37149,404847
2049,,,G,Zach Johnson,49.44,0.12,41.14,81.5,27,0,0,6700,,34772,2049
670398,,,G,Greyson Sigg,61.93,5.1,58.28,91,30,0,0,7100,,37979,670398
1961,,,G,Scott Stallings,70.52,14,72.82,97.5,31.5,0,0,7700,,34999,1961
1741,,,G,Dawie Van der Walt,41.09,0.06,28.88,72,25,0,0,6000,,34946,1741
1631,,,G,Charley Hoffman,54.89,0.19,52.52,85.5,28,0,0,6700,,34766,1631
1411,,,G,Nick Hardy,66.62,8,71.07,95,31,0,0,7300,,35104,1411
1653,,,G,C.T. Pan,69.57,5.8,71.13,97,31.5,0,0,7300,,35389,1653
1554,,,G,Kevin Streelman,70.83,9.5,71.45,97,32,0,0,7700,,34815,1554
74908,,,G,Wesley Bryan,38.86,0.12,33.7,69,24,0,0,6100,,35076,74908
1698,,,G,Henrik Norlander,51.57,0.23,40.82,83,27,0,0,6400,,34917,1698
1115,,,G,Nick Watney,33.26,0.04,22.43,39.5,22,0,0,6000,,36095,1115
1478,,,G,Jhonattan Vegas,69.38,8.2,71.79,96.5,31.5,0,0,7400,,35007,1478
1005,,,G,Stewart Cink,61.76,1.8,66.38,90.5,30.5,0,0,7100,,34863,1005
299952,,,G,Brett Drewitt,35.77,0.01,22.84,60.5,22.5,0,0,6200,,36074,299952
2006,,,G,Brian Gay,33.89,0.1,24.43,40.5,21.5,0,0,6200,,34875,2006
288611,,,G,Paul Barjon,48.01,0.58,42.93,80,27,0,0,6200,,912552,288611
703905,,,G,Chris Gotterup,62.61,16.8,75.09,91.85,30.5,0,0,7400,,3549709,703905
698823,,,G,Vince Whaley,58.75,1.7,46.14,88,30,0,0,6800,,1266432,698823
1654,,,G,Russell Henley,76.88,9.8,73.53,101.5,33.5,0,0,8200,,34884,1654
1237,,,G,Rickie Fowler,60.97,5.4,55.45,90.5,29.5,0,0,7300,,34760,1237
510218,,,G,Cameron Champ,57.97,10.7,63.64,88.5,29,0,0,7600,,37122,510218
2128,,,G,Camilo Villegas,49.24,0.18,32.31,81,27,0,0,6200,,34948,2128
692004,,,G,Hank Lebioda,58.51,1.9,58.8,88,29,0,0,7100,,565462,692004
1600,,,G,Harris English,54.93,4.2,56.98,85.85,28.5,0,0,7300,,34758,1600
1842,,,G,Tyler Duncan,60.38,1.3,51.11,90,29.5,0,0,6900,,37911,1842
1974,,,G,Andrew Landry,34.01,0.03,24.27,40.5,22,0,0,6400,,34979,1974
696569,,,G,Cameron Young,82.75,29.5,85.09,106.5,35.5,0,0,10100,,1074862,696569
1622,,,G,Joel Dahmen,61.54,1.6,61.6,90.5,30,0,0,7200,,36136,1622
1996,,,G,Davis Love III,32.88,0.11,14.45,38.85,21.5,0,0,6100,,34787,1996
1655,,,G,James Hahn,58.95,3.7,49.69,88.5,29.5,0,0,7000,,34881,1655
1216,,,G,Russell Knox,60.7,0.7,55.2,90,29.5,0,0,6900,,34778,1216
1579,,,G,Will Zalatoris,87.45,18.3,88.83,110.5,38.5,0,0,10400,,35055,1579
1018,,,G,Denny McCarthy,68.45,8.9,73.59,95.5,31,0,0,8900,,35117,1018
168823,,,G,Wyatt Worthington,33.83,0.02,10.53,41,21.5,0,0,6000,,35351,168823
670533,,,G,Garrick Higgo,47.62,0.6,43.01,80,26.5,0,0,6500,,2879219,670533
1832,,,G,Brice Garnett,59.12,1.8,51.2,89,29,0,0,6900,,34968,1832
1799,,,G,Adam Hadwin,77.05,12.8,75.22,102,33.5,0,0,8400,,34880,1799
1689,,,G,Beau Hossler,53.86,1.1,52.97,85.5,28,0,0,6800,,36293,1689
1107,,,G,Brian Stuard,47.96,0.2,36.37,80,26.5,0,0,6300,,35002,1107
2119,,,G,Chad Ramey,52.93,0.18,53.81,84.5,28,0,0,6500,,3083529,2119
330678,,,G,Cameron Davis,74.75,17.9,77.87,101.5,33,0,0,9700,,36131,330678
1932,,,G,Michael Kim,52.56,0.01,47.21,84.5,27.5,0,0,6400,,34897,1932
1822,,,G,Luke Donald,50.14,0.05,41.08,81.5,27,0,0,6300,,34870,1822
1514,,,G,Trey Mullinax,60.66,1.7,52.24,89.85,29.5,0,0,7000,,36084,1514
1888,,,G,Roger Sloan,51.05,0.27,40.04,82.5,27.5,0,0,6300,,466730,1888
1657,,,G,Robert Garrigus,,0,,,,0,0,6600,,34969,1657
670403,,,G,Andrew Novak,56.22,0.2,49.86,86.5,29,0,0,6400,,37983,670403
