DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
31179886,C.J. Uzomah,TE,NYJ,MIA,,1500,,0.85,0.85,0.5666666666666667,0.1,0.03683645494577875,0,100,15.0453,40.3996,0.565304,0,0,0,1.5,2.8,9.001,0.456727,0,0,0,1,2.2,8.401,0.456727,0,0,0,1,2.2,8.401,0.565304,0,0,0,1.5,2.8,9.001,1.62984,1.46209,1.46209,1.62984,0,0,0,0,0,0.216753,2.19014,0.0216767,0,0,0
31179903,Irvin Charles,WR,NYJ,MIA,,300,,0.78,0.78,2.6,0.03,0.008178608065147695,0,100,15.0453,40.3996,0.521068,0,0,0,1.5,2.7,7.702,0.41055,0,0,0,1,2.1,7.2,0.41055,0,0,0,1,2.1,7.2,0.521068,0,0,0,1.5,2.7,7.702,1.42555,1.24951,1.24951,1.42555,0,0,0,0,0,0.220797,2.24038,0.0128533,0,0,0
31179936,C.J. Uzomah,TE,NYJ,MIA,,1000,,0.57,0.57,0.57,2.08,1.2264112524886692,0,100,15.0453,40.3996,0.565304,0,0,0,1.5,2.8,9.001,0.456727,0,0,0,1,2.2,8.401,0.456727,0,0,0,1,2.2,8.401,0.565304,0,0,0,1.5,2.8,9.001,1.62984,1.46209,1.46209,1.62984,0,0,0,0,0,0.216753,2.19014,0.0216767,0,0,0
31179953,Irvin Charles,WR,NYJ,MIA,,200,,0.52,0.52,2.6,1.02,0.5032771033558873,0,100,15.0453,40.3996,0.521068,0,0,0,1.5,2.7,7.702,0.41055,0,0,0,1,2.1,7.2,0.41055,0,0,0,1,2.1,7.2,0.521068,0,0,0,1.5,2.7,7.702,1.42555,1.24951,1.24951,1.42555,0,0,0,0,0,0.220797,2.24038,0.0128533,0,0,0
31179904,Tyler Kroft,TE,MIA,NYJ,,300,,0.44,0.44,1.4666666666666668,0.06,0.06,0,100,25.3543,40.3996,0.296484,0,0,0,0,2,4.901,0.236216,0,0,0,0,1.5,4.2,0.236216,0,0,0,0,1.5,4.2,0.296484,0,0,0,0,2,4.901,1.11541,0.989321,0.989321,1.11541,0,0,0,0,0,0.120457,1.26227,0.00843667,0,0,0
31179892,Nick Bawden,RB,NYJ,MIA,,300,,0.33,0.33,1.1,0.01,0.01,0,100,15.0453,40.3996,0.218784,0,0,0,0,1.7,3.3,0.162194,0,0,0,0,1.2,2.6,0.162194,0,0,0,0,1.2,2.6,0.218784,0,0,0,0,1.7,3.3,0.82159,0.694888,0.694888,0.82159,0,0,0,0,0,0.11318,0.797643,0.00436,0,0,0
31179954,Tyler Kroft,TE,MIA,NYJ,,200,,0.3,0.3,1.5,0.99,0.99,0,100,25.3543,40.3996,0.296484,0,0,0,0,2,4.901,0.236216,0,0,0,0,1.5,4.2,0.236216,0,0,0,0,1.5,4.2,0.296484,0,0,0,0,2,4.901,1.11541,0.989321,0.989321,1.11541,0,0,0,0,0,0.120457,1.26227,0.00843667,0,0,0
31179942,Nick Bawden,RB,NYJ,MIA,,200,,0.22,0.22,1.1,0.38,0.38,0,100,15.0453,40.3996,0.218784,0,0,0,0,1.7,3.3,0.162194,0,0,0,0,1.2,2.6,0.162194,0,0,0,0,1.2,2.6,0.218784,0,0,0,0,1.7,3.3,0.82159,0.694888,0.694888,0.82159,0,0,0,0,0,0.11318,0.797643,0.00436,0,0,0
31179919,Skylar Thompson,QB,MIA,NYJ,,6000,,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31179913,Zach Wilson,QB,NYJ,MIA,,8200,,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
