player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Sam Howell,97599,QB,WAS,5,2.9,2.61,3.5,5.69,236,32,90.2,82,87,4.0,1.92,4,2,2.2,79.3,69,21,6.8,90,38.1,5,27,,84.5,74.6,80.3,73.2,,,1,1,94,14.3,101.7,3.3,3,0,0,0,3,1,1.1,592,6.8,70.3,91,104,11.7,3.53,2,7,6.2,59.6,62,68,3.1,145,61.4,2,39,,62.3,57.1,82.4,54.0,,70.2,0,5,162,38.2,71.7,17.9,26,15,0,11,3,7,4.3,757,7.3
Justin Fields,82118,QB,CHI,5,3.22,2.89,3.89,5.91,187,6,82.4,51,55,6.3,2.0,2,3,5.4,70.9,39,16,7.1,60,32.1,3,20,,38.2,71.6,78.7,70.5,,,1,1,61,31.3,122.9,8.3,5,0,0,1,6,2,3.3,435,7.9,67.5,83,97,10.3,3.82,2,4,4.0,56.7,55,74,1.8,126,67.4,1,39,,36.6,70.3,81.6,63.2,,85.0,2,4,131,18.9,79.8,11.1,14,15,0,10,5,3,2.3,709,7.3
Matthew Stafford,4924,QB,LA,4,2.65,2.53,2.98,4.86,182,26,78.2,78,81,5.8,1.88,1,1,1.2,72.8,59,17,3.3,82,45.1,2,32,,83.8,73.7,79.9,72.4,,,1,0,85,5.9,103.3,1.2,1,0,0,1,3,1,1.2,547,6.8,66.7,75,84,12.4,3.29,3,11,12.4,52.4,44,46,12.0,100,54.9,6,32,,85.3,81.5,80.8,80.4,,61.6,0,5,106,17.4,55.1,8.0,8,8,0,6,0,3,2.8,688,8.2
Daniel Jones,39395,QB,NYG,4,2.87,2.58,3.14,4.72,170,21,80.8,78,79,4.4,1.87,0,0,0.0,78.5,62,17,1.6,83,48.8,1,21,,84.0,63.1,80.0,62.6,,,1,3,87,23.5,77.8,4.8,4,0,0,0,1,2,2.3,431,5.5,70.5,44,52,9.7,3.82,2,2,3.7,53.8,28,62,9.7,87,51.2,3,21,,23.7,55.8,80.3,42.6,,84.4,1,3,93,29.0,56.7,20.7,18,17,0,5,1,6,6.5,342,6.6
Kirk Cousins,7102,QB,MIN,4,2.77,2.7,3.54,4.5,169,18,80.3,66,66,5.2,1.97,0,0,0.0,77.3,51,16,3.8,68,40.2,2,24,,82.6,67.6,79.3,66.8,,,0,2,71,12.5,94.6,2.9,2,0,0,0,3,1,1.4,405,6.1,74.7,83,91,10.8,3.31,0,4,4.0,62.6,57,37,8.1,101,59.8,5,34,,29.8,76.7,80.9,76.1,,54.2,3,2,109,21.6,111.5,7.9,8,2,0,5,8,2,1.8,809,8.9
C.J. Stroud,129759,QB,HST,4,2.74,2.63,3.35,4.45,167,13,75.6,82,84,5.7,1.94,0,0,0.0,67.9,57,21,8.1,85,50.9,5,31,,84.0,76.7,80.1,75.2,,,2,0,88,4.8,107.5,1.2,1,0,0,0,4,1,1.1,666,7.9,71.9,57,62,12.2,3.65,0,3,4.4,59.7,37,42,9.8,80,47.9,4,28,,27.5,66.5,80.0,63.8,,70.4,0,0,86,23.8,99.3,12.5,10,8,0,5,2,3,3.5,546,8.8
Justin Herbert,28237,QB,LAC,4,2.64,2.52,2.67,5.07,167,27,87.5,72,74,4.8,1.75,1,2,2.6,85.1,63,13,0.0,76,45.5,0,24,,83.3,75.1,79.7,73.7,,,0,0,79,15.4,113.5,2.6,2,0,0,1,4,2,2.5,511,6.9,62.7,67,71,13.7,3.49,0,5,6.6,56.3,40,39,4.8,88,52.7,2,33,,28.5,73.8,80.3,67.3,,85.2,0,1,94,17.9,92.1,8.0,7,10,0,4,3,4,4.3,594,8.4
Trevor Lawrence,77632,QB,JAX,4,2.45,2.24,3.34,4.93,164,15,80.2,96,97,4.8,1.76,1,3,3.1,72.2,70,13,9.1,97,59.1,7,28,,84.8,81.6,80.5,79.7,,,0,0,98,0.0,87.1,0.0,0,0,0,0,0,1,1.0,579,6.0,70.0,40,46,12.9,3.56,2,6,11.3,56.5,26,36,7.1,65,39.6,2,24,,44.6,83.3,79.3,82.0,,66.4,1,2,72,22.2,93.2,12.3,8,11,0,3,4,2,2.8,366,8.0
Patrick Mahomes,11765,QB,KC,4,3.06,2.78,3.6,5.51,162,16,76.9,65,65,3.1,1.71,0,1,1.5,72.3,47,4,6.0,65,40.1,3,22,,82.1,80.6,79.1,78.8,,,0,1,66,0.0,98.8,0.0,0,0,0,0,4,0,0.0,348,5.4,66.2,71,79,12.3,3.96,0,4,4.7,55.7,44,52,6.4,97,59.9,3,34,,85.3,80.3,80.8,67.9,,92.1,4,3,106,3.8,84.3,2.1,2,16,0,4,4,6,5.7,659,8.3
Joe Burrow,28022,QB,CIN,4,2.3,2.22,2.85,5.0,161,7,73.3,101,108,6.3,1.84,2,2,1.8,62.0,67,22,9.5,109,67.7,7,30,,85.7,70.2,81.0,69.2,,,5,0,112,4.5,80.8,0.9,1,0,0,0,2,1,0.9,540,5.0,66.7,33,42,7.3,3.27,1,1,2.1,47.6,20,25,9.1,52,32.3,2,7,,81.1,47.2,78.5,50.9,,45.3,1,2,57,28.0,40.6,13.5,7,3,0,7,0,1,1.8,188,4.5
Mac Jones,60323,QB,NE,4,2.48,2.39,2.77,4.27,159,19,77.0,87,89,5.2,1.86,2,1,1.1,73.0,65,18,3.0,91,57.2,2,22,,84.6,58.9,80.3,58.7,,,0,3,95,11.1,84.5,2.2,2,0,0,0,3,4,4.2,521,5.9,60.4,53,57,14.3,3.31,0,4,7.0,49.1,28,42,12.5,68,42.8,4,23,,43.1,59.4,79.2,56.3,,69.9,2,1,70,11.9,75.0,7.4,5,6,0,2,2,6,8.6,377,6.6
