player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Casey Toohill,38472,ED,WAS,5,0,32,0,0,0,0,0,0,46.7,14,1,7.1,1,1,0,0,93.8,30,32,1,3.3,0,0,0,0,53.3,16,0,0.0,0,0,0,1,1,0
Devin Lloyd,58238,LB,JAX,3,0,15,0,1,0,0,1,0,38.5,5,1,10.0,0,0,0,0,13.5,15,111,1,3.3,0,0,0,0,61.5,8,0,0.0,0,0,0,0,0,0
John Jenkins,7863,DI,LV,4,0,23,1,3,0,1,2,0,50.0,30,3,5.0,0,0,0,0,100.0,60,60,4,3.3,0,0,1,0,50.0,30,1,1.7,0,1,1,0,1,1
DeForest Buckner,10641,DI,IND,4,0,14,1,2,0,0,0,0,35.6,36,0,0.0,0,0,0,0,95.5,105,110,5,3.3,0,1,2,0,64.4,65,4,3.8,1,1,0,2,2,0
Zach Allen,49605,DI,DEN,4,1,10,3,3,0,0,0,0,47.9,57,1,1.8,1,0,0,1,100.0,121,121,7,3.3,1,3,3,1,52.1,62,6,4.8,0,1,1,1,1,1
Trent McDuffie,72191,CB,KC,4,1,16,1,0,1,0,0,0,40.0,6,0,0.0,0,0,0,0,10.2,15,147,1,3.3,0,1,0,0,60.0,9,1,5.6,0,0,0,0,0,0
Timmy Horne,43918,DI,ATL,2,0,2,0,1,0,0,0,0,46.7,7,0,0.0,0,0,0,0,100.0,15,15,1,3.3,0,0,1,0,53.3,8,1,6.3,0,0,0,0,0,0
Naquan Jones,44363,DI,TEN,4,0,31,0,1,0,0,1,0,66.7,10,1,5.0,0,0,0,0,100.0,15,15,1,3.3,0,0,0,0,33.3,5,0,0.0,0,0,0,0,0,0
Jihad Ward,10678,ED,NYG,4,0,21,1,2,0,1,0,0,51.1,23,1,2.2,0,1,1,0,97.8,45,46,3,3.3,0,0,2,0,48.9,22,2,4.5,0,0,0,0,1,1
D.J. Jones,11953,DI,DEN,4,0,10,1,4,0,1,1,0,50.7,34,2,2.9,0,1,1,1,100.0,79,79,5,3.2,0,0,2,1,49.3,33,2,3.0,0,0,0,0,2,4
Oshane Ximines,48538,ED,NYG,2,0,21,0,1,0,0,0,0,33.3,5,0,0.0,0,0,0,0,59.3,16,27,1,3.1,0,0,1,0,66.7,10,1,5.0,0,0,0,0,0,0
D.J. Wonnum,44550,ED,MIN,4,2,18,3,2,1,1,1,0,23.9,27,2,3.7,0,0,0,0,89.7,113,126,6,3.1,1,2,1,0,76.1,86,4,2.9,1,1,0,1,1,0
T.J. Slaton,56597,DI,GB,4,0,12,1,3,0,1,0,0,43.9,25,1,2.0,0,0,0,0,100.0,64,64,4,3.1,0,0,3,0,56.1,32,3,4.7,0,0,0,0,0,0
