player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Sam Howell,97599,QB,WAS,5,79,13.9,0,32,2,6,22.8,13.9,72.2,3.8,0,18,11,18,11,79,57,3,9,18,18,1,11.4,22.8,10,22.8,1.3
Justin Fields,82118,QB,CHI,5,73,15.1,0,6,0,7,17.8,23.3,83.6,1.4,0,12,11,13,17,73,61,1,14,16,12,2,19.2,21.9,5,16.4,2.7
Daniel Jones,39395,QB,NYG,4,65,10.8,0,21,3,7,13.8,18.5,81.5,1.5,0,13,7,9,12,65,53,1,19,19,13,2,29.2,29.2,3,20.0,3.1
Kenny Pickett,60515,QB,PIT,4,60,18.3,0,25,2,3,8.3,35.0,80.0,6.7,0,8,11,5,21,60,48,4,14,9,8,0,23.3,15.0,3,13.3,0.0
Matthew Stafford,4924,QB,LA,4,56,19.6,0,26,1,2,17.9,33.9,89.3,3.6,0,4,11,10,19,56,50,2,12,6,4,0,21.4,10.7,1,7.1,0.0
Mac Jones,60323,QB,NE,4,55,12.7,0,19,0,4,29.1,12.7,90.9,1.8,0,4,7,16,7,55,50,1,9,21,4,0,16.4,38.2,0,7.3,0.0
Zach Wilson,82096,QB,NYJ,4,54,22.2,0,22,0,3,14.8,27.8,81.5,9.3,0,6,12,8,15,54,44,5,9,10,6,2,16.7,18.5,3,11.1,3.7
Patrick Mahomes,11765,QB,KC,4,50,6.0,0,16,4,5,22.0,26.0,80.0,2.0,0,9,3,11,13,50,40,1,8,8,9,3,16.0,16.0,0,18.0,6.0
Russell Wilson,7077,QB,DEN,4,48,4.2,0,10,8,2,16.7,12.5,75.0,6.3,0,13,2,8,6,48,36,3,6,13,13,3,12.5,27.1,3,27.1,6.3
C.J. Stroud,129759,QB,HST,4,46,8.7,0,13,0,2,10.9,19.6,84.8,2.2,0,6,4,5,9,46,39,1,10,15,6,3,21.7,32.6,4,13.0,6.5
Jalen Hurts,40291,QB,PHI,4,45,4.4,0,24,4,5,20.0,22.2,62.2,11.1,0,14,2,9,10,45,28,5,5,7,14,1,11.1,15.6,5,31.1,2.2
Justin Herbert,28237,QB,LAC,4,44,15.9,0,27,0,2,13.6,15.9,72.7,22.7,0,2,7,6,7,44,32,10,6,8,2,0,13.6,18.2,0,4.5,0.0
Ryan Tannehill,7014,QB,TEN,4,44,18.2,0,31,2,2,22.7,38.6,86.4,0.0,0,6,8,10,17,44,38,0,5,6,6,1,11.4,13.6,2,13.6,2.3
Kirk Cousins,7102,QB,MIN,4,44,15.9,0,18,0,0,15.9,31.8,88.6,9.1,0,2,7,7,14,44,39,4,14,5,2,1,31.8,11.4,2,4.5,2.3
Desmond Ridder,55086,QB,ATL,4,44,22.7,0,2,0,1,20.5,22.7,84.1,6.8,0,4,10,9,10,44,37,3,7,6,4,0,15.9,13.6,3,9.1,0.0
Bryce Young,123943,QB,CAR,3,43,9.3,0,5,1,3,23.3,11.6,81.4,7.0,0,7,4,10,5,43,35,3,11,8,7,1,25.6,18.6,3,16.3,2.3
Geno Smith,7820,QB,SEA,4,42,4.8,0,29,1,1,19.0,28.6,85.7,4.8,0,3,2,8,12,42,36,2,3,19,4,1,7.1,45.2,1,9.5,2.4
Josh Allen,46601,QB,BUF,4,40,22.5,0,4,0,3,15.0,15.0,80.0,5.0,0,7,9,6,6,40,32,2,6,10,7,0,15.0,25.0,4,17.5,0.0
Derek Carr,8671,QB,NO,4,39,20.5,0,20,0,3,17.9,33.3,87.2,2.6,0,4,8,7,13,39,34,1,7,5,4,0,17.9,12.8,1,10.3,0.0
Joshua Dobbs,11890,QB,ARZ,4,38,18.4,0,1,1,1,34.2,15.8,89.5,0.0,0,4,7,13,6,38,34,0,7,5,4,1,18.4,13.2,2,10.5,2.6
Joe Burrow,28022,QB,CIN,4,38,18.4,0,7,1,0,28.9,26.3,94.7,0.0,0,2,7,11,10,38,36,0,9,8,2,0,23.7,21.1,1,5.3,0.0
Trevor Lawrence,77632,QB,JAX,4,37,24.3,0,15,0,2,27.0,13.5,89.2,5.4,0,2,9,10,5,37,33,2,7,8,2,1,18.9,21.6,0,5.4,2.7
Deshaun Watson,11767,QB,CLV,3,37,13.5,0,8,2,3,13.5,32.4,78.4,2.7,0,7,5,5,12,37,29,1,4,5,7,1,10.8,13.5,2,18.9,2.7
Jordan Love,40306,QB,GB,4,36,11.1,0,12,1,5,27.8,13.9,83.3,2.8,0,7,4,10,5,36,30,1,7,8,7,2,19.4,22.2,1,19.4,5.6
Jared Goff,10635,QB,DET,4,34,11.8,0,11,1,0,29.4,20.6,82.4,8.8,0,3,4,10,7,34,28,3,6,4,3,1,17.6,11.8,2,8.8,2.9
Brock Purdy,77672,QB,SF,4,33,21.2,0,28,0,0,9.1,9.1,90.9,9.1,0,1,7,3,3,33,30,3,12,7,1,0,36.4,21.2,1,3.0,0.0
Lamar Jackson,46416,QB,BLT,4,32,9.4,0,3,0,1,18.8,34.4,90.6,3.1,0,2,3,6,11,32,29,1,8,7,2,1,25.0,21.9,1,6.3,3.1
Baker Mayfield,46518,QB,TB,4,32,28.1,0,30,1,4,18.8,6.3,78.1,3.1,0,6,9,6,2,32,25,1,6,6,6,2,18.8,18.8,1,18.8,6.3
Dak Prescott,10769,QB,DAL,4,29,10.3,0,9,2,1,13.8,24.1,79.3,6.9,0,4,3,4,7,29,23,2,6,6,4,0,20.7,20.7,1,13.8,0.0
Andy Dalton,6187,QB,CAR,1,26,15.4,0,5,2,0,53.8,15.4,92.3,-3.8,0,2,4,14,4,26,24,-1,3,4,2,1,11.5,15.4,0,7.7,3.8
Tua Tagovailoa,60326,QB,MIA,4,24,25.0,0,17,0,1,8.3,29.2,95.8,-8.3,0,1,6,2,7,24,23,-2,3,8,1,4,12.5,33.3,0,4.2,16.7
Anthony Richardson,124393,QB,IND,3,23,21.7,0,14,0,4,13.0,21.7,73.9,4.3,0,6,5,3,5,23,17,1,5,3,6,0,21.7,13.0,2,26.1,0.0
Gardner Minshew,41401,QB,IND,3,21,19.0,0,14,0,2,4.8,14.3,61.9,19.0,0,4,4,1,3,21,13,4,3,4,4,1,14.3,19.0,2,19.0,4.8
Jimmy Garoppolo,8697,QB,LV,3,21,19.0,0,23,1,3,19.0,23.8,76.2,4.8,0,4,4,4,5,21,16,1,1,4,4,0,4.8,19.0,0,19.0,0.0
Dorian Thompson-Robinson,83574,QB,CLV,1,17,0.0,0,8,0,2,17.6,35.3,76.5,5.9,0,4,0,3,6,17,13,1,1,4,4,0,5.9,23.5,2,23.5,0.0
Aidan O'Connell,60516,QB,LV,1,12,8.3,0,23,0,0,16.7,16.7,100.0,0.0,0,1,1,2,2,12,12,0,1,8,1,0,8.3,66.7,1,8.3,0.0
Bailey Zappe,60396,QB,NE,1,6,0.0,0,19,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,6,6,0,1,5,0,0,16.7,83.3,0,0.0,0.0
Jameis Winston,9434,QB,NO,2,4,25.0,0,20,0,0,25.0,0.0,100.0,0.0,0,0,1,1,0,4,4,0,0,1,0,1,0.0,25.0,0,0.0,25.0
