"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Josh Jacobs","LV","NYG","RB","6900","19.3","2.6","25.8","29.5","30657437","8.8","31.9"
"Patriots ","NE","WAS","DST","2900","9.3","2.6","15.3","19.7","30658264","3.1","16.6"
"Packers ","GB","LA","DST","2800","8.6","2.1","13.1","9.3","30658265","1.7","13.9"
"Giants ","NYG","LV","DST","2300","7.6","2.1","18.2","30.5","30658270","1.6","14.0"
"Bijan Robinson","ATL","MIN","RB","6100","17.0","1.9","24.4","30.0","30657447","6.7","29.5"
"Demario Douglas","NE","WAS","WR","4000","12.8","1.8","24.8","34.3","30657745","3.9","24.2"
"Devin Singletary","HOU","TB","RB","4300","13.0","1.5","26.9","29.7","30657507","4.9","23.8"
"Terry McLaurin","WAS","NE","WR","5600","15.3","1.2","21.9","26.2","30657711","5.3","28.3"
"Alvin Kamara","NO","CHI","RB","8100","20.1","1.1","29.9","33.5","30657431","9.0","33.4"
"Jonathan Taylor","IND","CAR","RB","6400","16.5","0.9","20.1","21.8","30657443","6.4","29.1"
"Rhamondre Stevenson","NE","WAS","RB","5400","14.6","0.9","15.2","10.7","30657459","5.7","25.7"
"Colts ","IND","CAR","DST","3100","7.8","0.7","3.9","2.1","30658262","2.0","15.2"
"Adam Thielen","CAR","IND","WR","7500","18.5","0.6","21.6","26.3","30657681","7.4","32.3"
"Baker Mayfield","TB","HOU","QB","5200","16.8","0.6","7.0","6.5","30657383","8.5","25.9"
"Sam Howell","WAS","NE","QB","5800","18.6","0.6","7.2","6.9","30657377","9.3","28.7"
"Rams ","LA","GB","DST","2600","6.8","0.6","6.3","6.5","30658267","0.6","13.1"
"Raiders ","LV","NYG","DST","3600","8.8","0.6","4.2","3.5","30658257","2.9","15.9"
"Deshaun Watson","CLE","ARI","QB","5400","17.3","0.5","4.5","4.4","30657381","8.7","27.0"
"Seahawks ","SEA","BAL","DST","2400","6.3","0.5","2.2","2.2","30658269","0.6","13.6"
