"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Jon Rahm",22890808,11100,82.5,81.89,14.3,99,66,0.8562,0.0311,0.6533,0.5432,0.3687,0.2369,0.1668,0.0725,10,0.2094,77.5,6.53,1.06,0.16,14,2022-06-05,"Memorial Tournament"
"2","Rory McIlroy",22890809,10900,87.29,80.36,16.3,98.5,63,0.8268,0.0252,0.6004,0.4804,0.3122,0.1897,0.1295,0.0524,18,0.183,72,4.81,-0.29,-0.04,16,2022-06-05,"Memorial Tournament"
"3","Patrick Cantlay",22890810,10700,81.06,76.43,12.2,94,58.92,0.8297,0.0325,0.5997,0.4781,0.3106,0.1929,0.1332,0.0545,3,0.0997,92,5.09,0.35,0.05,12,2022-06-05,"Memorial Tournament"
"4","Collin Morikawa",22890811,10400,81.93,67.5,9.7,87,29.5,0.7925,0.0242,0.5282,0.4076,0.2469,0.1422,0.092,0.0337,100,0.1133,21,3.24,-1.01,-0.15,10,2022-06-05,"Memorial Tournament"
"5","Xander Schauffele",22890812,10200,83.54,79.7,15.5,97.5,63,0.7987,0.0198,0.5289,0.4056,0.2444,0.1393,0.0887,0.0328,18,0.1482,84,3.22,-0.73,-0.11,15,2022-06-05,"Memorial Tournament"
"6","Cameron Smith",22890813,9900,89.14,71.69,16.4,90.5,32.5,0.7878,0.0236,0.5187,0.3959,0.2383,0.1363,0.0883,0.0349,13,0.1479,74,3.53,0,0,16,2022-06-05,"Memorial Tournament"
"7","Jordan Spieth",22890814,9700,74.04,72,21.3,90.5,33,0.7531,0.0209,0.4526,0.3303,0.1882,0.1016,0.0642,0.0232,18,0.1415,65.5,2.39,-0.88,-0.13,21,2022-06-05,"Memorial Tournament"
"8","Will Zalatoris",22890815,9400,68.82,69.95,19.4,89,30.5,0.7496,0.0166,0.4362,0.3145,0.1732,0.0904,0.0558,0.0188,5,0.111,94.5,2,-0.91,-0.14,19,2022-06-05,"Memorial Tournament"
"9","Viktor Hovland",22890816,9300,90.75,70.65,16.5,89.5,30.5,0.775,0.0174,0.4914,0.3684,0.2101,0.115,0.0732,0.0256,51,0.1613,57.5,2.75,-0.05,-0.01,16,2022-06-05,"Memorial Tournament"
"10","Shane Lowry",22890819,9000,72.71,75.12,20.4,92.5,59,0.8069,0.0202,0.549,0.4281,0.2644,0.1542,0.0998,0.0376,32,0.2059,57.5,4.18,1.69,0.25,21,2022-06-05,"Memorial Tournament"
