player_id,team,opp,pos,name,fpts,proj_own,minutes,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1133901,PSU,IU,G/F,Myles Dread,11.44,0,24,0,0,3200,,,1133901
1132603,MEM,TUL,F,Jahmar Young Jr.,,0,,0,0,3000,,,1132603
1176219,TUL,MEM,G/F,Braelee Albert,,0,,0,0,3000,,,1176219
1232539,TA&M,VAND,F,Andersson Garcia,11.42,0,17,0,0,4100,,,1232539
1195722,CINCY,UH,G,Mika Adams-Woods,17.97,0,34,0,0,5900,,,1195722
1193434,TA&M,VAND,F,Julius Marble,14.27,0,19,0,0,4600,,,1193434
1402709,UH,CINCY,F,Jarace Walker,25.52,0,29,0,0,7400,,,1402709
1066868,PUR,OSU,G,David Jenkins Jr.,5.42,0,12,0,0,3000,,,1066868
1176803,VAND,TA&M,G/F,Jordan Wright,29.44,0,31,0,0,7100,,,1176803
1176814,TUL,MEM,F,Oton Jankovic,,0,,0,0,3000,,,1176814
1251746,TUL,MEM,F,Collin Holloway,4.7,0,7,0,0,3500,,,1251746
1176506,PUR,OSU,F,Mason Gillis,14.19,0,20,0,0,3700,,,1176506
1132847,OSU,PUR,G,Isaac Likekele,14.02,0,20,0,0,3700,,,1132847
1175329,TUL,MEM,G,Jaylen Forbes,33.72,0,38,0,0,8500,,,1175329
1253947,BAMA,MIZZ,G,Mark Sears,25.54,0,33,0,0,6700,,,1253947
1231519,CINCY,UH,F,Jarrett Hensley,0.48,0,1,0,0,3000,,,1231519
1194977,MIZZ,BAMA,G,Tre Gomillion,,0,,0,0,3100,,,1194977
1195703,TA&M,VAND,G,Andre Gordon,6.47,0,14,0,0,3000,,,1195703
