player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kirk Cousins,7102,QB,MIN,3,2.78,2.7,3.73,4.5,148,18,85.0,60,60,5.0,1.99,0,0,0.0,81.7,49,15,3.9,61,41.2,2,22,,81.7,79.8,78.8,78.1,,,0,1,62,6.7,103.7,1.6,1,0,0,0,3,0,0.0,394,6.6,73.2,71,78,10.9,3.34,0,3,3.6,60.3,47,33,9.6,87,58.8,5,27,,28.3,71.4,80.3,71.2,,54.2,3,1,93,21.2,109.0,8.0,7,2,0,4,6,2,2.2,681,8.7
Matthew Stafford,4924,QB,LA,3,2.65,2.53,3.0,4.87,138,26,78.6,56,57,5.3,1.86,0,1,1.7,73.7,42,13,4.5,58,42.0,2,22,,81.5,69.8,78.6,68.8,,,0,0,60,7.7,102.8,1.7,1,0,0,1,2,1,1.7,378,6.6,65.6,61,68,12.7,3.23,2,9,12.7,50.0,34,38,15.0,80,58.0,6,26,,83.7,81.4,79.9,79.3,,66.1,0,4,84,15.8,52.2,7.5,6,6,0,5,0,2,2.4,538,7.9
C.J. Stroud,129759,QB,HST,3,2.75,2.64,3.35,4.72,137,13,78.8,66,67,5.8,1.95,0,0,0.0,71.6,48,16,7.7,68,49.6,4,23,,82.4,78.4,79.2,76.8,,,1,0,70,6.3,110.4,1.5,1,0,0,0,3,1,1.4,542,8.1,68.8,48,51,11.6,3.65,0,2,3.6,58.8,30,37,9.1,67,48.9,3,20,,26.0,56.8,79.3,56.3,,61.8,0,0,72,27.0,87.4,14.9,10,6,0,3,1,3,4.2,364,7.1
Mac Jones,60323,QB,NE,3,2.38,2.29,2.52,4.75,135,19,75.6,78,80,5.5,1.84,2,1,1.2,71.3,57,16,3.4,82,60.7,2,19,,83.9,61.1,80.0,60.8,,,0,2,86,12.5,87.7,2.4,2,0,0,0,3,3,3.5,464,5.8,63.4,41,45,16.0,3.2,0,3,6.7,53.3,24,32,7.7,53,39.3,2,20,,81.0,80.5,78.3,75.3,,77.7,2,0,55,12.5,87.6,7.5,4,4,0,2,2,2,3.6,284,6.3
Justin Herbert,28237,QB,LAC,3,2.49,2.41,2.64,5.22,135,27,89.2,65,66,4.8,1.73,0,2,2.9,87.9,58,12,0.0,68,50.4,0,23,,82.6,75.8,79.3,74.4,,,0,0,71,16.7,116.1,2.9,2,0,0,1,4,1,1.4,463,7.0,64.7,51,55,13.1,3.36,0,4,6.7,58.2,32,25,3.0,65,48.1,1,26,,44.1,73.2,79.2,69.1,,76.5,0,0,70,20.0,98.7,7.7,5,5,0,4,2,2,2.9,475,8.6
Trevor Lawrence,77632,QB,JAX,3,2.44,2.27,3.27,5.16,128,15,81.1,74,75,5.2,1.77,1,3,3.9,70.7,53,10,11.7,75,58.6,7,22,,83.1,83.0,79.5,81.1,,,0,0,76,0.0,86.9,0.0,0,0,0,0,0,1,1.3,467,6.2,66.7,33,38,12.3,3.53,2,6,14.0,52.6,20,29,9.1,51,39.8,2,17,,35.4,85.4,78.4,83.5,,67.0,0,2,56,20.7,80.0,11.8,6,7,0,3,3,2,3.6,271,7.1
Joe Burrow,28022,QB,CIN,3,2.32,2.26,2.84,6.4,126,7,70.9,79,84,6.7,1.86,1,2,2.3,59.5,50,14,10.7,85,67.5,6,23,,84.0,74.4,80.1,73.0,,,4,0,88,7.1,78.9,1.2,1,0,0,0,2,0,0.0,388,4.6,63.3,30,36,7.9,3.27,1,1,2.5,47.2,17,18,10.5,41,32.5,2,5,,79.8,49.7,77.6,50.8,,58.3,0,2,45,22.2,38.5,9.8,4,1,0,5,0,1,2.2,175,4.9
Patrick Mahomes,11765,QB,KC,3,3.02,2.77,4.5,5.28,126,16,74.5,51,51,3.4,1.76,0,1,1.9,72.5,37,1,2.6,51,40.5,1,17,,80.6,81.8,78.3,79.8,,,0,1,52,0.0,102.5,0.0,0,0,0,0,4,0,0.0,269,5.3,67.2,58,62,12.0,3.88,0,4,6.0,58.1,36,37,7.7,75,59.5,3,27,,83.5,88.0,79.7,77.4,,91.2,0,1,81,2.7,95.8,1.3,1,12,0,4,3,3,3.7,535,8.6
Sam Howell,97599,QB,WAS,3,2.9,2.65,3.65,5.5,124,32,90.0,40,43,2.9,1.92,3,1,2.2,76.7,33,8,8.3,45,36.3,3,11,,80.0,74.1,77.7,72.9,,,0,1,47,25.0,90.1,4.4,2,0,0,0,1,1,2.1,268,6.2,70.8,48,56,10.7,3.5,2,3,4.8,57.1,32,39,5.9,78,62.9,2,20,,44.0,50.8,80.1,46.7,,75.4,0,4,90,43.6,61.8,21.8,17,5,0,6,2,5,5.6,403,7.2
Josh Allen,46601,QB,BUF,3,2.89,2.73,3.67,4.7,123,4,94.0,50,52,1.9,1.81,1,0,0.0,86.5,45,3,4.3,53,43.1,2,13,,80.9,66.0,78.3,65.4,,,0,1,54,33.3,80.4,1.9,1,0,0,1,0,1,1.9,272,5.2,69.8,53,57,13.0,3.71,1,6,10.2,61.4,35,36,5.4,70,56.9,2,30,,83.1,77.8,79.5,72.2,,79.2,0,3,76,16.7,93.9,8.6,6,7,0,3,5,5,6.6,456,8.0
