player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,3,17,17,73.1,4.25,24.6,21.0,0,0,1,74.2,1243,1,0,0,5.9,21,72.26,16
Nick Folk,3794,K,TEN,3,13,13,67.1,3.79,24.3,22.9,0,0,31,70.3,872,7,0,0,53.8,160,49.29,6
Thomas Morstead,5088,P,NYJ,1,4,4,68.8,4.18,22.8,11.0,0,1,22,60.0,275,1,0,0,25.0,11,16.73,2
Graham Gano,5443,K,NYG,3,11,10,73.4,3.84,24.5,19.0,0,0,21,67.9,807,1,0,0,9.1,19,38.35,10
Greg Zuerlein,7163,K,NYJ,1,6,6,73.5,3.94,25.0,,0,0,22,60.0,441,0,0,0,0.0,0,23.64,6
Johnny Hekker,7252,P,CAR,2,2,0,8.5,,56.5,0.0,0,0,5,60.0,17,2,2,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,3,15,14,72.2,3.88,25.0,,0,0,3,72.4,1083,0,0,0,0.0,0,54.38,15
Dustin Hopkins,7958,K,CLV,3,17,16,68.6,4.22,23.9,16.5,0,1,8,55.2,1166,4,0,0,23.5,66,67.53,12
Brandon McManus,8437,K,JAX,3,13,13,67.9,3.99,29.3,33.0,0,0,15,59.5,883,4,0,0,30.8,132,51.93,9
Brett Maher,8585,K,LA,2,2,0,28.0,,45.0,8.0,0,0,26,60.0,56,2,1,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,3,12,11,67.1,4.07,28.7,18.3,0,0,6,65.7,805,3,1,0,25.0,55,44.79,9
Chris Boswell,8990,K,PIT,3,14,14,73.4,3.95,25.0,,0,0,25,71.4,1028,0,0,0,0.0,0,55.33,14
Bradley Pinion,9598,P,ATL,3,15,15,72.9,3.94,24.2,27.5,0,1,2,72.4,1093,2,0,0,13.3,55,59.08,12
