player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Cantlay, Patrick",150,+1147,+1100,-0.038,+1100,-0.038,+1000,-0.118,+800,-0.278,+1004,-0.115,+1101,-0.037,+1000,-0.118,+1100,-0.038,+1000,-0.118,+1100,-0.038,+1000,-0.118,+1100,-0.038,+900,-0.198,+1000,-0.118,+800,-0.278
"Zalatoris, Will",150,+1568,+1600,0.019,+1600,0.019,+1400,-0.101,+1200,-0.221,+1338,-0.138,+1651,0.050,+1400,-0.101,+1600,0.019,+1600,0.019,+1400,-0.101,+1400,-0.101,+1600,0.019,+1200,-0.221,+1600,0.019,+1400,-0.101
"Finau, Tony",150,+1936,+1600,-0.165,+1600,-0.165,+1300,-0.312,+1400,-0.263,+1456,-0.236,+1351,-0.287,+1200,-0.361,+1600,-0.165,+1400,-0.263,+1600,-0.165,+1400,-0.263,+1400,-0.263,+1400,-0.263,+1200,-0.361,+1200,-0.361
"Young, Cameron",150,+2372,+1800,-0.231,+2000,-0.151,+1600,-0.312,+1800,-0.231,+1691,-0.276,+1981,-0.158,+1600,-0.312,+1800,-0.231,+1800,-0.231,+1800,-0.231,+1600,-0.312,+1800,-0.231,+1600,-0.312,+2000,-0.151,+1800,-0.231
"Homa, Max",150,+2839,+2500,-0.115,+2500,-0.115,+2200,-0.217,+1400,-0.490,+2016,-0.280,+2454,-0.131,+2200,-0.217,+2200,-0.217,+2500,-0.115,+2000,-0.285,+2000,-0.285,+2500,-0.115,+2200,-0.217,+2500,-0.115,+2000,-0.285
"Bradley, Keegan",150,+3642,+4000,0.096,+4000,0.096,+3300,-0.091,+3500,-0.038,+3531,-0.030,+3816,0.047,+3300,-0.091,+3500,-0.038,+3300,-0.091,+4000,0.096,+4000,0.096,+3500,-0.038,+3300,-0.091,+4000,0.096,+3300,-0.091
"Kirk, Chris",150,+4344,+5000,0.147,+5000,0.147,+4200,-0.033,+4000,-0.078,+4543,0.045,+4350,0.001,+4000,-0.078,+4000,-0.078,+4000,-0.078,+5000,0.147,+5000,0.147,+4400,0.012,+4000,-0.078,+5000,0.147,+4000,-0.078
"Henley, Russell",150,+4919,+5500,0.116,+5000,0.016,+4200,-0.143,+5500,0.116,+5046,0.025,+4750,-0.034,+4000,-0.183,+5000,0.016,+5000,0.016,+5000,0.016,+5000,0.016,+5500,0.116,+5000,0.016,+5000,0.016,+5000,0.016
"Tringale, Cameron",150,+4938,+5000,0.012,+4000,-0.186,+3700,-0.246,+4000,-0.186,+4504,-0.086,+4050,-0.176,+3300,-0.325,+4000,-0.186,+4000,-0.186,+4000,-0.186,+4000,-0.186,+5000,0.012,+4000,-0.186,+4000,-0.186,+4000,-0.186
"McNealy, Maverick",150,+5269,+4000,-0.236,+3300,-0.367,+3700,-0.292,+2500,-0.516,+4334,-0.174,+3866,-0.261,+3300,-0.367,+4000,-0.236,+4000,-0.236,+3300,-0.367,+4000,-0.236,+4500,-0.143,+4000,-0.236,+3300,-0.367,+3300,-0.367
"Kim, Si Woo",150,+5276,+5000,-0.051,+4500,-0.144,+5000,-0.051,+5000,-0.051,+5036,-0.045,+4150,-0.210,+5000,-0.051,+5000,-0.051,+5500,0.042,+5000,-0.051,+5000,-0.051,+5500,0.042,+5000,-0.051,+4000,-0.237,+5000,-0.051
"Davis, Cameron",150,+5487,+3300,-0.391,+3300,-0.391,+3100,-0.427,+3500,-0.356,+3008,-0.444,+3363,-0.380,+2800,-0.481,+3000,-0.445,+3300,-0.391,+3300,-0.391,+2800,-0.481,+3500,-0.356,+3300,-0.391,+2800,-0.481,+3300,-0.391
"McCarthy, Denny",150,+5672,+4000,-0.290,+3300,-0.411,+4200,-0.255,+3500,-0.376,+4543,-0.196,+5250,-0.073,+4000,-0.290,+4500,-0.203,+4000,-0.290,+4000,-0.290,+4000,-0.290,+4500,-0.203,+4000,-0.290,+4000,-0.290,+3300,-0.411
"Hadwin, Adam",150,+5774,+4500,-0.217,+3500,-0.387,+4200,-0.268,+4000,-0.302,+4528,-0.212,+4900,-0.149,+4000,-0.302,+5000,-0.132,+4000,-0.302,+4000,-0.302,+4000,-0.302,+4000,-0.302,+4000,-0.302,+4000,-0.302,+4000,-0.302
"Riley, Davis",150,+6092,+4000,-0.338,+4000,-0.338,+3700,-0.386,+4000,-0.338,+4037,-0.332,+4550,-0.249,+3300,-0.451,+3000,-0.499,+4000,-0.338,+3300,-0.451,+3300,-0.451,+3800,-0.370,+4000,-0.338,+4000,-0.338,+3500,-0.419
"Pendrith, Taylor",150,+6219,+6600,0.060,+6600,0.060,+6000,-0.035,+6000,-0.035,+5940,-0.044,+4850,-0.217,+5000,-0.193,+6000,-0.035,+5000,-0.193,+6600,0.060,+6600,0.060,+6000,-0.035,+5000,-0.193,+7000,0.124,+5000,-0.193
"Steele, Brendan",150,+6600,+6600,-0.000,+6600,-0.000,+6000,-0.090,+7000,0.060,+6053,-0.082,+6000,-0.090,+5000,-0.239,+6000,-0.090,+6600,-0.000,+6600,-0.000,+6600,-0.000,+5600,-0.149,+6000,-0.090,+6000,-0.090,+5500,-0.164
"Woodland, Gary",150,+6749,+5000,-0.255,+5000,-0.255,+4500,-0.328,+5500,-0.182,+4929,-0.266,+5250,-0.219,+4000,-0.401,+5000,-0.255,+5000,-0.255,+5000,-0.255,+5000,-0.255,+5000,-0.255,+5000,-0.255,+5000,-0.255,+5000,-0.255
"Simpson, Webb",150,+7363,+4500,-0.384,+4000,-0.451,+3300,-0.544,+5000,-0.317,+4298,-0.411,+4150,-0.431,+3300,-0.544,+4500,-0.384,+4000,-0.451,+4000,-0.451,+4000,-0.451,+4000,-0.451,+4000,-0.451,+4000,-0.451,+3300,-0.544
"List, Luke",150,+7419,+9000,0.210,+8000,0.077,+8000,0.077,+8000,0.077,+8585,0.155,+8050,0.084,+8000,0.077,+8000,0.077,+7000,-0.056,+8000,0.077,+8000,0.077,+9000,0.210,+7000,-0.056,+9000,0.210,+8000,0.077
"Scott, Adam",150,+7519,+3500,-0.528,+3500,-0.528,+3700,-0.501,+2800,-0.619,+3531,-0.523,+4150,-0.442,+3300,-0.554,+3500,-0.528,+4000,-0.462,+3300,-0.554,+3300,-0.554,+3800,-0.488,+3300,-0.554,+3000,-0.593,+3300,-0.554
"Theegala, Sahith",150,+7519,+4000,-0.462,+4000,-0.462,+3700,-0.501,+4000,-0.462,+3989,-0.463,+4850,-0.350,+3300,-0.554,+4000,-0.462,+4000,-0.462,+4000,-0.462,+3300,-0.554,+4500,-0.396,+4000,-0.462,+4000,-0.462,+4000,-0.462
"Stallings, Scott",150,+7884,+5000,-0.361,+5000,-0.361,+6000,-0.236,+5500,-0.299,+5881,-0.251,+6550,-0.167,+5000,-0.361,+6000,-0.236,+5000,-0.361,+5000,-0.361,+5000,-0.361,+6500,-0.173,+6000,-0.236,+5000,-0.361,+6000,-0.236
"Hubbard, Mark",150,+8750,+5500,-0.367,+5000,-0.424,+4500,-0.480,+5500,-0.367,+5392,-0.379,+5850,-0.328,+4000,-0.537,+6000,-0.311,+5000,-0.424,+5000,-0.424,+5000,-0.424,+5100,-0.412,+4000,-0.537,+4500,-0.480,+4000,-0.537
"Kisner, Kevin",150,+8750,+3500,-0.593,+3500,-0.593,+3700,-0.571,+3500,-0.593,+3531,-0.590,+4050,-0.531,+3300,-0.616,+3300,-0.616,+4000,-0.537,+3300,-0.616,+3300,-0.616,+4500,-0.480,+3300,-0.616,+3500,-0.593,+3500,-0.593
"Clark, Wyndham",150,+9032,+8000,-0.113,+8000,-0.113,+6500,-0.277,+10000,0.106,+9069,0.004,+5550,-0.381,+6600,-0.266,+9000,-0.004,+8000,-0.113,+6600,-0.266,+8000,-0.113,+8000,-0.113,+7000,-0.223,+8000,-0.113,+8000,-0.113
"Merritt, Troy",150,+9181,+8000,-0.127,+5000,-0.450,+6000,-0.343,+6000,-0.343,+8568,-0.066,+7000,-0.235,+5000,-0.450,+7500,-0.181,+6600,-0.278,+8000,-0.127,+5000,-0.450,+7500,-0.181,+5000,-0.450,+6600,-0.278,+7000,-0.235
"Smalley, Alex",150,+9224,+7000,-0.239,+6600,-0.281,+7000,-0.239,+8000,-0.131,+10098,0.094,+7000,-0.239,+6600,-0.281,+8000,-0.131,+8000,-0.131,+8000,-0.131,+8000,-0.131,+7500,-0.185,+7000,-0.239,+7000,-0.239,+8000,-0.131
"Day, Jason",150,+9752,+6600,-0.320,+6600,-0.320,+6000,-0.381,+10000,0.025,+8551,-0.122,+8050,-0.173,+5000,-0.482,+7500,-0.229,+8000,-0.178,+8000,-0.178,+6600,-0.320,+7000,-0.279,+7000,-0.279,+6600,-0.320,+8000,-0.178
"Kim, Joohyung",150,+10290,+5500,-0.461,+5000,-0.509,+6000,-0.413,+5500,-0.461,+6513,-0.363,+6450,-0.370,+5000,-0.509,+5500,-0.461,+5000,-0.509,+5000,-0.509,+6600,-0.355,+6000,-0.413,+4000,-0.605,+5000,-0.509,+5000,-0.509
"Pan, C.T.",150,+10371,+10000,-0.035,+8000,-0.226,+8000,-0.226,+8000,-0.226,+12123,0.167,+9550,-0.078,+8000,-0.226,+11000,0.060,+8000,-0.226,+10000,-0.035,+8000,-0.226,+9000,-0.131,+9000,-0.131,+8000,-0.226,+9000,-0.131
"Vegas, Jhonattan",150,+10653,+7500,-0.293,+6600,-0.377,+6500,-0.386,+8000,-0.247,+9592,-0.099,+9550,-0.103,+6600,-0.377,+8000,-0.247,+8000,-0.247,+8000,-0.247,+6600,-0.377,+7500,-0.293,+6600,-0.377,+7000,-0.340,+6600,-0.377
"Hardy, Nick",150,+10770,+11000,0.021,+6600,-0.384,+6500,-0.393,+8000,-0.255,+12775,0.184,+10850,0.007,+6600,-0.384,+11000,0.021,+8000,-0.255,+10000,-0.071,+8000,-0.255,+9000,-0.163,+7000,-0.347,+6600,-0.384,+8000,-0.255
"Cink, Stewart",150,+11840,+14000,0.181,+10000,-0.154,+12000,0.013,+13000,0.097,+16136,0.360,+12350,0.043,+10000,-0.154,+15000,0.265,+10000,-0.154,+12500,0.055,+10000,-0.154,+13000,0.097,+10000,-0.154,+11000,-0.070,+10000,-0.154
"Kuchar, Matt",150,+11876,+6000,-0.491,+6600,-0.441,+6500,-0.449,+5000,-0.574,+10073,-0.151,+10464,-0.118,+6600,-0.441,+8000,-0.324,+6600,-0.441,+6600,-0.441,+8000,-0.324,+7000,-0.407,+6600,-0.441,+6600,-0.441,+6600,-0.441
"Spaun, J.J.",150,+11912,+20000,0.673,+15000,0.257,+16000,0.340,+10000,-0.159,+17168,0.438,+15000,0.257,+15000,0.257,+15000,0.257,+15000,0.257,+15000,0.257,+15000,0.257,+20000,0.673,+10000,-0.159,+15000,0.257,+12500,0.049
"Dahmen, Joel",150,+12400,+10000,-0.192,+8000,-0.352,+6500,-0.472,+10000,-0.192,+9592,-0.225,+10000,-0.192,+6600,-0.464,+9000,-0.272,+10000,-0.192,+10000,-0.192,+8000,-0.352,+8500,-0.312,+8000,-0.352,+10000,-0.192,+10000,-0.192
"Ghim, Doug",150,+12845,+10000,-0.220,+8000,-0.374,+8000,-0.374,+10000,-0.220,+11111,-0.134,+9550,-0.255,+8000,-0.374,+10000,-0.220,+8000,-0.374,+10000,-0.220,+8000,-0.374,+9000,-0.297,+9000,-0.297,+8000,-0.374,+9000,-0.297
"Fowler, Rickie",150,+13015,+9000,-0.306,+8000,-0.382,+8000,-0.382,+10000,-0.230,+10884,-0.162,+6650,-0.485,+8000,-0.382,+8000,-0.382,+10000,-0.230,+8000,-0.382,+8000,-0.382,+8500,-0.344,+9000,-0.306,+8000,-0.382,+10000,-0.230
"Streelman, Kevin",150,+13505,+5500,-0.588,+5000,-0.625,+6000,-0.552,+5500,-0.588,+11111,-0.176,+11550,-0.144,+5000,-0.625,+8000,-0.405,+6600,-0.508,+6600,-0.508,+6600,-0.508,+6500,-0.515,+6000,-0.552,+5000,-0.625,+6600,-0.508
"Palmer, Ryan",150,+13837,+8000,-0.419,+8000,-0.419,+9500,-0.311,+8000,-0.419,+13126,-0.051,+8000,-0.419,+8000,-0.419,+12500,-0.096,+9000,-0.347,+10000,-0.275,+8000,-0.419,+8000,-0.419,+9000,-0.347,+8000,-0.419,+8000,-0.419
"Sigg, Greyson",150,+13935,+14000,0.005,+7000,-0.494,+12000,-0.138,+10000,-0.280,+15148,0.086,+13550,-0.027,+10000,-0.280,+13500,-0.031,+9000,-0.352,+10000,-0.280,+10000,-0.280,+10000,-0.280,+10000,-0.280,+7000,-0.494,+9000,-0.352
"Lipsky, David",150,+13935,+17500,0.254,+15000,0.076,+15000,0.076,+15000,0.076,+19191,0.374,+9550,-0.312,+15000,0.076,+17500,0.254,+12500,-0.102,+15000,0.076,+15000,0.076,+17500,0.254,+15000,0.076,+15000,0.076,+12500,-0.102
"Hossler, Beau",150,+14445,+14000,-0.031,+15000,0.038,+12000,-0.168,+15000,0.038,+12291,-0.148,+7550,-0.474,+10000,-0.306,+12500,-0.134,+10000,-0.306,+10000,-0.306,+10000,-0.306,+14000,-0.031,+12500,-0.134,+15000,0.038,+12500,-0.134
"Hughes, Mackenzie",150,+14660,+10000,-0.316,+8000,-0.451,+8000,-0.451,+6000,-0.587,+10986,-0.249,+9050,-0.380,+8000,-0.451,+11000,-0.248,+9000,-0.383,+10000,-0.316,+10000,-0.316,+10000,-0.316,+9000,-0.383,+8000,-0.451,+10000,-0.316
"Straka, Sepp",150,+15344,+15000,-0.022,+15000,-0.022,+16000,0.042,+13000,-0.152,+19191,0.249,+11850,-0.226,+15000,-0.022,+15000,-0.022,+15000,-0.022,+15000,-0.022,+15000,-0.022,+20000,0.301,+15000,-0.022,+15000,-0.022,+15000,-0.022
"Champ, Cameron",150,+15464,+5000,-0.672,+5000,-0.672,+5000,-0.672,+7500,-0.512,+5489,-0.641,+6050,-0.605,+5000,-0.672,+4500,-0.704,+5000,-0.672,+5000,-0.672,+5000,-0.672,+6000,-0.608,+6000,-0.608,+5000,-0.672,+5500,-0.640
"Lashley, Nate",150,+17067,+16000,-0.062,+12500,-0.266,+14000,-0.179,+18000,0.054,+17168,0.006,,0.00,+12500,-0.266,+17500,0.025,+12500,-0.266,+12500,-0.266,+15000,-0.120,+15000,-0.120,+12500,-0.266,+12500,-0.266,+12500,-0.266
"Schenk, Adam",150,+17216,+15000,-0.128,+12500,-0.272,+14000,-0.186,+18000,0.045,+18181,0.056,+11250,-0.345,+12500,-0.272,+15000,-0.128,+15000,-0.128,+12500,-0.272,+12500,-0.272,+17500,0.016,+15000,-0.128,+12500,-0.272,+15000,-0.128
"Gotterup, Chris",150,+17521,+7500,-0.569,+7000,-0.597,+6000,-0.654,+10000,-0.427,+10927,-0.374,+11050,-0.367,+5000,-0.711,+8000,-0.540,+7000,-0.597,+8000,-0.540,+6600,-0.620,+8000,-0.540,+7000,-0.597,+7000,-0.597,+8000,-0.540
"Willett, Danny",150,+17678,+10000,-0.432,+8000,-0.544,+9500,-0.460,+10000,-0.432,+9088,-0.483,+8050,-0.542,+8000,-0.544,+10000,-0.432,+8000,-0.544,+8000,-0.544,+8000,-0.544,+9000,-0.488,+9000,-0.488,+8000,-0.544,+8000,-0.544
"Tarren, Callum",150,+17918,+10000,-0.439,+8000,-0.550,+8000,-0.550,+10000,-0.439,+9088,-0.490,+8750,-0.509,+8000,-0.550,+9000,-0.495,+8000,-0.550,+8000,-0.550,+8000,-0.550,+9000,-0.495,+10000,-0.439,+9000,-0.495,+9000,-0.495
"Frittelli, Dylan",150,+18333,+12500,-0.316,+10000,-0.452,+12000,-0.344,+13000,-0.289,+17168,-0.063,+12550,-0.314,+10000,-0.452,+15000,-0.181,+15000,-0.181,+12500,-0.316,+10000,-0.452,+12000,-0.344,+10000,-0.452,+12500,-0.316,+10000,-0.452
"Svensson, Adam",150,+18592,+8000,-0.567,+6600,-0.642,+6500,-0.647,+10000,-0.460,+10098,-0.454,+11850,-0.361,+6600,-0.642,+9000,-0.513,+8000,-0.567,+8000,-0.567,+6600,-0.642,+8000,-0.567,+7000,-0.620,+6600,-0.642,+8000,-0.567
"Rodgers, Patrick",150,+18768,+11000,-0.412,+8000,-0.571,+8000,-0.571,+8000,-0.571,+12123,-0.352,+8550,-0.542,+8000,-0.571,+11000,-0.412,+8000,-0.571,+10000,-0.465,+8000,-0.571,+9000,-0.518,+8000,-0.571,+10000,-0.465,+8000,-0.571
