id,player,team,opponent,position,salary,ownership
83704-73089,Devin Asiasi,CIN,TEN,TE,4100,0.0
83704-80294,Anthony Firkser,ATL,WAS,TE,4100,0.0
83704-26038,Tyler Kroft,SF,NO,TE,4100,0.0
83704-29277,Stephen Anderson,ARI,LAC,TE,4100,0.0
83704-54007,Jacob Hollister,LV,SEA,TE,4100,0.0
83704-65607,Jacob Harris,LAR,KC,TE,4000,0.0
83704-170188,Tanner Conner,MIA,HOU,TE,4000,0.0
83704-71351,Charlie Woerner,SF,NO,TE,4000,0.0
83704-28346,Maxx Williams,ARI,LAC,TE,4000,0.0
83704-87815,Jeremy Ruckert,NYJ,CHI,TE,4000,0.0
