"","teams","lines","totals"
"1","Louisville",6.5,61.5
"2","UCF",-6.5,61.5
"3","Boise State",-16.5,44
"4","New Mexico",16.5,44
"5","Alabama",-20.5,64.5
"6","Texas",20.5,64.5
"7","Southern Mississippi",26,54.5
"8","Miami FL",-26,54.5
"9","Ohio",24.5,54
"10","Penn State",-24.5,54
"11","Wake Forest",-13.5,66
"12","Vanderbilt",13.5,66
"13","North Carolina",-7.5,65
"14","Georgia State",7.5,65
"15","South Carolina",8.5,53
"16","Arkansas",-8.5,53
"17","Duke",10,58
"18","Northwestern",-10,58
"19","Arkansas State",43.5,68.5
"20","Ohio State",-43.5,68.5
"21","Missouri",7.5,57
"22","Kansas State",-7.5,57
"23","UTSA",-2,54.5
"24","Army West Point",2,54.5
"25","South Alabama",5,58.5
"26","Central Michigan",-5,58.5
"27","Western Michigan",-6.5,53
"28","Ball State",6.5,53
"29","Marshall",20.5,51.5
"30","Notre Dame",-20.5,51.5
"31","Appalachian State",18.5,52.5
"32","Texas A&M",-18.5,52.5
"33","Washington State",17,49
"34","Wisconsin",-17,49
"35","Tennessee",-6.5,66
"36","Pittsburgh",6.5,66
"37","Maryland",-27,65.5
"38","Charlotte",27,65.5
"39","Colorado",17.5,49
"40","Air Force",-17.5,49
"41","Memphis",-6,50
"42","Navy",6,50
"43","Iowa State",3.5,40
"44","Iowa",-3.5,40
"45","UNLV",13,49
"46","California",-13,49
"47","Houston",3,65.5
"48","Texas Tech",-3,65.5
"49","Virginia",4.5,57
"50","Illinois",-4.5,57
"51","Akron",34,56
"52","Michigan State",-34,56
"53","Middle Tennessee",9,58.5
"54","Colorado State",-9,58.5
