SBR,KP
MichiganState,Michigan St.
MiddleTennSt,Middle Tennessee
Minnesota,Minnesota
Mississippi,Mississippi
MississippiSt,Mississippi St.
Missouri,Missouri
MissouriSt,Missouri St.
MissValleySt,Mississippi Valley St.
Monmouth,Monmouth
Montana,Montana
MontanaState,Montana St.
MoreheadState,Morehead St.
MorganState,Morgan St.
MountStMarys,Mount St. Mary's
MurrayState,Murray St.
N.CarolinaA&T,North Carolina A&T
Navy,Navy
NCAsheville,UNC Asheville
NCCentral,North Carolina Central
NCGreensboro,UNC Greensboro
NCState,N.C. State
NCWilmington,UNC Wilmington
Nebraska,Nebraska
NebraskaOmaha,Nebraska Omaha
Nevada,Nevada
NewHampshire,New Hampshire
NewMexico,New Mexico
NewMexicoState,New Mexico St.
NewOrleansU,New Orleans
Niagara,Niagara
NichollsState,Nicholls St.
NJIT,NJIT
No.Colorado,Northern Colorado
NoIllinois,Northern Illinois
NorfolkSt,Norfolk St.
NorthAlabama,North Alabama
NorthCarolina,North Carolina
NorthDakota,North Dakota
NorthDakotaState,North Dakota St.
Northeastern,Northeastern
NorthernArizona,Northern Arizona
NorthernIowa,Northern Iowa
NorthernKentucky,Northern Kentucky
NorthFlorida,North Florida
NorthTexas,North Texas
Northwestern,Northwestern
NorthwesternSt,Northwestern St.
NotreDame,Notre Dame
Oakland,Oakland
Ohio,Ohio
OhioState,Ohio St.
Oklahoma,Oklahoma
OklahomaState,Oklahoma St.
OldDominion,Old Dominion
OralRoberts,Oral Roberts
Oregon,Oregon
OregonState,Oregon St.
Pacific,Pacific
PennState,Penn St.
Pennsylvania,Penn
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
PortlandState,Portland St.
PortlandU,Portland
PrairieViewA&M,Prairie View A&M
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Quinnipiac,Quinnipiac
Radford,Radford
RhodeIsland,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
RobertMorris,Robert Morris
Rutgers,Rutgers
SacramentoState,Sacramento St.
SacredHeart,Sacred Heart
SaintLouis,Saint Louis
SaintMarysCA,Saint Mary's
Samford,Samford
SamHoustonSt,Sam Houston St.
SanDiego,San Diego
SanDiegoState,San Diego St.
SanFrancisco,San Francisco
SanJoseState,San Jose St.
SantaClara,Santa Clara
SeattleU,Seattle
SELouisiana,Southeastern Louisiana
SEMissouriSt,Southeast Missouri St.
SetonHall,Seton Hall
Siena,Siena
SIUEdwardsville,SIU Edwardsville
SMU,SMU
SoCarolinaSt,South Carolina St.
SoIllinois,Southern Illinois
SouthAlabama,South Alabama
SouthCarolina,South Carolina
SouthDakota,South Dakota
SouthDakotaState,South Dakota St.
Southern,Southern
SouthernMiss,Southern Miss
SouthernUtah,Southern Utah
SouthFlorida,South Florida
St.Bonaventure,St. Bonaventure
St.FrancisNY,St. Francis NY
St.FrancisPA,St. Francis PA
St.Johns,St. John's
St.Josephs,Saint Joseph's
St.Peter's,Saint Peter's
Stanford,Stanford
StephenF.Austin,Stephen F. Austin
Stetson,Stetson
StonyBrook,Stony Brook
StThomas,St. Thomas
Syracuse,Syracuse
TarletonSt,Tarleton St.
TarletonState,Tarleton St.
TCU,TCU
Temple,Temple
Tennessee,Tennessee
TennesseeState,Tennessee St.
TennesseeTech,Tennessee Tech
TennMartin,Tennessee Martin
Texas,Texas
TexasA&M,Texas A&M
TexasA&MCorpus,Texas A&M Corpus Chris
TexasSouthern,Texas Southern
TexasState,Texas St.
TexasTech,Texas Tech
TexSanAntonio,UTSA
TheCitadel,The Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UCDavis,UC Davis
UCLA,UCLA
UCSanDiego,UC San Diego
ULLafayette,Louisiana
ULMonroe,Louisiana Monroe
UMassLowell,UMass Lowell
UMKC,UMKC
UNLV,UNLV
USC,USC
USCUpstate,USC Upstate
UtahState,Utah St.
UtahU,Utah
UtahValley,Utah Valley
UTArlington,UT Arlington
UTEP,UTEP
UTRioGrandeValley,UT Rio Grande Valley
VaCommonwealth,VCU
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
VirginiaTech,Virginia Tech
VMI,VMI
Wagner,Wagner
WakeForest,Wake Forest
WashingtonState,Washington St.
WashingtonU,Washington
WeberState,Weber St.
WesternCarolina,Western Carolina
WesternIllinois,Western Illinois
WesternKentucky,Western Kentucky
WesternMichigan,Western Michigan
WestVirginia,West Virginia
WichitaState,Wichita St.
William&Mary,William & Mary
Winthrop,Winthrop
WiscGreenBay,Green Bay
WiscMilwaukee,Milwaukee
Wisconsin,Wisconsin
Wofford,Wofford
WrightState,Wright St.
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
YoungstownState,Youngstown St.
