SBR,KP
AbileneChristian,Abilene Christian
AirForce,Air Force
Akron,Akron
Alabama,Alabama
AlabamaA&M,Alabama A&M
AlabamaState,Alabama St.
AlbanyNY,Albany
AlcornState,Alcorn St.
American,American
AppalachianSt,Appalachian St.
Arizona,Arizona
ArizonaState,Arizona St.
Arkansas,Arkansas
ArkansasLR,Little Rock
ArkansasState,Arkansas St.
ArkPineBluff,Arkansas Pine Bluff
Army,Army
Auburn,Auburn
AustinPeay,Austin Peay
BallState,Ball St.
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
BethuneCookman,Bethune Cookman
Binghamton,Binghamton
BoiseState,Boise St.
BostonCollege,Boston College
BostonU,Boston University
BowlingGreen,Bowling Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
BYU,BYU
California,California
CaliforniaBaptist,Cal Baptist
CalIrvine,UC Irvine
CalPolySLO,Cal Poly
CalRiverside,UC Riverside
CalSantaBarb,UC Santa Barbara
Campbell,Campbell
Canisius,Canisius
CentralArkansas,Central Arkansas
CentralConn,Central Connecticut
CentralFlorida,UCF
CentralMichigan,Central Michigan
Chaminade,
CharlestonSou,Charleston Southern
CharlotteU,Charlotte
Chattanooga,Chattanooga
ChicagoSt,Chicago St.
Cincinnati,Cincinnati
Clemson,Clemson
ClevelandState,Cleveland St.
CoastalCarolina,Coastal Carolina
Colgate,Colgate
CollCharleston,Charleston
Colorado,Colorado
ColoradoState,Colorado St.
Columbia,Columbia
Connecticut,Connecticut
CoppinState,Coppin St.
Cornell,Cornell
Creighton,Creighton
CSBakersfield,Cal St. Bakersfield
CSFullerton,Cal St. Fullerton
CSNorthridge,Cal St. Northridge
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
DelawareState,Delaware St.
DenverU,Denver
Depaul,DePaul
DetroitU,Detroit Mercy
DixieState,Dixie St.
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
E.Washington,Eastern Washington
EastCarolina,East Carolina
EasternIllinois,Eastern Illinois
EasternKentucky,Eastern Kentucky
EasternMichigan,Eastern Michigan
Elon,Elon
ETennesseeSt,East Tennessee St.
Evansville,Evansville
FairDickinson,Fairleigh Dickinson
Fairfield,Fairfield
FlaAtlantic,Florida Atlantic
FlaGulfCoast,Florida Gulf Coast
Florida,Florida
FloridaA&M,Florida A&M
FloridaIntl,FIU
FloridaState,Florida St.
Fordham,Fordham
FresnoState,Fresno St.
Furman,Furman
GardnerWebb,Gardner Webb
GeorgeMason,George Mason
Georgetown,Georgetown
Georgia,Georgia
GeorgiaSouthern,Georgia Southern
GeorgiaState,Georgia St.
GeorgiaTech,Georgia Tech
GeoWashington,George Washington
Gonzaga,Gonzaga
Grambling,Grambling St.
GrandCanyon,Grand Canyon
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
HighPoint,High Point
Hofstra,Hofstra
HolyCross,Holy Cross
HoustonBaptist,Houston Baptist
HoustonU,Houston
Howard,Howard
IdahoState,Idaho St.
IdahoU,Idaho
Illinois,Illinois
IllinoisChicago,Illinois Chicago
IllinoisState,Illinois St.
IncarnateWord,Incarnate Word
IndianaState,Indiana St.
IndianaU,Indiana
Iona,Iona
Iowa,Iowa
IowaState,Iowa St.
IPFW,Purdue Fort Wayne
IUPUI,IUPUI
JacksonState,Jackson St.
Jacksonville,Jacksonville
JacksonvilleSt,Jacksonville St.
JamesMadison,James Madison
Kansas,Kansas
KansasState,Kansas St.
KennesawSt,Kennesaw St.
KentState,Kent St.
Kentucky,Kentucky
Lafayette,Lafayette
Lamar,Lamar
LaSalle,La Salle
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
LongBeachState,Long Beach St.
LongIsland,LIU
Longwood,Longwood
LouisianaTech,Louisiana Tech
Louisville,Louisville
LoyolaChicago,Loyola Chicago
LoyolaMaryland,Loyola MD
LoyolaMarymount,Loyola Marymount
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Massachusetts,Massachusetts
McNeeseState,McNeese St.
MDBaltimoreCo,UMBC
MDEasternShore,Maryland Eastern Shore
MemphisU,Memphis
Mercer,Mercer
Merrimack,Merrimack
MiamiFlorida,Miami FL
MiamiOhio,Miami OH
Michigan,Michigan
