player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,2.264,33,-0.002,0.041,-0.002,0.014,-0.040,0.135,0.007,-0.002,0.140,2.415,2.817,"BMW Championship","Wilmington Country Club"
"Scheffler, Scottie",150,1.961,26,0.021,0.083,-0.025,0.186,-0.040,0.076,-0.012,-0.004,0.060,2.245,2.792,"BMW Championship","Wilmington Country Club"
"Rahm, Jon",150,1.879,27,0.016,0.001,-0.016,0.174,-0.040,0.107,-0.018,-0.003,0.086,2.100,2.793,"BMW Championship","Wilmington Country Club"
"Fitzpatrick, Matthew",150,1.932,27,0.016,0.096,0.004,0.047,-0.040,0.040,-0.021,0.000,0.020,2.075,2.725,"BMW Championship","Wilmington Country Club"
"Thomas, Justin",150,1.769,29,0.011,0.056,-0.002,0.081,-0.040,0.079,0.015,-0.003,0.091,1.965,2.778,"BMW Championship","Wilmington Country Club"
"Cantlay, Patrick",150,1.954,30,0.007,0.043,-0.026,-0.120,-0.040,0.049,-0.002,0.000,0.047,1.865,2.787,"BMW Championship","Wilmington Country Club"
"Finau, Tony",150,1.971,32,-0.001,-0.001,-0.095,-0.062,-0.040,0.055,0.001,-0.003,0.054,1.826,2.757,"BMW Championship","Wilmington Country Club"
"Zalatoris, Will",150,1.748,26,0.022,0.057,-0.011,-0.041,-0.040,0.080,0.004,-0.005,0.079,1.814,2.772,"BMW Championship","Wilmington Country Club"
"Schauffele, Xander",150,1.896,28,0.013,0.029,-0.023,-0.119,-0.040,0.055,-0.010,-0.001,0.043,1.799,2.754,"BMW Championship","Wilmington Country Club"
"Young, Cameron",150,1.298,25,0.024,0.088,0.025,0.231,-0.040,0.121,-0.003,-0.002,0.116,1.743,2.803,"BMW Championship","Wilmington Country Club"
"Im, Sungjae",150,1.508,24,0.027,0.050,-0.051,0.183,-0.040,0.026,-0.029,-0.002,-0.004,1.673,2.813,"BMW Championship","Wilmington Country Club"
"Niemann, Joaquin",150,1.274,23,0.029,0.032,0.017,0.121,-0.040,0.070,0.009,-0.004,0.075,1.507,2.759,"BMW Championship","Wilmington Country Club"
"Wise, Aaron",150,1.193,26,0.021,0.050,-0.010,0.144,-0.040,0.041,-0.006,-0.003,0.033,1.392,2.796,"BMW Championship","Wilmington Country Club"
"Morikawa, Collin",150,1.387,25,0.023,0.081,-0.013,-0.054,-0.040,0.014,-0.034,-0.005,-0.025,1.359,2.807,"BMW Championship","Wilmington Country Club"
