Offense,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Season #G,Season SOS,Playoffs #G,Playoffs SOS,All #G,All SOS
CLV,8.169465472,6.863058094,6.655218151,6.980016932,6.571323121,7.147729025,9.899722472,4.979977317,,6.432062846,4.811308974,5.144716935,8.278857913,4.979977317,9.899722472,2.707003429,5.561069392,6.655218151,13,10,4,6.816175216,17,10
JAX,5.561069392,5.328786791,6.571323121,4.710485405,8.278857913,5.382763816,6.306150633,5.951084734,3.90261674,4.303424648,,9.899722472,10,7.351424135,2.003596143,6.863058094,8.278857913,7.351424135,13,8.909425249,4,6.659448829,17,8.92539252
DEN,8.009716659,8.278857913,2.331870028,4.509521021,5.328786791,6.637886203,6.863058094,7.005342134,,7.351424135,4.509521021,8.169465472,9.899722472,4.303424648,8.437336245,1.473341663,4.303424648,6.571323121,13,8.856717279,4,4.875540851,17,9.311302243
NYG,7.351424135,8.169465472,2.003596143,5.570382052,0.99535203,10,7.005342134,8.009716659,,8.278857913,10,2.003596143,5.561069392,4.710485405,5.561069392,4.210989124,5.328786791,4.710485405,13,8.480090501,4,4.407349873,17,8.691041607
PHI,10,4.210989124,5.561069392,7.005342134,8.437336245,2.023891224,,6.655218151,8.088607025,5.561069392,5.328786791,0.99535203,7.351424135,6.306150633,5.570382052,2.003596143,2.707003429,6.306150633,13,6.56667477,4,2.857664594,17,5.808132964
LV,6.571323121,8.437336245,7.351424135,5.951084734,4.303424648,,8.278857913,2.707003429,6.674319889,5.328786791,5.951084734,8.009716659,6.571323121,1.473341663,7.076053365,6.655218151,2.331870028,4.303424648,13,6.295111068,4,4.674219379,17,6.269349087
MIA,7.076053365,9.899722472,4.811308974,4.979977317,6.863058094,4.253643611,6.655218151,10,5.080742786,0,,8.278857913,2.331870028,6.571323121,4.811308974,0.99535203,7.076053365,6.863058094,13,6.274586796,4,4.375839823,17,4.873258485
NO,6.980016932,5.144716935,8.169465472,4.210989124,8.009716659,5.030421137,8.437336245,4.509521021,9.888638036,6.655218151,1.473341663,2.331870028,5.144716935,,6.980016932,0,4.710485405,8.169465472,13,6.096471073,4,4.430726906,17,3.694964306
SF,5.570382052,8.009716659,5.951084734,1.473341663,8.169465472,7.050719808,4.303424648,1.473341663,,6.571323121,8.437336245,2.707003429,6.432062846,5.144716935,8.009716659,5.561069392,4.509521021,8.437336245,13,5.725167195,4,7.630685551,17,5.553195169
GB,4.210989124,5.570382052,5.144716935,7.076053365,6.306150633,6.932576255,5.561069392,4.811308974,10,2.003596143,7.351424135,4.710485405,5.570382052,,1.473341663,6.432062846,4.210989124,10,13,5.675528887,4,5.515259985,17,4.558610557
NE,6.432062846,6.655218151,9.899722472,0.99535203,10,0,5.570382052,6.863058094,4.812442169,,6.863058094,4.210989124,4.811308974,8.437336245,4.509521021,4.979977317,6.432062846,4.811308974,13,5.532580134,4,4.850280459,17,5.067187961
IND,8.278857913,7.005342134,4.303424648,7.351424135,5.951084734,7.076301537,7.351424135,5.561069392,6.752847369,4.509521021,4.710485405,6.655218151,2.003596143,,4.210989124,6.571323121,6.306150633,8.278857913,13,5.52059734,4,7.077792202,17,5.843947499
WAS,7.005342134,10,4.710485405,2.003596143,7.351424135,5.626806274,0.99535203,5.328786791,3.571085849,4.710485405,8.278857913,6.980016932,6.306150633,,6.306150633,2.331870028,0,2.003596143,13,5.369225529,4,0,17,1.780212811
SEA,5.951084734,2.331870028,6.980016932,10,2.707003429,8.522800784,6.571323121,6.306150633,8.264603169,5.144716935,,4.509521021,1.473341663,8.169465472,2.331870028,4.303424648,6.863058094,1.473341663,13,5.312912122,4,2.081217286,17,5.522073372
LAC,4.509521021,4.303424648,7.005342134,8.278857913,0,6.011365218,8.009716659,,6.646195301,2.331870028,4.303424648,8.437336245,4.509521021,6.432062846,7.351424135,5.328786791,1.473341663,5.951084734,13,5.071326817,4,4.548325356,17,4.074715608
CHI,2.331870028,0.99535203,8.278857913,6.306150633,4.210989124,5.617399284,7.076053365,2.003596143,6.037671693,10,6.980016932,6.863058094,0.99535203,,4.710485405,4.811308974,10,4.210989124,13,4.768405443,4,6.292164888,17,4.14721668
CIN,6.655218151,2.003596143,6.863058094,6.432062846,9.899722472,2.734423553,6.980016932,0,7.967122608,,6.655218151,7.351424135,4.303424648,0,5.144716935,7.076053365,4.811308974,9.899722472,13,4.7347174,4,7.829747498,17,4.939235102
BLT,6.863058094,6.432062846,7.076053365,4.811308974,4.979977317,6.370027696,0,5.144716935,1.900853209,,8.169465472,7.005342134,5.951084734,6.655218151,0,6.980016932,6.655218151,4.979977317,13,4.597615808,4,3.832445143,17,5.234435642
BUF,1.473341663,7.351424135,6.432062846,9.899722472,6.655218151,4.347015445,,0.99535203,6.516308115,4.210989124,0,10,7.076053365,6.863058094,6.432062846,5.570382052,4.979977317,7.076053365,13,4.140718087,4,6.448706187,17,3.823773346
MIN,0.99535203,4.710485405,10,2.707003429,5.570382052,6.497215315,,8.437336245,5.070400728,4.811308974,2.003596143,7.076053365,6.863058094,10,5.328786791,6.306150633,0.99535203,5.570382052,13,4.107915921,4,3.633199368,17,4.251502596
PIT,4.979977317,7.076053365,0,6.863058094,4.811308974,5.196829456,6.432062846,4.710485405,,2.707003429,4.979977317,5.328786791,6.980016932,9.899722472,8.169465472,4.509521021,9.899722472,0,13,4.025144958,4,5.737468163,17,4.60068314
KC,8.437336245,6.571323121,5.328786791,5.144716935,4.509521021,4.860044297,2.331870028,,7.058656958,7.005342134,6.571323121,1.473341663,4.979977317,5.951084734,8.278857913,8.009716659,5.951084734,4.509521021,13,3.659085068,4,7.741971969,17,5.710262739
TEN,6.306150633,4.811308974,4.509521021,5.328786791,5.561069392,,5.328786791,8.278857913,3.673738973,5.951084734,0.99535203,4.979977317,4.710485405,7.005342134,6.571323121,8.278857913,2.003596143,7.005342134,13,3.251549718,4,6.352887187,17,1.885038938
DET,4.710485405,5.561069392,4.210989124,8.009716659,7.076053365,,2.003596143,6.432062846,0,5.570382052,6.306150633,4.811308974,7.005342134,4.210989124,6.863058094,8.169465472,5.570382052,0.99535203,13,3.234307583,4,5.266222056,17,4.649360754
LA,4.811308974,6.980016932,8.437336245,2.331870028,2.003596143,8.252216661,,2.331870028,4.608025676,8.437336245,2.707003429,4.303424648,8.009716659,4.509521021,0.99535203,5.951084734,6.571323121,8.009716659,13,3.211145478,4,5.232201682,17,1.716583525
DAL,5.144716935,4.979977317,6.306150633,5.561069392,1.473341663,4.758199453,10,5.570382052,,0.99535203,4.210989124,6.306150633,5.328786791,8.278857913,7.005342134,4.710485405,7.351424135,5.561069392,13,3.187577886,4,6.722597877,17,4.300774095
CAR,0,6.306150633,2.707003429,8.437336245,2.331870028,1.488265623,5.144716935,6.980016932,4.425076139,6.980016932,9.899722472,5.951084734,,8.009716659,6.655218151,10,5.144716935,2.707003429,13,3.067868868,4,6.664256321,17,5.145880832
HST,5.328786791,5.951084734,5.570382052,6.571323121,7.005342134,,4.509521021,7.351424135,4.125795242,6.306150633,5.561069392,6.432062846,0,2.003596143,4.303424648,7.351424135,7.005342134,5.328786791,13,3.033729869,4,6.41530259,17,2.009424343
NYJ,9.899722472,0,4.979977317,6.655218151,6.432062846,1.005434277,5.951084734,7.076053365,4.237763605,,7.076053365,5.570382052,4.210989124,4.811308974,10,7.005342134,8.009716659,6.432062846,13,2.893177474,4,10,17,6.319568108
ARZ,4.303424648,4.509521021,1.473341663,8.169465472,4.710485405,8.090849699,2.707003429,4.210989124,7.789715547,1.473341663,2.331870028,6.571323121,,7.076053365,5.951084734,5.144716935,6.980016932,2.331870028,13,1.927152371,4,4.69398455,17,2.244225873
ATL,2.707003429,1.473341663,8.009716659,0,5.144716935,2.355490303,4.979977317,8.169465472,6.192325463,8.169465472,5.570382052,5.561069392,6.655218151,,2.707003429,9.899722472,8.437336245,5.144716935,13,1.28660913,4,7.472619579,17,3.694431828
TB,2.003596143,2.707003429,0.99535203,4.303424648,6.980016932,6.722631033,8.169465472,9.899722472,0.530825452,8.009716659,,0,2.707003429,2.331870028,4.979977317,8.437336245,8.169465472,6.980016932,13,0,4,8.615594433,17,0
