datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Simpson, Webb","Webb Simpson",150,23183665,10600,35.977,12:43 pm,0,75.2,5,0,80.2,0.69,100,18.6333756626089,
"Hadwin, Adam","Adam Hadwin",150,23183666,10400,35.843,12:10 pm,0,76,5,0,81,0.77,100,18.9705676390756,
"Theegala, Sahith","Sahith Theegala",150,23183667,10100,35.115,12:54 pm,0,71,3.9,0,74.9,0.47,100,13.3528838318455,
"Day, Jason","Jason Day",150,23183668,10000,36.073,12:43 pm,0,72.4,4.4,0,76.7,0.6,100,8.59653624551023,
"McCarthy, Denny","Denny McCarthy",150,23183669,9900,34.986,8:02 am,1,72.4,4.3,0,76.7,0.61,100,14.803567133007,
"McNealy, Maverick","Maverick McNealy",150,23183670,9500,35.584,6:45 am,1,72.2,4.3,0,76.4,0.67,100,13.9502622968268,
"Howell III, Charles","Charles Howell III",150,23183671,9300,36.433,12:54 pm,0,76,5.2,0,81.3,1,100,18.4773813222203,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,23183672,9100,34.765,1:38 pm,0,69.1,3.7,0,72.8,0.53,100,11.2923703402481,
"Stallings, Scott","Scott Stallings",150,23183673,8900,35.667,7:07 am,1,69.6,3.7,0,73.3,0.6,100,13.0556470989946,
"Rodgers, Patrick","Patrick Rodgers",150,23183674,8800,34.742,1:16 pm,0,69.7,3.8,0,73.5,0.63,100,12.8428146506654,
"Hardy, Nick","Nick Hardy",150,23183675,8700,35.600,8:57 am,1,70.5,4,0,74.5,0.71,100,15.2583096543374,
"Long, Adam","Adam Long",150,23183676,8600,35.844,7:40 am,1,72.6,4.3,0,76.9,0.87,100,12.8983654229806,
"Todd, Brendon","Brendon Todd",150,23183677,8500,34.212,12:54 pm,0,67.1,3.3,0,70.4,0.5,100,10.655513651192,
"Davis, Cameron","Cameron Davis",150,23183678,8400,35.365,7:18 am,1,70.3,3.9,0,74.2,0.75,100,14.2310542626513,
"Glover, Lucas","Lucas Glover",150,23183679,8300,34.941,1:05 pm,0,67.9,3.4,0,71.3,0.6,100,9.74480947555566,
"Griffin, Lanto","Lanto Griffin",150,23183680,8200,34.852,12:43 pm,0,66.9,3.3,0,70.2,0.55,100,8.18085442399092,
"Pan, C.T.","C.T. Pan",150,23183681,8100,34.797,12:43 pm,0,67.7,3.5,0,71.1,0.62,100,7.27391853863006,
"Poston, J.T.","J.T. Poston",150,23183683,8000,35.521,7:29 am,1,69.8,3.7,0,73.5,0.78,100,12.393685667522,
"Champ, Cameron","Cameron Champ",150,23183682,8000,34.339,7:18 am,1,64.4,2.8,0,67.3,0.41,100,7.77278955841495,
"Reavie, Chez","Chez Reavie",150,23183684,7900,34.413,7:40 am,1,66,3,0,69,0.53,100,11.2226844226511,
