"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Webb Simpson",23183665,10600,64.5,75.56,30.9,97.5,32,0.7259,0.0162,0.4745,0.364,0.2234,0.1328,0.0872,0.0333,100,0.23,37.5,3.14,0.31,0.05,31,2022-07-03,"John Deere Classic"
"2","Adam Hadwin",23183666,10400,66.7,75.08,24.2,97,31,0.7304,0.0166,0.4798,0.3702,0.2252,0.1313,0.0843,0.0322,100,0.2342,33.5,3.1,0.29,0.04,24,2022-07-03,"John Deere Classic"
"3","Sahith Theegala",23183667,10100,67.27,67.97,22.6,91.5,29.5,0.6705,0.0115,0.3916,0.2826,0.1582,0.088,0.0549,0.0193,16,0.2113,94,1.91,-0.85,-0.13,22,2022-07-03,"John Deere Classic"
"4","Denny McCarthy",23183669,9900,63.67,68.4,18,92.97,30.47,0.7122,0.0189,0.441,0.329,0.1872,0.1043,0.0648,0.0238,6,0.1904,104.5,2.4,-0.32,-0.05,18,2022-07-03,"John Deere Classic"
"5","Maverick McNealy",23183670,9500,71.39,68.84,20.4,92,30,0.7103,0.019,0.4365,0.3267,0.1883,0.106,0.0678,0.0249,8,0.1899,96,2.62,0.01,0,20,2022-07-03,"John Deere Classic"
"6","Charles Howell III",23183671,9300,59.6,70.85,13.9,93,30.5,0.7343,0.0166,0.4847,0.3752,0.2302,0.1348,0.0903,0.0355,13,0.1794,93,3.82,1.28,0.19,14,2022-07-03,"John Deere Classic"
"7","Christiaan Bezuidenhout",23183672,9100,60.38,70.6,14.6,92.5,30.5,0.658,0.0105,0.375,0.2704,0.1472,0.0778,0.0488,0.0171,2,0.1195,119,1.88,-0.59,-0.09,15,2022-07-03,"John Deere Classic"
"8","Scott Stallings",23183673,8900,55.33,67.4,21.7,90.5,29.5,0.6675,0.0185,0.3767,0.2722,0.1524,0.0823,0.0514,0.0179,4,0.1662,110.5,2.01,-0.37,-0.06,22,2022-07-03,"John Deere Classic"
"9","Patrick Rodgers",23183674,8800,56.52,66.78,20.8,90,29.5,0.6738,0.0121,0.3876,0.2795,0.1538,0.0837,0.0514,0.0176,30,0.2015,101.5,2,-0.34,-0.05,21,2022-07-03,"John Deere Classic"
"10","Nick Hardy",23183675,8700,56.94,68.01,17.2,91,29.5,0.6878,0.0166,0.4044,0.2978,0.1722,0.0935,0.0599,0.021,30,0.2514,93.5,2.41,0.12,0.02,17,2022-07-03,"John Deere Classic"
"11","Adam Long",23183676,8600,57.74,65.08,15.3,89,29,0.7016,0.0213,0.4293,0.3225,0.187,0.1055,0.0669,0.0246,13,0.1542,85,2.86,0.62,0.09,15,2022-07-03,"John Deere Classic"
"12","Brendon Todd",23183677,8500,57.75,62.33,14.1,88,28,0.6395,0.0092,0.3462,0.2445,0.1295,0.0665,0.0391,0.0124,43,0.13,77,1.46,-0.73,-0.11,14,2022-07-03,"John Deere Classic"
"13","Lucas Glover",23183679,8300,60.35,64.67,8.5,88.5,28.5,0.6398,0.0094,0.345,0.2447,0.1311,0.0683,0.0423,0.0138,100,0.1161,33.5,1.66,-0.42,-0.06,8,2022-07-03,"John Deere Classic"
"14","Lanto Griffin",23183680,8200,61.43,64.51,13.7,86.34,27.73,0.6286,0.0088,0.33,0.2301,0.1196,0.0614,0.036,0.0127,100,0.108,26.5,1.55,-0.47,-0.07,14,2022-07-03,"John Deere Classic"
"15","C.T. Pan",23183681,8100,61.2,66.29,8.8,89.5,29.15,0.6483,0.0108,0.3513,0.2482,0.135,0.0704,0.0437,0.0154,24,0.0954,92,1.9,-0.06,-0.01,9,2022-07-03,"John Deere Classic"
"16","Cameron Champ",23183682,8000,47.8,57.1,5.4,84,27,0.6107,0.0117,0.3035,0.2086,0.1112,0.0587,0.0358,0.0129,100,0.068,27.5,1.61,-0.28,-0.04,5,2022-07-03,"John Deere Classic"
"17","J.T. Poston",23183683,8000,48.2,66.07,16.2,90.5,29,0.6672,0.017,0.3834,0.2796,0.1569,0.0875,0.0558,0.0204,1,0.1851,148,2.55,0.66,0.1,16,2022-07-03,"John Deere Classic"
"18","Chez Reavie",23183684,7900,51.71,61.39,13.5,86.5,28,0.6302,0.0126,0.3249,0.2261,0.1206,0.0624,0.0385,0.0128,100,0.1409,28.5,1.62,-0.2,-0.03,13,2022-07-03,"John Deere Classic"
"19","Kevin Streelman",23183685,7900,52.5,65.12,9.2,88.27,28.62,0.665,0.0144,0.3709,0.2672,0.1477,0.0778,0.0483,0.017,41,0.0959,76,2.15,0.33,0.05,9,2022-07-03,"John Deere Classic"
"20","John Huh",23183686,7800,57.64,63.74,15.7,88.35,29,0.6349,0.0095,0.3426,0.2401,0.128,0.0664,0.0398,0.0126,100,0.1671,33.5,1.62,-0.13,-0.02,16,2022-07-03,"John Deere Classic"
"21","Anirban Lahiri",23183687,7800,49.81,62.63,5.6,87.5,28.5,0.6508,0.0104,0.3584,0.2555,0.1372,0.0703,0.0434,0.0152,51,0.0489,76.5,1.95,0.2,0.03,6,2022-07-03,"John Deere Classic"
"22","Adam Svensson",23183689,7700,55.5,64.78,22.2,89,29,0.6454,0.015,0.3439,0.2438,0.129,0.0681,0.0425,0.0146,24,0.1595,91,1.9,0.23,0.03,22,2022-07-03,"John Deere Classic"
"23","Doug Ghim",23183690,7600,51.98,64.32,9,88.5,28.5,0.6694,0.0121,0.3895,0.2799,0.156,0.084,0.0524,0.0186,100,0.0795,30,2.45,0.87,0.13,9,2022-07-03,"John Deere Classic"
"24","Alex Smalley",23183691,7600,55.2,64.47,5.6,89.5,28.5,0.6567,0.015,0.3602,0.2576,0.1431,0.0772,0.0482,0.0168,16,0.0884,85,2.21,0.63,0.09,6,2022-07-03,"John Deere Classic"
"25","Dylan Frittelli",23183692,7600,53.43,55.6,2.4,82,26.5,0.5903,0.0078,0.2853,0.1917,0.0962,0.0459,0.0276,0.009,30,0.0442,79.5,1.18,-0.4,-0.06,2,2022-07-03,"John Deere Classic"
"26","Martin Laird",23183693,7500,53.78,64.38,10.6,89,28.5,0.6507,0.0131,0.3543,0.2507,0.1336,0.069,0.0425,0.0144,30,0.0917,93,1.92,0.43,0.06,11,2022-07-03,"John Deere Classic"
"27","Emiliano Grillo",23183694,7500,51.68,62.67,5,88,28,0.6361,0.0145,0.3366,0.2372,0.1255,0.0666,0.0415,0.0141,2,0.0696,116.5,1.88,0.39,0.06,5,2022-07-03,"John Deere Classic"
"28","Nick Taylor",23183695,7500,53.77,61.38,3.9,87.5,28,0.6286,0.0108,0.3159,0.2165,0.1099,0.0548,0.0321,0.0112,100,0.0447,34,1.49,0,0,4,2022-07-03,"John Deere Classic"
"29","David Lipsky",23183696,7400,53,61.22,5.1,85.7,27.65,0.6282,0.01,0.3314,0.2308,0.1232,0.063,0.0388,0.0131,24,0.0616,85.5,1.77,0.39,0.06,5,2022-07-03,"John Deere Classic"
"30","Mark Hubbard",23183698,7400,69.48,61.39,10.1,86.5,28,0.6399,0.0126,0.3266,0.2256,0.1169,0.059,0.0356,0.011,13,0.1419,89,1.49,0.11,0.02,10,2022-07-03,"John Deere Classic"
"31","Patton Kizzire",23183699,7400,55.23,59.09,4.5,84.5,28,0.5816,0.0103,0.2684,0.1785,0.0876,0.0425,0.0244,0.0085,16,0.0584,89,1.15,-0.23,-0.03,4,2022-07-03,"John Deere Classic"
"32","Hank Lebioda",23183703,7300,45.93,59.82,4.6,85.5,27.5,0.5427,0.0053,0.2333,0.1515,0.0693,0.0311,0.0179,0.0052,43,0.0431,70.5,0.71,-0.56,-0.08,5,2022-07-03,"John Deere Classic"
"33","Andrew Putnam",23183704,7300,51.96,56.06,2.3,82,26.5,0.6098,0.0108,0.297,0.2018,0.1023,0.0494,0.0291,0.0095,41,0.0346,74,1.3,0.03,0,2,2022-07-03,"John Deere Classic"
"34","Matthias Schwab",23183705,7200,56.32,57.27,1.4,84,27,0.5598,0.0059,0.2489,0.1639,0.0783,0.0363,0.0211,0.0061,16,0.0406,94.5,0.85,-0.3,-0.04,1,2022-07-03,"John Deere Classic"
"35","Zach Johnson",23183706,7200,38.97,51.53,0.95,79,26,0.5694,0.0067,0.2564,0.1683,0.0818,0.0391,0.0227,0.0075,60,0.0399,71.5,1.04,-0.11,-0.02,1,2022-07-03,"John Deere Classic"
"36","Nate Lashley",23183707,7200,57.54,62.56,9.6,87,28,0.6313,0.0128,0.3287,0.2287,0.1194,0.0619,0.0371,0.0128,100,0.083,36,1.78,0.63,0.09,10,2022-07-03,"John Deere Classic"
"37","Matt Wallace",23183708,7200,48.37,51.67,2.5,80,26,0.503,0.0063,0.1863,0.1147,0.0512,0.0233,0.0131,0.0036,100,0.0429,29.5,0.5,-0.65,-0.1,2,2022-07-03,"John Deere Classic"
"38","Ryan Moore",23183709,7200,49.35,57.33,3.7,83.5,27,0.526,0.0047,0.217,0.1375,0.0639,0.0301,0.0177,0.0057,24,0.0492,89.5,0.79,-0.36,-0.05,4,2022-07-03,"John Deere Classic"
"39","Scott Piercy",23183710,7100,49.62,55.74,1.4,82,26.5,0.5802,0.0073,0.27,0.1802,0.0894,0.0438,0.0248,0.0074,100,0.0104,36,1.04,0,0,1,2022-07-03,"John Deere Classic"
"40","Sam Ryder",23183711,7100,50.83,57.55,3.1,84,27.5,0.6036,0.0124,0.2907,0.1968,0.0992,0.0482,0.0291,0.0097,60,0.0618,62.5,1.37,0.33,0.05,3,2022-07-03,"John Deere Classic"
"41","Ryan Armour",23183712,7100,50.75,60.79,6.4,83.05,26.47,0.6219,0.0092,0.3192,0.2228,0.1134,0.0581,0.0356,0.012,100,0.0442,22,1.69,0.65,0.1,6,2022-07-03,"John Deere Classic"
"42","Chesson Hadley",23183713,7100,45.31,42.95,1.6,72,24,0.4224,0.0047,0.1246,0.072,0.028,0.0113,0.0058,0.0017,10,0.0438,95,0.24,-0.8,-0.12,1,2022-07-03,"John Deere Classic"
"43","Charley Hoffman",23183714,7100,45.6,56.47,2,83.5,27,0.4962,0.0052,0.1897,0.1196,0.0535,0.0231,0.0126,0.0036,100,0.0123,26.5,0.51,-0.53,-0.08,2,2022-07-03,"John Deere Classic"
"44","Stephan Jaeger",23183715,7100,47.17,53.13,0.9,81,26.5,0.5476,0.0063,0.2347,0.15,0.0699,0.0321,0.0184,0.005,30,0.0138,81.5,0.7,-0.34,-0.05,1,2022-07-03,"John Deere Classic"
"45","Chad Ramey",23183716,7000,53.09,52.68,2.2,79.5,26,0.578,0.0095,0.2579,0.1704,0.082,0.0389,0.0222,0.0069,100,0.0192,33.5,0.99,0.05,0.01,2,2022-07-03,"John Deere Classic"
