Player,Roster Position,%Drafted,FPTS
Joe Mixon,RB,43.44%,11.6
Cooper Kupp,WR,33.67%,17.1
Devin Singletary,RB,26.92%,24.4
Eli Mitchell,RB,25.42%,15.5
Rob Gronkowski,FLEX,24.71%,14.1
Darrel Williams,RB,21.94%,-0.6
Ja'Marr Chase,WR,21.55%,25.9
Cedrick Wilson,WR,21.46%,11.2
Deebo Samuel,WR,21.15%,20
CeeDee Lamb,WR,19.08%,3.6
Hunter Renfrow,WR,18.96%,13.8
Joe Burrow,QB,18.74%,17.56
Zach Ertz,FLEX,17.64%,5.1
Dak Prescott,QB,17.11%,21.86
Chiefs ,DST,16.32%,5
Sony Michel,RB,15.95%,5.8
Mike Evans,WR,15.79%,29.7
Dallas Goedert,TE,15.73%,15.2
Tee Higgins,WR,15.42%,2
Amari Cooper,WR,15.33%,18.4
Patriots ,DST,14.92%,0
Rams ,DST,14.83%,16
Odell Beckham Jr.,WR,14.51%,17
Christian Kirk,WR,12.73%,11.1
Tyreek Hill,WR,12.73%,16.7
Josh Jacobs,RB,12.65%,16.7
Darren Waller,TE,12.07%,14.6
Bills ,DST,11.97%,8
Tom Brady,QB,11.85%,18.84
Travis Kelce,TE,11.49%,28.88
Matthew Stafford,QB,10.97%,24.28
Zay Jones,WR,10.83%,17.1
Patrick Mahomes,QB,10.79%,41.06
Najee Harris,RB,10.02%,3.8
Ke'Shawn Vaughn,RB,9.85%,14.2
Dalton Schultz,TE,9.72%,15.9
Tyler Boyd,WR,9.66%,12.9
Ezekiel Elliott,RB,9.44%,4.1
Brandon Aiyuk,WR,9.30%,11.6
Jalen Hurts,QB,9.18%,18.22
Bengals ,DST,8.81%,8
Cowboys ,DST,8.49%,2
C.J. Uzomah,TE,8.23%,18.4
George Kittle,TE,8.22%,2.8
Diontae Johnson,WR,7.99%,14.4
Tyler Higbee,TE,7.87%,7.6
DeVonta Smith,WR,7.65%,12
Buccaneers ,DST,7.44%,9
Chase Claypool,WR,6.98%,5.5
Damien Harris,RB,6.82%,4.7
A.J. Green,WR,6.26%,0
Mecole Hardman,FLEX,6.06%,8.9
Stefon Diggs,WR,5.81%,9
Chase Edmonds,RB,5.67%,2.8
Byron Pringle,WR,5.63%,20.7
Cam Akers,RB,5.46%,10.5
Steelers ,DST,5.33%,9
Rhamondre Stevenson,RB,5.12%,10
Jimmy Garoppolo,QB,4.95%,5.98
Derek Carr,QB,4.84%,19.4
Miles Sanders,FLEX,4.81%,5.8
Hunter Henry,TE,4.53%,4
Kyler Murray,QB,4.46%,6.08
49ers ,DST,4.42%,8
Cole Beasley,WR,4.39%,2.9
Josh Allen,QB,4.34%,41.92
Pat Freiermuth,FLEX,4.28%,6.5
Tony Pollard,RB,4.19%,4.6
JuJu Smith-Schuster,FLEX,4.02%,7.6
Antoine Wesley,FLEX,3.91%,2
James Conner,RB,3.74%,9.4
Tyler Johnson,WR,3.43%,5
Jakobi Meyers,WR,3.37%,10
Gabriel Davis,WR,3.26%,12.1
Van Jefferson,WR,3.16%,5.1
Eagles ,DST,3.16%,3
Jauan Jennings,WR,3.07%,5.9
Cardinals ,DST,2.70%,0
Cameron Brate,FLEX,2.56%,5.9
Breshad Perriman,WR,2.55%,1.5
Dawson Knox,TE,2.53%,25.9
Bryan Edwards,FLEX,2.25%,7.1
Le'Veon Bell,RB,2.16%,0
Ben Roethlisberger,QB,2.10%,16.5
Nelson Agholor,FLEX,1.89%,2.8
Leonard Fournette,RB,1.80%,0
Boston Scott,FLEX,1.69%,10.5
Kendrick Bourne,WR,1.68%,28.1
Raiders ,DST,1.60%,2
Emmanuel Sanders,WR,1.45%,11.6
Brandon Bolden,RB,1.36%,6.7
Ray-Ray McCloud III,FLEX,1.34%,4
Quez Watkins,WR,1.29%,5.5
Jerick McKinnon,RB,1.28%,26.2
Derrick Gore,RB,1.16%,0.3
Foster Moreau,FLEX,0.90%,0
Giovani Bernard,FLEX,0.89%,19.3
Scotty Miller,WR,0.83%,2.7
Isaiah McKenzie,WR,0.68%,10.4
DeSean Jackson,WR,0.67%,3.6
Demarcus Robinson,WR,0.66%,11.6
Mac Jones,QB,0.62%,17.08
Jalen Reagor,WR,0.61%,0.2
Kenneth Gainwell,RB,0.59%,16.5
Jordan Howard,RB,0.49%,1.7
Blake Jarwin,FLEX,0.36%,0
Zack Moss,RB,0.35%,0
Jonnu Smith,FLEX,0.29%,0
Rondale Moore,WR,0.25%,8.2
Zach Gentry,TE,0.23%,7.3
Samaje Perine,RB,0.19%,0.2
Jeff Wilson Jr.,RB,0.17%,0
James Washington,FLEX,0.15%,11.7
Kristian Wilkerson,WR,0.13%,0
Ben Skowronek,FLEX,0.13%,0
Jalen Richard,FLEX,0.10%,1.4
Eno Benjamin,RB,0.10%,5.4
Kyle Juszczyk,RB,0.09%,3.5
Blake Bell,FLEX,0.08%,1.3
Clyde Edwards-Helaire,RB,0.07%,0
O.J. Howard,FLEX,0.05%,1.3
Peyton Barber,RB,0.05%,0
Benny Snell Jr.,RB,0.05%,5.1
N'Keal Harry,WR,0.04%,0
Chris Evans,FLEX,0.03%,0.9
JaMycal Hasty,RB,0.03%,0
Greg Dortch,FLEX,0.03%,0
Demetrius Harris,FLEX,0.03%,0
Darwin Thompson,RB,0.03%,0
Josh Gordon,WR,0.02%,0
Drew Sample,FLEX,0.02%,0
Noah Brown,WR,0.02%,0
Trey Lance,QB,0.02%,0
Greg Ward,WR,0.02%,0
DeAndre Hopkins,WR,0.02%,0
Ronald Jones II,RB,0.02%,0
Andy Isabella,WR,0.02%,0
Brandon Powell,FLEX,0.01%,0
Tommy Sweeney,FLEX,0.01%,0
Matt Breida,RB,0.01%,0
Jake Kumerow,FLEX,0.01%,0
Trayveon Williams,RB,0.01%,0
Cyril Grayson,WR,0.01%,0
Scotty Washington,FLEX,0.01%,0
Corey Clement,RB,0.01%,0
Malik Turner,WR,0.01%,1.6
David Wells,FLEX,0.01%,0
Brycen Hopkins,FLEX,0.01%,0
Maxx Williams,FLEX,0.01%,0
Jason Huntley,FLEX,0.01%,0
Kendall Blanton,TE,0.01%,0
Derek Carrier,FLEX,0.01%,0
Darrell Henderson Jr.,RB,0.01%,0
Justin Watson,WR,0.01%,0
Darrell Daniels,TE,0.01%,2.2
Richard Rodgers,FLEX,0.01%,0
Elijah McGuire,FLEX,0.01%,0
Jody Fortson,FLEX,0.00%,0
Tyron Johnson,WR,0.00%,0
J.J. Taylor,RB,0.00%,0
Ross Dwelley,FLEX,0.00%,0
Jaelon Darden,FLEX,0.00%,0
Anthony Miller,WR,0.00%,0
Derek Watt,RB,0.00%,0
Chris Myarick,FLEX,0.00%,0
Blaine Gabbert,QB,0.00%,0
Isaiah Hodgins,FLEX,0.00%,0
Gunner Olszewski,FLEX,0.00%,0
Jakob Johnson,RB,0.00%,0
Nakia Griffin-Stewart,FLEX,0.00%,0
Alec Ingold,FLEX,0.00%,0
Landen Akers,FLEX,0.00%,0
Tyree Jackson,FLEX,0.00%,0
Javian Hawkins,RB,0.00%,0
Trey Sermon,RB,0.00%,0
Trent Sherfield,WR,0.00%,0
Robert Woods,FLEX,0.00%,0
Brandon Smith,WR,0.00%,0
JaQuan Hardy,RB,0.00%,0
Anthony McFarland Jr.,RB,0.00%,0
Jonathan Ward,RB,0.00%,0
Noah Gray,FLEX,0.00%,0
Daurice Fountain,WR,0.00%,0
Robert Foster,WR,0.00%,0
Nick Bowers,TE,0.00%,0
Javon Wims,WR,0.00%,0
Jake Funk,FLEX,0.00%,0.5
Matthew Slater,WR,0.00%,0
Mason Rudolph,QB,0.00%,0
Dax Raymond,FLEX,0.00%,0
Noah Togiai,FLEX,0.00%,0
Trey Ragas,RB,0.00%,0
Brian Hoyer,QB,0.00%,0
Matt LaCosse,TE,0.00%,0
Elijah Holyfield,RB,0.00%,0
