Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Demarcus Robinson (21037800),Demarcus Robinson,21037800,WR/FLEX,3600,BUF@KC 01/23/2022 06:30PM ET,KC,4.5
WR,Isaiah McKenzie (21037802),Isaiah McKenzie,21037802,WR/FLEX,3500,BUF@KC 01/23/2022 06:30PM ET,BUF,4.18
TE,C.J. Uzomah (21037910),C.J. Uzomah,21037910,TE/FLEX,3400,CIN@TEN 01/22/2022 04:30PM ET,CIN,8.63
WR,Jauan Jennings (21037804),Jauan Jennings,21037804,WR/FLEX,3400,SF@GB 01/22/2022 08:15PM ET,SF,5.18
WR,Scotty Miller (21037806),Scotty Miller,21037806,WR/FLEX,3300,LAR@TB 01/23/2022 03:00PM ET,TB,2.18
WR,Chester Rogers (21037808),Chester Rogers,21037808,WR/FLEX,3200,CIN@TEN 01/22/2022 04:30PM ET,TEN,4.12
DST,Packers  (21037988),Packers ,21037988,DST,3200,SF@GB 01/22/2022 08:15PM ET,GB,6.88
TE,Anthony Firkser (21037912),Anthony Firkser,21037912,TE/FLEX,3100,CIN@TEN 01/22/2022 04:30PM ET,TEN,5.34
WR,Randall Cobb (21037810),Randall Cobb,21037810,WR/FLEX,3100,SF@GB 01/22/2022 08:15PM ET,GB,7.88
DST,Buccaneers  (21037989),Buccaneers ,21037989,DST,3100,LAR@TB 01/23/2022 03:00PM ET,TB,8.33
WR,Racey McMath (21037876),Racey McMath,21037876,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,0.2
WR,Dez Fitzpatrick (21037878),Dez Fitzpatrick,21037878,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,3.98
WR,Marcus Johnson (21037880),Marcus Johnson,21037880,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,3.97
WR,Cameron Batson (21037882),Cameron Batson,21037882,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,2.75
WR,Mason Kinsey (21037884),Mason Kinsey,21037884,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,0
WR,Cody Hollister (21037886),Cody Hollister,21037886,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,TEN,2.43
WR,Stanley Morgan (21037888),Stanley Morgan,21037888,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,0.2
WR,Mike Thomas (21037890),Mike Thomas,21037890,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,0.78
WR,Trenton Irwin (21037892),Trenton Irwin,21037892,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,0.77
WR,Auden Tate (21037894),Auden Tate,21037894,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,1.84
WR,Pooka Williams Jr. (21037896),Pooka Williams Jr.,21037896,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,0
WR,Trent Taylor (21037898),Trent Taylor,21037898,WR/FLEX,3000,CIN@TEN 01/22/2022 04:30PM ET,CIN,1.22
WR,Trent Sherfield (21037850),Trent Sherfield,21037850,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,1.32
WR,Travis Benjamin (21037852),Travis Benjamin,21037852,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,0.16
WR,River Cracraft (21037854),River Cracraft,21037854,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,0
WR,Mohamed Sanu Sr. (21037856),Mohamed Sanu Sr.,21037856,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,4.09
WR,Richie James (21037858),Richie James,21037858,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,0
WR,Connor Wedington (21037860),Connor Wedington,21037860,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,0
WR,Austin Mack (21037862),Austin Mack,21037862,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,SF,0
WR,Equanimeous St. Brown (21037864),Equanimeous St. Brown,21037864,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,1.55
WR,Juwann Winfree (21037866),Juwann Winfree,21037866,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,1.83
WR,Amari Rodgers (21037868),Amari Rodgers,21037868,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,0.6
WR,Malik Taylor (21037870),Malik Taylor,21037870,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,0.24
WR,Josh Malone (21037872),Josh Malone,21037872,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,0
WR,David Moore (21037874),David Moore,21037874,WR/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,0
TE,Josiah Deguara (21037914),Josiah Deguara,21037914,TE/FLEX,3000,SF@GB 01/22/2022 08:15PM ET,GB,3.84
WR,Josh Gordon (21037832),Josh Gordon,21037832,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,KC,1.18
WR,Marcus Kemp (21037834),Marcus Kemp,21037834,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,KC,0.26
WR,Daurice Fountain (21037836),Daurice Fountain,21037836,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,KC,0
WR,Gehrig Dieter (21037838),Gehrig Dieter,21037838,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,KC,0
WR,Cornell Powell (21037840),Cornell Powell,21037840,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,KC,0
WR,Jake Kumerow (21037842),Jake Kumerow,21037842,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,BUF,0.3
WR,Marquez Stevenson (21037844),Marquez Stevenson,21037844,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,BUF,0
WR,Isaiah Hodgins (21037846),Isaiah Hodgins,21037846,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,BUF,0
WR,Tanner Gentry (21037848),Tanner Gentry,21037848,WR/FLEX,3000,BUF@KC 01/23/2022 06:30PM ET,BUF,0
WR,Jaelon Darden (21037812),Jaelon Darden,21037812,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,TB,1.14
WR,Chris Godwin (21037814),Chris Godwin,21037814,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,TB,18.53
WR,John Brown (21037816),John Brown,21037816,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,TB,0
WR,John Hurst (21037818),John Hurst,21037818,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,TB,0
WR,Ben Skowronek (21037820),Ben Skowronek,21037820,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,1.62
WR,Brandon Powell (21037822),Brandon Powell,21037822,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,0.86
WR,Robert Woods (21037824),Robert Woods,21037824,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,15.58
WR,Tutu Atwell (21037826),Tutu Atwell,21037826,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,0
WR,J.J. Koski (21037828),J.J. Koski,21037828,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,-0.2
WR,Landen Akers (21037830),Landen Akers,21037830,WR/FLEX,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,0
DST,Rams  (21037990),Rams ,21037990,DST,3000,LAR@TB 01/23/2022 03:00PM ET,LAR,7.56
DST,Titans  (21037991),Titans ,21037991,DST,2900,CIN@TEN 01/22/2022 04:30PM ET,TEN,7.24
TE,Geoff Swaim (21037916),Geoff Swaim,21037916,TE/FLEX,2800,CIN@TEN 01/22/2022 04:30PM ET,TEN,4.38
DST,Chiefs  (21037992),Chiefs ,21037992,DST,2800,BUF@KC 01/23/2022 06:30PM ET,KC,7.56
DST,Bengals  (21037993),Bengals ,21037993,DST,2700,CIN@TEN 01/22/2022 04:30PM ET,CIN,6.44
