player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Eric Weddle,3653,S,LA,1,16,0,26,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,6.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,11,68.8,11,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,16,629,0,20,2,8.8,47.6,89.1,19.7,9.4,0,2,9.5,53.1,1,31,16.7,2,2,47.5,10,213,33.9,239,1,8,21,0,129,74,0.7,12.9,0,3,5.1,87.1,94.8,12.9,11.2,0,2,6.5,67.5,0,26,2.8,1,2,116.7,27,366,58.2,386,16,32,31,2,212,87,0.6,7.9
Jason McCourty,5127,S,MIA,7,190,0,17,0,8.1,62.5,97.0,18.4,11.5,0,3,37.5,78.8,0,23,0.0,0,3,75.5,5,97,51.1,100,2,5,8,0,41,19,0.4,8.2,0,2,12.3,100.0,98.8,26.0,26.0,0,0,0.0,63.2,0,25,0.0,0,0,118.8,3,80,42.1,81,0,3,3,0,45,8,0.6,15.0
Steve McLendon,5232,DI,TB,13,4,0,30,0,,,0.0,,,0,0,,63.4,0,,0.0,0,0,0.0,0,0,0.0,36,2,2,0,0,0,0,,,0,0,,,2.4,,,0,0,,64.0,1,,0.0,0,0,0.0,0,3,75.0,125,0,1,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,18,9,0,30,1,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,141,1,1,0,0,0,0,,,0,0,3.0,100.0,1.2,4.0,4.0,1,0,0.0,57.3,0,5,0.0,0,0,87.5,1,4,44.4,338,6,2,1,0,5,2,1.3,5.0
Joe Haden,5532,CB,PIT,13,446,0,25,4,12.2,72.7,100.0,7.4,5.4,0,2,9.1,48.8,0,37,0.0,0,2,141.9,16,124,27.8,124,2,9,22,3,209,53,1.8,13.1,0,1,10.5,57.7,100.0,16.3,9.4,0,3,11.5,69.3,0,14,21.1,4,3,79.5,15,256,57.4,256,6,14,26,1,103,53,0.4,6.9
Jason Pierre-Paul,5540,ED,TB,13,50,0,30,0,,,1.0,,,0,0,,52.8,0,,25.0,1,0,0.0,0,1,2.0,103,3,3,0,0,0,0,0.0,,0,2,3.2,100.0,13.8,4.6,4.6,0,0,0.0,65.9,0,24,25.0,5,0,140.7,9,42,84.0,304,5,13,9,1,80,51,2.0,8.9
Kareem Jackson,5545,S,DEN,15,531,0,10,0,8.4,62.5,99.1,41.6,26.0,0,1,12.5,60.8,0,8,26.1,6,1,66.7,5,217,40.9,219,2,17,8,0,22,17,0.1,4.4,0,0,6.0,81.3,100.0,11.7,9.5,0,0,0.0,50.5,1,17,4.5,1,0,74.0,13,160,30.1,160,3,21,16,0,128,82,0.8,9.8
Devin McCourty,5552,S,NE,18,620,0,19,1,7.8,50.0,99.3,84.3,42.2,2,2,33.3,64.2,1,13,5.9,1,2,23.6,3,266,42.9,268,0,15,6,0,28,7,0.1,9.3,0,6,14.0,52.9,98.7,32.6,17.2,0,5,29.4,70.5,1,33,9.5,2,5,53.8,9,307,49.5,311,1,13,17,0,131,56,0.4,14.6
Jerry Hughes,5556,ED,BUF,18,20,0,4,0,14.0,0.0,3.9,,5.0,0,0,0.0,72.0,0,,50.0,1,0,39.6,0,5,25.0,129,2,1,1,0,0,0,0.0,,0,2,0.0,66.7,6.1,5.5,3.7,0,0,0.0,46.3,0,18,33.3,1,0,84.0,2,12,60.0,196,2,0,3,0,19,11,1.7,9.5
Carlos Dunlap,5579,ED,SEA,17,44,0,29,1,,,1.5,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,2.3,67,3,1,0,0,0,0,,,0,0,3.3,100.0,16.7,11.0,11.0,0,0,0.0,55.4,0,12,0.0,0,0,90.3,3,35,79.5,209,4,4,3,0,17,7,0.5,5.7
Corey Peters,5607,DI,ARZ,15,6,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,45,0,0,0,0,0,0,,,0,0,,,5.0,,,0,0,,53.8,0,,,0,0,0.0,0,6,100.0,120,0,0,0,0,0,0,0.0,
Everson Griffen,5624,ED,MIN,9,8,0,18,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,98,1,0,0,0,0,0,,,0,0,3.0,100.0,5.0,7.0,7.0,0,0,0.0,65.1,0,5,0.0,0,0,87.5,1,8,100.0,161,3,1,1,0,5,2,0.7,5.0
Al Woods,5646,DI,SEA,16,7,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,27,0,0,0,0,0,0,,,0,2,5.0,100.0,3.1,7.0,7.0,0,0,0.0,54.4,0,10,0.0,0,0,108.3,1,7,100.0,225,2,0,1,0,10,5,1.4,10.0
Anthony Levine,6013,S,BLT,2,21,0,3,0,24.0,100.0,77.8,3.0,3.0,0,0,0.0,29.8,0,52,0.0,0,0,118.8,2,7,33.3,9,0,2,2,0,59,11,9.8,29.5,0,0,9.3,66.7,90.0,4.5,3.0,0,1,33.3,65.6,0,11,0.0,0,1,77.1,2,9,42.9,10,1,1,3,0,14,15,1.6,7.0
