,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Indiana,2021-11-30 19:00:00,-145,13.79,-2.5,18.18,146.5,17.39,57.1,74.5,72.0
Syracuse,2021-11-30 19:00:00,125,25.00,2.5,18.18,146.5,19.05,42.9,72.0,74.5
Bellarmine,2021-11-30 19:00:00,850,170.00,16.5,18.18,140.0,18.18,10.1,61.8,78.3
West Virginia,2021-11-30 19:00:00,-1500,1.33,-16.5,18.18,140.0,18.18,89.9,78.3,61.8
Longwood,2021-11-30 19:00:00,300,60.00,8.5,18.18,137.0,20.00,23.8,64.3,72.8
Georgetown,2021-11-30 19:00:00,-400,5.00,-8.5,18.18,137.0,16.67,76.2,72.8,64.3
Davidson,2021-11-30 19:00:00,-200,10.00,-4.0,17.39,129.0,17.39,64.3,66.5,62.5
UNC-Charlotte,2021-11-30 19:00:00,170,34.00,4.0,19.05,129.0,19.05,35.7,62.5,66.5
Howard,2021-11-30 19:00:00,160,32.00,4.5,18.18,133.0,18.18,37.0,64.3,68.8
Mount St. Mary's,2021-11-30 19:00:00,-190,10.53,-4.5,18.18,133.0,18.18,63.0,68.8,64.3
Presbyterian,2021-11-30 19:00:00,1400,280.00,24.0,18.18,132.0,20.00,6.4,54.0,78.0
Tennessee,2021-11-30 19:00:00,-3300,0.61,-24.0,18.18,132.0,16.67,93.6,78.0,54.0
Old Dominion,2021-11-30 19:00:00,185,37.00,5.0,19.05,127.5,17.39,33.6,61.3,66.3
East Carolina,2021-11-30 19:00:00,-225,8.89,-5.0,17.39,127.5,19.05,66.4,66.3,61.3
Minnesota,2021-11-30 19:00:00,-145,13.79,-2.5,18.18,128.0,18.18,57.1,65.3,62.8
Pittsburgh,2021-11-30 19:00:00,125,25.00,2.5,18.18,128.0,18.18,42.9,62.8,65.3
Maryland-Eastern Shore,2021-11-30 19:00:00,2000,400.00,34.5,18.18,133.5,18.18,4.6,49.5,84.0
Connecticut,2021-11-30 19:00:00,-5000,0.40,-34.5,18.18,133.5,18.18,95.4,84.0,49.5
Furman,2021-11-30 19:00:00,-450,4.44,-10.0,18.18,142.5,18.18,78.3,76.3,66.3
High Point,2021-11-30 19:00:00,340,68.00,10.0,18.18,142.5,18.18,21.7,66.3,76.3
LIU-Brooklyn,2021-11-30 19:00:00,425,85.00,11.0,18.18,152.0,18.18,18.2,70.5,81.5
Delaware,2021-11-30 19:00:00,-590,3.39,-11.0,18.18,152.0,18.18,81.8,81.5,70.5
Detroit,2021-11-30 19:00:00,210,42.00,6.0,18.18,135.5,18.18,30.9,64.8,70.8
Northeastern,2021-11-30 19:00:00,-260,7.69,-6.0,18.18,135.5,18.18,69.1,70.8,64.8
Fairleigh-Dickinson,2021-11-30 19:00:00,375,75.00,9.0,18.18,136.0,18.18,20.1,63.5,72.5
Manhattan,2021-11-30 19:00:00,-510,3.92,-9.0,18.18,136.0,18.18,79.9,72.5,63.5
New Orleans,2021-11-30 19:00:00,750,150.00,16.0,18.18,137.0,18.18,11.3,60.5,76.5
Texas A&M,2021-11-30 19:00:00,-1250,1.60,-16.0,18.18,137.0,18.18,88.7,76.5,60.5
Elon,2021-11-30 19:00:00,160,32.00,4.0,18.18,127.5,18.18,37.0,61.8,65.8
UNC-Greensboro,2021-11-30 19:00:00,-190,10.53,-4.0,18.18,127.5,18.18,63.0,65.8,61.8
Sacred Heart,2021-11-30 19:00:00,145,29.00,3.5,18.18,134.0,18.18,39.6,65.3,68.8
NJIT,2021-11-30 19:00:00,-165,12.12,-3.5,18.18,134.0,18.18,60.4,68.8,65.3
Chattanooga,2021-11-30 19:00:00,-200,10.00,-5.0,18.18,131.5,18.18,64.3,68.3,63.3
Tennessee Tech,2021-11-30 19:00:00,170,34.00,5.0,18.18,131.5,18.18,35.7,63.3,68.3
Siena,2021-11-30 19:00:00,170,34.00,4.0,18.18,133.5,16.67,35.7,64.8,68.8
Army,2021-11-30 19:00:00,-200,10.00,-4.0,18.18,133.5,20.00,64.3,68.8,64.8
Florida State,2021-11-30 19:30:00,460,92.00,11.5,18.18,142.5,18.18,17.1,65.5,77.0
Purdue,2021-11-30 19:30:00,-650,3.08,-11.5,18.18,142.5,18.18,82.9,77.0,65.5
Tulane,2021-11-30 19:30:00,145,29.00,3.5,18.18,150.5,18.18,39.6,73.5,77.0
College of Charleston,2021-11-30 19:30:00,-165,12.12,-3.5,18.18,150.5,18.18,60.4,77.0,73.5
Rider,2021-11-30 19:30:00,700,140.00,15.0,18.18,133.0,17.39,12.0,59.0,74.0
Mississippi,2021-11-30 19:30:00,-1125,1.78,-15.0,18.18,133.0,19.05,88.0,74.0,59.0
