"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"372","Dezmon Patmon","IND","wr","14","@BUF","0.5","0","0","0","0","0","0","0","0","0","0.3133","0.1985","2.3958","0.0106","0.0022","0.0011","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"373","John Hightower","PHI","wr","14","NO","0.5","0","0","0","0","0","0","0.0473","0.2773","0.0017","0.2959","0.1758","2.3323","0.0109","0.0026","0.0013","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"374","Jakeem Grant","CHI","wr","10","BLT","0.4","0","0","0","0","0","0","0.0236","0.116","0.0011","0.2916","0.1953","1.8358","0.0097","0.0625","0.0312","0.0006","59.249","0.0455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","Geronimo Allison","DET","wr","9","@CLV","0.4","0","0","0","0","0","0","0.0218","0.1087","0.0006","0.3261","0.2125","1.7515","0.0059","0.0039","0.0019","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","Andre Roberts","LAC","wr","7","PIT","0.3","0","0","0","0","0","0","0","0","0","0.1695","0.1129","1.3605","0.0073","0.078","0.039","0.0002","81.759","0.0422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377","Mike Thomas","CIN","wr","10","@LV","0.3","0","0","0","0","0","0","0.0219","0.1083","0.0007","0.1767","0.1198","1.4049","0.0084","0.0016","0.0008","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"378","Marcus Kemp","KC","wr","12","DAL","0.3","0","0","0","0","0","0","0","0","0","0.1746","0.1146","1.4443","0.0086","0.0013","0.0006","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","James Proche","BLT","wr","8","@CHI","0.3","0","0","0","0","0","0","0.0289","0.1701","0.0009","0.141","0.0924","1.082","0.0058","0.0014","0.0007","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","Stanley Morgan Jr.","CIN","wr","10","@LV","0.3","0","0","0","0","0","0","0","0","0","0.1767","0.1203","1.5431","0.0092","0.0013","0.0007","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","Gunner Olszewski","NE","wr","14","@ATL","0.3","0","0","0","0","0","0","0.0255","0.1424","0.0008","0.1682","0.1198","1.5923","0.0113","0.0809","0.0404","0.0003","84.588","0.0553","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"382","Alex Erickson","CAR","wr","13","WAS","0.2","0","0","0","0","0","0","0.0261","0.1262","0.0009","0.1591","0.1049","1.1851","0.0044","0.0539","0.0269","0.0002","20.9953","0.0285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"383","Denzel Mims","NYJ","wr","6","MIA","0.2","0","0","0","0","0","0","0","0","0","0.1292","0.0789","1.1423","0.0054","0.0008","0.0004","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"384","Tom Kennedy","DET","wr","9","@CLV","0.2","0","0","0","0","0","0","0","0","0","0.163","0.1007","1.257","0.005","0.0573","0.0287","0.0003","78.513","0.0336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","Collin Johnson","NYG","wr","10","@TB","0.1","0","0","0","0","0","0","0","0","0","0.066","0.0411","0.5361","0.0026","0.0004","0.0002","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"386","Dillon Stoner","LV","wr","8","CIN","0.1","0","0","0","0","0","0","0","0","0","0.0343","0.0244","0.2989","0.0018","0.0003","0.0001","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"387","Simi Fehoko","DAL","wr","7","@KC","0.1","0","0","0","0","0","0","0","0","0","0.0353","0.022","0.3224","0.0016","0.0002","0.0001","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"388","Tylan Wallace","BLT","wr","8","@CHI","0","0","0","0","0","0","0","0","0","0","0.0282","0.0179","0.2339","0.0013","0.0002","0.0001","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","Taysom Hill","NO","qb","6","@PHI","3.3","2.202","3.2178","23.2032","0.1472","0.0912","0.3295","2.2057","10.7414","0.1526","0","0","0","0","0.1854","0.0927","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"390","Mike White","NYJ","qb","6","MIA","1.5","2.246","3.6389","23.8343","0.1216","0.1385","0.1555","0.1461","1.3211","0.0122","0","0","0","0","0.0513","0.0257","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","David Blough","DET","qb","9","@CLV","1.4","2.1626","3.4509","23.0424","0.0981","0.1381","0.3268","0.3932","1.7243","0.0171","0","0","0","0","0.057","0.0285","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"392","Jacoby Brissett","MIA","qb","14","@NYJ","1.3","1.1995","1.7594","11.98","0.0766","0.0273","0.1506","0.8162","1.6382","0.0629","0","0","0","0","0.0784","0.0392","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393","Marcus Mariota","LV","qb","8","CIN","1.2","0.5218","0.6706","5.5461","0.0363","0.0154","0.0659","1.0529","5.3344","0.0613","0","0","0","0","0.0802","0.0401","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394","Case Keenum","CLV","qb","13","DET","1","1.1038","1.6741","12.8152","0.1044","0.0308","0.0733","0.1881","0.5141","0.0123","0","0","0","0","0.0362","0.0181","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"395","Trey Lance","SF","qb","6","@JAX","0.7","0.4569","0.6161","5.2981","0.0323","0.0168","0.0492","0.6016","1.837","0.0425","0","0","0","0","0.0462","0.0231","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
