,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Cincinnati,2021-11-12 18:00:00,-2200,0.91,-23.0,17.39,57.5,16.67,92.0,40.3,17.3
South Florida,2021-11-12 18:00:00,1100,220.00,23.0,19.05,57.5,20.00,8.0,17.3,40.3
Wyoming,2021-11-12 21:00:00,435,87.00,14.0,17.39,48.5,17.39,17.9,17.3,31.3
Boise State,2021-11-12 21:00:00,-600,3.33,-14.0,19.05,48.5,19.05,82.1,31.3,17.3
UConn,2021-11-13 12:00:00,,,41.0,18.18,52.0,19.05,,5.5,46.5
Clemson,2021-11-13 12:00:00,,,-41.0,18.18,52.0,17.39,,46.5,5.5
New Mexico State,2021-11-13 12:00:00,,,51.5,17.39,67.0,18.18,,7.8,59.3
Alabama,2021-11-13 12:00:00,,,-51.5,19.05,67.0,18.18,,59.3,7.8
Mississippi State,2021-11-13 12:00:00,175,35.00,5.5,18.18,50.0,17.39,34.9,22.3,27.8
Auburn,2021-11-13 12:00:00,-210,9.52,-5.5,18.18,50.0,19.05,65.1,27.8,22.3
Syracuse,2021-11-13 12:00:00,135,27.00,3.0,18.18,55.5,18.18,41.2,26.3,29.3
Louisville,2021-11-13 12:00:00,-155,12.90,-3.0,18.18,55.5,18.18,58.8,29.3,26.3
West Virginia,2021-11-13 12:00:00,190,38.00,6.0,19.05,47.0,18.18,33.0,20.5,26.5
Kansas State,2021-11-13 12:00:00,-235,8.51,-6.0,17.39,47.0,18.18,67.0,26.5,20.5
East Carolina,2021-11-13 12:00:00,170,34.00,4.5,18.18,59.0,18.18,35.7,27.3,31.8
Memphis,2021-11-13 12:00:00,-200,10.00,-4.5,18.18,59.0,18.18,64.3,31.8,27.3
Oklahoma,2021-11-13 12:00:00,-235,8.51,-5.5,16.67,62.0,18.18,67.0,33.8,28.3
Baylor,2021-11-13 12:00:00,190,38.00,5.5,20.00,62.0,18.18,33.0,28.3,33.8
Central Florida,2021-11-13 12:00:00,225,45.00,7.0,18.18,61.5,18.18,29.5,27.3,34.3
SMU,2021-11-13 12:00:00,-280,7.14,-7.0,18.18,61.5,18.18,70.5,34.3,27.3
Houston,2021-11-13 12:00:00,-3000,0.67,-24.5,18.18,53.5,18.18,93.1,39.0,14.5
Temple,2021-11-13 12:00:00,1300,260.00,24.5,18.18,53.5,18.18,6.9,14.5,39.0
Rutgers,2021-11-13 12:00:00,205,41.00,7.0,17.39,42.5,20.00,31.3,17.8,24.8
Indiana,2021-11-13 12:00:00,-255,7.84,-7.0,19.05,42.5,16.67,68.7,24.8,17.8
Michigan,2021-11-13 12:00:00,-125,16.00,-1.0,17.39,48.5,18.18,53.2,24.8,23.8
Penn State,2021-11-13 12:00:00,105,21.00,1.0,19.05,48.5,18.18,46.8,23.8,24.8
Northwestern,2021-11-13 12:00:00,,,,,,,,,
Wisconsin,2021-11-13 12:00:00,,,,,,,,,
Georgia State,2021-11-13 14:00:00,320,64.00,10.5,18.18,52.0,19.05,22.7,20.8,31.3
Coastal Carolina,2021-11-13 14:00:00,-425,4.71,-10.5,18.18,52.0,17.39,77.3,31.3,20.8
Western Kentucky,2021-11-13 14:00:00,-1000,2.00,-18.0,18.18,61.5,18.18,87.2,39.8,21.8
Rice,2021-11-13 14:00:00,650,130.00,18.0,18.18,61.5,18.18,12.8,21.8,39.8
Utah,2021-11-13 14:00:00,-2500,0.80,-24.0,18.18,55.0,19.05,92.6,39.5,15.5
Arizona,2021-11-13 14:00:00,1200,240.00,24.0,18.18,55.0,17.39,7.4,15.5,39.5
South Alabama,2021-11-13 14:30:00,950,190.00,22.5,17.39,52.0,18.18,9.1,14.8,37.3
Appalachian State,2021-11-13 14:30:00,-1750,1.14,-22.5,19.05,52.0,18.18,90.9,37.3,14.8
Georgia Southern,2021-11-13 15:00:00,105,21.00,2.0,18.18,53.5,18.18,46.8,25.8,27.8
Texas State,2021-11-13 15:00:00,-125,16.00,-2.0,18.18,53.5,18.18,53.2,27.8,25.8
Georgia,2021-11-13 15:30:00,-1250,1.60,-20.0,18.18,56.0,19.05,88.7,38.0,18.0
Tennessee,2021-11-13 15:30:00,750,150.00,20.0,18.18,56.0,17.39,11.3,18.0,38.0
UNC Charlotte,2021-11-13 15:30:00,220,44.00,7.0,18.18,57.0,18.18,29.9,25.0,32.0
Louisiana Tech,2021-11-13 15:30:00,-275,7.27,-7.0,18.18,57.0,18.18,70.1,32.0,25.0
Miami,2021-11-13 15:30:00,-130,15.38,-2.5,18.18,61.0,18.18,54.3,31.8,29.3
Florida State,2021-11-13 15:30:00,110,22.00,2.5,18.18,61.0,18.18,45.7,29.3,31.8
Louisiana-Lafayette,2021-11-13 15:30:00,,,,,48.0,18.18,,,
Troy,2021-11-13 15:30:00,200,40.00,6.5,18.18,48.0,18.18,,,
UAB,2021-11-13 15:30:00,170,34.00,4.5,18.18,55.5,18.18,35.7,25.5,30.0
Marshall,2021-11-13 15:30:00,-200,10.00,-4.5,18.18,55.5,18.18,64.3,30.0,25.5
Boston College,2021-11-13 15:30:00,100,20.00,2.0,17.39,54.0,16.67,47.8,26.0,28.0
Georgia Tech,2021-11-13 15:30:00,-120,16.67,-2.0,19.05,54.0,20.00,52.2,28.0,26.0
Florida International,2021-11-13 15:30:00,310,62.00,10.0,19.05,55.0,18.18,23.3,22.5,32.5
Middle Tenn. St,2021-11-13 15:30:00,-410,4.88,-10.0,17.39,55.0,18.18,76.7,32.5,22.5
Florida Atlantic,2021-11-13 15:30:00,-260,7.69,-7.0,19.05,48.0,17.39,69.1,27.5,20.5
Old Dominion,2021-11-13 15:30:00,210,42.00,7.0,17.39,48.0,19.05,30.9,20.5,27.5
Southern Miss,2021-11-13 15:30:00,,,32.5,19.05,54.5,18.18,,11.0,43.5
UTSA,2021-11-13 15:30:00,,,-32.5,17.39,54.5,18.18,,43.5,11.0
Iowa State,2021-11-13 15:30:00,-425,4.71,-10.5,19.05,57.5,17.39,77.3,34.0,23.5
Texas Tech,2021-11-13 15:30:00,320,64.00,10.5,17.39,57.5,19.05,22.7,23.5,34.0
Duke,2021-11-13 15:30:00,340,68.00,11.5,16.67,51.0,17.39,21.7,19.8,31.3
Virginia Tech,2021-11-13 15:30:00,-450,4.44,-11.5,20.00,51.0,19.05,78.3,31.3,19.8
Minnesota,2021-11-13 15:30:00,170,34.00,4.5,18.18,37.5,18.18,35.7,16.5,21.0
Iowa,2021-11-13 15:30:00,-200,10.00,-4.5,18.18,37.5,18.18,64.3,21.0,16.5
Purdue,2021-11-13 15:30:00,750,150.00,21.0,17.39,63.0,19.05,11.3,21.0,42.0
Ohio State,2021-11-13 15:30:00,-1250,1.60,-21.0,19.05,63.0,17.39,88.7,42.0,21.0
South Carolina,2021-11-13 16:00:00,-120,16.67,-1.5,18.18,55.0,18.18,52.2,28.3,26.8
Missouri,2021-11-13 16:00:00,100,20.00,1.5,18.18,55.0,18.18,47.8,26.8,28.3
UTEP,2021-11-13 16:00:00,-115,17.39,-1.0,18.18,55.0,19.05,51.1,28.0,27.0
North Texas,2021-11-13 16:00:00,-105,19.05,1.0,18.18,55.0,17.39,48.9,27.0,28.0
Tulsa,2021-11-13 16:00:00,-150,13.33,-3.0,18.18,55.0,18.18,58.0,29.0,26.0
Tulane,2021-11-13 16:00:00,130,26.00,3.0,18.18,55.0,18.18,42.0,26.0,29.0
Maryland,2021-11-13 16:00:00,375,75.00,12.0,18.18,60.5,17.39,20.1,24.3,36.3
Michigan State,2021-11-13 16:00:00,-510,3.92,-12.0,18.18,60.5,19.05,79.9,36.3,24.3
Hawaii,2021-11-13 16:00:00,-155,12.90,-3.5,19.05,56.0,18.18,58.8,29.8,26.3
UNLV,2021-11-13 16:00:00,135,27.00,3.5,17.39,56.0,18.18,41.2,26.3,29.8
Arkansas State,2021-11-13 17:00:00,125,25.00,3.0,18.18,66.5,19.05,42.9,31.8,34.8
Louisiana-Monroe,2021-11-13 17:00:00,-145,13.79,-3.0,18.18,66.5,17.39,57.1,34.8,31.8
Stanford,2021-11-13 17:30:00,350,70.00,12.0,18.18,55.5,18.18,21.2,21.8,33.8
Oregon State,2021-11-13 17:30:00,-475,4.21,-12.0,18.18,55.5,18.18,78.8,33.8,21.8
Arizona State,2021-11-13 19:00:00,-225,8.89,-5.5,17.39,45.5,18.18,66.4,25.5,20.0
Washington,2021-11-13 19:00:00,185,37.00,5.5,19.05,45.5,18.18,33.6,20.0,25.5
