"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2022-09-11T20:25:00Z","ARZ","24","13","1.52","30","47","-7","-30","KC","33","13","1.45","24","29"
"2022-09-11T17:00:00Z","ATL","29","14","1.24","13","31","-17","-37","NO","33","16","0.98","15","27"
"2022-09-11T17:00:00Z","BLT","24","13","1.39","22","45","12","14","NYJ","31","13","1.32","42","40"
"2022-09-09T00:20:00Z","BUF","23","8","1.5","20","50","-48","-40","LA","30","17","1.09","31","48"
"2022-09-11T17:00:00Z","CAR","25","13","1.33","21","43","-22","-18","CLV","31","17","1.31","13","46"
"2022-09-11T17:00:00Z","CHI","28","14","1.31","25","40","-36","-16","SF","35","18","1.08","22","45"
"2022-09-11T17:00:00Z","CIN","24","17","1.27","21","33","-17","20","PIT","31","23","1.54","20","35"
"2022-09-11T17:00:00Z","CLV","24","17","1.38","21","52","3","49","CAR","29","20","1.11","16","44"
"2022-09-12T00:20:00Z","DAL","24","8","1.34","22","41","-6","5","TB","34","15","1.18","21","29"
"2022-09-13T00:15:00Z","DEN","25","17","1.26","24","33","28","-33","SEA","30","15","1.15","34","32"
"2022-09-11T17:00:00Z","DET","28","10","1.45","14","36","-19","17","PHI","31","12","1.14","26","46"
"2022-09-11T20:25:00Z","GB","23","12","1.3","22","45","18","-28","MIN","29","16","1.42","15","67"
"2022-09-11T17:00:00Z","HST","24","14","1.01","14","29","-18","-33","IND","29","15","1.67","18","39"
"2022-09-11T17:00:00Z","IND","26","11","1.52","36","39","-13","20","HST","31","13","1.63","28","50"
"2022-09-11T17:00:00Z","JAX","26","12","1.47","21","48","3","-15","WAS","30","14","1.33","19","42"
"2022-09-11T20:25:00Z","KC","24","10","1.63","24","46","10","37","ARZ","30","15","1.29","19","32"
"2022-09-09T00:20:00Z","LA","25","21","1.4","17","53","-7","-6","BUF","32","13","1.34","16","69"
"2022-09-11T20:25:00Z","LAC","20","13","1.34","27","37","-11","13","LV","34","13","1.18","20","40"
"2022-09-11T20:25:00Z","LV","23","12","1.17","21","52","-5","2","LAC","33","14","1.93","36","31"
"2022-09-11T17:00:00Z","MIA","29","10","1.15","22","36","13","-15","NE","30","15","1.24","19","26"
"2022-09-11T20:25:00Z","MIN","24","8","1.24","22","23","-22","-7","GB","35","11","1.57","19","37"
"2022-09-11T17:00:00Z","NE","22","16","1.54","27","56","16","22","MIA","31","16","1.39","20","40"
"2022-09-11T17:00:00Z","NO","28","10","1.12","17","24","19","-12","ATL","26","9","1.39","19","58"
"2022-09-11T20:25:00Z","NYG","28","15","1.5","13","31","4","-8","TEN","31","20","1.27","23","39"
"2022-09-11T17:00:00Z","NYJ","23","10","1.17","28","32","-5","-9","BLT","31","12","1.26","23","43"
"2022-09-11T17:00:00Z","PHI","22","8","1.74","41","41","31","62","DET","30","17","1.11","23","48"
"2022-09-11T17:00:00Z","PIT","26","18","1.22","17","41","1","-4","CIN","33","17","1.31","19","53"
"2022-09-13T00:15:00Z","SEA","26","14","1.44","19","42","-11","-29","DEN","29","15","1.12","13","46"
"2022-09-11T17:00:00Z","SF","24","15","1.28","19","63","7","24","CHI","29","24","1.32","22","45"
"2022-09-12T00:20:00Z","TB","20","10","1.4","26","42","38","9","DAL","29","12","1.49","22","50"
"2022-09-11T20:25:00Z","TEN","26","19","1.32","23","48","7","15","NYG","28","15","1.4","23","35"
"2022-09-11T17:00:00Z","WAS","24","16","1.4","25","36","25","23","JAX","34","14","1.3","34","38"
