player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.81
"Rahm, Jon",PGA TOUR,2,0,2,0,2.461
"McIlroy, Rory",PGA TOUR,3,1,3,0,2.319
"Schauffele, Xander",PGA TOUR,4,-1,6,0,2.242
"Cantlay, Patrick",PGA TOUR,5,0,4,0,2.151
"Hovland, Viktor",PGA TOUR,6,1,5,0,1.874
"Hatton, Tyrrell",PGA TOUR,7,-1,15,-1,1.842
"Clark, Wyndham",PGA TOUR,8,4,13,19,1.709
"Smith, Cameron",LIV Tour,9,1,7,2,1.694
"Morikawa, Collin",PGA TOUR,10,-1,19,-1,1.613
"Finau, Tony",PGA TOUR,11,-3,14,-2,1.613
"Fowler, Rickie",PGA TOUR,12,1,35,10,1.582
"Fleetwood, Tommy",PGA TOUR,13,3,20,1,1.571
"Fitzpatrick, Matthew",PGA TOUR,14,0,8,0,1.48
"Koepka, Brooks",LIV Tour,15,5,12,1,1.433
"Henley, Russell",PGA TOUR,16,5,30,0,1.412
"Spieth, Jordan",PGA TOUR,17,-6,10,0,1.395
"McCarthy, Denny",PGA TOUR,18,4,33,1,1.321
"Rose, Justin",PGA TOUR,19,-4,29,-4,1.321
"Homa, Max",PGA TOUR,20,-3,9,-2,1.317
"Johnson, Dustin",LIV Tour,21,6,70,20,1.302
"Im, Sungjae",PGA TOUR,22,-4,21,-2,1.248
"Matsuyama, Hideki",PGA TOUR,23,1,27,-1,1.242
"Day, Jason",PGA TOUR,24,-5,24,-1,1.16
"Pereira, Mito",LIV Tour,25,0,58,-2,1.144
"Kim, Si Woo",PGA TOUR,26,2,32,-1,1.123
"Burns, Sam",PGA TOUR,27,2,16,-1,1.122
"Zalatoris, Will",PGA TOUR,28,2,11,0,1.069
"Young, Cameron",PGA TOUR,29,4,17,0,1.041
"Bradley, Keegan",PGA TOUR,30,-4,28,-4,1.038
"Scott, Adam",PGA TOUR,31,0,39,-2,1.001
"Conners, Corey",PGA TOUR,32,0,31,-2,1.001
"Kim, Tom",PGA TOUR,33,13,22,0,0.984
"Lowry, Shane",PGA TOUR,34,5,26,1,0.963
"Niemann, Joaquin",LIV Tour,35,2,37,-1,0.961
"Theegala, Sahith",PGA TOUR,36,2,25,3,0.95
"Thomas, Justin",PGA TOUR,37,-14,18,-2,0.945
"Varner III, Harold",LIV Tour,38,-4,72,-3,0.927
"Reed, Patrick",LIV Tour,39,-4,47,0,0.881
"Putnam, Andrew",PGA TOUR,40,2,61,2,0.849
"Taylor, Nick",PGA TOUR,41,-5,45,-1,0.843
"Cole, Eric",PGA TOUR,42,2,81,3,0.842
"Gooch, Talor",LIV Tour,43,-2,83,-3,0.838
"Howell III, Charles",LIV Tour,44,-1,411,-12,0.83
"Rodgers, Patrick",PGA TOUR,45,7,92,0,0.776
"English, Harris",PGA TOUR,46,26,34,8,0.774
"Woodland, Gary",PGA TOUR,47,-2,73,-1,0.764
"Kuchar, Matt",PGA TOUR,48,-8,53,-2,0.758
"Stricker, Steve",PGA TOUR Champions,49,-1,9999,0,0.738
"Lee, Min Woo",PGA TOUR,50,36,49,16,0.738
"Fox, Ryan",DP World Tour,51,-1,43,-2,0.734
"Moore, Taylor",PGA TOUR,52,-1,51,-1,0.718
"Kirk, Chris",PGA TOUR,53,-4,42,-4,0.702
"DeChambeau, Bryson",LIV Tour,54,15,89,12,0.685
"Jaeger, Stephan",PGA TOUR,55,0,118,1,0.679
"Hubbard, Mark",PGA TOUR,56,0,91,-4,0.671
"Schenk, Adam",PGA TOUR,57,-3,52,2,0.661
"Grillo, Emiliano",PGA TOUR,58,-5,44,-1,0.651
"Meronk, Adrian",DP World Tour,59,-2,50,-1,0.638
"Harman, Brian",PGA TOUR,60,3,40,0,0.622
"An, Byeong Hun",PGA TOUR,61,-2,127,0,0.621
"Bezuidenhout, Christiaan",PGA TOUR,62,-2,80,-2,0.617
"Grace, Branden",LIV Tour,63,-2,352,-7,0.616
"Hadwin, Adam",PGA TOUR,64,-17,71,-1,0.614
"Garcia, Sergio",LIV Tour,65,13,197,50,0.611
"Rai, Aaron",PGA TOUR,66,-4,97,-3,0.61
"Spaun, J.J.",PGA TOUR,67,-3,78,-1,0.561
"Noren, Alex",PGA TOUR,68,-2,67,-3,0.541
"Eckroat, Austin",PGA TOUR,69,39,85,28,0.54
"Bjork, Alexander",DP World Tour,70,-2,105,3,0.538
"Power, Seamus",PGA TOUR,71,-4,46,0,0.528
"Lee, Kyounghoon",PGA TOUR,72,-14,48,0,0.526
"Detry, Thomas",PGA TOUR,73,-3,87,-2,0.524
"Poston, J.T.",PGA TOUR,74,-9,60,-2,0.52
"Todd, Brendon",PGA TOUR,75,-2,76,-1,0.516
"Bramlett, Joseph",PGA TOUR,76,-2,151,2,0.512
"Hossler, Beau",PGA TOUR,77,-2,122,-1,0.511
"Smith, Jordan",DP World Tour,78,21,90,7,0.509
"Steele, Brendan",PGA TOUR,79,-3,148,-2,0.488
"Suh, Justin",PGA TOUR,80,18,69,2,0.486
"Burmester, Dean",LIV Tour,81,-4,93,-5,0.481
"Wu, Brandon",PGA TOUR,82,-3,79,0,0.474
"Mitchell, Keith",PGA TOUR,83,21,57,2,0.474
"Aberg, Ludvig",Amateur Events,84,-3,9999,0,0.457
"Montgomery, Taylor",PGA TOUR,85,-14,66,0,0.456
"Kokrak, Jason",LIV Tour,86,-4,150,-3,0.456
"Tringale, Cameron",LIV Tour,87,-3,133,-4,0.447
"Stevens, Samuel",PGA TOUR,88,6,116,10,0.445
"Casey, Paul",LIV Tour,89,-4,170,-6,0.441
"Lahiri, Anirban",LIV Tour,90,-3,115,-1,0.437
"Hodges, Lee",PGA TOUR,91,-2,111,1,0.421
"Straka, Sepp",PGA TOUR,92,-4,36,-3,0.417
"Pieters, Thomas",DP World Tour,93,-3,62,-1,0.416
"Kitayama, Kurt",PGA TOUR,94,-11,23,-3,0.416
"Harrington, Padraig",PGA TOUR Champions,95,15,180,46,0.414
"Uihlein, Peter",LIV Tour,96,-5,9999,0,0.411
"Oosthuizen, Louis",LIV Tour,97,-5,303,-18,0.401
"Munoz, Sebastian",PGA TOUR,98,5,121,2,0.39
"Smalley, Alex",PGA TOUR,99,-4,95,-4,0.371
"Sargent, Gordon",Amateur Events,100,12,9999,0,0.348
"Lashley, Nate",PGA TOUR,101,0,172,-2,0.346
"Herbert, Lucas",PGA TOUR,102,-6,59,-4,0.34
"Hoge, Tom",PGA TOUR,103,-1,38,-3,0.336
"Griffin, Ben",PGA TOUR,104,1,100,-2,0.304
"NeSmith, Matthew",PGA TOUR,105,1,101,-1,0.299
"Streelman, Kevin",PGA TOUR,106,7,138,4,0.289
"Davis, Cameron",PGA TOUR,107,-27,55,-2,0.289
"Kanaya, Takumi",Other Tours,108,-1,114,1,0.288
"Na, Kevin",LIV Tour,109,0,168,-11,0.279
"Svensson, Adam",PGA TOUR,110,-17,63,4,0.268
"Hughes, Mackenzie",PGA TOUR,111,5,68,0,0.268
"Gordon, Will",PGA TOUR,112,-1,130,0,0.244
"Hall, Harry",PGA TOUR,113,2,126,2,0.227
"Wu, Dylan",PGA TOUR,114,17,251,37,0.219
"Kim, Seonghyeon",PGA TOUR,115,3,137,0,0.197
"Perez, Victor",DP World Tour,116,-16,64,-4,0.193
"Vegas, Jhonattan",PGA TOUR,117,2,202,-8,0.193
"Buckley, Hayden",PGA TOUR,118,-21,77,-1,0.19
"Hardy, Nick",PGA TOUR,119,29,155,30,0.19
"Watson, Bubba",LIV Tour,120,0,320,-5,0.187
"Dumont de Chassart, Adrien",Amateur Events,121,12,349,130,0.174
"Hojgaard, Nicolai",DP World Tour,122,-1,125,0,0.173
"Ryder, Sam",PGA TOUR,123,-1,117,1,0.156
"Kim, Michael",PGA TOUR,124,-10,134,-1,0.153
"Horschel, Billy",PGA TOUR,125,15,41,-2,0.15
"Langasque, Romain",DP World Tour,126,4,139,6,0.147
"Stenson, Henrik",LIV Tour,127,-4,240,-7,0.145
"Palmer, Ryan",PGA TOUR,128,-4,178,-1,0.143
"Perez, Pat",LIV Tour,129,-4,345,-5,0.14
"Pan, C.T.",PGA TOUR,130,-4,129,3,0.125
"Martin, Ben",PGA TOUR,131,-4,192,5,0.125
"Paul, Yannik",DP World Tour,132,-4,99,-4,0.119
"Hojgaard, Rasmus",DP World Tour,133,-4,113,-2,0.118
"Ortiz, Carlos",LIV Tour,134,-17,401,-12,0.117
"Ancer, Abraham",LIV Tour,135,6,56,1,0.113
"Nakajima, Keita",Other Tours,136,19,156,28,0.092
"Reavie, Chez",PGA TOUR,137,-3,108,-1,0.089
"Leishman, Marc",LIV Tour,138,-3,161,-10,0.087
"McNealy, Maverick",PGA TOUR,139,-3,103,-4,0.083
"Tosti, Alejandro",Korn Ferry Tour,140,10,198,31,0.076
"Riley, Davis",PGA TOUR,141,-4,82,-1,0.074
"Ghim, Doug",PGA TOUR,142,-4,236,-6,0.065
"Willett, Danny",PGA TOUR,143,-4,112,-3,0.06
"List, Luke",PGA TOUR,144,-12,119,-3,0.055
"Norrman, Vincent",PGA TOUR,145,0,311,2,0.045
"Rozner, Antoine",DP World Tour,146,-3,136,0,0.031
"Olesen, Thorbjorn",DP World Tour,147,-3,88,-2,0.03
"Otaegui, Adrian",DP World Tour,148,-2,86,-4,0.013
"Shelton, Robby",PGA TOUR,149,-2,123,-1,0.005
"Kohles, Ben",Korn Ferry Tour,150,-1,188,3,-0.001
"Novak, Andrew",PGA TOUR,151,0,253,-3,-0.006
"Thompson, Michael",PGA TOUR,152,2,241,-2,-0.016
"Stallings, Scott",PGA TOUR,153,0,75,-1,-0.023
"Lipsky, David",PGA TOUR,154,2,140,0,-0.034
"Piercy, Scott",PGA TOUR,155,2,259,-3,-0.036
"Kizzire, Patton",PGA TOUR,156,2,203,-4,-0.036
"Walker, Jimmy",PGA TOUR,157,2,238,2,-0.038
"Macintyre, Robert",DP World Tour,158,2,106,-2,-0.039
"Wallace, Matt",PGA TOUR,159,2,120,0,-0.051
"Bland, Richard",LIV Tour,160,2,153,-3,-0.056
"Vincent, Scott",LIV Tour,161,3,143,-5,-0.062
"James, Benjamin",Amateur Events,162,3,9999,0,-0.077
"Baddeley, Aaron",PGA TOUR,163,3,288,9,-0.079
"Pendrith, Taylor",PGA TOUR,164,-1,124,-7,-0.086
"Wolff, Matthew",LIV Tour,165,2,305,-13,-0.09
"Poulter, Ian",LIV Tour,166,2,270,-10,-0.091
"Wise, Aaron",PGA TOUR,167,-25,65,-4,-0.095
"Bhatia, Akshay",PGA TOUR,168,1,193,-3,-0.099
"Campillo, Jorge",DP World Tour,169,2,131,0,-0.112
"Yu, Kevin",PGA TOUR,170,0,199,2,-0.112
"Thompson, Davis",PGA TOUR,171,10,94,-5,-0.119
"Lopez-Chacarra, Eugenio",LIV Tour,172,0,9999,0,-0.121
"Johnston, Andrew",DP World Tour,173,0,9999,0,-0.126
"Lee, Danny",PGA TOUR,174,0,291,-1,-0.135
"Higgo, Garrick",PGA TOUR,175,1,183,-2,-0.147
"Sigg, Greyson",PGA TOUR,176,1,260,-4,-0.148
"Luiten, Joost",DP World Tour,177,1,232,5,-0.15
"Lindheim, Nicholas",Korn Ferry Tour,178,1,9999,0,-0.152
"Cink, Stewart",PGA TOUR,179,-4,286,-10,-0.156
"Hoffman, Charley",PGA TOUR,180,14,358,30,-0.163
"Siem, Marcel",DP World Tour,181,1,219,-6,-0.176
"Simpson, Webb",PGA TOUR,182,1,180,-6,-0.187
"Dahmen, Joel",PGA TOUR,183,-31,128,-4,-0.188
"Skinns, David",Korn Ferry Tour,184,0,208,6,-0.19
"Kieffer, Maximilian",DP World Tour,185,0,165,0,-0.207
"Lower, Justin",PGA TOUR,186,0,221,-2,-0.212
"Gotterup, Chris",Korn Ferry Tour,187,3,316,9,-0.22
"Donald, Luke",PGA TOUR,188,1,403,1,-0.247
"Molinari, Francesco",PGA TOUR,189,-1,147,-4,-0.252
"Cockerill, Aaron",DP World Tour,190,2,209,6,-0.283
"Smotherman, Austin",PGA TOUR,191,2,263,0,-0.285
"Larrazabal, Pablo",DP World Tour,192,-5,54,-2,-0.287
"Young, Carson",PGA TOUR,193,-13,266,0,-0.288
"Ramsay, Richie",DP World Tour,194,1,166,1,-0.289
"Southgate, Matthew",DP World Tour,195,1,299,1,-0.292
"McCarty, Matt",Korn Ferry Tour,196,1,407,-7,-0.293
"Mullinax, Trey",PGA TOUR,197,1,98,-5,-0.297
"Alker, Steven",PGA TOUR Champions,198,1,9999,0,-0.298
"Taylor, Ben",PGA TOUR,199,1,107,-1,-0.3
"Kim, Chan",Korn Ferry Tour,200,7,235,-1,-0.305
"Jamieson, Scott",DP World Tour,201,0,276,-2,-0.313
"Ferguson, Ewen",DP World Tour,202,0,142,-1,-0.315
"Horsfield, Sam",DP World Tour,203,0,215,-8,-0.317
"Hoshino, Rikuya",Other Tours,204,0,135,-1,-0.319
"Highsmith, Joe",Korn Ferry Tour,205,1,443,-2,-0.324
"Schwartzel, Charl",LIV Tour,206,2,281,-4,-0.335
"Bridgeman, Jacob",Korn Ferry Tour,207,2,409,-4,-0.337
"Hadley, Chesson",PGA TOUR,208,2,290,1,-0.34
"Daffue, MJ",PGA TOUR,209,2,171,-3,-0.342
"Knapp, Jake",Korn Ferry Tour,210,31,297,29,-0.349
"Fishburn, Patrick",Korn Ferry Tour,211,25,403,21,-0.352
"Moller, Niklas Norgaard",DP World Tour,212,0,350,-3,-0.352
"Long, Adam",PGA TOUR,213,0,250,-1,-0.353
"Jones, Matt",LIV Tour,214,0,200,-8,-0.353
"Schneider, Marcel",DP World Tour,215,0,194,-6,-0.353
"Gutschewski, Scott",Korn Ferry Tour,216,-11,306,1,-0.358
"Ford, David",Amateur Events,217,0,9999,0,-0.36
"Pavon, Matthieu",DP World Tour,218,-27,177,-4,-0.368
"Glover, Lucas",PGA TOUR,219,1,154,-2,-0.369
"Korhonen, Mikko",DP World Tour,220,1,354,-2,-0.373
"Tway, Kevin",PGA TOUR,221,1,314,0,-0.375
"Griffin, Lanto",PGA TOUR,222,1,210,-5,-0.381
"Yuan, Yechun",PGA TOUR,223,1,145,2,-0.383
"Laird, Martin",PGA TOUR,224,1,243,5,-0.39
"Hahn, James",PGA TOUR,225,2,309,7,-0.392
"Wiesberger, Bernd",LIV Tour,226,0,265,-7,-0.392
"Redman, Doc",PGA TOUR,227,1,437,-5,-0.392
"Guerrier, Julien",DP World Tour,228,1,195,0,-0.393
"Malnati, Peter",PGA TOUR,229,1,217,-5,-0.396
"Thorbjornsen, Michael",Amateur Events,230,-11,498,-8,-0.399
"Westwood, Lee",LIV Tour,231,0,359,-3,-0.401
"Semikawa, Taiga",Other Tours,232,-16,163,0,-0.404
"Hickok, Kramer",PGA TOUR,233,-1,302,0,-0.408
"Johnson, Zach",PGA TOUR,234,-1,258,-4,-0.41
"Zanotti, Fabrizio",DP World Tour,235,-1,261,-6,-0.416
"Ramey, Chad",PGA TOUR,236,-1,205,-3,-0.416
"Canter, Laurie",LIV Tour,237,0,283,-5,-0.423
"Barnes, Erik",PGA TOUR,238,0,335,4,-0.434
"Byrd, Jonathan",PGA TOUR,239,0,481,-9,-0.438
"Whaley, Vince",PGA TOUR,240,0,405,-4,-0.438
"Nunez, Augusto",PGA TOUR,241,1,294,1,-0.442
"Silverman, Ben",Korn Ferry Tour,242,1,226,-1,-0.443
"Tarren, Callum",PGA TOUR,243,1,159,0,-0.446
"Law, David",DP World Tour,244,1,280,3,-0.449
"Moore, Ryan",PGA TOUR,245,1,387,-4,-0.453
"Tuten, Shad",Korn Ferry Tour,246,2,366,4,-0.456
