tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,Travelers Championship,34,"Fowler, Rickie",12965,T13,1,TPC River Highlands,503,70,1,12:30pm,70,0.262,-0.247,-0.511,-0.24,-0.997,-0.735,285.4,0.714,0.667,0.6,101.942,23.155,3,8
pga,2023,2023,Travelers Championship,34,"Fowler, Rickie",12965,T13,2,TPC River Highlands,503,70,10,7:15am,65,1.133,-0.341,1.344,1.059,2.063,3.196,290.4,0.786,0.889,0.75,100.019,24.445,7,2
pga,2023,2023,Travelers Championship,34,"Fowler, Rickie",12965,T13,3,TPC River Highlands,503,70,10,11:10am,60,3.878,2.279,1.253,0.411,3.943,7.821,279.0,0.714,0.778,1.0,33.99,23.883,7,1
pga,2023,2023,Travelers Championship,34,"Fowler, Rickie",12965,T13,4,TPC River Highlands,503,70,1,1:45pm,69,-0.758,0.3,0.318,-1.412,-0.794,-1.552,283.2,0.5,0.722,0.667,24.724,32.42,1,2
pga,2023,2023,Travelers Championship,34,"Matsuyama, Hideki",13562,T13,1,TPC River Highlands,503,70,10,7:55am,69,-0.616,-0.693,0.691,0.882,0.881,0.265,283.3,0.714,0.778,0.6,52.073,30.516,3,1
pga,2023,2023,Travelers Championship,34,"Matsuyama, Hideki",13562,T13,2,TPC River Highlands,503,70,1,1:10pm,64,0.981,0.31,2.949,-0.045,3.215,4.196,280.4,0.643,0.944,0.667,76.587,21.747,4,0
pga,2023,2023,Travelers Championship,34,"Matsuyama, Hideki",13562,T13,3,TPC River Highlands,503,70,1,11:21am,65,-0.848,0.464,2.02,1.185,3.669,2.821,284.6,0.857,0.833,0.75,67.098,20.055,4,1
pga,2023,2023,Travelers Championship,34,"Matsuyama, Hideki",13562,T13,4,TPC River Highlands,503,70,1,12:40pm,66,1.431,-0.395,-0.052,0.464,0.017,1.448,297.9,0.571,0.778,0.667,23.837,22.919,1,2
pga,2023,2023,Travelers Championship,34,"Grillo, Emiliano",12808,T15,1,TPC River Highlands,503,70,10,7:25am,67,0.331,-0.416,0.357,1.992,1.934,2.265,295.7,0.714,0.778,0.833,86.508,29.738,8,2
pga,2023,2023,Travelers Championship,34,"Grillo, Emiliano",12808,T15,2,TPC River Highlands,503,70,1,12:40pm,65,0.454,-0.657,2.913,0.485,2.742,3.196,281.9,0.786,0.833,0.5,44.432,17.506,4,1
pga,2023,2023,Travelers Championship,34,"Grillo, Emiliano",12808,T15,3,TPC River Highlands,503,70,1,11:54am,69,0.823,0.325,-0.718,-1.609,-2.002,-1.179,279.3,0.5,0.611,0.625,45.49,24.652,2,3
pga,2023,2023,Travelers Championship,34,"Grillo, Emiliano",12808,T15,4,TPC River Highlands,503,70,1,11:25am,64,1.156,-0.564,2.862,-0.006,2.292,3.448,294.8,0.643,0.833,0.6,34.718,16.424,6,1
pga,2023,2023,Travelers Championship,34,"Herbert, Lucas",17064,T15,1,TPC River Highlands,503,70,10,1:00pm,67,3.424,0.061,1.895,-3.116,-1.159,2.265,298.5,0.429,0.611,0.667,38.953,21.78,5,4
pga,2023,2023,Travelers Championship,34,"Herbert, Lucas",17064,T15,2,TPC River Highlands,503,70,1,7:45am,64,1.462,-0.391,1.649,1.475,2.734,4.196,293.3,0.786,0.833,0.75,39.797,20.839,7,5
pga,2023,2023,Travelers Championship,34,"Herbert, Lucas",17064,T15,3,TPC River Highlands,503,70,1,12:38pm,66,0.706,0.22,-0.218,1.113,1.115,1.821,297.7,0.786,0.722,0.556,73.078,32.763,4,4
pga,2023,2023,Travelers Championship,34,"Herbert, Lucas",17064,T15,4,TPC River Highlands,503,70,1,12:50pm,68,1.112,-0.61,-0.522,-0.532,-1.664,-0.552,300.4,0.643,0.667,0.667,22.834,31.035,1,3
pga,2023,2023,Travelers Championship,34,"Young, Carson",23656,T15,1,TPC River Highlands,503,70,10,12:00pm,69,0.08,-0.92,0.606,0.498,0.185,0.265,283.6,0.571,0.722,0.333,57.959,34.944,6,5
pga,2023,2023,Travelers Championship,34,"Young, Carson",23656,T15,2,TPC River Highlands,503,70,1,6:45am,66,0.437,1.594,0.438,-0.274,1.759,2.196,285.5,0.357,0.889,0.5,77.811,19.316,5,2
pga,2023,2023,Travelers Championship,34,"Young, Carson",23656,T15,3,TPC River Highlands,503,70,10,11:10am,65,2.296,1.043,-0.062,-0.456,0.525,2.821,273.2,0.643,0.667,0.714,68.156,32.305,5,1
pga,2023,2023,Travelers Championship,34,"Young, Carson",23656,T15,4,TPC River Highlands,503,70,1,12:00pm,65,0.313,1.124,2.885,-1.874,2.135,2.448,287.4,0.643,0.889,0.5,7.469,20.581,5,3
pga,2023,2023,Travelers Championship,34,"Ghim, Doug",24550,T15,1,TPC River Highlands,503,70,1,1:30pm,69,-0.582,0.602,-1.182,1.426,0.847,0.265,298.2,0.786,0.833,0.5,29.09,27.769,3,2
pga,2023,2023,Travelers Championship,34,"Ghim, Doug",24550,T15,2,TPC River Highlands,503,70,10,8:15am,64,0.546,1.117,1.249,1.283,3.65,4.196,289.5,0.857,0.889,1.0,59.072,24.685,2,1
pga,2023,2023,Travelers Championship,34,"Ghim, Doug",24550,T15,3,TPC River Highlands,503,70,1,11:32am,67,-0.858,0.329,0.459,0.891,1.679,0.821,283.4,0.786,0.778,0.75,4.713,28.774,4,3
pga,2023,2023,Travelers Championship,34,"Ghim, Doug",24550,T15,4,TPC River Highlands,503,70,1,12:00pm,65,1.206,-0.413,0.009,1.646,1.242,2.448,299.5,0.857,0.778,0.857,32.342,24.529,5,2
pga,2023,2023,Travelers Championship,34,"Scott, Adam",6430,T19,1,TPC River Highlands,503,70,1,1:20pm,62,3.612,0.204,1.032,2.416,3.653,7.265,304.2,0.571,0.889,0.0,39.896,21.909,9,1
pga,2023,2023,Travelers Championship,34,"Scott, Adam",6430,T19,2,TPC River Highlands,503,70,10,8:05am,68,0.118,0.987,-0.515,-0.395,0.078,0.196,299.8,0.5,0.667,0.5,37.681,26.932,4,5
pga,2023,2023,Travelers Championship,34,"Scott, Adam",6430,T19,3,TPC River Highlands,503,70,1,12:49pm,65,1.527,1.215,-0.407,0.486,1.294,2.821,287.8,0.714,0.722,0.833,31.606,27.342,3,3
pga,2023,2023,Travelers Championship,34,"Scott, Adam",6430,T19,4,TPC River Highlands,503,70,1,1:35pm,71,-2.447,-0.016,1.324,-2.413,-1.105,-3.552,301.7,0.714,0.778,0.2,22.751,21.246,2,5
pga,2023,2023,Travelers Championship,34,"Lowry, Shane",13900,T19,1,TPC River Highlands,503,70,1,8:05am,64,1.748,0.071,2.423,1.022,3.517,5.265,298.1,0.571,0.889,0.8,32.45,30.182,6,1
pga,2023,2023,Travelers Championship,34,"Lowry, Shane",13900,T19,2,TPC River Highlands,503,70,10,1:20pm,69,0.533,1.153,-0.978,-1.513,-1.337,-0.804,280.7,0.5,0.722,0.714,38.529,37.055,3,4
pga,2023,2023,Travelers Championship,34,"Lowry, Shane",13900,T19,3,TPC River Highlands,503,70,1,11:21am,69,-1.352,-1.095,0.654,0.614,0.173,-1.179,287.8,0.714,0.722,0.625,30.067,24.195,4,5
pga,2023,2023,Travelers Championship,34,"Lowry, Shane",13900,T19,4,TPC River Highlands,503,70,1,10:55am,64,0.041,-0.253,3.301,0.359,3.407,3.448,295.2,0.714,0.833,0.5,28.076,18.157,5,1
pga,2023,2023,Travelers Championship,34,"Henley, Russell",14578,T19,1,TPC River Highlands,503,70,10,12:40pm,69,-3.204,1.595,0.8,1.073,3.469,0.265,293.6,0.714,0.722,0.375,39.734,24.674,5,2
pga,2023,2023,Travelers Championship,34,"Henley, Russell",14578,T19,2,TPC River Highlands,503,70,1,7:25am,65,3.415,0.183,-1.257,0.854,-0.219,3.196,288.1,0.786,0.778,0.571,89.388,30.142,4,1
pga,2023,2023,Travelers Championship,34,"Henley, Russell",14578,T19,3,TPC River Highlands,503,70,1,11:10am,69,-0.687,2.179,-1.857,-0.814,-0.492,-1.179,272.4,0.714,0.722,0.833,,33.316,3,3
pga,2023,2023,Travelers Championship,34,"Henley, Russell",14578,T19,4,TPC River Highlands,503,70,1,10:10am,63,0.359,0.22,2.381,1.488,4.089,4.448,289.2,0.929,0.889,1.0,5.304,21.195,6,2
pga,2023,2023,Travelers Championship,34,"Schauffele, Xander",19895,T19,1,TPC River Highlands,503,70,10,7:25am,68,1.414,-1.109,0.58,0.379,-0.149,1.265,288.9,0.571,0.611,0.4,52.947,20.584,6,5
pga,2023,2023,Travelers Championship,34,"Schauffele, Xander",19895,T19,2,TPC River Highlands,503,70,1,12:40pm,64,2.805,-0.24,2.294,-0.664,1.391,4.196,279.4,0.5,0.833,0.75,34.136,20.914,5,1
pga,2023,2023,Travelers Championship,34,"Schauffele, Xander",19895,T19,3,TPC River Highlands,503,70,1,11:54am,67,0.68,-0.478,-0.25,0.869,0.141,0.821,283.6,0.857,0.611,0.6,50.642,26.973,3,3
pga,2023,2023,Travelers Championship,34,"Schauffele, Xander",19895,T19,4,TPC River Highlands,503,70,1,12:20pm,67,1.551,-0.621,1.008,-1.49,-1.103,0.448,295.5,0.714,0.667,0.714,14.919,21.037,5,6
pga,2023,2023,Travelers Championship,34,"Sigg, Greyson",23482,T19,1,TPC River Highlands,503,70,10,12:10pm,66,-0.555,0.483,1.73,1.606,3.82,3.265,292.2,0.857,0.778,0.4,11.876,32.897,5,0
pga,2023,2023,Travelers Championship,34,"Sigg, Greyson",23482,T19,2,TPC River Highlands,503,70,1,6:55am,66,2.246,-1.819,1.831,-0.063,-0.05,2.196,290.4,0.5,0.778,0.5,51.897,16.157,6,2
pga,2023,2023,Travelers Championship,34,"Sigg, Greyson",23482,T19,3,TPC River Highlands,503,70,1,12:27pm,67,1.3,-0.453,-0.106,0.08,-0.479,0.821,276.7,0.786,0.778,0.571,41.468,29.314,3,1
pga,2023,2023,Travelers Championship,34,"Sigg, Greyson",23482,T19,4,TPC River Highlands,503,70,1,12:10pm,67,0.943,-1.4,-0.177,1.082,-0.495,0.448,293.3,0.643,0.778,0.5,38.69,26.22,2,1
pga,2023,2023,Travelers Championship,34,"Hadley, Chesson",14967,T24,1,TPC River Highlands,503,70,10,12:10pm,66,1.616,-0.723,2.103,0.268,1.649,3.265,294.3,0.5,0.778,0.714,27.101,27.219,6,2
pga,2023,2023,Travelers Championship,34,"Hadley, Chesson",14967,T24,2,TPC River Highlands,503,70,1,6:55am,65,2.269,1.618,-0.704,0.012,0.927,3.196,296.8,0.714,0.889,0.667,129.162,29.321,8,2
pga,2023,2023,Travelers Championship,34,"Hadley, Chesson",14967,T24,3,TPC River Highlands,503,70,1,12:38pm,70,0.763,-1.083,-0.799,-1.06,-2.942,-2.179,279.8,0.5,0.611,0.556,27.339,30.463,2,5
pga,2023,2023,Travelers Championship,34,"Hadley, Chesson",14967,T24,4,TPC River Highlands,503,70,1,11:15am,66,0.767,3.144,-0.58,-1.883,0.681,1.448,294.4,0.5,0.611,0.875,48.68,23.64,2,3
pga,2023,2023,Travelers Championship,34,"Rai, Aaron",18554,T24,1,TPC River Highlands,503,70,1,12:20pm,67,-0.771,0.517,1.425,1.093,3.036,2.265,285.7,0.786,0.667,0.5,8.87,34.58,7,5
pga,2023,2023,Travelers Championship,34,"Rai, Aaron",18554,T24,2,TPC River Highlands,503,70,10,7:05am,66,0.503,0.474,-0.331,1.549,1.693,2.196,291.7,0.929,0.778,0.667,,29.289,4,3
pga,2023,2023,Travelers Championship,34,"Rai, Aaron",18554,T24,3,TPC River Highlands,503,70,1,11:43am,68,0.515,0.111,-1.109,0.304,-0.694,-0.179,279.8,0.714,0.833,0.5,60.808,35.385,2,2
pga,2023,2023,Travelers Championship,34,"Rai, Aaron",18554,T24,4,TPC River Highlands,503,70,1,11:25am,66,1.388,0.565,-1.359,0.854,0.06,1.448,290.8,0.786,0.722,0.625,12.036,31.332,3,4
pga,2023,2023,Travelers Championship,34,"Cole, Eric",21756,T24,1,TPC River Highlands,503,70,1,12:10pm,64,2.63,1.91,-0.76,1.484,2.635,5.265,295.2,0.786,0.667,0.778,49.412,26.159,4,4
pga,2023,2023,Travelers Championship,34,"Cole, Eric",21756,T24,2,TPC River Highlands,503,70,10,6:55am,65,2.119,-1.325,1.643,0.758,1.077,3.196,287.0,0.714,0.722,0.778,24.913,24.358,3,2
pga,2023,2023,Travelers Championship,34,"Cole, Eric",21756,T24,3,TPC River Highlands,503,70,1,12:49pm,73,-3.198,0.201,1.722,-3.904,-1.981,-5.179,274.1,0.643,0.889,0.333,25.641,23.713,1,6
pga,2023,2023,Travelers Championship,34,"Cole, Eric",21756,T24,4,TPC River Highlands,503,70,1,10:35am,65,1.046,2.573,-1.278,0.107,1.402,2.448,292.2,0.571,0.667,0.875,48.774,31.81,2,3
pga,2023,2023,Travelers Championship,34,"Aberg, Ludvig",23950,T24,1,TPC River Highlands,503,70,1,2:00pm,67,1.203,1.396,-1.301,0.966,1.062,2.265,297.0,0.571,0.722,0.75,33.727,33.152,4,4
pga,2023,2023,Travelers Championship,34,"Aberg, Ludvig",23950,T24,2,TPC River Highlands,503,70,10,8:45am,65,0.536,0.826,0.155,1.678,2.66,3.196,306.5,0.643,0.944,0.75,52.018,26.775,3,1
pga,2023,2023,Travelers Championship,34,"Aberg, Ludvig",23950,T24,3,TPC River Highlands,503,70,1,12:05pm,65,-0.18,1.488,0.646,0.867,3.001,2.821,287.5,0.786,0.833,1.0,41.147,20.8,4,0
pga,2023,2023,Travelers Championship,34,"Aberg, Ludvig",23950,T24,4,TPC River Highlands,503,70,1,12:50pm,70,-0.295,-0.044,-2.894,0.681,-2.257,-2.552,303.1,0.571,0.5,0.6,79.542,22.331,1,1
pga,2023,2023,Travelers Championship,34,"Eckroat, Austin",26653,T24,1,TPC River Highlands,503,70,10,6:45am,67,1.585,0.998,-0.49,0.171,0.68,2.265,288.7,0.5,0.667,0.667,52.344,38.476,4,1
pga,2023,2023,Travelers Championship,34,"Eckroat, Austin",26653,T24,2,TPC River Highlands,503,70,1,12:00pm,65,3.075,0.528,-0.528,0.12,0.121,3.196,291.1,0.429,0.778,0.8,85.646,32.544,4,0
pga,2023,2023,Travelers Championship,34,"Eckroat, Austin",26653,T24,3,TPC River Highlands,503,70,1,12:05pm,68,0.594,0.022,-0.948,0.153,-0.773,-0.179,275.2,0.714,0.611,0.667,80.559,27.598,4,4
pga,2023,2023,Travelers Championship,34,"Eckroat, Austin",26653,T24,4,TPC River Highlands,503,70,1,11:50am,67,0.366,-0.04,-0.467,0.589,0.082,0.448,282.8,0.857,0.778,0.5,21.923,25.541,2,2
pga,2023,2023,Travelers Championship,34,"Johnson, Zach",6986,T29,1,TPC River Highlands,503,70,1,1:10pm,68,-2.023,2.057,1.929,-0.699,3.288,1.265,284.2,0.643,0.778,0.2,92.036,25.793,10,6
pga,2023,2023,Travelers Championship,34,"Johnson, Zach",6986,T29,2,TPC River Highlands,503,70,10,7:55am,66,1.547,0.952,-0.712,0.408,0.649,2.196,281.9,0.714,0.722,1.0,128.212,24.787,2,3
pga,2023,2023,Travelers Championship,34,"Johnson, Zach",6986,T29,3,TPC River Highlands,503,70,1,10:59am,69,0.978,-1.908,-0.495,0.246,-2.157,-1.179,275.0,0.786,0.611,0.778,48.956,30.241,3,4
pga,2023,2023,Travelers Championship,34,"Johnson, Zach",6986,T29,4,TPC River Highlands,503,70,1,10:20am,65,2.021,0.481,-0.951,0.897,0.427,2.448,283.2,0.714,0.889,0.667,31.463,28.646,4,2
pga,2023,2023,Travelers Championship,34,"Im, Sungjae",17488,T29,1,TPC River Highlands,503,70,1,1:00pm,65,3.155,0.249,0.777,0.083,1.11,4.265,291.8,0.571,0.667,0.714,25.816,28.424,5,3
pga,2023,2023,Travelers Championship,34,"Im, Sungjae",17488,T29,2,TPC River Highlands,503,70,10,7:45am,67,1.153,0.325,0.924,-1.207,0.043,1.196,285.3,0.357,0.833,0.667,32.977,25.429,4,3
pga,2023,2023,Travelers Championship,34,"Im, Sungjae",17488,T29,3,TPC River Highlands,503,70,1,12:16pm,67,0.306,-0.301,0.025,0.791,0.515,0.821,282.3,0.786,0.667,0.75,31.856,28.588,2,1
pga,2023,2023,Travelers Championship,34,"Im, Sungjae",17488,T29,4,TPC River Highlands,503,70,1,12:20pm,69,-2.292,1.211,-0.922,0.451,0.74,-1.552,292.1,0.714,0.667,0.667,71.317,27.009,2,3
