player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Lagergren, Joakim",0.241,62,-0.206,342,-0.842,388,-0.468,322,-1.276,340,3.683,137,-0.071,394
"Green, Gavin",0.441,20,-0.148,302,-0.356,274,-0.730,377,-0.793,265,3.622,138,-0.076,400
"Guerrier, Julien",0.209,69,-0.200,339,-0.382,284,-0.035,155,-0.408,195,3.385,139,-0.041,331
"Hend, Scott",-0.510,419,-0.273,384,-0.919,395,-0.417,306,-2.119,401,3.316,140,-0.062,374
"Quiros, Alvaro",-0.409,407,-0.188,330,-1.058,411,-0.988,401,-2.643,416,3.302,141,-0.063,375
"Bjerregaard, Lucas",-0.237,347,-0.192,333,-1.238,421,-1.502,422,-3.169,424,3.241,142,-0.109,423
"LaCroix, Frederic",-0.001,174,-0.372,409,-0.402,294,-0.106,183,-0.881,279,3.224,143,-0.004,208
"Bradbury, Dan",-0.170,302,-0.420,417,-0.364,279,0.069,121,-0.886,280,3.209,144,0.012,157
"Kruyswijk, Jacques",-0.129,274,-0.009,186,-0.924,396,-0.388,297,-1.449,352,3.195,145,-0.007,217
"Griffin, Lanto",-0.098,243,-0.217,353,-0.173,215,-0.046,158,-0.534,215,3.176,146,0.004,179
"Horsfield, Sam",0.040,149,-0.151,306,-0.120,187,-0.157,208,-0.388,193,3.172,147,-0.033,305
"Ortiz, Carlos",-0.018,186,-0.032,207,0.002,146,0.113,108,0.064,128,3.161,148,-0.019,271
"Howell III, Charles",-0.041,201,0.224,27,0.243,70,0.421,39,0.846,46,3.105,149,0.000,194
"Walters, Justin",-0.128,272,-0.347,404,-0.344,270,-0.256,249,-1.075,310,3.060,150,-0.021,278
"Kim, Michael",0.068,124,0.054,123,0.149,101,-0.029,153,0.241,105,2.991,151,-0.013,239
"Waring, Paul",-0.283,371,-0.212,349,-0.053,165,0.002,143,-0.547,217,2.824,152,-0.015,256
"Pavon, Matthieu",0.019,163,-0.216,351,-0.137,197,0.019,137,-0.315,179,2.816,153,-0.012,236
"Goya, Estanislao",-0.121,265,0.026,147,-0.324,265,-0.088,180,-0.507,211,2.544,154,-0.006,211
"Paul, Yannik",0.089,109,0.003,173,-0.004,148,-0.053,163,0.034,131,2.544,155,-0.000,196
"Power, Seamus",0.279,46,0.103,86,0.103,116,0.108,109,0.593,64,2.504,156,-0.004,207
"Taylor, Ben",0.281,44,-0.000,178,-0.265,249,-0.367,288,-0.352,188,2.497,157,-0.062,373
"Porteous, Garrick",-0.434,411,-0.522,427,-0.655,360,-0.366,285,-1.976,389,2.450,158,-0.008,219
"Van Rooyen, Erik",-0.212,327,-0.259,377,-0.240,241,-0.385,296,-1.095,315,2.413,159,-0.017,266
"Gribble, Cody",-0.066,222,-0.150,305,-0.416,305,-0.140,199,-0.772,262,2.398,160,0.005,176
"Bhatia, Akshay",-0.239,349,-0.104,258,0.179,93,0.332,53,0.168,117,2.371,161,0.012,156
"Straka, Sepp",0.066,132,-0.117,271,0.308,57,0.236,76,0.493,79,2.339,162,0.037,80
"Lewis, Tom",-0.281,370,-0.204,340,-0.201,229,-0.363,284,-1.049,307,2.305,163,-0.036,312
"Jones, Matt",-0.362,394,0.132,68,-0.156,204,-0.030,154,-0.416,198,2.299,164,-0.027,295
"Ritchie, JC",-0.324,385,-0.241,371,-0.340,269,-0.135,195,-1.039,303,2.285,165,-0.024,285
"Palmer, Ryan",-0.333,388,-0.066,230,0.289,62,0.326,54,0.216,111,2.194,166,0.009,165
"McNealy, Maverick",0.627,4,0.152,56,-0.322,264,-0.663,362,-0.205,165,2.103,167,-0.044,340
"Wallace, Matt",0.023,160,0.207,36,0.059,128,-0.284,259,0.005,141,2.089,168,-0.021,276
"Schwartzel, Charl",-0.121,264,0.086,95,-0.076,172,-0.339,276,-0.450,203,1.913,169,-0.040,327
"Valimaki, Sami",0.067,127,-0.281,387,-0.235,239,-0.218,236,-0.667,244,1.865,170,-0.015,254
"Eckroat, Austin",-0.018,185,-0.055,218,0.251,68,0.387,44,0.565,70,1.810,171,0.054,49
"Smith, Cameron",0.699,2,0.269,12,0.548,26,0.088,114,1.605,9,1.773,172,-0.024,286
"Broberg, Kristoffer",-0.765,428,-0.352,406,-0.446,317,-0.180,217,-1.742,377,1.748,173,-0.014,248
"Conners, Corey",-0.105,247,-0.064,228,0.588,19,0.649,9,1.068,31,1.533,174,0.062,31
"Armitage, Marcus",-0.103,245,-0.234,365,-0.084,176,-0.623,351,-1.044,305,1.282,175,-0.053,361
"Veerman, Johannes",0.065,133,-0.239,367,-0.631,353,-0.382,293,-1.187,327,1.182,176,-0.028,297
"Higgs, Harry",0.229,66,0.139,66,-0.580,347,-0.497,326,-0.709,250,1.112,177,-0.074,397
