player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.795,27,0.020,0.037,-0.158,0.270,-0.007,-0.064,0.129,-0.078,-0.013,2.944,2.749,"Travelers Championship","TPC River Highlands"
"Cantlay, Patrick",150,2.137,31,0.005,-0.018,-0.015,0.187,0.141,-0.047,0.153,-0.094,0.012,2.449,2.723,"Travelers Championship","TPC River Highlands"
"Rahm, Jon",150,2.446,28,0.015,-0.041,-0.004,0.008,-0.029,-0.068,0.005,-0.110,-0.172,2.223,2.779,"Travelers Championship","TPC River Highlands"
"Schauffele, Xander",150,2.229,29,0.011,0.056,-0.025,-0.029,0.071,-0.029,0.042,-0.115,-0.102,2.211,2.746,"Travelers Championship","TPC River Highlands"
"McIlroy, Rory",150,2.306,34,-0.005,-0.090,-0.037,0.276,0.002,-0.121,-0.074,-0.081,-0.275,2.176,2.746,"Travelers Championship","TPC River Highlands"
"Hovland, Viktor",150,1.863,25,0.025,0.038,-0.029,0.052,-0.011,-0.043,0.094,-0.060,-0.009,1.928,2.775,"Travelers Championship","TPC River Highlands"
"Morikawa, Collin",150,1.601,26,0.023,-0.027,-0.005,-0.042,-0.046,-0.002,0.217,-0.036,0.179,1.683,2.773,"Travelers Championship","TPC River Highlands"
"Finau, Tony",150,1.601,33,-0.004,-0.038,0.019,0.066,0.055,-0.036,0.040,-0.068,-0.064,1.635,2.725,"Travelers Championship","TPC River Highlands"
"Henley, Russell",150,1.400,34,-0.005,-0.091,0.008,-0.026,0.060,0.023,0.279,-0.062,0.240,1.586,2.732,"Travelers Championship","TPC River Highlands"
"Kim, Si Woo",150,1.113,27,0.017,0.003,-0.020,0.168,0.076,0.008,0.238,-0.045,0.201,1.559,2.726,"Travelers Championship","TPC River Highlands"
"Fleetwood, Tommy",150,1.560,32,0.001,-0.028,-0.067,0.086,-0.014,-0.018,0.064,-0.085,-0.040,1.499,2.734,"Travelers Championship","TPC River Highlands"
"Fowler, Rickie",150,1.569,34,-0.007,0.011,0.042,-0.033,-0.041,-0.033,0.049,-0.092,-0.077,1.465,2.738,"Travelers Championship","TPC River Highlands"
"Im, Sungjae",150,1.233,25,0.027,0.016,0.055,0.093,-0.025,-0.004,0.149,-0.083,0.063,1.461,2.774,"Travelers Championship","TPC River Highlands"
"Clark, Wyndham",150,1.698,29,0.011,0.010,-0.103,-0.050,0.008,-0.075,-0.089,-0.094,-0.257,1.317,2.746,"Travelers Championship","TPC River Highlands"
"Day, Jason",150,1.145,35,-0.010,0.004,0.038,0.104,0.072,-0.023,0.043,-0.074,-0.054,1.299,2.770,"Travelers Championship","TPC River Highlands"
