bet_outcome_text,open_odds,player_name,dg_id,bet_outcome_numeric,close_time,close_odds,outcome,open_time,book,event_completed,event_name,market,season,year,event_id
loss,+600,"Scheffler, Scottie",18417,0,2023-06-21 20:51,+650,T4,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+1000,"Cantlay, Patrick",15466,0,2023-06-21 20:51,+1100,T4,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+1000,"Rahm, Jon",19195,0,2023-06-21 20:51,+1100,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+1000,"McIlroy, Rory",10091,0,2023-06-21 20:51,+1200,T7,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+1200,"Schauffele, Xander",19895,0,2023-06-21 20:51,+1400,T19,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+1800,"Hovland, Viktor",18841,0,2023-06-21 20:51,+1800,T29,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+2500,"Morikawa, Collin",22085,0,2023-06-21 20:51,+2200,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+2500,"Finau, Tony",11676,0,2023-06-21 20:51,+2800,T45,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+2200,"Fleetwood, Tommy",12294,0,2023-06-21 20:51,+3500,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3500,"Henley, Russell",14578,0,2023-06-21 20:51,+3500,T19,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3500,"Kim, Tom",24766,0,2023-06-21 20:51,+3500,T38,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3000,"Fitzpatrick, Matthew",17646,0,2023-06-21 20:51,+4000,T49,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+4500,"Matsuyama, Hideki",13562,0,2023-06-21 20:51,+4000,T13,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3500,"Clark, Wyndham",23604,0,2023-06-21 20:51,+4500,T29,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5500,"Kim, Si Woo",14609,0,2023-06-21 20:51,+4500,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3500,"Fowler, Rickie",12965,0,2023-06-21 20:51,+4500,T13,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+3500,"Homa, Max",17538,0,2023-06-21 20:51,+4500,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5000,"Im, Sungjae",17488,0,2023-06-21 20:51,+4500,T29,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+4000,"Young, Cameron",26651,0,2023-06-21 20:51,+5000,T60,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5000,"Day, Jason",9771,0,2023-06-21 20:51,+5000,T45,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+6000,"Lowry, Shane",13900,0,2023-06-21 20:51,+5500,T19,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+6000,"Conners, Corey",17576,0,2023-06-21 20:51,+6000,T9,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+4500,"Thomas, Justin",14139,0,2023-06-21 20:51,+6000,T9,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+4500,"English, Harris",14577,0,2023-06-21 20:51,+6500,T60,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+6500,"Lee, Min Woo",16841,0,2023-06-21 20:51,+7000,T9,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5000,"McCarthy, Denny",19870,0,2023-06-21 20:51,+7000,T7,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5500,"Theegala, Sahith",23014,0,2023-06-21 20:51,+7000,T52,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+5500,"Harman, Brian",8825,0,2023-06-21 20:51,+7000,T2,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
paid in full,+7500,"Bradley, Keegan",13872,1,2023-06-21 20:51,+8000,1,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+7500,"Scott, Adam",6430,0,2023-06-21 20:51,+8000,T19,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+10000,"Woodland, Gary",12577,0,2023-06-21 20:51,+9000,T33,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+7500,"Eckroat, Austin",26653,0,2023-06-21 20:51,+10000,T24,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+10000,"Rai, Aaron",18554,0,2023-06-21 20:51,+11000,T24,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+18000,"Putnam, Andrew",14704,0,2023-06-21 20:51,+13000,T45,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+18000,"Jaeger, Stephan",16394,0,2023-06-21 20:51,+13000,T64,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+13000,"Suh, Justin",22050,0,2023-06-21 20:51,+13000,T56,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
loss,+18000,"Hubbard, Mark",16333,0,2023-06-21 20:51,+13000,CUT,2023-06-19 13:30,draftkings,2023-06-25,Travelers Championship,win,2023,2023,34
