,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Bucknell,2022-02-23 18:00:00,220,44.00,6.5,18.18,146.0,18.18,29.9,69.8,76.3
Army,2022-02-23 18:00:00,-275,7.27,-6.5,18.18,146.0,18.18,70.1,76.3,69.8
Mississippi State,2022-02-23 18:30:00,-130,15.38,-2.0,18.18,139.0,18.18,54.3,70.5,68.5
South Carolina,2022-02-23 18:30:00,110,22.00,2.0,18.18,139.0,18.18,45.7,68.5,70.5
Creighton,2022-02-23 18:30:00,175,35.00,5.0,18.18,147.5,18.18,34.9,71.3,76.3
St. John's,2022-02-23 18:30:00,-210,9.52,-5.0,18.18,147.5,18.18,65.1,76.3,71.3
Louisiana-Monroe,2022-02-23 19:00:00,550,110.00,11.5,18.18,138.5,18.18,14.8,63.5,75.0
Georgia State,2022-02-23 19:00:00,-800,2.50,-11.5,18.18,138.5,18.18,85.2,75.0,63.5
Louisiana-Lafayette,2022-02-23 19:00:00,-110,18.18,-1.0,19.05,136.5,18.18,50.0,68.8,67.8
Georgia Southern,2022-02-23 19:00:00,-110,18.18,1.0,17.39,136.5,18.18,50.0,67.8,68.8
Texas-Arlington,2022-02-23 19:00:00,155,31.00,5.0,16.67,134.0,17.39,37.9,64.5,69.5
Troy,2022-02-23 19:00:00,-180,11.11,-5.0,20.00,134.0,19.05,62.1,69.5,64.5
North Florida,2022-02-23 19:00:00,220,44.00,6.0,18.18,127.5,18.18,29.9,60.8,66.8
Jacksonville,2022-02-23 19:00:00,-275,7.27,-6.0,18.18,127.5,18.18,70.1,66.8,60.8
Stetson,2022-02-23 19:00:00,270,54.00,7.5,18.18,138.0,18.18,25.8,65.3,72.8
Kennesaw State,2022-02-23 19:00:00,-350,5.71,-7.5,18.18,138.0,18.18,74.2,72.8,65.3
Florida Gulf Coast,2022-02-23 19:00:00,375,75.00,9.0,18.18,146.5,18.18,20.1,68.8,77.8
Liberty,2022-02-23 19:00:00,-510,3.92,-9.0,18.18,146.5,18.18,79.9,77.8,68.8
Lipscomb,2022-02-23 19:00:00,245,49.00,6.5,18.18,146.5,18.18,27.7,70.0,76.5
Bellarmine,2022-02-23 19:00:00,-310,6.45,-6.5,18.18,146.5,18.18,72.3,76.5,70.0
Eastern Kentucky,2022-02-23 19:00:00,410,82.00,10.0,18.18,148.0,18.18,18.7,69.0,79.0
Jacksonville State,2022-02-23 19:00:00,-575,3.48,-10.0,18.18,148.0,18.18,81.3,79.0,69.0
Albany,2022-02-23 19:00:00,-235,8.51,-5.5,18.18,126.0,18.18,67.0,65.8,60.3
Maine,2022-02-23 19:00:00,190,38.00,5.5,18.18,126.0,18.18,33.0,60.3,65.8
