,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Campbell,2021-12-22 12:00:00,-195,10.26,-4.5,18.18,125.5,17.39,63.7,65.0,60.5
UNC-Wilmington,2021-12-22 12:00:00,165,33.00,4.5,18.18,125.5,19.05,36.3,60.5,65.0
Maryland-Eastern Shore,2021-12-22 12:00:00,,,,,130.5,18.18,,,
George Washington,2021-12-22 12:00:00,,,,,130.5,18.18,,,
William & Mary,2021-12-22 13:00:00,850,170.00,15.0,17.39,126.0,18.18,10.1,55.5,70.5
Valparaiso,2021-12-22 13:00:00,-1500,1.33,-15.0,19.05,126.0,18.18,89.9,70.5,55.5
Towson,2021-12-22 13:00:00,110,22.00,1.5,18.18,130.0,17.39,45.7,64.3,65.8
Navy,2021-12-22 13:00:00,-130,15.38,-1.5,18.18,130.0,19.05,54.3,65.8,64.3
Texas A&M-Corpus Christi,2021-12-22 13:00:00,1000,200.00,18.5,19.05,140.0,16.67,8.7,60.8,79.3
Notre Dame,2021-12-22 13:00:00,-2000,1.00,-18.5,17.39,140.0,20.00,91.3,79.3,60.8
Eastern Washington,2021-12-22 14:00:00,1300,260.00,19.0,19.05,143.0,17.39,6.9,62.0,81.0
Texas Tech,2021-12-22 14:00:00,-3000,0.67,-19.0,17.39,143.0,19.05,93.1,81.0,62.0
Stony Brook,2021-12-22 14:00:00,1000,200.00,19.0,18.18,143.5,20.00,8.7,62.3,81.3
Florida,2021-12-22 14:00:00,-2000,1.00,-19.0,18.18,143.5,16.67,91.3,81.3,62.3
Alabama State,2021-12-22 14:00:00,2200,440.00,30.0,19.05,132.0,18.18,4.2,51.0,81.0
Texas,2021-12-22 14:00:00,-6500,0.31,-30.0,17.39,132.0,18.18,95.8,81.0,51.0
Colgate,2021-12-22 14:00:00,250,50.00,7.5,19.05,137.0,20.00,27.3,64.8,72.3
Vermont,2021-12-22 14:00:00,-320,6.25,-7.5,17.39,137.0,16.67,72.7,72.3,64.8
Delaware State,2021-12-22 14:00:00,1400,280.00,25.0,19.05,133.5,17.39,6.4,54.3,79.3
Temple,2021-12-22 14:00:00,-3300,0.61,-25.0,17.39,133.5,19.05,93.6,79.3,54.3
St. Peter's,2021-12-22 15:00:00,-365,5.48,-8.5,18.18,133.5,17.39,74.9,71.0,62.5
Fairleigh-Dickinson,2021-12-22 15:00:00,280,56.00,8.5,18.18,133.5,19.05,25.1,62.5,71.0
Liberty,2021-12-22 15:00:00,120,24.00,2.0,18.18,125.5,16.67,43.8,61.8,63.8
Northern Iowa,2021-12-22 15:00:00,-140,14.29,-2.0,18.18,125.5,20.00,56.2,63.8,61.8
Wofford,2021-12-22 15:00:00,-150,13.33,-3.0,17.39,134.0,18.18,58.0,68.5,65.5
Duquesne,2021-12-22 15:00:00,130,26.00,3.0,19.05,134.0,18.18,42.0,65.5,68.5
Army,2021-12-22 15:00:00,475,95.00,12.0,18.18,140.0,19.05,16.6,64.0,76.0
South Carolina,2021-12-22 15:00:00,-675,2.96,-12.0,18.18,140.0,17.39,83.4,76.0,64.0
Bucknell,2021-12-22 16:00:00,1300,260.00,19.0,18.18,149.5,18.18,6.9,65.3,84.3
Richmond,2021-12-22 16:00:00,-3000,0.67,-19.0,18.18,149.5,18.18,93.1,84.3,65.3
Idaho State,2021-12-22 16:00:00,700,140.00,13.5,18.18,129.5,19.05,12.0,58.0,71.5
Cal-Santa Barbara,2021-12-22 16:00:00,-1125,1.78,-13.5,18.18,129.5,17.39,88.0,71.5,58.0
Western Carolina,2021-12-22 17:00:00,350,70.00,10.0,19.05,144.5,18.18,21.2,67.3,77.3
UNC-Charlotte,2021-12-22 17:00:00,-475,4.21,-10.0,17.39,144.5,18.18,78.8,77.3,67.3
Wyoming,2021-12-22 17:00:00,100,20.00,1.5,18.18,138.0,18.18,47.8,68.3,69.8
Stanford,2021-12-22 17:00:00,-120,16.67,-1.5,18.18,138.0,18.18,52.2,69.8,68.3
