"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Hofstra",69.6057,120,68.1482,132,108.474,48,109.485,62,105.324,266,103.763,190,5.72205,110
"2022","Holy Cross",67.193,256,67.1628,185,91.4693,324,91.4841,344,110.008,327,114.288,345,-22.8036,351
"2022","Houston",65.7814,313,65.0314,303,117.119,4,117.72,8,85.6353,2,90.4637,14,27.2563,4
"2022","Houston Baptist",68.476,180,66.9746,200,90.2471,336,93.0218,335,111.505,337,113.813,343,-20.7913,349
"2022","Howard",72.3741,31,70.9771,30,105.333,97,103.764,153,103.078,222,106.922,259,-3.15798,212
"2022","Idaho",71.4364,57,70.3596,49,100.287,206,100.146,231,113.602,347,114.605,348,-14.4589,323
"2022","Idaho St.",66.6984,280,64.7844,310,86.6482,350,90.6966,348,110.31,328,110.743,326,-20.0466,348
"2022","Illinois",68.4437,183,66.752,214,112.981,16,115.308,15,95.4008,58,93.722,30,21.5861,16
"2022","Illinois Chicago",67.7879,229,67.6042,160,100.303,204,99.5528,241,107.009,292,109.268,313,-9.71517,283
"2022","Illinois St.",69.7482,112,69.1639,87,108.306,51,108.148,79,106.588,284,108.145,292,0.00240733,163
"2022","Incarnate Word",68.2875,197,66.4611,239,91.9271,321,92.8146,336,115.133,350,116.329,354,-23.5139,353
"2022","Indiana",68.565,174,67.3922,176,106.405,76,108.581,71,90.918,17,91.7059,19,16.8754,32
"2022","Indiana St.",70.6096,79,71.0874,29,98.5244,234,101.245,214,102.581,208,101.254,139,-0.00933454,164
"2022","Iona",71.6857,48,70.4161,46,106.015,84,107.546,88,95.037,55,96.1461,53,11.4003,70
"2022","Iowa",71.0322,69,70.2577,52,116.695,5,118.219,7,98.2341,107,98.7548,93,19.4644,19
"2022","Iowa St.",68.1962,206,66.8689,206,101.425,182,106.481,106,88.8352,12,89.1691,9,17.312,27
"2022","IUPUI",62.6735,353,61.8245,350,79.4053,357,81.7449,358,110.58,330,112.881,336,-31.1356,358
"2022","Jackson St.",66.8735,272,64.7617,312,86.1618,353,91.064,346,99.0893,122,99.9207,112,-8.85668,274
"2022","Jacksonville",63.5359,347,63.0038,340,94.7055,292,95.5484,306,97.1622,85,100.725,131,-5.17664,236
"2022","Jacksonville St.",67.4648,246,65.7533,273,104.124,125,105.066,131,98.0194,101,101.482,143,3.58405,124
"2022","James Madison",70.5469,81,69.7136,71,103.661,136,103.47,160,103.01,221,105.901,235,-2.43055,200
"2022","Kansas",70.0189,102,69.1707,85,114.798,9,121.66,3,95.9015,63,95.6281,48,26.0322,9
"2022","Kansas St.",67.1691,257,66.2986,245,100.801,194,106.337,109,94.0818,44,93.7025,29,12.6347,58
"2022","Kennesaw St.",69.508,124,67.6418,158,103.448,140,102.762,183,104.763,255,105.743,230,-2.98103,209
"2022","Kent St.",66.2353,294,64.6481,317,97.5585,253,98.4931,257,98.3818,110,99.9566,114,-1.46352,188
"2022","Kentucky",70.2077,93,68.5401,110,116.417,7,119.71,4,91.4765,21,93.2354,26,26.4743,7
"2022","La Salle",69.0797,144,68.1415,134,96.8202,264,96.8317,287,100.557,158,103.45,180,-6.61781,251
"2022","Lafayette",66.9648,268,65.7805,271,97.2052,259,96.4857,292,108.996,315,109.847,315,-13.361,315
"2022","Lamar",65.9174,304,65.5571,281,92.13,317,94.4775,322,110.62,331,112.028,335,-17.5502,336
"2022","Lehigh",69.0874,143,68.9723,94,96.7521,265,96.4495,294,103.491,226,108.843,302,-12.393,306
"2022","Liberty",65.5633,318,64.3934,322,107.672,60,108.235,77,96.8994,79,101.009,136,7.22597,97
"2022","Lipscomb",71.9625,38,69.9342,62,101.434,181,104.219,142,112.105,342,113.136,340,-8.9169,275
"2022","Little Rock",69.1291,141,68.925,98,95.4448,285,97.6872,271,110.865,332,110.193,321,-12.5058,309
"2022","LIU",72.4251,28,72.0786,11,97.9636,243,98.6183,254,101.351,183,103.904,194,-5.2861,238
"2022","Long Beach St.",71.2174,61,70.3396,50,98.3427,239,101.797,201,106.747,286,105.356,222,-3.55958,219
"2022","Longwood",67.8816,223,67.0315,195,108.337,50,103.289,167,96.6696,73,103.116,172,0.173226,160
"2022","Louisiana",71.7746,44,70.7827,36,96.5803,267,100.734,219,97.9195,100,101.054,137,-0.320394,170
"2022","Louisiana Monroe",69.7122,115,68.1557,130,100.255,207,103.052,177,110.885,333,110.596,324,-7.54424,261
"2022","Louisiana Tech",71.0969,66,68.4618,113,107.513,61,108.779,69,97.1177,82,99.3283,108,9.45105,81
"2022","Louisville",68.5426,177,68.0355,138,99.3995,219,102.827,182,98.746,119,97.4924,68,5.33493,113
"2022","Loyola Chicago",65.8669,308,64.0778,328,112.595,20,113.673,23,94.2284,46,96.4578,57,17.2156,29
"2022","Loyola Marymount",68.2291,202,67.0244,196,99.7339,215,104.028,147,104.401,245,103.169,173,0.859728,153
"2022","Loyola MD",67.3604,251,65.5535,282,101.007,189,98.1457,264,100.543,157,105.583,225,-7.43759,258
"2022","LSU",71.2102,62,68.994,92,101.978,169,104.837,133,81.9317,1,81.3758,1,23.4612,12
"2022","Maine",66.0533,300,66.3892,241,86.5503,351,88.7577,353,111.19,335,112.016,334,-23.2578,352
"2022","Manhattan",70.4512,85,69.069,90,101.153,186,100.126,234,104.722,253,107.886,287,-7.76046,263
"2022","Marist",66.8332,275,65.9258,262,102.24,160,101.288,213,97.8212,97,102.206,155,-0.918576,184
"2022","Marquette",71.5299,51,70.427,45,102.849,153,109.112,65,95.4347,59,92.6192,23,16.4926,33
"2022","Marshall",73.3257,15,72.87,5,99.3715,220,102.716,184,106.897,288,106.599,249,-3.88262,222
"2022","Maryland",67.942,219,66.9412,201,103.067,149,108.066,80,100.754,161,97.9399,74,10.1256,80
"2022","Maryland Eastern Shore",67.8273,227,66.6056,230,90.2732,335,89.2748,350,103.876,236,108.532,299,-19.2572,346
"2022","Massachusetts",69.1992,139,68.869,102,109.844,34,112.447,32,112.557,345,112.994,337,-0.546507,177
"2022","McNeese St.",72.2591,33,69.7441,67,91.8147,322,95.2056,310,104.622,251,107.716,282,-12.5103,310
"2022","Memphis",73.0639,20,71.4542,23,104.8,109,109.023,66,98.1844,106,96.82,58,12.2031,66
"2022","Mercer",67.0934,261,65.2723,294,104.601,114,104.631,137,107.836,304,108.221,295,-3.5893,220
"2022","Merrimack",62.7895,352,61.1567,355,91.2092,329,92.7171,337,102.762,215,106.861,256,-14.1441,320
"2022","Miami FL",68.38,187,67.7129,155,111.08,30,115.197,18,105.064,260,102.866,165,12.3307,62
