,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Western Kentucky,2021-12-03 19:00:00,-160,12.50,-3.5,18.18,72.5,18.18,59.6,38.0,34.5
UTSA,2021-12-03 19:00:00,140,28.00,3.5,18.18,72.5,18.18,40.4,34.5,38.0
Oregon,2021-12-03 20:00:00,115,23.00,2.5,18.18,57.5,18.18,44.7,27.5,30.0
Utah,2021-12-03 20:00:00,-135,14.81,-2.5,18.18,57.5,18.18,55.3,30.0,27.5
Baylor,2021-12-04 12:00:00,175,35.00,5.5,18.18,46.5,18.18,34.9,20.5,26.0
Oklahoma State,2021-12-04 12:00:00,-210,9.52,-5.5,18.18,46.5,18.18,65.1,26.0,20.5
Kent,2021-12-04 12:00:00,,,,,,,,,
Northern Illinois,2021-12-04 12:00:00,,,,,,,,,
Utah State,2021-12-04 15:00:00,185,37.00,6.0,19.05,50.0,18.18,33.6,22.0,28.0
San Diego State,2021-12-04 15:00:00,-225,8.89,-6.0,17.39,50.0,18.18,66.4,28.0,22.0
Appalachian State,2021-12-04 15:30:00,-140,14.29,-2.5,17.39,53.0,18.18,56.2,27.8,25.3
Louisiana-Lafayette,2021-12-04 15:30:00,120,24.00,2.5,19.05,53.0,18.18,43.8,25.3,27.8
Georgia,2021-12-04 16:00:00,-240,8.33,-6.5,17.39,49.5,19.05,67.6,28.0,21.5
Alabama,2021-12-04 16:00:00,195,39.00,6.5,19.05,49.5,17.39,32.4,21.5,28.0
Houston,2021-12-04 16:00:00,330,66.00,10.5,16.67,53.0,18.18,22.2,21.3,31.8
Cincinnati,2021-12-04 16:00:00,-435,4.60,-10.5,20.00,53.0,18.18,77.8,31.8,21.3
Pittsburgh,2021-12-04 20:00:00,,,,,,,,,
Wake Forest,2021-12-04 20:00:00,,,,,,,,,
Michigan,2021-12-04 20:00:00,,,,,,,,,
Iowa,2021-12-04 20:00:00,,,,,,,,,
USC,2021-12-04 23:00:00,175,35.00,4.5,18.18,57.5,18.18,34.9,26.5,31.0
California,2021-12-04 23:00:00,-210,9.52,-4.5,18.18,57.5,18.18,65.1,31.0,26.5
